trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,15,1,,,,catch,0,,,,0.26,,
2,2,True,1,15,0,31,0,,,,catch,0,,,,0.37,,
3,3,True,1,15,1,17,1,,,,catch,0,,,,0.2,,
4,4,False,1,15,1,13,1,1,23,1,forceblk4,1,0,0,19,0.43,1.31,2.32
5,5,False,0,15,1,16,0,0,23,1,choice,1,0,1,38,0.23,11.83,13.54
6,5,False,0,15,0,16,1,1,27,0,force,2,1,0,49,0.24,1.47,2.47
7,6,False,1,15,1,15,1,0,14,0,force,1,0,1,49,0.18,1.06,2.06
8,6,False,0,15,1,10,0,0,22,1,choice,2,0,1,25,0.13,1.07,2.61
9,7,False,1,15,1,11,1,0,14,0,choice,1,0,1,20,0.42,0.75,2.33
10,7,False,1,15,1,6,1,1,26,1,force,2,1,0,49,0.18,1.23,2.23
11,8,False,0,15,1,22,0,0,10,1,force,2,1,0,23,0.71,1.17,2.17
12,8,False,0,15,0,32,1,0,27,1,choice,2,0,1,35,0.53,1.05,2.77
13,9,False,1,15,1,16,1,1,28,1,force,1,1,0,28,0.33,1.25,2.25
14,9,False,0,15,1,17,0,0,11,1,choice,1,0,1,35,0.31,1.32,3.12
15,10,False,1,15,0,20,0,1,20,1,choice,2,1,0,39,0.89,1.53,3.04
16,10,False,1,15,1,19,1,0,18,0,force,1,1,0,24,0.57,1.52,2.53
