"ID","algorChoice","resolution","resolution2","algorInfluence","AdvisorIgnoredTrials","quantAdvisor1","quantAdvisor2","quantAdvisor3","quantAdvisor4","quantCorrect1","quantCorrect2","quantCorrect3","quantCorrect4","finalDD","obsAdvAccDiffBlk4","obsAdvAccDiffBlk4Force","algorAccBlk4","blk4Choice","choiceAfterBlk4","cj1Acc","meanRT","meanCTC","algorSway","humanSway","algorRelativeSway","algorAgreeConfDiff","algorDisagreeConfDiff","humanAgreeConfDiff","humanDisagreeConfDiff","percentCCAfterHAC","percentCCAfterHAW","percentCCAfterCAC","percentCCAfterCAW","humanCorrectForcedTrialsPercent","humanWrongForcedTrialsPercent","computerCorrectForcedTrialsPercent","computerWrongForcedTrialsPercent","metaDPrime","gender","age","deviceUse","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","abilityTot","integrityTot","understandingTot","abilityDiff","integrityDiff","understandingDiff",
"5cabd60c4311a70001cfcc14",0.32083,3.7235,10.2831,-5.3849,0,0.58621,0.66102,0.73529,0.72727,0.60215,0.69663,0.78652,0.7191,6,2.6429,-0.3,0.78261,0.9,0.58437,0.7,1.6813,3.3464,2.2242,2.2409,-0.016661,-4.7222,4.2917,-4.7059,-1.0769,0.48485,0.53846,0.81481,0.58824,0.75,0.25,0.65,0.35,0.36728,"m",27,6,6,7,7,7,2,3,3,3,7,7,5,7,27,11,26,11,-5,10,
"56ce42d9465e580006846f57",0.0041667,1.8684,3.3382,-0.69084,77,0.9899,1,1,1,0.67763,0.77907,0.76316,0.90476,13,1.04,-0.3,0.66,1,0.80937,0.76389,2.2226,4.0266,1.8729,1.623,0.24996,-3.2051,1,-3.1143,0.4,1,1,0.96667,0.9375,0.73333,0.26667,0.66667,0.33333,1.3487,"m",52,9,2,4,2,2,1,1,1,1,2,1,2,1,10,4,6,-6,-12,-10,
"5e59bb355f26921d02b4ec5f",0.67083,0.14758,6.3361,0.62328,26,0.37681,0.29508,0.34615,0.2931,0.63725,0.57303,0.625,0.65432,12,5.9344,0,0.58824,0.6,0.35938,0.62222,1.9742,4.5661,0.98561,1.1403,-0.15466,-1.3077,-0.52941,-0.72414,0.67742,0.28125,0.45455,0.21875,0.30769,0.78333,0.21667,0.61667,0.38333,0.076321,"f",28,8,4,5,5,7,2,2,2,3,6,6,5,6,21,9,23,5,-7,7,
"5e5912f6ff7f7b121cf4e6b1",0.31667,2.7546,2.9223,2.6333,115,0.69118,0.72581,0.66667,0.64286,0.66667,0.69663,0.71951,0.82143,10,2.8352,0.1,0.68182,0.85,0.59375,0.72222,1.4273,2.9605,0.16071,0.22059,-0.059874,0.083333,-1,-0.05,1.5,0.59375,0.5,0.76,0.75,0.71667,0.28333,0.68333,0.31667,0.50103,"m",22,9,5,2,5,5,3,6,6,6,1,5,5,5,17,21,16,1,5,0,
"5c60792cced0b900018cbe77",0.37083,2.8289,5.6787,1.3598,85,0.75862,0.625,0.63793,0.5,0.54945,0.60577,0.71795,0.66667,12,3.9461,0,0.60606,0.575,0.59062,0.63056,2.2409,4.1519,2.8585,4.0743,-1.2158,-0.88235,-10.7778,0.068966,-8.4667,0.47826,0.61538,0.71429,0.6,0.61667,0.36667,0.78333,0.23333,0.74598,"f",22,2,7,7,5,6,1,2,2,4,5,7,6,7,25,9,25,9,-7,9,
"5e1482e0f82df8000d66665f",0.58333,2.014,7.621,25.5572,34,0.39683,0.35484,0.41538,0.52,0.36264,0.47872,0.47826,0.51807,14,5.6667,-0.4,0.63333,0.5,0.43438,0.45833,2.3233,4.3453,5.3333,1.1493,4.1841,2.4828,-14.3667,0.32,9.0278,0.375,0.4375,0.45455,0.42857,0.65,0.36667,0.75,0.23333,0.23882,"f",20,4,4,5,6,5,3,4,4,3,5,5,6,5,20,14,21,4,-2,5,
"575341f0dcd903000606a800",0.52917,5.7539,8.0859,0.5593,24,0.57377,0.42188,0.48387,0.39623,0.625,0.84043,0.86207,0.92771,15,7.925,0.2,0.75,0.25,0.50938,0.80833,2.198,4.2692,0.6185,0.65775,-0.039257,-1.2326,-0.35294,-0.82353,0.61538,0.5,0.66667,0.47222,0.33333,0.65,0.35,0.75,0.25,1.1945,"f",22,6,5,6,5,5,3,3,5,6,6,7,7,7,21,17,27,5,1,11,
"59f0501a2f63d30001c902bd",0.68333,5.7577,8.6802,-4.155,4,0.38462,0.34426,0.16981,0.34426,0.58511,0.75532,0.80723,0.89888,8,7.9429,0.3,0.56,0.375,0.37812,0.75833,1.9434,3.6892,0.61029,0.98214,-0.37185,-0.025641,1.8095,-0.93939,-3.2593,0.1875,0.6,0.55172,0,0.68333,0.31667,0.71667,0.28333,1.2773,"f",26,3,3,5,5,4,2,3,3,3,4,5,3,5,17,11,17,1,-5,1,
"59e0be41d838ae0001850712",0.61667,2.0092,5.7828,-1.4052,0,0.46774,0.42254,0.375,0.23529,0.56522,0.65347,0.71429,0.78947,11,6.5268,-0.34343,0.57143,0.425,0.42188,0.675,2.0082,3.9293,0.40132,1.5,-1.0987,-1.5,0.38462,-1.7838,-1.3043,0.39286,0.35714,0.48649,0.36364,0.65,0.35,0.75,0.25,0.63881,"f",31,5,3,5,5,6,4,3,4,5,5,6,5,5,19,16,21,3,0,5,
"59bd9d713c45a10001ccca7a",0.091667,2.4154,8.8687,1.0642,1,0.85915,0.93651,0.90385,0.94444,0.69,0.71739,0.77381,0.79762,15,1.7169,0.1,0.68085,0.925,0.75625,0.74167,2.8605,4.8753,0.14337,0.24691,-0.10354,-1.4634,7.1,-2.575,7.0526,0.96667,1,0.81481,0.78571,0.73333,0.25,0.66667,0.35,0.83777,"f",31,9,4,5,5,4,6,6,5,3,5,5,6,6,18,20,22,2,4,6,
"5e6011026e31c836f4ca5ac9",0.29583,2.706,6.5255,5.682,5,0.8254,0.59259,0.71875,0.66102,0.48387,0.61538,0.65217,0.65476,13,3.7275,0.2,0.87097,0.525,0.64687,0.6,1.6132,3.4435,1.2807,1.8106,-0.5299,-5.9688,7.2593,-6.75,12.16,0.72,0.5,0.73077,0.66667,0.68333,0.33333,0.71667,0.26667,0.46037,"f",19,8,6,6,5,2,3,3,5,4,6,5,5,6,19,15,22,3,-1,6,
"5e3681557cbf7461513bc8f0",0.4875,3.8082,5.0584,7.669,205,0.4918,0.50794,0.55172,0.5,0.67391,0.76842,0.81609,0.88372,14,6.5278,0,0.70833,0.35,0.525,0.78333,1.7377,4.7259,7.0769,8.7472,-1.6703,0.075,-35.2105,0.025641,-27.5909,0.54839,0.64286,0.46667,0.61538,0.71667,0.3,0.68333,0.3,0.78658,"m",26,8,4,6,7,7,3,3,3,4,6,5,7,7,24,13,25,8,-3,9,
"5e5554bb2f1d9c56332af459",0.82917,2.6431,5.8916,2.6781,47,0.21333,0.17647,0.15789,0.12281,0.60177,0.66667,0.60759,0.77778,7,14,-0.43434,0.625,0.125,0.3,0.66111,1.894,3.9435,0.24752,0.057915,0.18961,-1.1667,1.375,-1.7436,3.4762,0.090909,0.27273,0.086957,0.2,0.73333,0.26667,0.66667,0.33333,0.48674,"f",37,5,4,4,5,2,5,5,3,4,6,6,5,6,15,17,23,-1,1,7,
"5e668f3107e41f04e1ff4a95",0.90417,3.4296,10.263,-2.1861,0,0.098361,0.15152,0.10909,0.017241,0.64835,0.73913,0.8046,0.81111,8,8.3,-0.010101,0.56667,0.475,0.20312,0.75,2.4996,4.5734,1.9286,1.4964,0.43219,-1.9756,-0.5,-1.2895,-2,0.074074,0.21429,0.15625,0.083333,0.65,0.33333,0.75,0.26667,0.64682,"m",58,6,5,5,3,6,2,2,3,3,1,2,5,3,19,10,11,3,-6,-5,
"5e23a2cb93a689642fffaa30",0.5125,1.9806,8.3994,-14.8698,7,0.49231,0.4918,0.5102,0.46154,0.61224,0.64286,0.57333,0.73034,15,5.3014,0.050505,0.7931,0.5,0.49062,0.64167,2.8722,5.4283,2.2542,1.3388,0.91544,2.4828,0.83871,6.9722,-9.5417,0.61111,0.4,0.48,0.38462,0.76667,0.23333,0.63333,0.36667,0.23526,"m",21,9,4,5,7,4,5,6,3,6,5,5,5,6,20,20,21,4,4,5,
"5e4ea83560c37d2eafb2ae3b",0.84167,3.1504,9.1602,0.86012,76,0.083333,0.14516,0.19355,0.21429,0.58065,0.66667,0.6044,0.78313,9,10.4378,0.050505,0.68182,0.325,0.26562,0.65556,2.8453,4.4518,2.8061,0.30153,2.5046,1.4333,3.6,0.78571,3.8125,0.28571,0.15385,0.24138,0.090909,0.68333,0.31667,0.71667,0.28333,0.5358,"m",25,3,1,1,1,3,1,3,5,5,6,7,6,6,6,14,25,-10,-2,9,
"5e4e86b070e1ed2d6e4e3f62",0.39583,0.10377,0.31259,-5.9659,202,0.65574,0.58659,NaN,NaN,0.58696,0.60075,NaN,NaN,15,4.3059,0.1,0.77419,0.525,0.575,0.59722,1.8869,3.3083,6.1366,8.929,-2.7924,0.22581,21.2759,-0.12121,14.963,0.72414,0.47059,0.57692,0.85714,0.66667,0.33333,0.73333,0.26667,0.1748,"f",47,4,5,5,5,7,2,4,4,4,6,5,5,6,22,14,22,6,-2,6,
"5e3df34cfb9ed506f1028bb5",0.50417,1.2033,0.90722,0.72092,33,0.45588,0.55385,0.46154,0.50909,0.65625,0.61224,0.6625,0.73256,14,5.1339,0.1,0.75,0.55,0.49062,0.66389,4.2039,6.5101,0.11732,0.38674,-0.26942,-0.64865,0.13043,-0.7,0.8,0.2963,0.53846,0.57143,0.30769,0.66667,0.33333,0.73333,0.26667,0.24734,"m",39,6,4,5,5,6,7,7,7,4,7,7,7,7,20,25,28,4,9,12,
"5e0e925fff28a85e40514175",0.54167,2.6479,11.1337,-4.8167,2,0.46875,0.49231,0.44444,0.42105,0.75532,0.65263,0.7037,0.83333,11,5.1518,-0.060606,0.6875,0.575,0.45937,0.73611,1.6201,4.0427,2.6294,2.6789,-0.049536,0.25,7.5417,-0.525,1.95,0.41176,0.66667,0.44828,0.6,0.71667,0.28333,0.68333,0.31667,0.82932,"m",21,9,4,5,4,1,1,2,3,3,4,5,3,5,14,9,17,-2,-7,1,
"5dfd52e3b63853a4125bd77d",0.92083,1.1025,6.1812,-7.1968,2,0.059701,0.071429,0.071429,0.12766,0.59048,0.6375,0.64078,0.69444,15,12.022,-0.4,0.61905,0.275,0.2125,0.63611,2.3306,4.3024,0.36709,3.4021,-3.035,1.1515,-3.4815,1.9677,-9.8621,0.033333,0.15385,0.032258,0.18182,0.7,0.3,0.7,0.3,0.36887,"f",21,9,2,4,2,3,2,2,4,3,5,6,7,5,11,11,23,-5,-5,7,
"5dfcc5cf7dd4779b542dc38d",0.8375,0.82191,8.5052,-2.0917,0,0.24638,0.20635,0.058824,0.10526,0.82353,0.75862,0.83529,0.83721,14,11.0659,0.2,0.7619,0.275,0.275,0.81389,1.8049,3.7611,2.3232,0.97701,1.3462,-2.5833,-3.7917,3.1,-0.2,0.13793,0.21429,0.16667,0,0.7,0.3,0.7,0.3,0.086862,"m",27,8,5,6,5,5,5,7,3,6,5,6,7,6,21,21,24,5,5,8,
"5de66395047da35de324deed",0.4625,2.7394,8.0306,1.7051,6,0.62712,0.57377,0.46667,0.48333,0.56989,0.52688,0.66667,0.66667,5,4.693,-0.25253,0.67742,0.5,0.53125,0.60556,2.1347,3.9724,1.1,0.75294,0.34706,-0.028571,-2.3846,0.69444,0.043478,0.4,0.41667,0.66667,0.55556,0.68333,0.3,0.71667,0.3,0.31649,"m",20,8,2,2,5,5,3,3,2,3,4,5,3,6,14,11,18,-2,-5,2,
"5dcfaad2dd9a740c2493fc28",0.41667,2.9137,7.0122,1.5485,24,0.64179,0.51852,0.61765,0.52941,0.60204,0.69767,0.63918,0.75949,11,3.8449,0,0.64865,0.675,0.54063,0.66944,1.5502,3.4395,0.595,0.65625,-0.06125,-0.62857,5.16,-0.52941,6.8077,0.6,0.85714,0.60714,0.54545,0.76667,0.23333,0.63333,0.36667,0.41218,"m",31,3,6,7,7,7,2,2,3,6,7,6,3,7,27,13,23,11,-3,7,
"5db396d5b449ad000cbfc38c",0.5875,2.6935,6.4076,2.1743,0,0.39062,0.47692,0.44231,0.33898,0.64835,0.66,0.69136,0.78409,14,6.4579,0.1,0.62963,0.425,0.44375,0.69444,6.6158,3.6335,0.37736,0.57711,-0.19976,-1.6857,1.84,-2.6,3.1,0.42308,0.52941,0.55556,0.27273,0.66667,0.33333,0.73333,0.26667,0.64208,"f",21,9,5,5,5,6,1,2,3,2,3,4,4,4,21,8,15,5,-8,-1,
"5db29ce254945b003c8ef699",0.9,5.5424,9.6639,16.5324,10,0.13333,0.050847,0.15625,0.052632,0.48958,0.67708,0.7931,0.80247,13,8.9241,-0.1,0.60714,0.45,0.20625,0.68333,2.1471,4.5444,1.3333,2.8768,-1.5435,1.7027,2.2174,-3.1212,13.9259,0.1,0.18182,0.09375,0.13333,0.7,0.3,0.7,0.3,0.91929,"f",25,3,6,3,5,3,2,5,3,6,5,6,7,7,17,16,25,1,0,9,
"5db6ff8c7f9e6b000dd24a19",0.2125,3.7228,4.196,0.98061,19,0.73016,0.8,0.78571,0.84211,0.61702,0.57955,0.60417,0.81707,15,2.5805,-0.2,0.56757,0.675,0.69375,0.65,3.787,6.8019,1.7952,0.59459,1.2006,-0.71795,-2.9524,0.2973,-0.95652,0.90476,0.71429,0.74194,0.84615,0.68333,0.31667,0.71667,0.28333,0.56094,"m",25,5,5,6,7,5,3,5,5,2,7,7,7,7,23,15,28,7,-1,12,
"5da98138d11d560013a3d22d",0.60833,4.5743,7.342,26.8491,18,0.34375,0.39062,0.43333,0.40385,0.50538,0.72043,0.70833,0.71795,7,7.0837,0.2,0.69231,0.4,0.43438,0.66111,8.27,4.2853,2.1484,0.47317,1.6752,-2.5714,-9.8846,0.09375,19.6296,0.44828,0.25,0.63636,0.2,0.66667,0.31667,0.73333,0.28333,0.5497,"m",34,9,5,5,6,3,2,4,2,2,6,5,5,5,19,10,21,3,-6,5,
