trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,22,1,,,,catch,0,0,,0,0,21.55,,
2,1,True,0,15,1,25,0,,,,catch,0,0,,0,0,10.46,,
3,1,True,0,15,0,15,1,,,,catch,0,0,,0,0,9.37,,
4,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,5.33,,
5,1,True,1,14,1,28,1,,,,catch,0,0,,0,0,5.84,,
6,1,True,1,14,1,12,1,,,,catch,0,0,,0,0,4.57,,
7,1,True,0,13,0,15,1,,,,catch,0,0,,0,0,3.39,,
8,1,True,0,13,1,15,0,,,,catch,0,0,,0,0,6.84,,
9,1,True,0,14,0,25,1,,,,catch,0,0,,0,0,3.8,,
10,1,True,1,14,1,19,1,,,,catch,0,0,,0,0,3.77,,
11,1,True,1,13,1,31,1,,,,catch,0,0,,0,0,6.86,,
12,1,True,0,13,1,13,0,,,,catch,0,0,,0,0,11.37,,
13,1,True,0,14,0,17,1,,,,catch,0,0,,0,0,5.64,,
14,1,True,1,14,0,11,0,,,,catch,0,0,,0,0,2.46,,
15,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,2.89,,
16,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,2.55,,
17,1,True,1,14,0,20,0,,,,catch,0,0,,0,0,2.73,,
18,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,5.55,,
19,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,2.9,,
20,1,True,1,14,0,8,0,,,,catch,0,0,,0,0,2.67,,
21,1,True,1,15,1,21,1,,,,catch,0,0,,0,0,2.58,,
22,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,2.12,,
23,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,1.98,,
24,1,True,1,15,0,18,0,,,,catch,0,0,,0,0,2.37,,
25,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,3.25,,
26,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,3.38,,
27,1,True,0,15,0,17,1,,,,catch,0,0,,0,0,3.65,,
28,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,2.32,,
29,1,True,0,14,0,18,1,,,,catch,0,0,,0,0,5.01,,
30,1,True,0,14,0,25,1,,,,catch,0,0,,0,0,2.28,,
31,2,True,0,13,0,17,1,,,,catch,0,0,,0,0,2.18,,
32,2,True,1,13,0,19,0,,,,catch,0,0,,0,0,3.01,,
33,2,True,1,14,0,8,0,,,,catch,0,0,,0,0,2.41,,
34,2,True,1,15,0,24,0,,,,catch,0,0,,0,0,3.51,,
35,2,True,1,15,1,10,1,,,,catch,0,0,,0,0,5.2,,
36,2,True,1,15,0,12,0,,,,catch,0,0,,0,0,4.54,,
37,2,True,0,15,0,15,1,,,,catch,0,0,,0,0,2.01,,
38,2,True,0,15,0,30,1,,,,catch,0,0,,0,0,3.72,,
39,2,True,0,14,0,34,1,,,,catch,0,0,,0,0,2.65,,
40,2,True,1,14,1,9,1,,,,catch,0,0,,0,0,2.97,,
41,2,True,1,13,1,11,1,,,,catch,0,0,,0,0,1.89,,
42,2,True,1,13,0,11,0,,,,catch,0,0,,0,0,2.75,,
43,2,True,0,14,0,24,1,,,,catch,0,0,,0,0,2.13,,
44,2,True,0,14,1,12,0,,,,catch,0,0,,0,0,2.84,,
45,2,True,0,15,0,18,1,,,,catch,0,0,,0,0,2.37,,
46,2,True,1,15,0,27,0,,,,catch,0,0,,0,0,2.25,,
47,2,True,0,15,0,31,1,,,,catch,0,0,,0,0,1.92,,
48,2,True,0,15,0,21,1,,,,catch,0,0,,0,0,2.92,,
49,2,True,0,14,0,21,1,,,,catch,0,0,,0,0,2.47,,
50,2,True,0,14,0,22,1,,,,catch,0,0,,0,0,3.39,,
51,2,True,1,13,1,16,1,,,,catch,0,0,,0,0,3.58,,
52,2,True,0,13,0,21,1,,,,catch,0,0,,0,0,3.75,,
53,2,True,0,12,1,24,0,,,,catch,0,0,,0,0,2.06,,
54,2,True,0,13,0,30,1,,,,catch,0,0,,0,0,2.18,,
55,2,True,0,13,0,31,1,,,,catch,0,0,,0,0,1.73,,
56,2,True,1,12,0,23,0,,,,catch,0,0,,0,0,21.15,,
