trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,24,1,,,,catch,0,0,,0,0,9.1,,
2,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.69,,
3,1,True,0,15,0,29,1,,,,catch,0,0,,0,0,8.41,,
4,1,True,1,14,1,9,1,,,,catch,0,0,,0,0,4.38,,
5,1,True,1,14,1,11,1,,,,catch,0,0,,0,0,2.09,,
6,1,True,0,13,0,26,1,,,,catch,0,0,,0,0,1.98,,
7,1,True,1,13,0,30,0,,,,catch,0,0,,0,0,2.93,,
8,1,True,1,14,0,27,0,,,,catch,0,0,,0,0,3.1,,
9,1,True,0,15,0,32,1,,,,catch,0,0,,0,0,2.51,,
10,1,True,0,15,0,27,1,,,,catch,0,0,,0,0,2.61,,
11,1,True,1,14,0,26,0,,,,catch,0,0,,0,0,2.23,,
12,1,True,0,15,0,26,1,,,,catch,0,0,,0,0,6.3,,
13,1,True,0,15,1,21,0,,,,catch,0,0,,0,0,2.75,,
14,1,True,1,15,0,31,0,,,,catch,0,0,,0,0,4.79,,
15,1,True,0,15,0,26,1,,,,catch,0,0,,0,0,2.02,,
16,1,True,1,15,0,22,0,,,,catch,0,0,,0,0,2.99,,
17,1,True,0,15,0,18,1,,,,catch,0,0,,0,0,1.9,,
18,1,True,1,15,1,21,1,,,,catch,0,0,,0,0,2.01,,
19,1,True,0,14,0,37,1,,,,catch,0,0,,0,0,2.5,,
20,1,True,0,14,0,17,1,,,,catch,0,0,,0,0,2.09,,
21,1,True,0,13,1,21,0,,,,catch,0,0,,0,0,1.87,,
22,1,True,0,14,0,28,1,,,,catch,0,0,,0,0,1.79,,
23,1,True,1,14,1,11,1,,,,catch,0,0,,0,0,2.92,,
24,1,True,0,13,0,31,1,,,,catch,0,0,,0,0,1.59,,
25,1,True,1,13,1,18,1,,,,catch,0,0,,0,0,2.44,,
26,1,True,0,12,0,36,1,,,,catch,0,0,,0,0,1.76,,
27,1,True,0,12,1,9,0,,,,catch,0,0,,0,0,1.86,,
28,1,True,1,13,1,30,1,,,,catch,0,0,,0,0,1.84,,
29,1,True,0,13,1,16,0,,,,catch,0,0,,0,0,2.05,,
30,1,True,0,14,0,26,1,,,,catch,0,0,,0,0,1.89,,
31,2,True,0,14,1,12,0,,,,catch,0,0,,0,0,2.21,,
