trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,5.19,,
2,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,4.13,,
3,1,True,1,15,0,3,0,,,,catch,0,0,,0,0,3.39,,
4,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,2.48,,
5,1,True,0,15,1,9,0,,,,catch,0,0,,0,0,2.42,,
6,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,2.73,,
7,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,2.61,,
8,1,True,0,15,0,5,1,,,,catch,0,0,,0,0,2.11,,
9,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,2.6,,
10,1,True,0,14,1,7,0,,,,catch,0,0,,0,0,3.21,,
11,1,True,1,15,0,2,0,,,,catch,0,0,,0,0,2.84,,
12,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,2.09,,
13,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,1.95,,
14,1,True,1,14,1,8,1,,,,catch,0,0,,0,0,2.3,,
15,1,True,0,14,1,7,0,,,,catch,0,0,,0,0,1.88,,
16,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,1.74,,
17,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,2.46,,
18,1,True,0,15,1,6,0,,,,catch,0,0,,0,0,1.87,,
19,1,True,0,15,1,4,0,,,,catch,0,0,,0,0,2.02,,
20,1,True,1,15,0,10,0,,,,catch,0,0,,0,0,2.58,,
21,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,2.09,,
22,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,1.75,,
23,1,True,0,14,0,9,1,,,,catch,0,0,,0,0,1.83,,
24,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,1.9,,
25,1,True,0,13,1,7,0,,,,catch,0,0,,0,0,1.71,,
26,1,True,0,14,0,12,1,,,,catch,0,0,,0,0,2.23,,
27,1,True,0,14,1,20,0,,,,catch,0,0,,0,0,2.02,,
28,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,2.53,,
29,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,2.37,,
30,1,True,1,14,1,12,1,,,,catch,0,0,,0,0,1.89,,
31,2,True,1,14,1,6,1,,,,catch,0,0,,0,0,1.9,,
32,2,True,1,13,0,14,0,,,,catch,0,0,,0,0,2.46,,
33,2,True,0,14,1,10,0,,,,catch,0,0,,0,0,1.9,,
34,2,True,0,15,1,11,0,,,,catch,0,0,,0,0,1.8,,
35,2,True,1,15,1,15,1,,,,catch,0,0,,0,0,2.43,,
36,2,True,1,15,1,6,1,,,,catch,0,0,,0,0,2.1,,
37,2,True,0,14,1,10,0,,,,catch,0,0,,0,0,2.25,,
38,2,True,0,15,1,3,0,,,,catch,0,0,,0,0,2.24,,
39,2,True,0,15,1,11,0,,,,catch,0,0,,0,0,1.8,,
40,2,True,0,15,0,8,1,,,,catch,0,0,,0,0,2.0,,
41,2,True,1,15,1,21,1,,,,catch,0,0,,0,0,2.04,,
42,2,True,0,14,1,8,0,,,,catch,0,0,,0,0,1.87,,
43,2,True,1,15,1,11,1,,,,catch,0,0,,0,0,1.87,,
44,2,True,1,15,1,7,1,,,,catch,0,0,,0,0,2.08,,
45,2,True,0,14,0,8,1,,,,catch,0,0,,0,0,1.82,,
46,2,True,1,14,1,17,1,,,,catch,0,0,,0,0,1.69,,
47,2,True,1,13,1,16,1,,,,catch,0,0,,0,0,1.63,,
48,2,True,0,13,1,9,0,,,,catch,0,0,,0,0,1.95,,
49,2,True,0,14,1,10,0,,,,catch,0,0,,0,0,1.91,,
50,2,True,1,15,1,5,1,,,,catch,0,0,,0,0,2.4,,
51,2,True,0,15,0,11,1,,,,catch,0,0,,0,0,2.26,,
52,2,True,1,14,1,18,1,,,,catch,0,0,,0,0,1.89,,
