trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,5.51,,
2,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,3.36,,
3,1,True,0,15,1,15,0,,,,catch,0,0,,0,0,2.87,,
4,1,True,0,15,0,17,1,,,,catch,0,0,,0,0,3.81,,
5,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,2.92,,
6,1,True,0,14,1,20,0,,,,catch,0,0,,0,0,2.62,,
7,1,True,0,15,0,22,1,,,,catch,0,0,,0,0,4.25,,
8,1,True,0,15,1,31,0,,,,catch,0,0,,0,0,3.09,,
9,1,True,1,15,1,13,1,,,,catch,0,0,,0,0,4.53,,
10,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,3.43,,
11,1,True,0,14,1,17,0,,,,catch,0,0,,0,0,4.18,,
12,1,True,0,15,1,16,0,,,,catch,0,0,,0,0,3.44,,
13,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,3.02,,
14,1,True,0,15,1,19,0,,,,catch,0,0,,0,0,3.03,,
15,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,2.49,,
16,1,True,0,15,1,11,0,,,,catch,0,0,,0,0,2.59,,
17,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,3.01,,
18,1,True,0,15,1,12,0,,,,catch,0,0,,0,0,2.84,,
19,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,3.11,,
20,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,3.34,,
21,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,2.4,,
22,1,True,1,15,0,12,0,,,,catch,0,0,,0,0,3.44,,
23,1,True,1,15,1,13,1,,,,catch,0,0,,0,0,2.97,,
24,1,True,1,15,1,19,1,,,,catch,0,0,,0,0,4.84,,
25,1,True,1,14,0,18,0,,,,catch,0,0,,0,0,4.12,,
26,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,3.38,,
27,1,True,0,15,0,22,1,,,,catch,0,0,,0,0,3.47,,
28,1,True,1,14,1,22,1,,,,catch,0,0,,0,0,2.77,,
29,1,True,0,14,0,20,1,,,,catch,0,0,,0,0,3.54,,
30,1,True,1,13,1,24,1,,,,catch,0,0,,0,0,2.61,,
31,2,True,0,13,1,8,0,,,,catch,0,0,,0,0,2.97,,
32,2,True,0,14,0,19,1,,,,catch,0,0,,0,0,3.13,,
33,2,True,0,14,1,13,0,,,,catch,0,0,,0,0,3.82,,
34,2,True,0,15,0,19,1,,,,catch,0,0,,0,0,3.06,,
35,2,True,1,15,0,15,0,,,,catch,0,0,,0,0,3.52,,
36,2,True,1,15,1,19,1,,,,catch,0,0,,0,0,2.87,,
37,2,True,1,15,0,15,0,,,,catch,0,0,,0,0,2.74,,
38,2,True,1,15,1,18,1,,,,catch,0,0,,0,0,3.09,,
39,2,True,1,15,0,24,0,,,,catch,0,0,,0,0,3.88,,
40,2,True,1,15,0,46,0,,,,catch,0,0,,0,0,10.76,,
