trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,3.43,,
2,1,True,1,15,0,16,0,,,,catch,0,0,,0,0,3.8,,
3,1,True,1,15,0,37,0,,,,catch,0,0,,0,0,3.64,,
4,1,True,0,15,0,44,1,,,,catch,0,0,,0,0,2.35,,
5,1,True,1,15,0,30,0,,,,catch,0,0,,0,0,2.2,,
6,1,True,0,15,0,30,1,,,,catch,0,0,,0,0,2.03,,
7,1,True,1,15,1,22,1,,,,catch,0,0,,0,0,2.03,,
8,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,2.84,,
9,1,True,0,14,0,18,1,,,,catch,0,0,,0,0,2.6,,
10,1,True,1,13,1,29,1,,,,catch,0,0,,0,0,2.11,,
11,1,True,1,13,1,14,1,,,,catch,0,0,,0,0,2.4,,
12,1,True,1,12,0,38,0,,,,catch,0,0,,0,0,1.69,,
13,1,True,1,13,0,24,0,,,,catch,0,0,,0,0,1.66,,
14,1,True,1,14,0,28,0,,,,catch,0,0,,0,0,2.09,,
15,1,True,1,15,0,20,0,,,,catch,0,0,,0,0,2.02,,
16,1,True,1,15,0,22,0,,,,catch,0,0,,0,0,1.91,,
17,1,True,0,15,0,46,1,,,,catch,0,0,,0,0,2.47,,
18,1,True,1,15,1,24,1,,,,catch,0,0,,0,0,1.76,,
19,1,True,1,14,1,7,1,,,,catch,0,0,,0,0,1.88,,
20,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,2.05,,
21,1,True,0,13,0,11,1,,,,catch,0,0,,0,0,1.72,,
22,1,True,1,13,1,19,1,,,,catch,0,0,,0,0,1.84,,
23,1,True,1,12,0,34,0,,,,catch,0,0,,0,0,1.6,,
24,1,True,0,13,0,38,1,,,,catch,0,0,,0,0,1.45,,
25,1,True,1,13,1,18,1,,,,catch,0,0,,0,0,1.32,,
26,1,True,1,12,1,19,1,,,,catch,0,0,,0,0,1.68,,
27,1,True,0,12,0,35,1,,,,catch,0,0,,0,0,1.62,,
28,1,True,1,11,0,8,0,,,,catch,0,0,,0,0,2.07,,
29,1,True,1,12,1,18,1,,,,catch,0,0,,0,0,3.25,,
30,1,True,1,12,0,32,0,,,,catch,0,0,,0,0,1.55,,
31,2,True,1,13,0,17,0,,,,catch,0,0,,0,0,1.7,,
32,2,True,1,14,0,37,0,,,,catch,0,0,,0,0,1.77,,
33,2,True,1,15,0,29,0,,,,catch,0,0,,0,0,1.49,,
34,2,True,0,15,0,22,1,,,,catch,0,0,,0,0,1.7,,
35,2,True,1,15,0,12,0,,,,catch,0,0,,0,0,1.52,,
36,2,True,1,15,1,8,1,,,,catch,0,0,,0,0,1.43,,
37,2,True,0,15,0,19,1,,,,catch,0,0,,0,0,1.37,,
38,2,True,1,14,1,34,1,,,,catch,0,0,,0,0,1.51,,
39,2,True,1,14,1,16,1,,,,catch,0,0,,0,0,1.47,,
40,2,True,0,13,1,15,0,,,,catch,0,0,,0,0,1.18,,
41,2,True,0,14,0,28,1,,,,catch,0,0,,0,0,1.84,,
42,2,True,1,14,1,14,1,,,,catch,0,0,,0,0,1.22,,
43,2,True,0,13,0,50,1,,,,catch,0,0,,0,0,1.62,,
44,2,True,1,13,1,11,1,,,,catch,0,0,,0,0,1.5,,
45,2,True,0,12,1,19,0,,,,catch,0,0,,0,0,2.93,,
46,2,True,0,13,0,11,1,,,,catch,0,0,,0,0,1.85,,
47,2,True,0,13,0,26,1,,,,catch,0,0,,0,0,1.68,,
48,2,True,1,12,1,43,1,,,,catch,0,0,,0,0,1.92,,
49,2,True,1,12,1,37,1,,,,catch,0,0,,0,0,1.93,,
50,2,True,1,11,0,7,0,,,,catch,0,0,,0,0,1.92,,
51,2,True,0,12,1,12,0,,,,catch,0,0,,0,0,1.2,,
52,2,True,1,13,0,19,0,,,,catch,0,0,,0,0,1.27,,
53,2,True,0,14,0,28,1,,,,catch,0,0,,0,0,1.5,,
54,2,True,1,14,1,32,1,,,,catch,0,0,,0,0,1.56,,
55,2,True,0,13,0,14,1,,,,catch,0,0,,0,0,1.69,,
