trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,3.2,,
2,1,True,1,15,0,4,0,,,,catch,0,0,,0,0,4.35,,
3,1,True,0,15,0,15,1,,,,catch,0,0,,0,0,2.81,,
4,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,4.37,,
5,1,True,0,14,0,25,1,,,,catch,0,0,,0,0,2.07,,
6,1,True,0,14,0,19,1,,,,catch,0,0,,0,0,2.33,,
7,1,True,1,13,1,12,1,,,,catch,0,0,,0,0,2.23,,
8,1,True,0,13,0,5,1,,,,catch,0,0,,0,0,2.07,,
9,1,True,1,12,1,11,1,,,,catch,0,0,,0,0,2.74,,
10,1,True,0,12,1,6,0,,,,catch,0,0,,0,0,2.5,,
11,1,True,0,13,0,18,1,,,,catch,0,0,,0,0,2.4,,
12,1,True,1,13,1,4,1,,,,catch,0,0,,0,0,1.99,,
13,1,True,0,12,1,16,0,,,,catch,0,0,,0,0,3.49,,
14,1,True,0,13,0,32,1,,,,catch,0,0,,0,0,2.39,,
15,1,True,1,13,1,42,1,,,,catch,0,0,,0,0,1.96,,
16,1,True,0,12,1,6,0,,,,catch,0,0,,0,0,2.2,,
17,1,True,0,13,0,7,1,,,,catch,0,0,,0,0,1.79,,
18,1,True,0,13,0,12,1,,,,catch,0,0,,0,0,4.45,,
19,1,True,1,12,1,13,1,,,,catch,0,0,,0,0,2.06,,
20,1,True,1,12,1,15,1,,,,catch,0,0,,0,0,2.4,,
21,1,True,0,11,0,8,1,,,,catch,0,0,,0,0,2.48,,
22,1,True,0,11,1,8,0,,,,catch,0,0,,0,0,2.68,,
23,1,True,0,12,1,7,0,,,,catch,0,0,,0,0,1.65,,
24,1,True,1,13,1,22,1,,,,catch,0,0,,0,0,2.03,,
25,1,True,0,13,1,4,0,,,,catch,0,0,,0,0,4.77,,
26,1,True,1,14,1,32,1,,,,catch,0,0,,0,0,1.93,,
27,1,True,1,14,1,24,1,,,,catch,0,0,,0,0,1.82,,
28,1,True,0,13,0,3,1,,,,catch,0,0,,0,0,2.24,,
29,1,True,1,13,1,20,1,,,,catch,0,0,,0,0,1.82,,
30,1,True,1,12,1,8,1,,,,catch,0,0,,0,0,2.06,,
31,2,True,1,12,1,19,1,,,,catch,0,0,,0,0,1.71,,
32,2,True,0,11,0,5,1,,,,catch,0,0,,0,0,1.91,,
33,2,True,0,11,1,8,0,,,,catch,0,0,,0,0,1.79,,
34,2,True,0,12,1,22,0,,,,catch,0,0,,0,0,2.2,,
35,2,True,1,13,1,38,1,,,,catch,0,0,,0,0,1.59,,
36,2,True,0,13,1,2,0,,,,catch,0,0,,0,0,2.57,,
37,2,True,0,14,0,18,1,,,,catch,0,0,,0,0,1.71,,
38,2,True,1,14,1,14,1,,,,catch,0,0,,0,0,1.75,,
39,2,True,0,13,0,5,1,,,,catch,0,0,,0,0,2.71,,
40,2,True,1,13,1,19,1,,,,catch,0,0,,0,0,1.77,,
41,2,True,1,12,0,10,0,,,,catch,0,0,,0,0,2.0,,
42,2,True,1,13,1,14,1,,,,catch,0,0,,0,0,1.88,,
43,2,True,1,13,1,21,1,,,,catch,0,0,,0,0,2.83,,
44,2,True,1,12,1,10,1,,,,catch,0,0,,0,0,2.46,,
45,2,True,0,12,0,30,1,,,,catch,0,0,,0,0,1.92,,
46,2,True,0,11,0,6,1,,,,catch,0,0,,0,0,2.51,,
47,2,True,1,11,0,8,0,,,,catch,0,0,,0,0,2.37,,
48,2,True,0,12,1,21,0,,,,catch,0,0,,0,0,2.4,,
49,2,True,1,13,1,22,1,,,,catch,0,0,,0,0,2.35,,
50,2,True,0,13,1,5,0,,,,catch,0,0,,0,0,1.68,,
51,2,True,1,14,0,6,0,,,,catch,0,0,,0,0,2.88,,
52,2,True,0,15,0,14,1,,,,catch,0,0,,0,0,2.07,,
53,2,True,0,15,0,14,1,,,,catch,0,0,,0,0,2.78,,
54,2,True,1,14,1,14,1,,,,catch,0,0,,0,0,3.09,,
55,2,True,1,14,1,22,1,,,,catch,0,0,,0,0,1.96,,
56,2,True,1,13,1,39,1,,,,catch,0,0,,0,0,1.97,,
57,2,True,1,13,1,17,1,,,,catch,0,0,,0,0,2.21,,
58,2,True,0,12,0,18,1,,,,catch,0,0,,0,0,1.84,,
59,2,True,0,12,0,11,1,,,,catch,0,0,,0,0,1.93,,
60,2,True,0,11,0,2,1,,,,catch,0,0,,0,0,3.3,,
61,3,True,1,11,0,7,0,,,,catch,0,0,,0,0,1.81,,
62,3,True,0,12,0,5,1,,,,catch,0,0,,0,0,2.17,,
63,3,True,0,12,0,18,1,,,,catch,0,0,,0,0,1.74,,
64,3,True,0,11,1,9,0,,,,catch,0,0,,0,0,1.76,,
65,3,True,0,12,0,5,1,,,,catch,0,0,,0,0,1.9,,
