trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,32.34,,
2,1,True,1,15,0,3,0,,,,catch,0,0,,0,0,6.37,,
3,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,8.85,,
4,1,True,0,15,1,12,0,,,,catch,0,0,,0,0,6.62,,
5,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,4.01,,
6,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,3.41,,
7,1,True,0,14,0,22,1,,,,catch,0,0,,0,0,3.85,,
8,1,True,1,14,1,14,1,,,,catch,0,0,,0,0,2.25,,
9,1,True,1,13,1,14,1,,,,catch,0,0,,0,0,2.45,,
10,1,True,1,13,1,30,1,,,,catch,0,0,,0,0,2.54,,
11,1,True,1,12,1,23,1,,,,catch,0,0,,0,0,2.3,,
12,1,True,0,12,0,24,1,,,,catch,0,0,,0,0,2.76,,
13,1,True,1,11,1,18,1,,,,catch,0,0,,0,0,2.39,,
14,1,True,0,11,1,17,0,,,,catch,0,0,,0,0,2.15,,
15,1,True,0,12,0,20,1,,,,catch,0,0,,0,0,3.88,,
16,1,True,1,12,1,22,1,,,,catch,0,0,,0,0,2.41,,
17,1,True,0,11,0,23,1,,,,catch,0,0,,0,0,2.53,,
18,1,True,0,11,0,24,1,,,,catch,0,0,,0,0,2.21,,
19,1,True,0,10,0,25,1,,,,catch,0,0,,0,0,2.13,,
20,1,True,1,10,0,34,0,,,,catch,0,0,,0,0,2.14,,
21,1,True,0,11,1,7,0,,,,catch,0,0,,0,0,5.09,,
22,1,True,0,12,1,13,0,,,,catch,0,0,,0,0,6.21,,
23,1,True,1,13,0,25,0,,,,catch,0,0,,0,0,3.39,,
24,1,True,1,14,0,23,0,,,,catch,0,0,,0,0,2.57,,
25,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.12,,
26,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.5,,
27,1,True,0,14,1,19,0,,,,catch,0,0,,0,0,2.12,,
28,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.51,,
29,1,True,0,15,0,23,1,,,,catch,0,0,,0,0,3.17,,
30,1,True,1,14,1,21,1,,,,catch,0,0,,0,0,2.09,,
31,2,True,1,14,1,10,1,,,,catch,0,0,,0,0,3.5,,
32,2,True,0,13,0,15,1,,,,catch,0,0,,0,0,2.78,,
33,2,True,0,13,1,13,0,,,,catch,0,0,,0,0,2.07,,
34,2,True,0,14,0,15,1,,,,catch,0,0,,0,0,2.6,,
35,2,True,1,14,1,16,1,,,,catch,0,0,,0,0,2.23,,
36,2,True,1,13,1,16,1,,,,catch,0,0,,0,0,3.08,,
37,2,True,0,13,0,18,1,,,,catch,0,0,,0,0,2.81,,
38,2,True,0,12,1,17,0,,,,catch,0,0,,0,0,1.91,,
39,2,True,1,13,1,17,1,,,,catch,0,0,,0,0,2.12,,
40,2,True,0,13,1,14,0,,,,catch,0,0,,0,0,2.29,,
41,2,True,1,14,1,17,1,,,,catch,0,0,,0,0,1.99,,
42,2,True,0,14,0,27,1,,,,catch,0,0,,0,0,3.52,,
43,2,True,0,13,0,25,1,,,,catch,0,0,,0,0,2.12,,
44,2,True,1,13,1,33,1,,,,catch,0,0,,0,0,2.05,,
45,2,True,1,12,1,31,1,,,,catch,0,0,,0,0,2.06,,
