trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,3,0,,,,catch,0,0,,0,0,11.91,,
2,1,True,0,15,0,15,1,,,,catch,0,0,,0,0,10.75,,
3,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,10.36,,
4,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,4.59,,
5,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,8.62,,
6,1,True,0,15,0,17,1,,,,catch,0,0,,0,0,4.15,,
7,1,True,0,14,0,28,1,,,,catch,0,0,,0,0,5.64,,
8,1,True,1,14,0,17,0,,,,catch,0,0,,0,0,4.44,,
9,1,True,1,15,0,28,0,,,,catch,0,0,,0,0,17.35,,
10,1,True,0,15,1,17,0,,,,catch,0,0,,0,0,4.76,,
11,1,True,1,15,0,17,0,,,,catch,0,0,,0,0,4.18,,
12,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,6.67,,
13,1,True,0,15,1,14,0,,,,catch,0,0,,0,0,3.86,,
14,1,True,1,15,0,14,0,,,,catch,0,0,,0,0,5.09,,
15,1,True,1,15,0,19,0,,,,catch,0,0,,0,0,4.86,,
16,1,True,1,15,0,15,0,,,,catch,0,0,,0,0,4.01,,
17,1,True,1,15,0,24,0,,,,catch,0,0,,0,0,3.33,,
18,1,True,1,15,0,28,0,,,,catch,0,0,,0,0,8.07,,
19,1,True,0,15,1,22,0,,,,catch,0,0,,0,0,7.77,,
20,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,4.29,,
21,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,7.96,,
22,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,4.11,,
23,1,True,1,14,0,11,0,,,,catch,0,0,,0,0,5.09,,
24,1,True,1,15,0,4,0,,,,catch,0,0,,0,0,7.64,,
25,1,True,0,15,1,19,0,,,,catch,0,0,,0,0,5.95,,
26,1,True,0,15,1,16,0,,,,catch,0,0,,0,0,3.48,,
27,1,True,0,15,1,22,0,,,,catch,0,0,,0,0,2.52,,
28,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,3.22,,
29,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,5.52,,
30,1,True,1,14,1,11,1,,,,catch,0,0,,0,0,4.69,,
31,2,True,1,14,1,10,1,,,,catch,0,0,,0,0,2.99,,
32,2,True,0,13,0,14,1,,,,catch,0,0,,0,0,5.8,,
33,2,True,1,13,1,7,1,,,,catch,0,0,,0,0,3.06,,
34,2,True,1,12,1,11,1,,,,catch,0,0,,0,0,3.45,,
35,2,True,1,12,0,5,0,,,,catch,0,0,,0,0,2.85,,
36,2,True,1,13,1,12,1,,,,catch,0,0,,0,0,3.6,,
37,2,True,0,13,1,9,0,,,,catch,0,0,,0,0,2.86,,
38,2,True,1,14,0,11,0,,,,catch,0,0,,0,0,2.92,,
39,2,True,0,15,0,10,1,,,,catch,0,0,,0,0,3.28,,
40,2,True,1,15,0,22,0,,,,catch,0,0,,0,0,4.58,,
41,2,True,0,15,1,9,0,,,,catch,0,0,,0,0,3.4,,
42,2,True,1,15,0,6,0,,,,catch,0,0,,0,0,2.58,,
43,2,True,0,15,0,5,1,,,,catch,0,0,,0,0,3.65,,
44,2,True,0,15,0,6,1,,,,catch,0,0,,0,0,3.72,,
45,2,True,1,14,1,6,1,,,,catch,0,0,,0,0,2.98,,
46,2,True,0,14,0,8,1,,,,catch,0,0,,0,0,3.0,,
47,2,True,1,13,0,10,0,,,,catch,0,0,,0,0,3.66,,
48,2,True,0,14,1,5,0,,,,catch,0,0,,0,0,3.87,,
49,2,True,1,15,0,7,0,,,,catch,0,0,,0,0,3.19,,
50,2,True,0,15,0,7,1,,,,catch,0,0,,0,0,2.6,,
51,2,True,0,15,1,8,0,,,,catch,0,0,,0,0,3.53,,
52,2,True,0,15,0,8,1,,,,catch,0,0,,0,0,2.79,,
53,2,True,0,15,0,6,1,,,,catch,0,0,,0,0,4.22,,
54,2,True,0,14,1,13,0,,,,catch,0,0,,0,0,3.59,,
55,2,True,0,15,0,7,1,,,,catch,0,0,,0,0,4.84,,
56,2,True,1,15,0,7,0,,,,catch,0,0,,0,0,3.12,,
57,2,True,0,15,0,16,1,,,,catch,0,0,,0,0,4.4,,
58,2,True,1,15,0,12,0,,,,catch,0,0,,0,0,3.32,,
59,2,True,0,15,0,8,1,,,,catch,0,0,,0,0,3.91,,
60,2,True,0,15,1,8,0,,,,catch,0,0,,0,0,38.36,,
61,3,True,0,15,0,29,1,,,,catch,0,0,,0,0,3.29,,
62,3,True,0,15,0,12,1,,,,catch,0,0,,0,0,3.18,,
63,3,True,0,14,1,17,0,,,,catch,0,0,,0,0,3.26,,
64,3,True,0,15,1,9,0,,,,catch,0,0,,0,0,10.55,,
65,3,True,0,15,0,8,1,,,,catch,0,0,,0,0,2.96,,
66,3,True,0,15,0,11,1,,,,catch,0,0,,0,0,5.9,,
67,3,True,0,14,1,5,0,,,,catch,0,0,,0,0,4.4,,
68,3,True,0,15,0,19,1,,,,catch,0,0,,0,0,3.26,,
69,3,True,1,15,0,20,0,,,,catch,0,0,,0,0,3.07,,
70,3,True,0,15,0,12,1,,,,catch,0,0,,0,0,56.15,,
71,3,True,1,15,1,9,1,,,,catch,0,0,,0,0,2.82,,
72,3,True,0,14,0,4,1,,,,catch,0,0,,0,0,3.64,,
73,3,True,1,14,0,9,0,,,,catch,0,0,,0,0,3.8,,
74,3,True,1,15,0,12,0,,,,catch,0,0,,0,0,30.76,,
75,3,True,0,15,1,20,0,,,,catch,0,0,,0,0,2.82,,
76,3,True,1,15,1,6,1,,,,catch,0,0,,0,0,2.98,,
77,3,True,1,15,0,8,0,,,,catch,0,0,,0,0,3.09,,
78,3,True,1,15,1,31,1,,,,catch,0,0,,0,0,4.64,,
79,3,True,1,15,0,15,0,,,,catch,0,0,,0,0,25.48,,
80,3,True,1,15,1,12,1,,,,catch,0,0,,0,0,3.69,,
81,3,True,1,15,0,11,0,,,,catch,0,0,,0,0,22.29,,
82,3,True,1,15,1,14,1,,,,catch,0,0,,0,0,3.27,,
83,3,True,0,15,1,10,0,,,,catch,0,0,,0,0,2.7,,
84,3,True,1,15,0,14,0,,,,catch,0,0,,0,0,3.04,,
85,3,True,0,15,0,7,1,,,,catch,0,0,,0,0,3.0,,
86,3,True,1,15,1,3,1,,,,catch,0,0,,0,0,3.71,,
87,3,True,1,14,1,22,1,,,,catch,0,0,,0,0,3.6,,
88,3,True,0,14,0,8,1,,,,catch,0,0,,0,0,3.89,,
89,3,True,0,13,1,17,0,,,,catch,0,0,,0,0,3.13,,
90,3,True,1,14,0,13,0,,,,catch,0,0,,0,0,20.58,,
91,4,False,0,15,1,16,0,0,6,1,force,2,0,1,0,0,4.46,13.44,14.45
92,4,False,1,15,1,6,1,1,7,1,force,1,0,1,1,0,6.28,9.6,10.61
93,4,False,0,15,1,9,0,1,16,0,force,2,0,1,0,0,4.08,4.75,5.75
94,4,False,1,15,0,6,0,1,5,1,force,1,0,1,1,0,5.71,4.74,5.74
95,4,False,0,15,0,15,1,0,17,1,choice,2,1,0,1,0,4.29,3.36,9.5
96,4,False,0,15,1,12,0,0,13,1,choice,1,2,0,1,0,3.03,6.44,11.03
97,4,False,0,15,0,9,1,1,4,0,choice,2,2,1,0,0,2.62,3.48,5.66
