trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,12.11,,
2,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,3.86,,
3,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,3.05,,
4,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,1.86,,
5,1,True,1,14,0,1,0,,,,catch,0,0,,0,0,3.42,,
6,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,3.68,,
7,1,True,1,15,1,42,1,,,,catch,0,0,,0,0,3.1,,
8,1,True,1,14,1,43,1,,,,catch,0,0,,0,0,2.37,,
9,1,True,0,14,0,45,1,,,,catch,0,0,,0,0,2.79,,
10,1,True,1,13,0,44,0,,,,catch,0,0,,0,0,1.94,,
11,1,True,1,14,0,48,0,,,,catch,0,0,,0,0,2.72,,
12,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,1.89,,
13,1,True,1,15,0,47,0,,,,catch,0,0,,0,0,2.27,,
14,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,1.69,,
15,1,True,0,15,0,2,1,,,,catch,0,0,,0,0,1.56,,
16,1,True,0,14,0,2,1,,,,catch,0,0,,0,0,1.41,,
17,1,True,1,14,0,3,0,,,,catch,0,0,,0,0,1.33,,
18,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,1.63,,
19,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,2.64,,
20,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.69,,
21,1,True,1,14,1,50,1,,,,catch,0,0,,0,0,2.08,,
22,1,True,1,14,0,4,0,,,,catch,0,0,,0,0,1.28,,
23,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,0.98,,
24,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,1.98,,
25,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,1.12,,
26,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,3.37,,
27,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,1.62,,
28,1,True,0,14,0,4,1,,,,catch,0,0,,0,0,3.45,,
29,1,True,1,13,0,50,0,,,,catch,0,0,,0,0,1.47,,
30,1,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.8,,
31,2,True,1,14,1,50,1,,,,catch,0,0,,0,0,1.6,,
32,2,True,1,13,0,1,0,,,,catch,0,0,,0,0,1.44,,
33,2,True,0,14,0,10,1,,,,catch,0,0,,0,0,1.08,,
34,2,True,1,14,0,50,0,,,,catch,0,0,,0,0,2.4,,
35,2,True,1,15,1,50,1,,,,catch,0,0,,0,0,1.38,,
36,2,True,1,15,1,3,1,,,,catch,0,0,,0,0,1.41,,
37,2,True,0,14,1,50,0,,,,catch,0,0,,0,0,1.96,,
38,2,True,0,15,0,2,1,,,,catch,0,0,,0,0,1.08,,
39,2,True,0,15,0,3,1,,,,catch,0,0,,0,0,1.77,,
40,2,True,1,14,0,2,0,,,,catch,0,0,,0,0,1.77,,
41,2,True,1,15,1,3,1,,,,catch,0,0,,0,0,1.41,,
42,2,True,0,15,0,3,1,,,,catch,0,0,,0,0,0.94,,
43,2,True,0,14,0,6,1,,,,catch,0,0,,0,0,1.34,,
44,2,True,0,14,1,4,0,,,,catch,0,0,,0,0,1.3,,
45,2,True,1,15,0,4,0,,,,catch,0,0,,0,0,1.05,,
46,2,True,1,15,1,4,1,,,,catch,0,0,,0,0,1.2,,
47,2,True,1,15,1,5,1,,,,catch,0,0,,0,0,2.05,,
48,2,True,0,14,0,7,1,,,,catch,0,0,,0,0,1.6,,
49,2,True,1,14,1,1,1,,,,catch,0,0,,0,0,2.58,,
50,2,True,1,13,0,2,0,,,,catch,0,0,,0,0,1.57,,
51,2,True,1,14,1,11,1,,,,catch,0,0,,0,0,1.57,,
52,2,True,1,14,1,12,1,,,,catch,0,0,,0,0,1.08,,
53,2,True,0,13,1,50,0,,,,catch,0,0,,0,0,2.03,,
54,2,True,1,14,1,2,1,,,,catch,0,0,,0,0,1.2,,
55,2,True,0,14,1,2,0,,,,catch,0,0,,0,0,1.41,,
56,2,True,1,15,0,2,0,,,,catch,0,0,,0,0,1.46,,
57,2,True,0,15,0,1,1,,,,catch,0,0,,0,0,1.32,,
58,2,True,1,15,0,2,0,,,,catch,0,0,,0,0,0.9,,
59,2,True,1,15,1,3,1,,,,catch,0,0,,0,0,1.23,,
60,2,True,0,15,0,3,1,,,,catch,0,0,,0,0,0.82,,
61,3,True,1,14,0,3,0,,,,catch,0,0,,0,0,0.98,,
62,3,True,0,15,0,2,1,,,,catch,0,0,,0,0,0.76,,
63,3,True,1,15,1,2,1,,,,catch,0,0,,0,0,0.97,,
64,3,True,1,14,1,3,1,,,,catch,0,0,,0,0,0.98,,
65,3,True,1,14,1,3,1,,,,catch,0,0,,0,0,0.91,,
66,3,True,0,13,0,2,1,,,,catch,0,0,,0,0,0.8,,
67,3,True,0,13,0,13,1,,,,catch,0,0,,0,0,1.06,,
68,3,True,1,12,0,13,0,,,,catch,0,0,,0,0,0.99,,
69,3,True,1,13,1,13,1,,,,catch,0,0,,0,0,1.64,,
70,3,True,0,13,0,50,1,,,,catch,0,0,,0,0,1.5,,
71,3,True,0,12,0,5,1,,,,catch,0,0,,0,0,1.14,,
72,3,True,0,12,0,50,1,,,,catch,0,0,,0,0,1.78,,
73,3,True,0,11,0,50,1,,,,catch,0,0,,0,0,1.44,,
74,3,True,1,11,0,2,0,,,,catch,0,0,,0,0,0.96,,
75,3,True,0,12,0,50,1,,,,catch,0,0,,0,0,1.8,,
76,3,True,0,12,0,24,1,,,,catch,0,0,,0,0,1.6,,
77,3,True,1,11,1,3,1,,,,catch,0,0,,0,0,1.52,,
78,3,True,1,11,0,48,0,,,,catch,0,0,,0,0,1.38,,
79,3,True,1,12,0,3,0,,,,catch,0,0,,0,0,1.02,,
80,3,True,0,13,1,2,0,,,,catch,0,0,,0,0,0.76,,
81,3,True,0,14,0,4,1,,,,catch,0,0,,0,0,0.9,,
82,3,True,0,14,1,3,0,,,,catch,0,0,,0,0,0.94,,
83,3,True,0,15,0,2,1,,,,catch,0,0,,0,0,1.06,,
84,3,True,0,15,0,3,1,,,,catch,0,0,,0,0,0.71,,
85,3,True,0,14,1,1,0,,,,catch,0,0,,0,0,1.38,,
86,3,True,0,15,0,3,1,,,,catch,0,0,,0,0,0.7,,
87,3,True,0,15,0,10,1,,,,catch,0,0,,0,0,1.56,,
88,3,True,0,14,0,9,1,,,,catch,0,0,,0,0,0.91,,
89,3,True,0,14,1,6,0,,,,catch,0,0,,0,0,0.92,,
90,3,True,0,15,0,9,1,,,,catch,0,0,,0,0,0.63,,
91,4,False,0,15,0,7,1,0,7,1,choice,1,1,0,1,0,1.82,5.93,7.96
92,4,False,0,15,0,8,1,0,27,1,force,2,0,0,1,0,2.49,7.2,8.2
93,4,False,0,15,0,7,1,0,40,1,choice,1,2,0,1,0,1.31,1.93,4.08
94,4,False,0,15,0,50,1,0,50,1,force,1,0,0,1,0,2.14,1.33,2.34
95,4,False,0,15,0,13,1,0,30,1,force,2,0,0,1,0,1.66,2.31,3.31
96,4,False,1,15,1,17,1,1,36,1,choice,1,1,1,1,0,2.42,3.03,5.03
97,4,False,0,15,1,12,0,1,44,0,choice,2,1,1,0,0,3.8,2.53,4.57
98,4,False,0,15,0,34,1,0,36,1,choice,1,1,0,1,0,2.23,2.42,4.42
99,4,False,1,15,0,7,0,0,29,0,choice,2,2,0,0,0,2.81,1.57,3.81
100,4,False,1,15,1,13,1,1,17,1,choice,1,2,0,0,0,1.18,2.32,4.22
