trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,6,0,,,,catch,0,0,,0,0,11.41,,
2,1,True,1,15,0,5,0,,,,catch,0,0,,0,0,5.62,,
3,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,7.4,,
4,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,6.93,,
5,1,True,1,14,1,21,1,,,,catch,0,0,,0,0,2.41,,
6,1,True,1,14,1,27,1,,,,catch,0,0,,0,0,2.0,,
7,1,True,0,13,0,32,1,,,,catch,0,0,,0,0,2.14,,
8,1,True,0,13,0,28,1,,,,catch,0,0,,0,0,3.48,,
9,1,True,0,12,1,4,0,,,,catch,0,0,,0,0,3.03,,
10,1,True,1,13,1,21,1,,,,catch,0,0,,0,0,2.28,,
11,1,True,1,13,1,19,1,,,,catch,0,0,,0,0,1.63,,
12,1,True,0,12,0,23,1,,,,catch,0,0,,0,0,2.27,,
13,1,True,0,12,1,6,0,,,,catch,0,0,,0,0,2.21,,
14,1,True,1,13,1,20,1,,,,catch,0,0,,0,0,1.73,,
15,1,True,0,13,0,21,1,,,,catch,0,0,,0,0,1.7,,
16,1,True,0,12,0,4,1,,,,catch,0,0,,0,0,2.46,,
17,1,True,0,12,0,23,1,,,,catch,0,0,,0,0,1.71,,
18,1,True,1,11,1,24,1,,,,catch,0,0,,0,0,1.65,,
19,1,True,0,11,1,29,0,,,,catch,0,0,,0,0,2.87,,
20,1,True,1,12,0,3,0,,,,catch,0,0,,0,0,1.76,,
21,1,True,0,13,1,3,0,,,,catch,0,0,,0,0,2.03,,
22,1,True,1,14,1,5,1,,,,catch,0,0,,0,0,1.93,,
23,1,True,0,14,1,4,0,,,,catch,0,0,,0,0,2.54,,
24,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,1.63,,
25,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,2.1,,
26,1,True,1,14,0,9,0,,,,catch,0,0,,0,0,3.88,,
27,1,True,0,15,1,4,0,,,,catch,0,0,,0,0,2.45,,
28,1,True,0,15,0,3,1,,,,catch,0,0,,0,0,1.64,,
29,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,3.99,,
30,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,1.64,,
31,2,True,1,15,0,21,0,,,,catch,0,0,,0,0,3.3,,
32,2,True,1,15,1,27,1,,,,catch,0,0,,0,0,1.96,,
33,2,True,1,15,1,35,1,,,,catch,0,0,,0,0,1.73,,
34,2,True,0,14,0,43,1,,,,catch,0,0,,0,0,2.77,,
35,2,True,1,14,0,4,0,,,,catch,0,0,,0,0,2.66,,
36,2,True,0,15,0,47,1,,,,catch,0,0,,0,0,2.16,,
37,2,True,1,15,1,8,1,,,,catch,0,0,,0,0,1.87,,
38,2,True,0,14,0,31,1,,,,catch,0,0,,0,0,2.76,,
39,2,True,0,14,0,44,1,,,,catch,0,0,,0,0,3.23,,
40,2,True,1,13,1,4,1,,,,catch,0,0,,0,0,1.85,,
41,2,True,0,13,1,6,0,,,,catch,0,0,,0,0,2.85,,
42,2,True,1,14,0,24,0,,,,catch,0,0,,0,0,1.84,,
43,2,True,1,15,1,22,1,,,,catch,0,0,,0,0,1.58,,
44,2,True,0,15,0,13,1,,,,catch,0,0,,0,0,2.08,,
45,2,True,0,14,0,31,1,,,,catch,0,0,,0,0,1.56,,
46,2,True,1,14,1,25,1,,,,catch,0,0,,0,0,2.61,,
47,2,True,0,13,0,4,1,,,,catch,0,0,,0,0,2.84,,
48,2,True,1,13,0,19,0,,,,catch,0,0,,0,0,2.01,,
49,2,True,1,14,1,34,1,,,,catch,0,0,,0,0,2.25,,
50,2,True,0,14,0,50,1,,,,catch,0,0,,0,0,2.54,,
51,2,True,0,13,0,44,1,,,,catch,0,0,,0,0,1.82,,
52,2,True,1,13,1,50,1,,,,catch,0,0,,0,0,2.17,,
53,2,True,0,12,0,18,1,,,,catch,0,0,,0,0,1.98,,
54,2,True,0,12,0,45,1,,,,catch,0,0,,0,0,1.72,,
55,2,True,1,11,1,33,1,,,,catch,0,0,,0,0,1.92,,
56,2,True,0,11,0,28,1,,,,catch,0,0,,0,0,1.52,,
57,2,True,0,10,0,46,1,,,,catch,0,0,,0,0,1.53,,
58,2,True,1,10,0,48,0,,,,catch,0,0,,0,0,1.69,,
59,2,True,0,11,0,50,1,,,,catch,0,0,,0,0,1.91,,
60,2,True,1,11,1,50,1,,,,catch,0,0,,0,0,3.06,,
61,3,True,0,10,1,16,0,,,,catch,0,0,,0,0,1.89,,
62,3,True,0,11,0,15,1,,,,catch,0,0,,0,0,1.56,,
63,3,True,1,11,1,10,1,,,,catch,0,0,,0,0,1.78,,
64,3,True,1,10,0,5,0,,,,catch,0,0,,0,0,2.62,,
65,3,True,1,11,1,28,1,,,,catch,0,0,,0,0,1.76,,
66,3,True,1,11,0,11,0,,,,catch,0,0,,0,0,3.0,,
67,3,True,0,12,1,26,0,,,,catch,0,0,,0,0,1.48,,
68,3,True,0,13,1,13,0,,,,catch,0,0,,0,0,2.85,,
69,3,True,0,14,0,16,1,,,,catch,0,0,,0,0,1.16,,
70,3,True,1,14,1,15,1,,,,catch,0,0,,0,0,1.53,,
71,3,True,0,13,0,48,1,,,,catch,0,0,,0,0,1.71,,
72,3,True,0,13,1,18,0,,,,catch,0,0,,0,0,1.71,,
73,3,True,0,14,0,22,1,,,,catch,0,0,,0,0,1.42,,
74,3,True,0,14,0,25,1,,,,catch,0,0,,0,0,1.61,,
75,3,True,1,13,1,40,1,,,,catch,0,0,,0,0,1.84,,
76,3,True,0,13,0,21,1,,,,catch,0,0,,0,0,1.56,,
77,3,True,1,12,0,14,0,,,,catch,0,0,,0,0,1.95,,
78,3,True,1,13,1,8,1,,,,catch,0,0,,0,0,1.47,,
79,3,True,0,13,0,42,1,,,,catch,0,0,,0,0,2.14,,
80,3,True,1,12,1,38,1,,,,catch,0,0,,0,0,1.94,,
81,3,True,0,12,0,44,1,,,,catch,0,0,,0,0,1.83,,
82,3,True,0,11,0,50,1,,,,catch,0,0,,0,0,2.26,,
83,3,True,1,11,1,5,1,,,,catch,0,0,,0,0,1.88,,
84,3,True,1,10,0,7,0,,,,catch,0,0,,0,0,2.07,,
85,3,True,0,11,0,31,1,,,,catch,0,0,,0,0,2.19,,
86,3,True,0,11,0,41,1,,,,catch,0,0,,0,0,1.62,,
87,3,True,0,10,0,34,1,,,,catch,0,0,,0,0,2.59,,
88,3,True,1,10,1,12,1,,,,catch,0,0,,0,0,1.88,,
89,3,True,0,9,1,42,0,,,,catch,0,0,,0,0,1.98,,
90,3,True,0,10,0,50,1,,,,catch,0,0,,0,0,1.74,,
91,4,False,0,10,1,9,0,0,3,1,choice,2,2,0,1,0,3.91,5.43,7.86
92,4,False,1,10,1,30,1,1,16,1,choice,1,1,0,0,0,3.12,2.78,4.67
93,4,False,1,10,1,6,1,1,24,1,choice,2,1,1,1,0,3.68,4.01,6.17
94,4,False,1,10,1,32,1,1,50,1,choice,1,1,1,1,0,3.19,3.45,5.71
95,4,False,0,10,0,39,1,0,50,1,force,2,0,0,1,0,2.46,2.42,3.42
96,4,False,1,10,1,11,1,1,30,1,choice,2,1,1,1,0,2.92,2.54,4.61
97,4,False,0,10,0,38,1,0,50,1,force,1,0,0,1,0,2.16,2.84,3.85
98,4,False,1,10,1,16,1,1,36,1,force,2,0,1,1,0,2.18,2.17,3.17
99,4,False,0,10,0,28,1,1,3,0,choice,2,2,1,0,0,2.16,4.21,6.47
100,4,False,0,10,0,7,1,1,7,0,force,1,0,1,0,0,2.02,4.04,5.04
101,4,False,1,10,0,11,0,0,3,0,choice,2,1,1,1,0,3.05,3.4,5.56
102,4,False,1,10,0,36,0,0,44,0,choice,1,1,1,1,0,1.66,2.02,4.33
103,4,False,0,10,0,10,1,0,20,1,force,2,0,0,1,0,2.81,1.87,2.88
104,4,False,0,10,1,8,0,0,1,1,choice,2,2,0,1,0,1.43,3.55,5.39
105,4,False,0,10,0,2,1,1,3,0,choice,1,1,1,0,0,3.57,2.56,4.58
106,4,False,1,10,1,30,1,1,50,1,choice,2,2,1,1,0,2.4,2.43,4.05
107,4,False,0,10,0,18,1,0,27,1,choice,1,1,0,1,0,2.08,2.3,4.15
108,4,False,1,10,0,29,0,0,8,0,force,2,0,1,1,0,2.54,7.6,8.61
109,4,False,0,10,0,16,1,0,4,1,force,1,0,1,0,0,1.85,2.1,3.1
110,4,False,0,10,0,6,1,0,50,1,force,2,0,0,1,0,1.76,3.12,4.12
111,4,False,1,10,0,24,0,0,15,0,force,2,0,1,1,0,2.52,3.63,4.64
112,4,False,1,10,1,29,1,0,7,0,choice,2,2,0,0,0,2.19,2.43,4.42
113,4,False,0,10,1,18,0,1,4,0,force,1,0,0,1,0,2.21,2.32,3.32
114,4,False,1,10,0,20,0,0,50,0,choice,2,2,0,0,0,1.41,2.51,4.23
115,4,False,0,10,0,10,1,1,6,0,force,2,0,1,0,0,1.73,2.25,3.26
116,4,False,1,10,1,16,1,1,3,1,choice,2,2,0,0,0,1.2,2.54,4.36
117,4,False,0,10,0,15,1,0,3,1,force,1,0,1,0,0,2.12,2.98,3.99
118,4,False,0,10,1,12,0,1,6,0,choice,1,2,0,1,0,1.51,1.79,3.78
119,4,False,1,10,1,19,1,1,11,1,choice,2,1,0,0,0,1.35,2.39,4.5
120,4,False,0,10,0,11,1,0,18,1,choice,2,1,0,1,0,1.34,2.34,4.44
121,4,False,1,10,1,33,1,1,50,1,choice,1,1,1,1,0,2.17,2.39,4.36
122,4,False,0,10,1,9,0,0,1,1,choice,2,1,0,1,0,2.89,2.29,4.09
123,4,False,0,10,0,24,1,0,9,1,choice,2,2,1,0,0,2.32,2.47,4.36
124,4,False,0,10,0,24,1,0,17,1,choice,1,2,1,0,0,1.73,2.03,4.87
125,4,False,1,10,1,11,1,1,50,1,choice,2,2,1,1,0,1.22,2.92,4.87
126,4,False,1,10,0,11,0,1,12,1,choice,1,2,1,1,0,3.75,2.25,4.34
127,4,False,0,10,1,37,0,1,18,0,force,1,0,0,1,0,1.73,2.54,3.54
128,4,False,1,10,1,19,1,1,50,1,force,2,0,1,1,0,1.5,2.26,3.26
129,4,False,0,10,0,50,1,0,50,1,force,2,0,0,1,0,2.16,2.12,3.13
130,4,False,0,10,0,46,1,0,50,1,force,1,0,0,1,0,2.15,2.78,3.79
131,4,False,1,10,0,50,0,0,50,0,choice,2,2,0,0,0,1.86,2.0,3.98
132,4,False,1,10,1,18,1,1,30,1,force,1,0,1,1,0,1.46,1.9,2.9
133,4,False,0,10,0,15,1,0,31,1,choice,2,2,0,1,0,1.8,1.43,3.4
134,4,False,0,10,0,48,1,0,50,1,choice,1,2,0,1,0,1.69,2.32,4.51
135,4,False,1,10,1,10,1,1,31,1,choice,2,2,1,1,0,1.41,2.41,4.16
136,4,False,0,10,0,14,1,0,31,1,choice,1,2,0,1,0,1.31,3.12,4.82
137,4,False,1,10,1,32,1,1,6,1,force,2,0,0,0,0,2.07,3.75,4.76
138,4,False,0,10,0,4,1,0,15,1,choice,2,1,0,1,0,1.5,3.28,5.17
139,4,False,1,10,1,13,1,1,27,1,choice,1,1,1,1,0,1.76,1.76,3.56
140,4,False,1,10,0,18,0,0,4,0,choice,2,2,1,1,0,1.65,2.07,3.97
141,4,False,1,10,1,30,1,1,9,1,force,1,0,0,0,0,2.23,2.11,3.12
142,4,False,1,10,1,15,1,1,50,1,choice,2,2,1,1,0,1.85,2.35,4.19
143,4,False,1,10,0,29,0,0,20,0,choice,1,2,1,1,0,1.31,2.2,4.15
144,4,False,0,10,1,17,0,0,6,1,choice,1,1,0,1,0,1.41,2.83,4.6
145,4,False,1,10,0,10,0,1,2,1,choice,1,2,1,1,0,1.89,1.86,3.99
146,4,False,1,10,1,23,1,1,48,1,force,2,0,1,1,0,2.87,2.98,3.98
147,4,False,1,10,1,3,1,1,18,1,choice,1,1,1,1,0,1.81,2.34,4.21
