trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,9.74,,
2,1,True,1,15,1,11,1,,,,catch,0,0,,0,0,2.86,,
3,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,2.71,,
4,1,True,0,15,1,9,0,,,,catch,0,0,,0,0,19.19,,
5,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,1.95,,
6,1,True,1,15,1,33,1,,,,catch,0,0,,0,0,1.68,,
7,1,True,0,14,0,32,1,,,,catch,0,0,,0,0,1.54,,
8,1,True,1,14,1,7,1,,,,catch,0,0,,0,0,3.55,,
9,1,True,0,13,0,35,1,,,,catch,0,0,,0,0,1.84,,
10,1,True,0,13,0,37,1,,,,catch,0,0,,0,0,1.43,,
11,1,True,1,12,0,44,0,,,,catch,0,0,,0,0,1.7,,
12,1,True,0,13,0,30,1,,,,catch,0,0,,0,0,3.64,,
13,1,True,1,13,0,24,0,,,,catch,0,0,,0,0,2.1,,
14,1,True,0,14,0,33,1,,,,catch,0,0,,0,0,2.05,,
15,1,True,1,14,1,34,1,,,,catch,0,0,,0,0,1.48,,
16,1,True,1,13,1,36,1,,,,catch,0,0,,0,0,4.27,,
17,1,True,1,13,0,35,0,,,,catch,0,0,,0,0,1.35,,
18,1,True,0,14,0,34,1,,,,catch,0,0,,0,0,8.0,,
19,1,True,0,14,0,40,1,,,,catch,0,0,,0,0,1.57,,
20,1,True,1,13,1,38,1,,,,catch,0,0,,0,0,1.79,,
21,1,True,1,13,1,36,1,,,,catch,0,0,,0,0,9.55,,
22,1,True,0,12,0,37,1,,,,catch,0,0,,0,0,1.43,,
23,1,True,0,12,0,33,1,,,,catch,0,0,,0,0,8.29,,
24,1,True,1,11,0,39,0,,,,catch,0,0,,0,0,1.19,,
25,1,True,1,12,0,42,0,,,,catch,0,0,,0,0,1.19,,
26,1,True,0,13,0,39,1,,,,catch,0,0,,0,0,1.69,,
27,1,True,1,13,0,23,0,,,,catch,0,0,,0,0,1.72,,
28,1,True,0,14,0,36,1,,,,catch,0,0,,0,0,1.64,,
29,1,True,1,14,0,50,0,,,,catch,0,0,,0,0,2.45,,
30,1,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.59,,
31,2,True,0,15,0,38,1,,,,catch,0,0,,0,0,2.22,,
32,2,True,0,15,0,33,1,,,,catch,0,0,,0,0,1.61,,
33,2,True,1,14,0,34,0,,,,catch,0,0,,0,0,2.8,,
34,2,True,1,15,0,29,0,,,,catch,0,0,,0,0,1.72,,
35,2,True,1,15,0,32,0,,,,catch,0,0,,0,0,1.38,,
36,2,True,0,15,0,31,1,,,,catch,0,0,,0,0,1.85,,
37,2,True,1,15,0,33,0,,,,catch,0,0,,0,0,1.27,,
38,2,True,0,15,0,29,1,,,,catch,0,0,,0,0,4.7,,
39,2,True,0,15,0,34,1,,,,catch,0,0,,0,0,2.17,,
40,2,True,1,14,1,35,1,,,,catch,0,0,,0,0,1.16,,
41,2,True,0,14,0,35,1,,,,catch,0,0,,0,0,1.43,,
42,2,True,1,13,1,50,1,,,,catch,0,0,,0,0,2.3,,
43,2,True,0,13,0,50,1,,,,catch,0,0,,0,0,1.49,,
44,2,True,0,12,0,50,1,,,,catch,0,0,,0,0,1.37,,
45,2,True,1,12,1,15,1,,,,catch,0,0,,0,0,1.81,,
46,2,True,1,11,0,7,0,,,,catch,0,0,,0,0,2.11,,
47,2,True,0,12,1,4,0,,,,catch,0,0,,0,0,2.74,,
48,2,True,0,13,0,30,1,,,,catch,0,0,,0,0,2.69,,
49,2,True,0,13,0,40,1,,,,catch,0,0,,0,0,1.54,,
50,2,True,0,12,0,34,1,,,,catch,0,0,,0,0,1.63,,
51,2,True,1,12,1,38,1,,,,catch,0,0,,0,0,1.63,,
52,2,True,1,11,0,35,0,,,,catch,0,0,,0,0,1.44,,
53,2,True,1,12,1,37,1,,,,catch,0,0,,0,0,5.25,,
54,2,True,1,12,0,33,0,,,,catch,0,0,,0,0,1.69,,
55,2,True,0,13,0,50,1,,,,catch,0,0,,0,0,1.67,,
56,2,True,1,13,0,31,0,,,,catch,0,0,,0,0,1.65,,
57,2,True,0,14,0,50,1,,,,catch,0,0,,0,0,1.54,,
58,2,True,1,14,0,13,0,,,,catch,0,0,,0,0,1.73,,
59,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.46,,
60,2,True,0,15,0,11,1,,,,catch,0,0,,0,0,1.35,,
61,3,True,1,14,1,50,1,,,,catch,0,0,,0,0,1.27,,
62,3,True,1,14,1,50,1,,,,catch,0,0,,0,0,1.2,,
63,3,True,1,13,1,23,1,,,,catch,0,0,,0,0,1.78,,
64,3,True,1,13,0,26,0,,,,catch,0,0,,0,0,1.46,,
65,3,True,0,14,1,28,0,,,,catch,0,0,,0,0,1.27,,
66,3,True,1,15,1,29,1,,,,catch,0,0,,0,0,1.3,,
67,3,True,1,15,1,29,1,,,,catch,0,0,,0,0,1.42,,
68,3,True,1,14,0,32,0,,,,catch,0,0,,0,0,1.39,,
69,3,True,1,15,1,28,1,,,,catch,0,0,,0,0,1.2,,
70,3,True,1,15,1,28,1,,,,catch,0,0,,0,0,1.16,,
71,3,True,1,14,1,28,1,,,,catch,0,0,,0,0,1.8,,
72,3,True,0,14,1,28,0,,,,catch,0,0,,0,0,2.48,,
73,3,True,1,15,1,25,1,,,,catch,0,0,,0,0,1.42,,
74,3,True,0,15,0,30,1,,,,catch,0,0,,0,0,1.47,,
75,3,True,0,14,0,32,1,,,,catch,0,0,,0,0,1.29,,
76,3,True,0,14,0,50,1,,,,catch,0,0,,0,0,1.42,,
77,3,True,1,13,1,25,1,,,,catch,0,0,,0,0,1.68,,
78,3,True,0,13,0,35,1,,,,catch,0,0,,0,0,1.19,,
79,3,True,0,12,0,35,1,,,,catch,0,0,,0,0,1.42,,
80,3,True,1,12,1,32,1,,,,catch,0,0,,0,0,1.57,,
81,3,True,1,11,0,50,0,,,,catch,0,0,,0,0,1.18,,
82,3,True,0,12,0,20,1,,,,catch,0,0,,0,0,1.25,,
83,3,True,1,12,1,30,1,,,,catch,0,0,,0,0,1.34,,
84,3,True,0,11,0,35,1,,,,catch,0,0,,0,0,1.46,,
85,3,True,0,11,0,50,1,,,,catch,0,0,,0,0,1.34,,
86,3,True,1,10,0,26,0,,,,catch,0,0,,0,0,1.23,,
87,3,True,1,11,1,26,1,,,,catch,0,0,,0,0,1.47,,
88,3,True,0,11,0,50,1,,,,catch,0,0,,0,0,1.11,,
89,3,True,1,10,1,23,1,,,,catch,0,0,,0,0,1.15,,
90,3,True,0,10,0,50,1,,,,catch,0,0,,0,0,1.41,,
91,4,False,1,9,1,26,1,0,26,0,choice,2,1,0,0,0,1.32,1.98,4.42
92,4,False,0,9,0,23,1,0,43,1,choice,2,1,0,1,0,2.23,2.69,4.85
93,4,False,1,9,1,13,1,1,27,1,choice,2,2,1,1,0,2.14,1.95,4.24
94,4,False,0,9,0,28,1,0,31,1,choice,2,2,0,1,0,2.0,2.37,4.18
95,4,False,1,9,0,50,0,0,50,0,choice,1,2,1,1,0,1.97,3.24,5.25
96,4,False,1,9,1,17,1,1,11,1,choice,2,1,0,0,0,6.63,2.59,4.71
97,4,False,0,9,1,22,0,1,16,0,force,1,0,0,1,0,2.56,3.0,4.0
98,4,False,1,9,1,46,1,1,20,1,force,2,0,0,0,0,2.17,2.48,3.49
99,4,False,1,9,1,24,1,0,14,0,choice,2,2,0,0,0,3.99,2.48,4.31
100,4,False,1,9,1,50,1,1,18,1,choice,1,2,0,0,0,3.17,2.16,4.84
101,4,False,0,9,1,24,0,1,24,0,force,2,0,0,1,0,1.9,1.93,2.94
102,4,False,0,9,0,50,1,0,50,1,force,1,0,0,1,0,1.85,2.46,3.46
103,4,False,0,9,1,31,0,1,17,0,force,1,0,0,1,0,1.7,1.66,2.67
104,4,False,0,9,1,50,0,1,50,0,choice,2,1,1,0,0,1.82,2.37,4.34
105,4,False,1,9,1,23,1,1,29,1,choice,1,2,1,1,0,6.99,1.31,3.19
106,4,False,1,9,0,38,0,0,25,0,force,2,0,1,1,0,1.6,1.93,2.94
107,4,False,1,9,0,23,0,1,19,1,choice,1,2,1,1,0,1.64,1.86,4.19
108,4,False,1,9,1,6,1,0,7,0,force,1,0,0,0,0,3.33,1.96,2.96
