trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,1.61,,
2,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,1.14,,
3,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,0.74,,
4,1,True,0,14,0,18,1,,,,catch,0,0,,0,0,0.76,,
5,1,True,1,14,1,8,1,,,,catch,0,0,,0,0,0.86,,
6,1,True,0,13,0,29,1,,,,catch,0,0,,0,0,1.61,,
7,1,True,1,13,0,33,0,,,,catch,0,0,,0,0,1.32,,
8,1,True,1,14,1,14,1,,,,catch,0,0,,0,0,0.95,,
9,1,True,1,14,1,10,1,,,,catch,0,0,,0,0,0.85,,
10,1,True,0,13,0,17,1,,,,catch,0,0,,0,0,0.76,,
11,1,True,0,13,0,23,1,,,,catch,0,0,,0,0,0.76,,
12,1,True,0,12,0,27,1,,,,catch,0,0,,0,0,0.76,,
13,1,True,0,12,0,14,1,,,,catch,0,0,,0,0,0.8,,
14,1,True,1,11,0,13,0,,,,catch,0,0,,0,0,1.14,,
15,1,True,0,12,0,9,1,,,,catch,0,0,,0,0,0.92,,
16,1,True,1,12,0,29,0,,,,catch,0,0,,0,0,1.21,,
17,1,True,1,13,1,11,1,,,,catch,0,0,,0,0,0.93,,
18,1,True,1,13,0,16,0,,,,catch,0,0,,0,0,1.17,,
19,1,True,0,14,1,14,0,,,,catch,0,0,,0,0,1.24,,
20,1,True,0,15,0,18,1,,,,catch,0,0,,0,0,1.25,,
21,1,True,1,15,1,22,1,,,,catch,0,0,,0,0,1.27,,
22,1,True,1,14,0,20,0,,,,catch,0,0,,0,0,1.16,,
23,1,True,1,15,0,33,0,,,,catch,0,0,,0,0,1.54,,
24,1,True,1,15,1,13,1,,,,catch,0,0,,0,0,1.42,,
25,1,True,0,15,1,13,0,,,,catch,0,0,,0,0,1.31,,
26,1,True,1,15,0,21,0,,,,catch,0,0,,0,0,1.07,,
27,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,1.01,,
28,1,True,0,15,0,39,1,,,,catch,0,0,,0,0,1.22,,
29,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,1.3,,
30,1,True,0,14,0,21,1,,,,catch,0,0,,0,0,1.35,,
31,2,True,1,13,1,15,1,,,,catch,0,0,,0,0,1.39,,
32,2,True,1,13,1,18,1,,,,catch,0,0,,0,0,0.94,,
33,2,True,1,12,1,14,1,,,,catch,0,0,,0,0,0.91,,
34,2,True,0,12,0,18,1,,,,catch,0,0,,0,0,0.83,,
35,2,True,0,11,0,28,1,,,,catch,0,0,,0,0,0.93,,
36,2,True,1,11,1,19,1,,,,catch,0,0,,0,0,1.55,,
37,2,True,0,10,0,22,1,,,,catch,0,0,,0,0,0.84,,
38,2,True,0,10,0,27,1,,,,catch,0,0,,0,0,1.11,,
39,2,True,0,9,0,24,1,,,,catch,0,0,,0,0,0.91,,
40,2,True,1,9,1,11,1,,,,catch,0,0,,0,0,1.0,,
41,2,True,0,8,0,18,1,,,,catch,0,0,,0,0,1.13,,
42,2,True,1,8,0,16,0,,,,catch,0,0,,0,0,1.72,,
43,2,True,0,9,1,13,0,,,,catch,0,0,,0,0,1.21,,
44,2,True,0,10,1,17,0,,,,catch,0,0,,0,0,1.05,,
45,2,True,1,11,1,16,1,,,,catch,0,0,,0,0,0.84,,
46,2,True,0,11,0,37,1,,,,catch,0,0,,0,0,1.29,,
47,2,True,0,10,0,31,1,,,,catch,0,0,,0,0,0.92,,
48,2,True,0,10,0,21,1,,,,catch,0,0,,0,0,1.0,,
49,2,True,1,9,1,13,1,,,,catch,0,0,,0,0,1.06,,
50,2,True,1,9,1,23,1,,,,catch,0,0,,0,0,1.25,,
51,2,True,1,8,1,14,1,,,,catch,0,0,,0,0,0.94,,
52,2,True,0,8,0,24,1,,,,catch,0,0,,0,0,1.16,,
53,2,True,0,7,1,19,0,,,,catch,0,0,,0,0,1.34,,
54,2,True,1,8,0,16,0,,,,catch,0,0,,0,0,0.88,,
55,2,True,1,9,1,19,1,,,,catch,0,0,,0,0,1.21,,
56,2,True,1,9,1,13,1,,,,catch,0,0,,0,0,1.37,,
57,2,True,0,8,0,17,1,,,,catch,0,0,,0,0,0.97,,
58,2,True,1,8,1,16,1,,,,catch,0,0,,0,0,0.98,,
59,2,True,0,7,0,18,1,,,,catch,0,0,,0,0,1.6,,
60,2,True,0,7,1,22,0,,,,catch,0,0,,0,0,1.2,,
61,3,True,0,8,0,21,1,,,,catch,0,0,,0,0,0.98,,
62,3,True,1,8,0,21,0,,,,catch,0,0,,0,0,0.79,,
63,3,True,0,9,0,29,1,,,,catch,0,0,,0,0,0.73,,
64,3,True,1,9,0,23,0,,,,catch,0,0,,0,0,0.73,,
65,3,True,0,10,0,29,1,,,,catch,0,0,,0,0,0.73,,
66,3,True,0,10,0,29,1,,,,catch,0,0,,0,0,0.67,,
67,3,True,0,9,0,27,1,,,,catch,0,0,,0,0,0.75,,
68,3,True,1,9,0,27,0,,,,catch,0,0,,0,0,1.13,,
69,3,True,1,10,0,22,0,,,,catch,0,0,,0,0,0.68,,
70,3,True,0,11,1,18,0,,,,catch,0,0,,0,0,0.83,,
71,3,True,0,12,0,11,1,,,,catch,0,0,,0,0,0.72,,
72,3,True,0,12,0,26,1,,,,catch,0,0,,0,0,0.68,,
73,3,True,1,11,1,23,1,,,,catch,0,0,,0,0,0.81,,
74,3,True,0,11,0,23,1,,,,catch,0,0,,0,0,1.06,,
75,3,True,1,10,1,18,1,,,,catch,0,0,,0,0,0.79,,
76,3,True,1,10,1,21,1,,,,catch,0,0,,0,0,0.96,,
77,3,True,0,9,0,34,1,,,,catch,0,0,,0,0,0.85,,
78,3,True,0,9,0,21,1,,,,catch,0,0,,0,0,1.19,,
79,3,True,1,8,1,21,1,,,,catch,0,0,,0,0,0.83,,
80,3,True,0,8,1,18,0,,,,catch,0,0,,0,0,0.97,,
81,3,True,1,9,0,14,0,,,,catch,0,0,,0,0,1.42,,
82,3,True,0,10,1,19,0,,,,catch,0,0,,0,0,1.02,,
83,3,True,1,11,1,21,1,,,,catch,0,0,,0,0,1.26,,
84,3,True,0,11,1,19,0,,,,catch,0,0,,0,0,0.94,,
85,3,True,0,12,1,17,0,,,,catch,0,0,,0,0,1.73,,
86,3,True,1,13,1,23,1,,,,catch,0,0,,0,0,0.91,,
87,3,True,1,13,1,20,1,,,,catch,0,0,,0,0,0.87,,
88,3,True,0,12,0,36,1,,,,catch,0,0,,0,0,0.9,,
89,3,True,0,12,0,26,1,,,,catch,0,0,,0,0,1.16,,
90,3,True,0,11,0,31,1,,,,catch,0,0,,0,0,0.98,,
91,4,False,1,11,0,24,0,0,34,0,force,2,0,0,0,0,1.33,6.77,7.78
92,4,False,1,11,0,21,0,0,6,0,choice,1,1,0,0,0,1.64,10.08,13.51
93,4,False,0,11,0,21,1,1,13,0,force,1,0,0,1,0,1.99,1.6,2.61
94,4,False,0,11,0,14,1,0,27,1,choice,2,2,1,0,0,1.32,1.16,3.37
95,4,False,0,11,0,22,1,0,32,1,choice,2,2,1,0,0,1.89,0.94,2.63
96,4,False,0,11,0,22,1,0,40,1,choice,2,2,0,1,0,1.58,1.35,2.83
97,4,False,1,11,0,17,0,0,29,0,choice,2,2,0,0,0,1.12,1.15,2.75
98,4,False,0,11,0,14,1,0,7,1,choice,2,2,1,0,0,0.92,0.76,2.35
99,4,False,1,11,1,16,1,1,9,1,choice,1,2,1,1,0,1.8,0.9,2.91
100,4,False,0,11,0,14,1,0,9,1,choice,1,1,0,1,0,1.48,0.81,2.6
101,4,False,1,11,0,19,0,0,15,0,choice,1,2,0,0,0,0.95,0.76,2.31
102,4,False,1,11,0,21,0,0,10,0,choice,1,1,1,1,0,0.88,0.98,2.69
103,4,False,0,11,0,15,1,0,13,1,choice,2,2,0,1,0,0.88,0.96,2.57
104,4,False,0,11,0,21,1,0,33,1,force,2,0,0,1,0,1.44,2.85,3.85
105,4,False,0,11,0,12,1,0,6,1,force,2,0,0,1,0,3.92,1.19,2.2
106,4,False,1,11,0,21,0,1,12,1,choice,1,1,1,1,0,3.44,2.94,4.74
107,4,False,0,11,0,12,1,0,20,1,choice,2,1,0,1,0,2.18,1.28,4.05
108,4,False,0,11,0,18,1,0,13,1,choice,1,2,0,1,0,1.04,1.84,3.63
109,4,False,1,11,0,11,0,1,13,1,choice,2,1,1,1,0,1.23,1.01,2.59
110,4,False,0,11,0,12,1,0,19,1,choice,1,2,0,1,0,1.52,1.56,3.08
111,4,False,0,11,0,20,1,0,9,1,choice,2,1,0,1,0,1.01,0.83,2.37
112,4,False,1,11,0,16,0,1,21,1,force,1,0,1,1,0,1.92,1.2,2.21
113,4,False,0,11,0,12,1,0,30,1,choice,1,1,0,1,0,1.54,1.41,3.04
114,4,False,1,11,0,11,0,1,22,1,force,2,0,1,1,0,0.92,1.22,2.23
115,4,False,0,11,0,17,1,0,9,1,choice,2,1,0,1,0,0.99,1.43,3.1
116,4,False,1,11,0,16,0,0,11,0,choice,2,2,0,0,0,1.28,1.37,2.96
117,4,False,0,11,0,30,1,0,18,1,force,1,0,0,1,0,1.18,1.11,2.11
118,4,False,0,11,0,27,1,1,3,0,force,2,0,1,0,0,0.92,2.2,3.21
119,4,False,1,11,0,18,0,1,5,1,force,1,0,1,1,0,1.08,2.88,3.88
120,4,False,1,11,0,17,0,0,29,0,choice,2,1,0,0,0,1.13,1.58,3.24
121,4,False,1,11,0,10,0,1,7,1,force,1,0,1,1,0,0.98,1.07,2.07
122,4,False,0,11,0,13,1,0,22,1,choice,2,2,0,1,0,1.35,1.11,2.96
123,4,False,0,11,0,21,1,0,16,1,choice,1,1,0,1,0,0.89,1.53,3.17
124,4,False,1,11,1,13,1,0,5,0,choice,2,2,0,0,0,1.09,1.88,3.47
125,4,False,1,11,0,11,0,1,2,1,choice,2,1,1,1,0,0.93,4.18,5.72
126,4,False,1,11,0,17,0,1,7,1,choice,2,2,1,1,0,0.99,1.28,2.98
127,4,False,1,11,1,28,1,1,40,1,choice,1,1,1,1,0,1.26,1.25,2.99
128,4,False,1,11,0,21,0,1,3,1,choice,2,2,1,1,0,1.25,3.02,4.64
129,4,False,0,11,0,23,1,0,17,1,force,1,0,0,1,0,0.9,1.77,2.78
130,4,False,0,11,0,33,1,0,25,1,force,2,0,0,1,0,0.92,3.6,4.61
131,4,False,0,11,1,12,0,0,10,1,choice,1,2,0,1,0,16.04,0.99,2.78
132,4,False,1,11,1,14,1,0,19,0,choice,1,1,0,0,0,1.39,1.36,3.08
133,4,False,1,11,0,15,0,1,2,1,choice,1,2,1,1,0,1.4,2.19,3.94
134,4,False,0,11,0,22,1,0,17,1,choice,2,1,0,1,0,1.3,1.06,2.88
135,4,False,0,11,0,22,1,0,14,1,choice,2,1,0,1,0,1.0,0.85,2.39
136,4,False,0,11,0,4,1,0,7,1,choice,1,2,0,1,0,2.61,2.09,3.77
137,4,False,0,11,0,8,1,0,10,1,choice,2,1,0,1,0,1.45,1.21,2.86
138,4,False,1,11,1,6,1,1,9,1,force,2,0,1,1,0,1.17,1.12,2.13
139,4,False,0,11,1,12,0,0,7,1,choice,2,1,0,1,0,1.64,1.19,2.85
140,4,False,1,11,0,19,0,1,8,1,choice,1,2,1,1,0,1.24,1.09,2.8
141,4,False,1,11,1,12,1,1,10,1,force,1,0,1,1,0,0.9,0.84,1.85
142,4,False,1,11,1,19,1,1,27,1,choice,1,2,1,1,0,0.95,0.94,2.57
143,4,False,1,11,1,11,1,1,7,1,choice,2,1,1,1,0,0.99,1.08,2.86
144,4,False,0,11,0,7,1,0,15,1,force,2,0,0,1,0,1.11,1.29,2.3
145,4,False,1,11,0,16,0,0,13,0,force,1,0,0,0,0,0.99,2.8,3.81
146,4,False,0,11,0,20,1,0,18,1,force,2,0,0,1,0,0.76,0.99,2.0
147,4,False,1,11,1,15,1,1,22,1,force,2,0,1,1,0,0.78,0.73,1.73
148,4,False,0,11,0,15,1,0,17,1,force,1,0,0,1,0,0.8,1.38,2.38
149,4,False,1,11,1,47,1,0,2,0,force,1,0,0,0,0,1.61,2.1,3.1
150,4,False,1,11,1,11,1,1,14,1,choice,2,2,1,1,0,1.21,1.08,4.71
151,5,False,0,11,0,17,1,1,6,0,force,1,0,1,0,0,1.16,1.05,2.05
152,5,False,0,11,0,17,1,1,9,0,choice,2,1,1,0,0,1.26,1.46,5.81
153,5,False,1,11,0,13,0,1,4,1,force,2,0,1,1,0,1.47,1.34,2.34
154,5,False,0,11,0,13,1,0,13,1,force,1,0,0,1,0,1.6,1.56,2.57
155,5,False,0,11,0,18,1,0,13,1,choice,1,2,0,1,0,0.91,1.04,3.19
156,5,False,0,11,0,23,1,0,18,1,choice,2,2,0,1,0,0.81,1.06,2.85
157,5,False,0,11,1,14,0,1,19,0,force,2,0,1,0,0,0.87,1.19,2.19
158,5,False,1,11,1,16,1,1,13,1,force,1,0,1,1,0,0.99,1.19,2.2
159,5,False,1,11,1,16,1,1,14,1,choice,1,1,0,0,0,1.06,0.9,2.73
160,5,False,0,11,0,12,1,0,9,1,choice,1,2,0,1,0,0.96,1.0,2.57
161,5,False,1,11,0,15,0,0,12,0,choice,1,2,0,0,0,1.06,1.67,3.42
162,5,False,1,11,1,15,1,0,8,0,force,2,0,0,0,0,0.87,1.51,2.52
163,5,False,1,11,1,20,1,1,18,1,choice,2,1,1,1,0,0.91,1.19,2.91
