trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,22,0,,,,catch,0,0,,0,0,9.59,,
2,1,True,0,15,1,29,0,,,,catch,0,0,,0,0,5.27,,
3,1,True,0,15,0,36,1,,,,catch,0,0,,0,0,2.85,,
4,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,4.55,,
5,1,True,0,15,1,26,0,,,,catch,0,0,,0,0,2.3,,
6,1,True,1,15,0,14,0,,,,catch,0,0,,0,0,3.24,,
7,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,8.57,,
8,1,True,0,15,1,19,0,,,,catch,0,0,,0,0,3.7,,
9,1,True,0,15,0,15,1,,,,catch,0,0,,0,0,4.1,,
10,1,True,0,15,0,19,1,,,,catch,0,0,,0,0,4.49,,
11,1,True,1,14,1,33,1,,,,catch,0,0,,0,0,5.6,,
12,1,True,1,14,1,15,1,,,,catch,0,0,,0,0,5.91,,
13,1,True,0,13,0,35,1,,,,catch,0,0,,0,0,3.27,,
14,1,True,1,13,1,9,1,,,,catch,0,0,,0,0,3.13,,
15,1,True,1,12,1,38,1,,,,catch,0,0,,0,0,1.98,,
16,1,True,1,12,1,24,1,,,,catch,0,0,,0,0,3.95,,
17,1,True,1,11,1,13,1,,,,catch,0,0,,0,0,3.55,,
18,1,True,0,11,0,25,1,,,,catch,0,0,,0,0,4.69,,
19,1,True,1,10,1,11,1,,,,catch,0,0,,0,0,3.58,,
20,1,True,0,10,0,40,1,,,,catch,0,0,,0,0,2.35,,
21,1,True,1,9,0,24,0,,,,catch,0,0,,0,0,4.12,,
22,1,True,1,10,1,17,1,,,,catch,0,0,,0,0,3.49,,
23,1,True,0,10,0,6,1,,,,catch,0,0,,0,0,4.02,,
24,1,True,1,9,0,13,0,,,,catch,0,0,,0,0,7.04,,
25,1,True,0,10,0,25,1,,,,catch,0,0,,0,0,2.15,,
26,1,True,1,10,1,29,1,,,,catch,0,0,,0,0,3.72,,
27,1,True,0,9,0,13,1,,,,catch,0,0,,0,0,2.69,,
28,1,True,1,9,0,23,0,,,,catch,0,0,,0,0,2.55,,
29,1,True,0,10,1,11,0,,,,catch,0,0,,0,0,4.44,,
30,1,True,0,11,0,45,1,,,,catch,0,0,,0,0,3.05,,
31,2,True,1,11,0,10,0,,,,catch,0,0,,0,0,4.26,,
32,2,True,1,12,1,10,1,,,,catch,0,0,,0,0,2.75,,
33,2,True,1,12,0,10,0,,,,catch,0,0,,0,0,4.4,,
34,2,True,0,13,0,40,1,,,,catch,0,0,,0,0,3.11,,
35,2,True,1,13,0,28,0,,,,catch,0,0,,0,0,3.88,,
36,2,True,0,14,0,10,1,,,,catch,0,0,,0,0,3.3,,
37,2,True,1,14,1,4,1,,,,catch,0,0,,0,0,2.9,,
38,2,True,0,13,0,47,1,,,,catch,0,0,,0,0,2.81,,
39,2,True,1,13,0,27,0,,,,catch,0,0,,0,0,4.07,,
40,2,True,1,14,1,5,1,,,,catch,0,0,,0,0,3.05,,
41,2,True,0,14,0,38,1,,,,catch,0,0,,0,0,2.36,,
42,2,True,1,13,1,19,1,,,,catch,0,0,,0,0,3.92,,
43,2,True,0,13,0,15,1,,,,catch,0,0,,0,0,3.64,,
44,2,True,1,12,0,11,0,,,,catch,0,0,,0,0,3.07,,
45,2,True,1,13,1,27,1,,,,catch,0,0,,0,0,2.11,,
46,2,True,0,13,1,5,0,,,,catch,0,0,,0,0,4.63,,
47,2,True,0,14,1,10,0,,,,catch,0,0,,0,0,2.83,,
48,2,True,0,15,1,19,0,,,,catch,0,0,,0,0,3.44,,
49,2,True,1,15,1,32,1,,,,catch,0,0,,0,0,1.86,,
50,2,True,0,15,0,38,1,,,,catch,0,0,,0,0,3.4,,
51,2,True,0,14,1,10,0,,,,catch,0,0,,0,0,4.14,,
52,2,True,0,15,0,47,1,,,,catch,0,0,,0,0,2.65,,
53,2,True,1,15,0,15,0,,,,catch,0,0,,0,0,3.02,,
54,2,True,1,15,1,7,1,,,,catch,0,0,,0,0,4.37,,
55,2,True,1,15,1,17,1,,,,catch,0,0,,0,0,2.44,,
56,2,True,1,14,0,36,0,,,,catch,0,0,,0,0,2.98,,
57,2,True,1,15,0,4,0,,,,catch,0,0,,0,0,3.34,,
58,2,True,1,15,1,32,1,,,,catch,0,0,,0,0,2.08,,
59,2,True,1,15,1,10,1,,,,catch,0,0,,0,0,3.06,,
60,2,True,1,14,1,15,1,,,,catch,0,0,,0,0,2.48,,
61,3,True,1,14,1,38,1,,,,catch,0,0,,0,0,2.25,,
62,3,True,1,13,0,14,0,,,,catch,0,0,,0,0,3.35,,
63,3,True,1,14,1,14,1,,,,catch,0,0,,0,0,2.7,,
64,3,True,1,14,1,24,1,,,,catch,0,0,,0,0,2.2,,
65,3,True,0,13,0,4,1,,,,catch,0,0,,0,0,3.76,,
66,3,True,0,13,0,29,1,,,,catch,0,0,,0,0,3.1,,
67,3,True,0,12,0,41,1,,,,catch,0,0,,0,0,2.59,,
68,3,True,0,12,0,27,1,,,,catch,0,0,,0,0,2.64,,
69,3,True,1,11,1,14,1,,,,catch,0,0,,0,0,2.69,,
70,3,True,1,11,0,10,0,,,,catch,0,0,,0,0,2.33,,
71,3,True,0,12,0,41,1,,,,catch,0,0,,0,0,2.31,,
72,3,True,0,12,1,15,0,,,,catch,0,0,,0,0,2.75,,
73,3,True,0,13,0,24,1,,,,catch,0,0,,0,0,3.07,,
74,3,True,1,13,0,33,0,,,,catch,0,0,,0,0,3.43,,
75,3,True,0,14,0,1,1,,,,catch,0,0,,0,0,5.38,,
76,3,True,0,14,0,16,1,,,,catch,0,0,,0,0,2.45,,
77,3,True,1,13,1,22,1,,,,catch,0,0,,0,0,2.52,,
78,3,True,1,13,0,6,0,,,,catch,0,0,,0,0,4.02,,
79,3,True,1,14,0,17,0,,,,catch,0,0,,0,0,2.17,,
80,3,True,1,15,1,25,1,,,,catch,0,0,,0,0,2.14,,
81,3,True,0,15,0,23,1,,,,catch,0,0,,0,0,2.8,,
82,3,True,0,14,1,27,0,,,,catch,0,0,,0,0,2.1,,
83,3,True,1,15,0,35,0,,,,catch,0,0,,0,0,2.76,,
84,3,True,1,15,1,8,1,,,,catch,0,0,,0,0,4.08,,
85,3,True,0,15,0,36,1,,,,catch,0,0,,0,0,2.92,,
86,3,True,1,14,1,5,1,,,,catch,0,0,,0,0,3.83,,
87,3,True,0,14,1,18,0,,,,catch,0,0,,0,0,3.33,,
88,3,True,1,15,0,20,0,,,,catch,0,0,,0,0,2.88,,
89,3,True,0,15,0,29,1,,,,catch,0,0,,0,0,4.2,,
90,3,True,0,15,0,19,1,,,,catch,0,0,,0,0,2.36,,
91,4,False,1,14,0,15,0,1,5,1,force,2,0,1,1,0,3.18,7.3,8.31
92,4,False,0,14,0,20,1,0,24,1,force,2,0,0,1,0,4.54,3.87,4.88
93,4,False,0,14,0,33,1,0,32,1,choice,1,2,1,0,0,2.48,5.83,8.42
94,4,False,1,14,1,20,1,1,21,1,force,1,0,1,1,0,3.51,3.03,4.03
