trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,8.91,,
2,1,True,1,15,0,2,0,,,,catch,0,0,,0,0,5.44,,
3,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,4.14,,
4,1,True,0,15,1,9,0,,,,catch,0,0,,0,0,2.36,,
5,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,3.07,,
6,1,True,0,15,1,4,0,,,,catch,0,0,,0,0,2.88,,
7,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,2.13,,
8,1,True,0,15,1,12,0,,,,catch,0,0,,0,0,3.46,,
9,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,3.82,,
10,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,1.57,,
11,1,True,0,15,1,17,0,,,,catch,0,0,,0,0,1.58,,
12,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,2.15,,
13,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,2.23,,
14,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,8.6,,
15,1,True,1,15,1,13,1,,,,catch,0,0,,0,0,1.43,,
16,1,True,0,14,1,12,0,,,,catch,0,0,,0,0,1.45,,
17,1,True,0,15,1,31,0,,,,catch,0,0,,0,0,1.91,,
18,1,True,0,15,0,3,1,,,,catch,0,0,,0,0,3.53,,
19,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,1.45,,
20,1,True,0,14,1,11,0,,,,catch,0,0,,0,0,1.31,,
21,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,1.53,,
22,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,1.85,,
23,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,2.08,,
24,1,True,1,14,1,3,1,,,,catch,0,0,,0,0,1.56,,
25,1,True,1,14,1,10,1,,,,catch,0,0,,0,0,1.27,,
26,1,True,1,13,1,9,1,,,,catch,0,0,,0,0,1.22,,
27,1,True,1,13,1,7,1,,,,catch,0,0,,0,0,1.69,,
28,1,True,0,12,0,4,1,,,,catch,0,0,,0,0,1.67,,
29,1,True,0,12,1,2,0,,,,catch,0,0,,0,0,3.08,,
30,1,True,0,13,0,1,1,,,,catch,0,0,,0,0,2.04,,
31,2,True,0,13,1,8,0,,,,catch,0,0,,0,0,1.32,,
32,2,True,1,14,1,2,1,,,,catch,0,0,,0,0,1.38,,
33,2,True,0,14,0,1,1,,,,catch,0,0,,0,0,1.38,,
34,2,True,0,13,0,16,1,,,,catch,0,0,,0,0,2.01,,
35,2,True,1,13,1,11,1,,,,catch,0,0,,0,0,1.25,,
36,2,True,0,12,1,9,0,,,,catch,0,0,,0,0,1.71,,
37,2,True,0,13,0,6,1,,,,catch,0,0,,0,0,1.22,,
38,2,True,0,13,1,7,0,,,,catch,0,0,,0,0,1.57,,
39,2,True,1,14,0,5,0,,,,catch,0,0,,0,0,1.32,,
40,2,True,0,15,0,5,1,,,,catch,0,0,,0,0,1.34,,
41,2,True,1,15,1,5,1,,,,catch,0,0,,0,0,1.59,,
42,2,True,0,14,1,3,0,,,,catch,0,0,,0,0,1.52,,
43,2,True,1,15,0,2,0,,,,catch,0,0,,0,0,1.31,,
44,2,True,1,15,1,2,1,,,,catch,0,0,,0,0,1.21,,
45,2,True,0,15,1,2,0,,,,catch,0,0,,0,0,1.46,,
46,2,True,1,15,0,3,0,,,,catch,0,0,,0,0,1.62,,
47,2,True,0,15,1,3,0,,,,catch,0,0,,0,0,2.46,,
48,2,True,0,15,1,4,0,,,,catch,0,0,,0,0,1.76,,
49,2,True,1,15,0,1,0,,,,catch,0,0,,0,0,1.83,,
50,2,True,0,15,0,2,1,,,,catch,0,0,,0,0,1.79,,
51,2,True,0,15,0,2,1,,,,catch,0,0,,0,0,1.78,,
52,2,True,0,14,0,7,1,,,,catch,0,0,,0,0,2.04,,
53,2,True,1,14,1,9,1,,,,catch,0,0,,0,0,2.01,,
54,2,True,1,13,1,6,1,,,,catch,0,0,,0,0,1.24,,
55,2,True,0,13,0,5,1,,,,catch,0,0,,0,0,1.71,,
56,2,True,0,12,0,4,1,,,,catch,0,0,,0,0,1.39,,
57,2,True,0,12,0,4,1,,,,catch,0,0,,0,0,1.25,,
58,2,True,1,11,1,5,1,,,,catch,0,0,,0,0,1.46,,
59,2,True,1,11,0,10,0,,,,catch,0,0,,0,0,2.27,,
60,2,True,1,12,1,6,1,,,,catch,0,0,,0,0,1.53,,
61,3,True,1,12,1,5,1,,,,catch,0,0,,0,0,1.45,,
62,3,True,0,11,0,2,1,,,,catch,0,0,,0,0,1.35,,
63,3,True,0,11,1,3,0,,,,catch,0,0,,0,0,1.3,,
64,3,True,1,12,0,2,0,,,,catch,0,0,,0,0,1.15,,
65,3,True,0,13,0,2,1,,,,catch,0,0,,0,0,1.55,,
66,3,True,1,13,0,2,0,,,,catch,0,0,,0,0,1.6,,
67,3,True,0,14,0,2,1,,,,catch,0,0,,0,0,2.04,,
68,3,True,0,14,0,3,1,,,,catch,0,0,,0,0,1.3,,
69,3,True,1,13,0,3,0,,,,catch,0,0,,0,0,1.32,,
70,3,True,0,14,0,2,1,,,,catch,0,0,,0,0,1.21,,
71,3,True,0,14,1,5,0,,,,catch,0,0,,0,0,1.69,,
72,3,True,1,15,1,5,1,,,,catch,0,0,,0,0,1.42,,
73,3,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.58,,
74,3,True,0,14,1,6,0,,,,catch,0,0,,0,0,1.2,,
75,3,True,0,15,1,6,0,,,,catch,0,0,,0,0,1.44,,
76,3,True,1,15,0,3,0,,,,catch,0,0,,0,0,2.71,,
77,3,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.51,,
78,3,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.34,,
79,3,True,0,14,0,4,1,,,,catch,0,0,,0,0,1.38,,
80,3,True,0,14,1,6,0,,,,catch,0,0,,0,0,1.3,,
81,3,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.39,,
82,3,True,1,15,0,7,0,,,,catch,0,0,,0,0,2.03,,
83,3,True,0,15,0,5,1,,,,catch,0,0,,0,0,1.61,,
