trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,28.57,,
2,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,6.3,,
3,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,7.41,,
4,1,True,1,15,1,3,1,,,,catch,0,0,,0,0,3.22,,
5,1,True,0,15,1,9,0,,,,catch,0,0,,0,0,1.76,,
6,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,5.06,,
7,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,4.56,,
8,1,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.96,,
9,1,True,1,14,1,4,1,,,,catch,0,0,,0,0,1.56,,
10,1,True,1,13,0,5,0,,,,catch,0,0,,0,0,1.61,,
11,1,True,1,14,1,8,1,,,,catch,0,0,,0,0,4.42,,
12,1,True,1,14,1,1,1,,,,catch,0,0,,0,0,3.19,,
13,1,True,0,13,0,3,1,,,,catch,0,0,,0,0,2.32,,
14,1,True,1,13,0,5,0,,,,catch,0,0,,0,0,1.71,,
15,1,True,1,14,1,3,1,,,,catch,0,0,,0,0,2.35,,
16,1,True,1,14,1,4,1,,,,catch,0,0,,0,0,1.76,,
17,1,True,1,13,0,4,0,,,,catch,0,0,,0,0,1.81,,
18,1,True,1,14,0,1,0,,,,catch,0,0,,0,0,1.8,,
19,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,4.56,,
20,1,True,1,15,1,3,1,,,,catch,0,0,,0,0,2.47,,
21,1,True,0,14,0,2,1,,,,catch,0,0,,0,0,1.38,,
22,1,True,1,14,1,2,1,,,,catch,0,0,,0,0,3.64,,
23,1,True,1,13,0,3,0,,,,catch,0,0,,0,0,2.28,,
24,1,True,1,14,1,2,1,,,,catch,0,0,,0,0,1.79,,
25,1,True,1,14,0,2,0,,,,catch,0,0,,0,0,2.68,,
26,1,True,1,15,1,5,1,,,,catch,0,0,,0,0,2.3,,
27,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,1.14,,
28,1,True,1,14,0,1,0,,,,catch,0,0,,0,0,4.64,,
29,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,1.65,,
30,1,True,1,15,0,2,0,,,,catch,0,0,,0,0,2.94,,
31,2,True,0,15,0,2,1,,,,catch,0,0,,0,0,2.32,,
32,2,True,1,15,0,2,0,,,,catch,0,0,,0,0,2.17,,
33,2,True,0,15,1,4,0,,,,catch,0,0,,0,0,6.32,,
34,2,True,1,15,0,2,0,,,,catch,0,0,,0,0,15.31,,
35,2,True,0,15,1,14,0,,,,catch,0,0,,0,0,18.93,,
36,2,True,0,15,1,2,0,,,,catch,0,0,,0,0,2.07,,
37,2,True,0,15,0,1,1,,,,catch,0,0,,0,0,1.91,,
38,2,True,0,15,0,2,1,,,,catch,0,0,,0,0,1.72,,
39,2,True,1,14,0,2,0,,,,catch,0,0,,0,0,2.15,,
40,2,True,0,15,0,2,1,,,,catch,0,0,,0,0,2.37,,
41,2,True,0,15,0,1,1,,,,catch,0,0,,0,0,3.46,,
42,2,True,0,14,0,3,1,,,,catch,0,0,,0,0,1.83,,
43,2,True,0,14,0,3,1,,,,catch,0,0,,0,0,2.21,,
44,2,True,0,13,0,14,1,,,,catch,0,0,,0,0,1.95,,
45,2,True,0,13,0,13,1,,,,catch,0,0,,0,0,2.32,,
46,2,True,1,12,1,14,1,,,,catch,0,0,,0,0,2.55,,
47,2,True,1,12,1,1,1,,,,catch,0,0,,0,0,4.45,,
48,2,True,1,11,1,13,1,,,,catch,0,0,,0,0,2.49,,
49,2,True,0,11,0,8,1,,,,catch,0,0,,0,0,2.19,,
50,2,True,1,10,1,15,1,,,,catch,0,0,,0,0,2.1,,
51,2,True,1,10,1,2,1,,,,catch,0,0,,0,0,4.48,,
52,2,True,0,9,1,19,0,,,,catch,0,0,,0,0,2.65,,
53,2,True,1,10,0,16,0,,,,catch,0,0,,0,0,2.59,,
54,2,True,1,11,1,2,1,,,,catch,0,0,,0,0,2.97,,
55,2,True,0,11,1,3,0,,,,catch,0,0,,0,0,2.88,,
56,2,True,0,12,1,1,0,,,,catch,0,0,,0,0,2.68,,
57,2,True,1,13,0,4,0,,,,catch,0,0,,0,0,3.89,,
58,2,True,0,14,1,2,0,,,,catch,0,0,,0,0,3.94,,
59,2,True,0,15,1,1,0,,,,catch,0,0,,0,0,2.04,,
60,2,True,0,15,0,1,1,,,,catch,0,0,,0,0,2.54,,
61,3,True,0,15,0,16,1,,,,catch,0,0,,0,0,2.7,,
62,3,True,1,14,1,1,1,,,,catch,0,0,,0,0,3.73,,
63,3,True,1,14,1,10,1,,,,catch,0,0,,0,0,3.33,,
64,3,True,0,13,1,1,0,,,,catch,0,0,,0,0,9.05,,
65,3,True,0,14,1,1,0,,,,catch,0,0,,0,0,2.94,,
66,3,True,1,15,1,2,1,,,,catch,0,0,,0,0,3.09,,
67,3,True,0,15,0,10,1,,,,catch,0,0,,0,0,2.52,,
68,3,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.36,,
69,3,True,0,14,1,2,0,,,,catch,0,0,,0,0,3.08,,
70,3,True,0,15,0,1,1,,,,catch,0,0,,0,0,4.82,,
71,3,True,0,15,0,9,1,,,,catch,0,0,,0,0,2.43,,
72,3,True,1,14,0,23,0,,,,catch,0,0,,0,0,2.48,,
73,3,True,1,15,1,6,1,,,,catch,0,0,,0,0,2.35,,
74,3,True,1,15,1,3,1,,,,catch,0,0,,0,0,4.46,,
75,3,True,0,14,0,42,1,,,,catch,0,0,,0,0,3.05,,
76,3,True,1,14,1,24,1,,,,catch,0,0,,0,0,1.6,,
77,3,True,0,13,0,3,1,,,,catch,0,0,,0,0,2.02,,
78,3,True,0,13,0,3,1,,,,catch,0,0,,0,0,1.81,,
79,3,True,0,12,0,50,1,,,,catch,0,0,,0,0,2.42,,
80,3,True,1,12,1,4,1,,,,catch,0,0,,0,0,3.13,,
81,3,True,1,11,1,3,1,,,,catch,0,0,,0,0,2.42,,
82,3,True,1,11,0,2,0,,,,catch,0,0,,0,0,2.36,,
83,3,True,0,12,0,1,1,,,,catch,0,0,,0,0,2.55,,
84,3,True,1,12,1,2,1,,,,catch,0,0,,0,0,3.22,,
85,3,True,1,11,0,2,0,,,,catch,0,0,,0,0,2.82,,
86,3,True,1,12,1,2,1,,,,catch,0,0,,0,0,2.61,,
87,3,True,0,12,0,1,1,,,,catch,0,0,,0,0,1.7,,
