trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,22,0,,,,catch,0,0,,0,0,141.37,,
2,1,True,0,15,1,24,0,,,,catch,0,0,,0,0,9.47,,
3,1,True,0,15,0,25,1,,,,catch,0,0,,0,0,60.71,,
4,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,7.34,,
5,1,True,1,15,0,33,0,,,,catch,0,0,,0,0,4.75,,
6,1,True,0,15,0,37,1,,,,catch,0,0,,0,0,4.5,,
7,1,True,0,15,0,31,1,,,,catch,0,0,,0,0,4.79,,
8,1,True,1,14,0,40,0,,,,catch,0,0,,0,0,4.56,,
9,1,True,0,15,0,43,1,,,,catch,0,0,,0,0,3.28,,
10,1,True,1,15,1,34,1,,,,catch,0,0,,0,0,3.07,,
11,1,True,1,14,0,11,0,,,,catch,0,0,,0,0,3.49,,
12,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,11.52,,
13,1,True,0,15,0,16,1,,,,catch,0,0,,0,0,9.15,,
14,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,5.21,,
15,1,True,0,14,0,39,1,,,,catch,0,0,,0,0,3.64,,
16,1,True,0,14,0,42,1,,,,catch,0,0,,0,0,3.87,,
17,1,True,0,13,1,17,0,,,,catch,0,0,,0,0,5.25,,
18,1,True,0,14,0,48,1,,,,catch,0,0,,0,0,3.28,,
19,1,True,1,14,1,23,1,,,,catch,0,0,,0,0,3.6,,
20,1,True,0,13,0,37,1,,,,catch,0,0,,0,0,2.89,,
21,1,True,0,13,0,49,1,,,,catch,0,0,,0,0,3.69,,
22,1,True,1,12,1,18,1,,,,catch,0,0,,0,0,6.89,,
23,1,True,1,12,1,27,1,,,,catch,0,0,,0,0,2.89,,
24,1,True,0,11,0,47,1,,,,catch,0,0,,0,0,3.43,,
25,1,True,0,11,0,18,1,,,,catch,0,0,,0,0,5.05,,
26,1,True,0,10,0,19,1,,,,catch,0,0,,0,0,9.47,,
27,1,True,0,10,0,50,1,,,,catch,0,0,,0,0,3.2,,
28,1,True,0,9,0,23,1,,,,catch,0,0,,0,0,2.7,,
29,1,True,1,9,0,36,0,,,,catch,0,0,,0,0,5.17,,
