trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,32.32,,
2,1,True,1,15,0,41,0,,,,catch,0,0,,0,0,15.07,,
3,1,True,0,15,1,40,0,,,,catch,0,0,,0,0,7.97,,
4,1,True,1,15,0,37,0,,,,catch,0,0,,0,0,10.95,,
5,1,True,1,15,1,38,1,,,,catch,0,0,,0,0,3.48,,
6,1,True,1,15,1,34,1,,,,catch,0,0,,0,0,6.5,,
7,1,True,0,14,0,41,1,,,,catch,0,0,,0,0,4.62,,
8,1,True,0,14,1,42,0,,,,catch,0,0,,0,0,4.09,,
9,1,True,0,15,1,39,0,,,,catch,0,0,,0,0,2.55,,
10,1,True,1,15,0,37,0,,,,catch,0,0,,0,0,2.11,,
11,1,True,1,15,0,41,0,,,,catch,0,0,,0,0,2.4,,
12,1,True,0,15,1,17,0,,,,catch,0,0,,0,0,6.22,,
13,1,True,1,15,0,33,0,,,,catch,0,0,,0,0,2.53,,
14,1,True,1,15,1,32,1,,,,catch,0,0,,0,0,1.27,,
15,1,True,0,15,1,28,0,,,,catch,0,0,,0,0,2.14,,
16,1,True,0,15,0,34,1,,,,catch,0,0,,0,0,3.99,,
17,1,True,0,15,0,32,1,,,,catch,0,0,,0,0,2.43,,
18,1,True,0,14,0,23,1,,,,catch,0,0,,0,0,5.8,,
19,1,True,0,14,1,30,0,,,,catch,0,0,,0,0,11.4,,
20,1,True,1,15,0,31,0,,,,catch,0,0,,0,0,1.7,,
21,1,True,1,15,0,34,0,,,,catch,0,0,,0,0,1.51,,
22,1,True,0,15,1,26,0,,,,catch,0,0,,0,0,3.33,,
23,1,True,0,15,0,37,1,,,,catch,0,0,,0,0,7.9,,
24,1,True,0,15,0,33,1,,,,catch,0,0,,0,0,3.06,,
25,1,True,0,14,1,34,0,,,,catch,0,0,,0,0,1.78,,
26,1,True,1,15,1,37,1,,,,catch,0,0,,0,0,1.98,,
27,1,True,1,15,1,39,1,,,,catch,0,0,,0,0,2.44,,
28,1,True,0,14,1,40,0,,,,catch,0,0,,0,0,1.47,,
29,1,True,0,15,1,37,0,,,,catch,0,0,,0,0,1.47,,
30,1,True,0,15,0,36,1,,,,catch,0,0,,0,0,1.29,,
31,2,True,0,15,1,32,0,,,,catch,0,0,,0,0,1.8,,
32,2,True,1,15,0,35,0,,,,catch,0,0,,0,0,1.36,,
33,2,True,1,15,1,39,1,,,,catch,0,0,,0,0,1.51,,
34,2,True,0,15,1,37,0,,,,catch,0,0,,0,0,1.77,,
35,2,True,1,15,1,37,1,,,,catch,0,0,,0,0,1.89,,
36,2,True,0,15,0,31,1,,,,catch,0,0,,0,0,1.52,,
37,2,True,0,14,0,28,1,,,,catch,0,0,,0,0,3.01,,
38,2,True,0,14,1,28,0,,,,catch,0,0,,0,0,2.62,,
39,2,True,1,15,0,29,0,,,,catch,0,0,,0,0,1.85,,
40,2,True,1,15,1,30,1,,,,catch,0,0,,0,0,1.98,,
41,2,True,0,15,1,27,0,,,,catch,0,0,,0,0,2.41,,
42,2,True,1,15,0,31,0,,,,catch,0,0,,0,0,1.68,,
43,2,True,0,15,0,30,1,,,,catch,0,0,,0,0,1.44,,
44,2,True,1,15,0,27,0,,,,catch,0,0,,0,0,2.83,,
45,2,True,0,15,1,28,0,,,,catch,0,0,,0,0,1.82,,
46,2,True,1,15,1,32,1,,,,catch,0,0,,0,0,1.48,,
47,2,True,0,15,1,30,0,,,,catch,0,0,,0,0,1.44,,
48,2,True,0,15,1,32,0,,,,catch,0,0,,0,0,1.34,,
49,2,True,1,15,0,33,0,,,,catch,0,0,,0,0,1.78,,
50,2,True,0,15,1,30,0,,,,catch,0,0,,0,0,1.53,,
51,2,True,1,15,0,33,0,,,,catch,0,0,,0,0,1.31,,
52,2,True,1,15,0,38,0,,,,catch,0,0,,0,0,1.73,,
53,2,True,0,15,0,33,1,,,,catch,0,0,,0,0,1.91,,
54,2,True,1,15,0,34,0,,,,catch,0,0,,0,0,1.67,,
55,2,True,0,15,0,31,1,,,,catch,0,0,,0,0,1.77,,
56,2,True,1,15,0,28,0,,,,catch,0,0,,0,0,1.73,,
57,2,True,1,15,0,28,0,,,,catch,0,0,,0,0,1.45,,
58,2,True,0,15,0,29,1,,,,catch,0,0,,0,0,1.99,,
59,2,True,0,15,0,28,1,,,,catch,0,0,,0,0,2.09,,
60,2,True,0,14,0,27,1,,,,catch,0,0,,0,0,1.53,,
61,3,True,1,14,0,31,0,,,,catch,0,0,,0,0,1.74,,
62,3,True,1,15,0,24,0,,,,catch,0,0,,0,0,1.78,,
63,3,True,1,15,1,28,1,,,,catch,0,0,,0,0,1.63,,
64,3,True,1,15,1,28,1,,,,catch,0,0,,0,0,1.55,,
65,3,True,0,14,0,28,1,,,,catch,0,0,,0,0,2.03,,
66,3,True,0,14,1,28,0,,,,catch,0,0,,0,0,2.18,,
67,3,True,1,15,1,29,1,,,,catch,0,0,,0,0,1.7,,
68,3,True,1,15,0,28,0,,,,catch,0,0,,0,0,1.72,,
69,3,True,1,15,0,29,0,,,,catch,0,0,,0,0,1.5,,
70,3,True,1,15,1,24,1,,,,catch,0,0,,0,0,17.46,,
71,3,True,1,15,0,29,0,,,,catch,0,0,,0,0,1.7,,
72,3,True,0,15,0,27,1,,,,catch,0,0,,0,0,1.5,,
73,3,True,0,15,0,23,1,,,,catch,0,0,,0,0,1.93,,
