trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,5,1,,,,catch,0,0,,0,0,6.51,,
2,1,True,1,15,0,7,0,,,,catch,0,0,,0,0,3.96,,
3,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,3.59,,
4,1,True,0,15,0,34,1,,,,catch,0,0,,0,0,3.22,,
5,1,True,0,14,0,44,1,,,,catch,0,0,,0,0,2.92,,
6,1,True,0,14,0,41,1,,,,catch,0,0,,0,0,1.6,,
7,1,True,0,13,0,44,1,,,,catch,0,0,,0,0,2.09,,
8,1,True,1,13,0,25,0,,,,catch,0,0,,0,0,2.43,,
9,1,True,1,14,0,12,0,,,,catch,0,0,,0,0,2.38,,
10,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,1.96,,
11,1,True,1,15,0,14,0,,,,catch,0,0,,0,0,1.88,,
12,1,True,1,15,0,33,0,,,,catch,0,0,,0,0,3.71,,
13,1,True,1,15,0,30,0,,,,catch,0,0,,0,0,2.21,,
14,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,1.84,,
15,1,True,0,15,0,13,1,,,,catch,0,0,,0,0,1.72,,
16,1,True,0,14,0,11,1,,,,catch,0,0,,0,0,1.66,,
17,1,True,0,14,1,8,0,,,,catch,0,0,,0,0,2.07,,
18,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,1.46,,
19,1,True,1,15,0,31,0,,,,catch,0,0,,0,0,1.87,,
20,1,True,1,15,0,10,0,,,,catch,0,0,,0,0,2.08,,
21,1,True,1,15,1,11,1,,,,catch,0,0,,0,0,2.62,,
22,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,1.64,,
23,1,True,1,14,1,27,1,,,,catch,0,0,,0,0,1.95,,
24,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,2.03,,
25,1,True,0,13,0,15,1,,,,catch,0,0,,0,0,1.55,,
26,1,True,0,13,0,16,1,,,,catch,0,0,,0,0,1.67,,
27,1,True,1,12,0,15,0,,,,catch,0,0,,0,0,1.54,,
28,1,True,0,13,0,6,1,,,,catch,0,0,,0,0,3.45,,
29,1,True,0,13,0,39,1,,,,catch,0,0,,0,0,1.94,,
30,1,True,1,12,0,43,0,,,,catch,0,0,,0,0,1.67,,
31,2,True,0,13,0,21,1,,,,catch,0,0,,0,0,1.66,,
32,2,True,0,13,0,22,1,,,,catch,0,0,,0,0,1.51,,
33,2,True,1,12,1,30,1,,,,catch,0,0,,0,0,1.68,,
34,2,True,1,12,1,29,1,,,,catch,0,0,,0,0,1.49,,
35,2,True,0,11,0,19,1,,,,catch,0,0,,0,0,1.34,,
36,2,True,0,11,0,18,1,,,,catch,0,0,,0,0,1.34,,
37,2,True,0,10,0,36,1,,,,catch,0,0,,0,0,1.82,,
38,2,True,0,10,0,44,1,,,,catch,0,0,,0,0,1.53,,
39,2,True,0,9,0,48,1,,,,catch,0,0,,0,0,1.72,,
40,2,True,1,9,0,50,0,,,,catch,0,0,,0,0,1.78,,
41,2,True,0,10,0,40,1,,,,catch,0,0,,0,0,1.98,,
42,2,True,1,10,1,29,1,,,,catch,0,0,,0,0,2.7,,
43,2,True,0,9,1,26,0,,,,catch,0,0,,0,0,1.71,,
44,2,True,1,10,0,28,0,,,,catch,0,0,,0,0,1.37,,
45,2,True,0,11,1,19,0,,,,catch,0,0,,0,0,2.24,,
46,2,True,1,12,0,3,0,,,,catch,0,0,,0,0,2.28,,
47,2,True,0,13,0,30,1,,,,catch,0,0,,0,0,1.62,,
48,2,True,0,13,0,34,1,,,,catch,0,0,,0,0,1.31,,
49,2,True,0,12,0,42,1,,,,catch,0,0,,0,0,1.36,,
50,2,True,1,12,0,42,0,,,,catch,0,0,,0,0,1.81,,
51,2,True,1,13,0,30,0,,,,catch,0,0,,0,0,1.63,,
52,2,True,0,14,0,37,1,,,,catch,0,0,,0,0,1.84,,
53,2,True,1,14,1,20,1,,,,catch,0,0,,0,0,1.65,,
54,2,True,0,13,0,23,1,,,,catch,0,0,,0,0,1.34,,
55,2,True,0,13,0,15,1,,,,catch,0,0,,0,0,1.17,,
