trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,10.41,,
2,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,7.93,,
3,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,2.43,,
4,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,4.49,,
5,1,True,1,14,1,12,1,,,,catch,0,0,,0,0,5.15,,
6,1,True,1,14,0,15,0,,,,catch,0,0,,0,0,3.07,,
7,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,4.49,,
8,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,3.15,,
9,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,2.37,,
10,1,True,0,15,1,35,0,,,,catch,0,0,,0,0,4.41,,
11,1,True,0,15,1,23,0,,,,catch,0,0,,0,0,4.97,,
12,1,True,1,15,1,40,1,,,,catch,0,0,,0,0,2.05,,
13,1,True,1,15,1,36,1,,,,catch,0,0,,0,0,2.67,,
14,1,True,0,14,1,3,0,,,,catch,0,0,,0,0,2.54,,
15,1,True,1,15,1,29,1,,,,catch,0,0,,0,0,3.33,,
16,1,True,0,15,1,36,0,,,,catch,0,0,,0,0,1.89,,
17,1,True,0,15,1,44,0,,,,catch,0,0,,0,0,1.99,,
18,1,True,1,15,1,45,1,,,,catch,0,0,,0,0,2.83,,
19,1,True,0,15,0,31,1,,,,catch,0,0,,0,0,2.09,,
20,1,True,1,14,1,9,1,,,,catch,0,0,,0,0,2.63,,
21,1,True,1,14,1,36,1,,,,catch,0,0,,0,0,2.25,,
22,1,True,0,13,1,7,0,,,,catch,0,0,,0,0,3.35,,
23,1,True,1,14,1,10,1,,,,catch,0,0,,0,0,1.8,,
24,1,True,1,14,0,10,0,,,,catch,0,0,,0,0,1.89,,
25,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,3.29,,
26,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,2.87,,
27,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,4.52,,
28,1,True,1,15,1,36,1,,,,catch,0,0,,0,0,1.96,,
29,1,True,0,15,0,25,1,,,,catch,0,0,,0,0,2.15,,
30,1,True,1,14,1,33,1,,,,catch,0,0,,0,0,1.81,,
31,2,True,0,14,1,2,0,,,,catch,0,0,,0,0,2.22,,
32,2,True,1,15,1,41,1,,,,catch,0,0,,0,0,3.36,,
33,2,True,1,15,1,39,1,,,,catch,0,0,,0,0,1.93,,
34,2,True,1,14,0,2,0,,,,catch,0,0,,0,0,3.09,,
35,2,True,0,15,1,5,0,,,,catch,0,0,,0,0,3.05,,
36,2,True,1,15,1,33,1,,,,catch,0,0,,0,0,2.82,,
37,2,True,0,15,0,15,1,,,,catch,0,0,,0,0,2.03,,
38,2,True,0,14,0,14,1,,,,catch,0,0,,0,0,2.17,,
39,2,True,1,14,1,37,1,,,,catch,0,0,,0,0,2.12,,
40,2,True,0,13,0,16,1,,,,catch,0,0,,0,0,2.35,,
41,2,True,1,13,1,37,1,,,,catch,0,0,,0,0,2.01,,
42,2,True,1,12,1,43,1,,,,catch,0,0,,0,0,1.69,,
43,2,True,0,12,1,3,0,,,,catch,0,0,,0,0,2.09,,
44,2,True,1,13,1,41,1,,,,catch,0,0,,0,0,1.77,,
45,2,True,0,13,0,17,1,,,,catch,0,0,,0,0,1.94,,
46,2,True,0,12,0,3,1,,,,catch,0,0,,0,0,2.17,,
47,2,True,0,12,0,9,1,,,,catch,0,0,,0,0,1.81,,
48,2,True,1,11,1,24,1,,,,catch,0,0,,0,0,2.15,,
49,2,True,0,11,1,2,0,,,,catch,0,0,,0,0,2.21,,
50,2,True,1,12,1,2,1,,,,catch,0,0,,0,0,3.12,,
51,2,True,0,12,0,15,1,,,,catch,0,0,,0,0,1.61,,
52,2,True,0,11,0,22,1,,,,catch,0,0,,0,0,1.75,,
53,2,True,1,11,1,34,1,,,,catch,0,0,,0,0,2.71,,
54,2,True,1,10,1,3,1,,,,catch,0,0,,0,0,3.86,,
55,2,True,1,10,1,6,1,,,,catch,0,0,,0,0,2.87,,
56,2,True,1,9,1,48,1,,,,catch,0,0,,0,0,2.22,,
57,2,True,0,9,1,5,0,,,,catch,0,0,,0,0,2.49,,
58,2,True,0,10,1,4,0,,,,catch,0,0,,0,0,3.66,,
