trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,8.04,,
2,1,True,0,15,1,14,0,,,,catch,0,0,,0,0,6.28,,
3,1,True,0,15,0,14,1,,,,catch,0,0,,0,0,4.03,,
4,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,3.79,,
5,1,True,0,15,1,10,0,,,,catch,0,0,,0,0,3.96,,
6,1,True,0,15,0,15,1,,,,catch,0,0,,0,0,7.14,,
7,1,True,0,15,0,16,1,,,,catch,0,0,,0,0,5.78,,
8,1,True,1,14,0,16,0,,,,catch,0,0,,0,0,6.64,,
9,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,11.29,,
10,1,True,0,15,0,16,1,,,,catch,0,0,,0,0,2.74,,
11,1,True,1,14,0,17,0,,,,catch,0,0,,0,0,2.59,,
12,1,True,0,15,0,16,1,,,,catch,0,0,,0,0,3.28,,
13,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,6.28,,
14,1,True,0,14,0,12,1,,,,catch,0,0,,0,0,2.32,,
15,1,True,0,14,0,13,1,,,,catch,0,0,,0,0,1.98,,
16,1,True,0,13,1,14,0,,,,catch,0,0,,0,0,2.41,,
17,1,True,1,14,0,11,0,,,,catch,0,0,,0,0,1.95,,
18,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,4.44,,
19,1,True,0,15,0,13,1,,,,catch,0,0,,0,0,6.61,,
20,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,3.02,,
21,1,True,1,14,0,10,0,,,,catch,0,0,,0,0,1.72,,
22,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,2.09,,
23,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,2.12,,
24,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,234.8,,
25,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,4.99,,
26,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,1.89,,
