trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,34,1,,,,catch,0,0,,0,0,36.23,,
2,1,True,0,15,0,22,1,,,,catch,0,0,,0,0,3.94,,
3,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,139.4,,
4,1,True,0,14,0,17,1,,,,catch,0,0,,0,0,4.08,,
5,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,3.28,,
6,1,True,0,13,0,25,1,,,,catch,0,0,,0,0,2.85,,
7,1,True,0,13,0,30,1,,,,catch,0,0,,0,0,2.69,,
8,1,True,0,12,1,11,0,,,,catch,0,0,,0,0,2.87,,
9,1,True,0,13,0,30,1,,,,catch,0,0,,0,0,2.45,,
10,1,True,1,13,0,38,0,,,,catch,0,0,,0,0,2.27,,
11,1,True,1,14,1,22,1,,,,catch,0,0,,0,0,1.85,,
12,1,True,1,14,1,36,1,,,,catch,0,0,,0,0,2.09,,
13,1,True,0,13,0,24,1,,,,catch,0,0,,0,0,2.02,,
14,1,True,0,13,1,13,0,,,,catch,0,0,,0,0,31.41,,
15,1,True,0,14,1,31,0,,,,catch,0,0,,0,0,2.07,,
16,1,True,0,15,0,22,1,,,,catch,0,0,,0,0,2.2,,
17,1,True,0,15,1,27,0,,,,catch,0,0,,0,0,1.8,,
18,1,True,0,15,1,28,0,,,,catch,0,0,,0,0,1.65,,
19,1,True,0,15,1,28,0,,,,catch,0,0,,0,0,1.71,,
20,1,True,1,15,1,27,1,,,,catch,0,0,,0,0,2.71,,
21,1,True,1,15,1,33,1,,,,catch,0,0,,0,0,2.08,,
22,1,True,1,14,1,40,1,,,,catch,0,0,,0,0,2.44,,
23,1,True,1,14,1,33,1,,,,catch,0,0,,0,0,1.68,,
24,1,True,1,13,1,50,1,,,,catch,0,0,,0,0,2.01,,
25,1,True,1,13,1,50,1,,,,catch,0,0,,0,0,2.59,,
26,1,True,1,12,1,35,1,,,,catch,0,0,,0,0,1.89,,
27,1,True,1,12,1,20,1,,,,catch,0,0,,0,0,5.75,,
28,1,True,1,11,1,19,1,,,,catch,0,0,,0,0,1.44,,
29,1,True,1,11,0,21,0,,,,catch,0,0,,0,0,1.91,,
30,1,True,1,12,1,50,1,,,,catch,0,0,,0,0,2.39,,
31,2,True,1,12,1,38,1,,,,catch,0,0,,0,0,3.76,,
32,2,True,0,11,1,43,0,,,,catch,0,0,,0,0,1.96,,
33,2,True,1,12,0,26,0,,,,catch,0,0,,0,0,2.02,,
34,2,True,0,13,0,50,1,,,,catch,0,0,,0,0,2.22,,
35,2,True,1,13,1,50,1,,,,catch,0,0,,0,0,1.69,,
