trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,17,0,,,,catch,0,0,,0,0,4.74,,
2,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,3.12,,
3,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,1.39,,
4,1,True,1,14,1,11,1,,,,catch,0,0,,0,0,0.97,,
5,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,2.34,,
6,1,True,1,13,0,50,0,,,,catch,0,0,,0,0,1.58,,
7,1,True,0,14,1,50,0,,,,catch,0,0,,0,0,1.64,,
8,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,1.95,,
9,1,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.35,,
10,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,1.71,,
11,1,True,1,15,0,50,0,,,,catch,0,0,,0,0,2.88,,
12,1,True,1,15,0,29,0,,,,catch,0,0,,0,0,2.6,,
13,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,7.4,,
14,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.66,,
15,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.27,,
16,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,1.45,,
17,1,True,0,14,1,50,0,,,,catch,0,0,,0,0,1.07,,
18,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.21,,
19,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,1.32,,
20,1,True,0,14,1,50,0,,,,catch,0,0,,0,0,1.24,,
21,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.12,,
22,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,1.29,,
23,1,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.19,,
24,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,1.18,,
25,1,True,1,15,0,50,0,,,,catch,0,0,,0,0,0.99,,
26,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,1.01,,
27,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,1.14,,
28,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,1.36,,
29,1,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.11,,
30,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,1.37,,
31,2,True,0,15,0,47,1,,,,catch,0,0,,0,0,1.86,,
32,2,True,1,14,1,46,1,,,,catch,0,0,,0,0,21.53,,
33,2,True,1,14,0,34,0,,,,catch,0,0,,0,0,1.4,,
34,2,True,0,15,0,45,1,,,,catch,0,0,,0,0,0.97,,
35,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.69,,
36,2,True,1,14,1,50,1,,,,catch,0,0,,0,0,1.23,,
37,2,True,1,14,0,50,0,,,,catch,0,0,,0,0,1.14,,
38,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.28,,
39,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,2.73,,
40,2,True,1,14,1,50,1,,,,catch,0,0,,0,0,1.45,,
41,2,True,0,14,0,50,1,,,,catch,0,0,,0,0,6.11,,
42,2,True,0,13,0,50,1,,,,catch,0,0,,0,0,3.87,,
43,2,True,1,13,1,50,1,,,,catch,0,0,,0,0,4.7,,
44,2,True,1,12,0,50,0,,,,catch,0,0,,0,0,1.5,,
45,2,True,1,13,0,50,0,,,,catch,0,0,,0,0,1.18,,
46,2,True,1,14,0,50,0,,,,catch,0,0,,0,0,10.3,,
47,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,10.71,,
48,2,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.2,,
49,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.05,,
50,2,True,1,15,0,50,0,,,,catch,0,0,,0,0,19.26,,
51,2,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.54,,
52,2,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.41,,
53,2,True,0,15,1,42,0,,,,catch,0,0,,0,0,1.02,,
54,2,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.17,,
55,2,True,0,15,1,50,0,,,,catch,0,0,,0,0,1.36,,
56,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,0.88,,
57,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.15,,
58,2,True,1,14,0,50,0,,,,catch,0,0,,0,0,1.16,,
59,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.04,,
60,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.28,,
61,3,True,1,14,0,50,0,,,,catch,0,0,,0,0,1.48,,
62,3,True,0,15,1,50,0,,,,catch,0,0,,0,0,1.56,,
63,3,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.44,,
64,3,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.11,,
65,3,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.6,,
66,3,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.13,,
67,3,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.04,,
68,3,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.37,,
69,3,True,0,14,0,50,1,,,,catch,0,0,,0,0,1.49,,
70,3,True,0,14,0,50,1,,,,catch,0,0,,0,0,1.18,,
71,3,True,1,13,0,50,0,,,,catch,0,0,,0,0,1.12,,
72,3,True,1,14,0,45,0,,,,catch,0,0,,0,0,1.02,,
73,3,True,1,15,1,50,1,,,,catch,0,0,,0,0,1.3,,
74,3,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.03,,
75,3,True,1,15,0,50,0,,,,catch,0,0,,0,0,0.87,,
76,3,True,1,15,1,50,1,,,,catch,0,0,,0,0,2.41,,
77,3,True,0,15,0,50,1,,,,catch,0,0,,0,0,0.89,,
78,3,True,1,14,1,50,1,,,,catch,0,0,,0,0,0.95,,
79,3,True,1,14,0,50,0,,,,catch,0,0,,0,0,1.03,,
80,3,True,0,15,0,50,1,,,,catch,0,0,,0,0,0.94,,
81,3,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.34,,
82,3,True,0,15,0,50,1,,,,catch,0,0,,0,0,0.9,,
83,3,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.09,,
84,3,True,1,14,1,50,1,,,,catch,0,0,,0,0,1.21,,
85,3,True,0,14,0,50,1,,,,catch,0,0,,0,0,1.19,,
86,3,True,0,13,1,50,0,,,,catch,0,0,,0,0,1.49,,
87,3,True,0,14,0,50,1,,,,catch,0,0,,0,0,0.99,,
88,3,True,1,14,0,50,0,,,,catch,0,0,,0,0,1.04,,
89,3,True,1,15,1,44,1,,,,catch,0,0,,0,0,1.37,,
90,3,True,1,15,0,50,0,,,,catch,0,0,,0,0,0.84,,
91,4,False,0,15,0,50,1,0,50,1,choice,2,2,0,1,0,3.27,6.78,12.6
92,4,False,0,15,0,50,1,0,50,1,force,2,0,0,1,0,1.71,4.71,5.71
93,4,False,0,15,0,50,1,0,50,1,choice,1,2,1,0,0,1.37,2.55,6.61
94,4,False,0,15,0,50,1,0,50,1,force,1,0,0,1,0,1.56,1.49,2.49
95,4,False,1,15,1,50,1,0,50,0,choice,2,1,0,0,0,2.01,1.67,3.91
