trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,5,1,,,,catch,0,0,,0,0,7.09,,
2,1,True,0,15,1,4,0,,,,catch,0,0,,0,0,5.03,,
3,1,True,0,15,1,6,0,,,,catch,0,0,,0,0,5.34,,
4,1,True,0,15,0,24,1,,,,catch,0,0,,0,0,2.99,,
5,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,2.67,,
6,1,True,1,14,1,10,1,,,,catch,0,0,,0,0,4.56,,
7,1,True,0,14,0,21,1,,,,catch,0,0,,0,0,2.51,,
8,1,True,1,13,1,9,1,,,,catch,0,0,,0,0,2.27,,
9,1,True,0,13,0,17,1,,,,catch,0,0,,0,0,3.05,,
10,1,True,1,12,1,19,1,,,,catch,0,0,,0,0,2.68,,
11,1,True,0,12,1,23,0,,,,catch,0,0,,0,0,3.08,,
12,1,True,0,13,0,31,1,,,,catch,0,0,,0,0,2.3,,
13,1,True,1,13,1,25,1,,,,catch,0,0,,0,0,2.18,,
14,1,True,1,12,0,16,0,,,,catch,0,0,,0,0,2.93,,
15,1,True,1,13,1,13,1,,,,catch,0,0,,0,0,2.05,,
16,1,True,0,13,0,29,1,,,,catch,0,0,,0,0,2.46,,
17,1,True,1,12,1,11,1,,,,catch,0,0,,0,0,2.15,,
18,1,True,0,12,0,13,1,,,,catch,0,0,,0,0,2.51,,
19,1,True,0,11,0,29,1,,,,catch,0,0,,0,0,2.38,,
20,1,True,1,11,0,15,0,,,,catch,0,0,,0,0,3.54,,
21,1,True,1,12,1,25,1,,,,catch,0,0,,0,0,2.6,,
22,1,True,0,12,0,29,1,,,,catch,0,0,,0,0,2.63,,
23,1,True,1,11,1,11,1,,,,catch,0,0,,0,0,3.49,,
24,1,True,1,11,0,10,0,,,,catch,0,0,,0,0,3.35,,
25,1,True,1,12,1,8,1,,,,catch,0,0,,0,0,3.52,,
26,1,True,1,12,0,18,0,,,,catch,0,0,,0,0,2.35,,
27,1,True,0,13,0,37,1,,,,catch,0,0,,0,0,2.39,,
28,1,True,0,13,0,29,1,,,,catch,0,0,,0,0,2.51,,
29,1,True,1,12,1,37,1,,,,catch,0,0,,0,0,2.76,,
30,1,True,0,12,0,25,1,,,,catch,0,0,,0,0,2.07,,
31,2,True,0,11,0,10,1,,,,catch,0,0,,0,0,2.66,,
32,2,True,0,11,0,20,1,,,,catch,0,0,,0,0,2.32,,
33,2,True,1,10,0,22,0,,,,catch,0,0,,0,0,2.16,,
34,2,True,0,11,0,9,1,,,,catch,0,0,,0,0,1.94,,
35,2,True,0,11,0,7,1,,,,catch,0,0,,0,0,2.55,,
36,2,True,0,10,0,11,1,,,,catch,0,0,,0,0,3.29,,
37,2,True,0,10,1,13,0,,,,catch,0,0,,0,0,1.96,,
38,2,True,0,11,0,28,1,,,,catch,0,0,,0,0,2.18,,
39,2,True,0,11,1,24,0,,,,catch,0,0,,0,0,2.21,,
40,2,True,0,12,0,18,1,,,,catch,0,0,,0,0,2.08,,
