trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,21.39,,
2,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,7.06,,
3,1,True,1,15,0,30,0,,,,catch,0,0,,0,0,3.71,,
4,1,True,0,15,0,47,1,,,,catch,0,0,,0,0,2.73,,
5,1,True,1,15,1,29,1,,,,catch,0,0,,0,0,2.87,,
6,1,True,0,14,0,40,1,,,,catch,0,0,,0,0,2.08,,
7,1,True,1,14,1,44,1,,,,catch,0,0,,0,0,3.45,,
8,1,True,1,13,0,45,0,,,,catch,0,0,,0,0,2.14,,
9,1,True,0,14,0,42,1,,,,catch,0,0,,0,0,2.54,,
10,1,True,1,14,0,45,0,,,,catch,0,0,,0,0,2.49,,
11,1,True,1,15,1,30,1,,,,catch,0,0,,0,0,2.88,,
12,1,True,1,15,1,37,1,,,,catch,0,0,,0,0,2.68,,
13,1,True,1,14,0,48,0,,,,catch,0,0,,0,0,2.08,,
14,1,True,0,15,1,35,0,,,,catch,0,0,,0,0,2.61,,
15,1,True,0,15,0,43,1,,,,catch,0,0,,0,0,2.23,,
16,1,True,1,15,0,35,0,,,,catch,0,0,,0,0,2.37,,
17,1,True,0,15,0,36,1,,,,catch,0,0,,0,0,2.09,,
18,1,True,0,15,0,41,1,,,,catch,0,0,,0,0,3.26,,
19,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,2.11,,
20,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,2.21,,
21,1,True,0,13,0,50,1,,,,catch,0,0,,0,0,2.48,,
22,1,True,1,13,0,50,0,,,,catch,0,0,,0,0,2.24,,
23,1,True,0,14,0,34,1,,,,catch,0,0,,0,0,5.37,,
24,1,True,0,14,0,39,1,,,,catch,0,0,,0,0,1.84,,
25,1,True,0,13,1,26,0,,,,catch,0,0,,0,0,2.12,,
26,1,True,1,14,0,40,0,,,,catch,0,0,,0,0,1.69,,
27,1,True,1,15,0,38,0,,,,catch,0,0,,0,0,1.8,,
28,1,True,1,15,0,32,0,,,,catch,0,0,,0,0,2.21,,
29,1,True,1,15,1,30,1,,,,catch,0,0,,0,0,1.7,,
30,1,True,0,15,1,32,0,,,,catch,0,0,,0,0,2.19,,
31,2,True,1,15,0,36,0,,,,catch,0,0,,0,0,1.92,,
32,2,True,1,15,0,37,0,,,,catch,0,0,,0,0,1.4,,
33,2,True,1,15,1,28,1,,,,catch,0,0,,0,0,4.18,,
34,2,True,1,15,0,6,0,,,,catch,0,0,,0,0,4.36,,
35,2,True,1,15,0,31,0,,,,catch,0,0,,0,0,2.06,,
36,2,True,0,15,0,13,1,,,,catch,0,0,,0,0,8.56,,
37,2,True,1,15,1,34,1,,,,catch,0,0,,0,0,1.58,,
38,2,True,0,14,1,30,0,,,,catch,0,0,,0,0,2.22,,
39,2,True,0,15,0,25,1,,,,catch,0,0,,0,0,1.43,,
40,2,True,1,15,0,30,0,,,,catch,0,0,,0,0,1.63,,
41,2,True,0,15,0,22,1,,,,catch,0,0,,0,0,1.88,,
42,2,True,0,15,0,38,1,,,,catch,0,0,,0,0,1.8,,
43,2,True,1,14,1,29,1,,,,catch,0,0,,0,0,1.85,,
44,2,True,0,14,1,31,0,,,,catch,0,0,,0,0,2.08,,
45,2,True,1,15,0,31,0,,,,catch,0,0,,0,0,1.51,,
46,2,True,0,15,0,37,1,,,,catch,0,0,,0,0,1.42,,
47,2,True,0,15,0,31,1,,,,catch,0,0,,0,0,1.43,,
48,2,True,0,14,1,39,0,,,,catch,0,0,,0,0,1.22,,
49,2,True,1,15,1,24,1,,,,catch,0,0,,0,0,1.55,,
50,2,True,0,15,0,31,1,,,,catch,0,0,,0,0,1.52,,
51,2,True,0,14,0,28,1,,,,catch,0,0,,0,0,1.39,,
52,2,True,0,14,1,33,0,,,,catch,0,0,,0,0,2.0,,
53,2,True,0,15,0,32,1,,,,catch,0,0,,0,0,1.74,,
54,2,True,1,15,1,30,1,,,,catch,0,0,,0,0,1.41,,
55,2,True,1,14,0,43,0,,,,catch,0,0,,0,0,1.61,,
56,2,True,1,15,1,44,1,,,,catch,0,0,,0,0,2.36,,
57,2,True,1,15,1,30,1,,,,catch,0,0,,0,0,1.94,,
58,2,True,1,14,1,43,1,,,,catch,0,0,,0,0,3.78,,
59,2,True,1,14,0,33,0,,,,catch,0,0,,0,0,1.62,,
60,2,True,1,15,1,41,1,,,,catch,0,0,,0,0,2.65,,
61,3,True,1,15,1,19,1,,,,catch,0,0,,0,0,1.49,,
62,3,True,1,14,0,21,0,,,,catch,0,0,,0,0,1.79,,
