trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,30,0,,,,catch,0,0,,0,0,3.81,,
2,1,True,0,15,0,35,1,,,,catch,0,0,,0,0,1.22,,
3,1,True,0,15,0,37,1,,,,catch,0,0,,0,0,1.26,,
4,1,True,1,14,0,41,0,,,,catch,0,0,,0,0,1.21,,
5,1,True,1,15,1,19,1,,,,catch,0,0,,0,0,1.45,,
6,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,1.17,,
7,1,True,1,14,1,20,1,,,,catch,0,0,,0,0,0.89,,
8,1,True,0,14,0,24,1,,,,catch,0,0,,0,0,1.46,,
9,1,True,1,13,1,15,1,,,,catch,0,0,,0,0,0.9,,
10,1,True,1,13,1,9,1,,,,catch,0,0,,0,0,1.64,,
11,1,True,0,12,0,33,1,,,,catch,0,0,,0,0,3.07,,
12,1,True,0,12,0,33,1,,,,catch,0,0,,0,0,0.96,,
13,1,True,1,11,1,24,1,,,,catch,0,0,,0,0,1.13,,
14,1,True,1,11,0,7,0,,,,catch,0,0,,0,0,1.81,,
15,1,True,0,12,0,6,1,,,,catch,0,0,,0,0,1.21,,
16,1,True,0,12,0,34,1,,,,catch,0,0,,0,0,0.96,,
17,1,True,0,11,0,31,1,,,,catch,0,0,,0,0,0.88,,
18,1,True,1,11,1,24,1,,,,catch,0,0,,0,0,1.33,,
19,1,True,1,10,1,22,1,,,,catch,0,0,,0,0,0.93,,
20,1,True,1,10,1,20,1,,,,catch,0,0,,0,0,1.36,,
21,1,True,0,9,0,29,1,,,,catch,0,0,,0,0,0.95,,
22,1,True,1,9,1,35,1,,,,catch,0,0,,0,0,1.58,,
23,1,True,1,8,1,10,1,,,,catch,0,0,,0,0,1.0,,
24,1,True,1,8,1,25,1,,,,catch,0,0,,0,0,0.99,,
25,1,True,0,7,0,40,1,,,,catch,0,0,,0,0,1.06,,
26,1,True,1,7,1,21,1,,,,catch,0,0,,0,0,1.72,,
27,1,True,0,6,0,28,1,,,,catch,0,0,,0,0,1.09,,
28,1,True,0,6,0,26,1,,,,catch,0,0,,0,0,1.02,,
29,1,True,0,5,0,36,1,,,,catch,0,0,,0,0,1.51,,
30,1,True,0,5,0,33,1,,,,catch,0,0,,0,0,2.26,,
31,2,True,1,4,0,27,0,,,,catch,0,0,,0,0,1.24,,
32,2,True,1,5,1,23,1,,,,catch,0,0,,0,0,1.01,,
33,2,True,1,5,1,9,1,,,,catch,0,0,,0,0,1.75,,
34,2,True,0,4,0,23,1,,,,catch,0,0,,0,0,1.26,,
35,2,True,1,4,0,34,0,,,,catch,0,0,,0,0,0.94,,
36,2,True,1,5,0,23,0,,,,catch,0,0,,0,0,0.92,,
37,2,True,1,6,0,18,0,,,,catch,0,0,,0,0,1.24,,
38,2,True,1,7,1,21,1,,,,catch,0,0,,0,0,0.99,,
39,2,True,1,7,0,10,0,,,,catch,0,0,,0,0,1.75,,
40,2,True,0,8,1,8,0,,,,catch,0,0,,0,0,1.64,,
41,2,True,0,9,0,26,1,,,,catch,0,0,,0,0,0.98,,
42,2,True,0,9,0,25,1,,,,catch,0,0,,0,0,0.93,,
43,2,True,1,8,1,9,1,,,,catch,0,0,,0,0,1.11,,
44,2,True,1,8,0,21,0,,,,catch,0,0,,0,0,0.99,,
45,2,True,1,9,1,28,1,,,,catch,0,0,,0,0,1.54,,
46,2,True,1,9,0,31,0,,,,catch,0,0,,0,0,1.63,,
47,2,True,1,10,1,14,1,,,,catch,0,0,,0,0,1.08,,
48,2,True,0,10,0,28,1,,,,catch,0,0,,0,0,1.11,,
49,2,True,1,9,1,20,1,,,,catch,0,0,,0,0,1.97,,
50,2,True,0,9,1,25,0,,,,catch,0,0,,0,0,1.0,,
51,2,True,0,10,0,20,1,,,,catch,0,0,,0,0,1.76,,
52,2,True,1,10,0,3,0,,,,catch,0,0,,0,0,1.35,,
53,2,True,1,11,0,15,0,,,,catch,0,0,,0,0,2.03,,
54,2,True,0,12,1,5,0,,,,catch,0,0,,0,0,1.3,,
55,2,True,0,13,0,6,1,,,,catch,0,0,,0,0,1.31,,
56,2,True,0,13,1,6,0,,,,catch,0,0,,0,0,1.45,,
57,2,True,0,14,0,25,1,,,,catch,0,0,,0,0,1.17,,
58,2,True,0,14,0,25,1,,,,catch,0,0,,0,0,1.24,,
59,2,True,1,13,1,25,1,,,,catch,0,0,,0,0,0.98,,
60,2,True,1,13,1,8,1,,,,catch,0,0,,0,0,1.46,,
61,3,True,1,12,1,9,1,,,,catch,0,0,,0,0,1.59,,
62,3,True,0,12,1,7,0,,,,catch,0,0,,0,0,1.29,,
63,3,True,1,13,1,21,1,,,,catch,0,0,,0,0,1.22,,
64,3,True,0,13,1,6,0,,,,catch,0,0,,0,0,1.64,,
65,3,True,1,14,0,32,0,,,,catch,0,0,,0,0,1.05,,
66,3,True,1,15,1,24,1,,,,catch,0,0,,0,0,0.92,,
67,3,True,1,15,1,15,1,,,,catch,0,0,,0,0,3.17,,
68,3,True,1,14,1,19,1,,,,catch,0,0,,0,0,1.3,,
69,3,True,1,14,0,23,0,,,,catch,0,0,,0,0,1.2,,
70,3,True,0,15,0,17,1,,,,catch,0,0,,0,0,1.05,,
71,3,True,1,15,1,13,1,,,,catch,0,0,,0,0,1.13,,
72,3,True,1,14,1,13,1,,,,catch,0,0,,0,0,0.94,,
73,3,True,0,14,0,15,1,,,,catch,0,0,,0,0,1.4,,
74,3,True,1,13,1,36,1,,,,catch,0,0,,0,0,1.4,,
75,3,True,1,13,1,27,1,,,,catch,0,0,,0,0,0.83,,
76,3,True,0,12,0,8,1,,,,catch,0,0,,0,0,1.49,,
77,3,True,0,12,0,28,1,,,,catch,0,0,,0,0,1.76,,
78,3,True,1,11,1,15,1,,,,catch,0,0,,0,0,1.24,,
79,3,True,1,11,1,27,1,,,,catch,0,0,,0,0,1.04,,
80,3,True,1,10,1,47,1,,,,catch,0,0,,0,0,1.82,,
81,3,True,0,10,0,12,1,,,,catch,0,0,,0,0,1.99,,
82,3,True,0,9,1,20,0,,,,catch,0,0,,0,0,1.44,,
83,3,True,1,10,1,23,1,,,,catch,0,0,,0,0,0.99,,
84,3,True,0,10,1,30,0,,,,catch,0,0,,0,0,1.26,,
85,3,True,0,11,0,47,1,,,,catch,0,0,,0,0,2.45,,
86,3,True,0,11,0,12,1,,,,catch,0,0,,0,0,2.25,,
87,3,True,1,10,0,6,0,,,,catch,0,0,,0,0,1.62,,
88,3,True,1,11,1,27,1,,,,catch,0,0,,0,0,1.18,,
89,3,True,0,11,0,36,1,,,,catch,0,0,,0,0,1.25,,
90,3,True,1,10,1,30,1,,,,catch,0,0,,0,0,0.98,,
91,4,False,1,10,1,18,1,1,24,1,choice,2,1,1,1,0,1.77,1.27,6.0
92,4,False,1,10,1,27,1,1,28,1,choice,2,1,0,0,0,0.97,1.37,2.94
93,4,False,1,10,1,28,1,1,28,1,choice,2,1,0,0,0,1.0,1.34,2.88
94,4,False,1,10,1,20,1,1,20,1,choice,2,1,0,0,0,1.15,1.58,3.19
95,4,False,0,10,0,26,1,0,26,1,force,1,0,1,0,0,1.69,1.4,2.4
96,4,False,1,10,1,22,1,1,21,1,choice,2,2,1,1,0,1.22,1.72,3.84
97,4,False,1,10,0,28,0,0,28,0,force,2,0,0,0,0,1.44,1.63,2.63
98,4,False,0,10,0,29,1,0,29,1,choice,2,2,0,1,0,1.08,1.26,3.32
99,4,False,1,10,1,39,1,1,39,1,force,2,0,0,0,0,1.18,1.89,2.89
100,4,False,0,10,0,15,1,0,22,1,choice,2,1,0,1,0,1.26,1.52,3.21
101,4,False,1,10,1,36,1,1,36,1,choice,2,1,1,1,0,1.06,1.0,2.95
102,4,False,0,10,1,9,0,0,13,1,choice,2,1,0,1,0,1.24,1.54,3.6
103,4,False,1,10,1,25,1,1,25,1,force,1,0,0,0,0,1.32,1.41,2.41
104,4,False,1,10,1,23,1,1,24,1,force,2,0,1,1,0,1.05,1.62,2.62
105,4,False,0,10,1,32,0,1,28,0,force,1,0,0,1,0,2.09,2.13,3.13
106,4,False,0,10,0,28,1,0,30,1,choice,2,2,1,0,0,1.04,2.27,4.65
107,4,False,1,10,1,25,1,1,26,1,choice,2,2,1,1,0,1.2,1.5,3.52
108,4,False,1,10,1,24,1,1,24,1,choice,2,1,1,1,0,1.02,2.08,4.03
109,4,False,1,10,1,47,1,1,46,1,choice,2,1,1,1,0,1.18,1.5,3.44
110,4,False,0,10,1,35,0,1,35,0,force,2,0,0,1,0,1.08,1.74,2.75
111,4,False,0,10,0,37,1,0,38,1,choice,2,1,1,0,0,1.8,2.17,3.82
112,4,False,1,10,1,36,1,1,37,1,choice,1,1,1,1,0,1.4,1.53,3.29
113,4,False,1,10,0,28,0,0,30,0,choice,2,2,1,1,0,1.1,1.73,3.61
114,4,False,1,10,1,8,1,1,12,1,choice,2,2,1,1,0,1.73,1.45,3.16
115,4,False,1,10,1,17,1,1,17,1,choice,1,2,0,0,0,1.24,1.34,2.97
116,4,False,0,10,0,37,1,0,38,1,force,1,0,1,0,0,1.31,0.95,1.96
117,4,False,0,10,0,5,1,0,11,1,force,1,0,0,1,0,1.32,1.13,2.13
118,4,False,1,10,1,24,1,1,24,1,choice,2,1,1,1,0,1.2,1.19,3.07
119,4,False,0,10,1,23,0,1,24,0,force,2,0,1,0,0,1.28,1.25,2.26
120,4,False,1,10,1,12,1,1,16,1,force,1,0,1,1,0,1.19,1.36,2.36
121,4,False,0,10,1,6,0,1,18,0,force,2,0,0,1,0,1.49,1.07,2.07
122,4,False,0,10,0,4,1,0,10,1,force,1,0,0,1,0,1.24,1.51,2.51
123,4,False,0,10,0,16,1,0,17,1,force,2,0,0,1,0,1.09,1.52,2.52
124,4,False,1,10,1,21,1,1,21,1,choice,2,1,0,0,0,1.16,1.89,3.75
125,4,False,1,10,1,18,1,1,20,1,force,1,0,1,1,0,1.64,1.95,2.96
126,4,False,1,10,0,11,0,1,13,1,force,2,0,1,1,0,2.25,1.1,2.1
127,4,False,1,10,1,15,1,1,13,1,choice,2,2,1,1,0,1.24,2.03,4.12
128,4,False,0,10,0,29,1,0,28,1,choice,2,1,0,1,0,1.3,1.25,3.21
129,4,False,1,10,1,12,1,1,14,1,choice,2,2,1,1,0,1.34,1.07,2.75
130,4,False,0,10,0,16,1,0,29,1,choice,2,1,0,1,0,1.67,1.43,3.13
131,4,False,1,10,1,12,1,1,21,1,choice,2,1,1,1,0,1.19,0.75,2.35
132,4,False,0,10,0,21,1,0,28,1,choice,2,2,0,1,0,2.0,1.44,3.38
133,4,False,1,10,1,38,1,1,39,1,choice,2,1,1,1,0,1.96,0.94,2.8
134,4,False,1,10,1,37,1,1,38,1,choice,1,2,1,1,0,1.48,1.09,3.09
135,4,False,1,10,1,15,1,1,18,1,force,1,0,1,1,0,1.48,1.55,2.55
136,4,False,0,10,0,7,1,0,13,1,choice,1,2,0,1,0,1.74,0.93,2.59
137,4,False,1,10,1,25,1,1,25,1,choice,2,2,0,0,0,1.08,1.42,3.49
138,4,False,0,10,0,15,1,1,13,0,choice,2,2,1,0,0,2.08,1.87,3.99
139,4,False,1,10,1,18,1,1,20,1,choice,2,2,0,0,0,1.11,1.34,3.05
140,4,False,0,10,0,35,1,0,35,1,choice,2,2,1,0,0,1.54,1.6,3.12
141,4,False,0,10,1,26,0,1,25,0,choice,2,2,0,1,0,1.28,1.34,3.06
142,4,False,1,10,1,24,1,1,26,1,choice,1,2,1,1,0,1.08,1.07,2.75
143,4,False,0,10,1,22,0,1,23,0,choice,2,2,0,1,0,1.39,1.68,3.33
144,4,False,0,10,1,19,0,1,20,0,choice,1,2,0,1,0,2.72,1.38,3.33
145,4,False,1,10,0,36,0,0,36,0,force,2,0,1,1,0,2.0,1.54,2.54
146,4,False,1,10,1,21,1,1,26,1,choice,2,2,1,1,0,2.39,1.09,2.66
147,4,False,1,10,1,19,1,1,21,1,force,2,0,1,1,0,1.35,2.6,3.6
148,4,False,1,10,1,14,1,1,15,1,choice,2,1,1,1,0,2.08,1.63,3.38
149,4,False,0,10,0,26,1,0,28,1,choice,2,1,1,0,0,1.48,2.02,3.85
150,4,False,1,10,1,12,1,1,19,1,force,1,0,0,0,0,1.49,0.96,1.97
151,5,False,0,10,0,28,1,0,27,1,choice,2,2,0,1,0,1.44,1.58,3.4
152,5,False,0,10,0,35,1,0,34,1,choice,2,2,0,1,0,1.71,1.16,2.73
153,5,False,1,10,1,17,1,1,24,1,force,2,0,1,1,0,1.29,1.85,2.85
154,5,False,1,10,1,19,1,1,21,1,choice,2,1,0,0,0,1.69,1.19,3.39
155,5,False,1,10,1,22,1,1,22,1,choice,2,1,1,1,0,1.19,1.76,3.65
156,5,False,1,10,0,32,0,0,31,0,force,1,0,1,1,0,1.09,1.58,2.59
157,5,False,0,10,0,31,1,0,30,1,choice,2,1,0,1,0,1.3,1.04,2.96
158,5,False,0,10,1,26,0,1,28,0,choice,2,2,1,0,0,1.29,1.64,3.5
159,5,False,0,10,1,27,0,1,26,0,choice,2,1,1,0,0,1.16,1.9,3.75
160,5,False,1,10,1,27,1,1,28,1,choice,2,1,1,1,0,1.01,1.53,3.59
161,5,False,1,10,0,27,0,0,26,0,force,1,0,1,1,0,1.51,1.19,2.19
162,5,False,1,10,1,41,1,1,40,1,choice,2,2,0,0,0,1.25,0.94,2.68
163,5,False,1,10,1,35,1,1,35,1,choice,2,2,1,1,0,1.95,1.37,2.97
164,5,False,1,10,1,39,1,1,39,1,force,2,0,1,1,0,1.3,1.69,2.69
165,5,False,1,10,1,25,1,1,25,1,choice,2,2,0,0,0,2.17,1.28,2.78
166,5,False,1,10,1,23,1,1,23,1,force,2,0,0,0,0,1.36,1.17,2.17
167,5,False,0,10,0,29,1,0,29,1,choice,2,2,1,0,0,1.96,1.86,3.38
168,5,False,0,10,1,25,0,1,24,0,choice,2,2,1,0,0,1.85,1.02,2.78
169,5,False,1,10,1,26,1,1,25,1,force,1,0,0,0,0,1.1,0.96,1.97
170,5,False,1,10,1,26,1,1,26,1,force,2,0,1,1,0,1.18,1.82,2.82
171,5,False,1,10,1,34,1,1,34,1,force,1,0,1,1,0,1.85,2.5,3.5
172,5,False,0,10,0,36,1,0,35,1,choice,1,2,0,1,0,1.15,1.39,3.13
173,5,False,1,10,0,31,0,0,32,0,force,1,0,0,0,0,1.24,1.49,2.49
174,5,False,0,10,1,24,0,1,24,0,choice,2,2,0,1,0,1.93,2.0,3.98
175,5,False,1,10,0,24,0,0,25,0,choice,2,2,0,0,0,1.32,1.1,2.89
176,5,False,1,10,0,26,0,0,26,0,choice,1,2,1,1,0,1.09,0.87,2.51
177,5,False,0,10,0,33,1,0,34,1,choice,1,2,0,1,0,1.12,1.45,3.07
178,5,False,1,10,1,29,1,1,29,1,choice,1,2,1,1,0,1.59,0.71,2.46
179,5,False,1,10,1,28,1,1,28,1,choice,2,2,1,1,0,1.31,1.05,2.59
180,5,False,0,10,1,5,0,1,6,0,choice,1,2,1,0,0,1.15,1.39,2.86
181,5,False,0,10,1,15,0,1,14,0,choice,2,2,0,1,0,1.93,0.86,2.42
182,5,False,1,10,1,17,1,1,18,1,force,1,0,1,1,0,1.18,1.55,2.55
183,5,False,0,10,0,28,1,0,27,1,choice,1,2,0,1,0,1.13,1.23,2.98
184,5,False,1,10,1,26,1,1,25,1,choice,1,2,1,1,0,1.5,1.48,3.22
185,5,False,0,10,1,18,0,1,20,0,choice,1,2,0,1,0,1.1,1.61,3.22
186,5,False,0,10,0,27,1,0,28,1,choice,2,2,0,1,0,1.34,1.57,3.17
187,5,False,1,10,1,25,1,1,24,1,force,2,0,1,1,0,1.07,1.75,2.75
188,5,False,0,10,0,30,1,0,31,1,choice,1,2,0,1,0,1.46,1.24,2.78
189,5,False,1,10,0,38,0,0,38,0,choice,1,2,1,1,0,1.25,1.36,3.08
190,5,False,0,10,0,36,1,0,36,1,force,2,0,1,0,0,1.33,1.42,2.42
191,5,False,1,10,0,31,0,0,32,0,choice,1,2,1,1,0,2.59,1.52,3.27
192,5,False,1,10,1,24,1,1,30,1,force,1,0,1,1,0,1.87,1.28,2.28
193,5,False,1,10,1,27,1,1,27,1,force,2,0,0,0,0,0.99,1.14,2.14
194,5,False,0,10,0,32,1,0,30,1,choice,2,2,0,1,0,1.2,2.04,4.21
195,5,False,1,10,1,28,1,1,29,1,choice,1,2,0,0,0,1.09,0.96,2.67
196,5,False,0,10,0,32,1,0,31,1,force,1,0,0,1,0,1.16,1.44,2.45
197,5,False,0,10,0,35,1,0,37,1,choice,1,2,0,1,0,1.18,2.62,4.34
198,5,False,0,10,0,24,1,0,26,1,force,1,0,1,0,0,1.13,1.11,2.11
199,5,False,1,10,1,21,1,1,21,1,choice,1,2,0,0,0,2.57,0.85,2.99
200,5,False,1,10,0,29,0,0,29,0,choice,1,2,0,0,0,1.11,1.37,3.15
201,5,False,1,10,1,34,1,1,33,1,choice,2,2,1,1,0,1.12,1.01,2.6
202,5,False,0,10,0,32,1,0,32,1,force,2,0,1,0,0,1.12,1.65,2.65
203,5,False,1,10,1,31,1,1,30,1,force,2,0,1,1,0,1.27,1.73,2.73
204,5,False,1,10,1,28,1,1,26,1,force,1,0,1,1,0,1.13,1.85,2.85
205,5,False,0,10,0,39,1,0,39,1,force,1,0,0,1,0,1.15,1.53,2.53
206,5,False,1,10,1,27,1,1,30,1,choice,1,2,1,1,0,1.49,1.22,3.1
207,5,False,0,10,0,30,1,0,28,1,choice,2,2,1,0,0,1.54,1.69,3.55
208,5,False,1,10,1,31,1,1,32,1,choice,2,2,0,0,0,1.06,2.54,4.57
209,5,False,1,10,1,28,1,1,28,1,choice,1,2,0,0,0,0.94,1.55,3.26
210,5,False,1,10,1,25,1,1,24,1,choice,2,2,1,1,0,1.71,1.24,2.96
211,6,False,0,10,1,20,0,1,19,0,choice,2,2,0,1,0,1.27,0.91,2.45
212,6,False,0,10,1,21,0,1,21,0,force,2,0,0,1,0,1.2,1.02,2.02
213,6,False,0,10,1,23,0,1,23,0,choice,1,2,0,1,0,0.91,1.24,2.98
214,6,False,0,10,1,24,0,1,24,0,choice,1,2,1,0,0,1.02,0.94,2.47
215,6,False,0,10,0,21,1,0,20,1,force,1,0,0,1,0,1.17,1.1,2.1
216,6,False,0,10,1,41,0,1,41,0,choice,1,2,0,1,0,1.56,0.9,2.89
217,6,False,1,10,1,33,1,1,36,1,force,2,0,0,0,0,1.51,0.8,1.8
218,6,False,1,10,1,28,1,1,28,1,choice,2,2,1,1,0,0.98,1.22,3.19
219,6,False,0,10,1,29,0,1,29,0,force,2,0,0,1,0,1.6,2.96,3.96
220,6,False,1,10,1,27,1,1,28,1,choice,1,2,0,0,0,0.95,1.27,2.96
221,6,False,1,10,1,28,1,1,29,1,choice,2,2,1,1,0,1.37,0.78,2.7
222,6,False,1,10,1,9,1,1,10,1,choice,2,2,0,0,0,1.61,0.94,2.55
223,6,False,1,10,1,24,1,1,26,1,force,1,0,0,0,0,1.24,1.22,2.22
224,6,False,1,10,1,41,1,1,41,1,choice,1,2,1,1,0,1.56,1.35,3.69
225,6,False,1,10,1,36,1,1,36,1,choice,2,2,1,1,0,0.93,1.23,3.01
226,6,False,0,10,1,35,0,1,36,0,choice,2,2,0,1,0,1.28,1.29,3.42
227,6,False,1,10,1,30,1,1,30,1,choice,1,2,0,0,0,0.93,1.0,2.65
228,6,False,0,10,1,23,0,1,24,0,force,2,0,1,0,0,1.27,1.08,2.08
229,6,False,1,10,1,27,1,1,29,1,force,2,0,1,1,0,1.27,1.12,2.12
230,6,False,1,10,1,27,1,1,27,1,force,1,0,1,1,0,0.84,2.03,3.03
231,6,False,0,10,1,21,0,1,21,0,choice,2,2,1,0,0,1.0,1.06,2.73
232,6,False,0,10,0,34,1,0,37,1,choice,2,2,0,1,0,1.13,1.36,3.01
233,6,False,0,10,1,17,0,1,17,0,choice,1,2,0,1,0,1.06,1.61,3.24
234,6,False,1,10,1,26,1,1,28,1,choice,2,2,1,1,0,1.08,1.69,3.37
235,6,False,1,10,1,41,1,1,42,1,choice,2,2,0,0,0,1.05,1.84,3.44
236,6,False,1,10,1,32,1,1,32,1,choice,1,2,1,1,0,0.93,1.29,2.86
237,6,False,1,10,1,36,1,1,35,1,force,1,0,1,1,0,1.36,1.64,2.64
238,6,False,0,10,1,47,0,1,47,0,choice,1,2,0,1,0,1.31,1.34,2.91
239,6,False,1,10,1,47,1,1,47,1,choice,2,2,1,1,0,1.22,1.61,3.27
240,6,False,1,10,1,44,1,1,44,1,choice,2,2,1,1,0,1.04,1.89,4.24
241,6,False,0,10,0,45,1,0,44,1,force,2,0,0,1,0,1.65,1.52,2.53
242,6,False,0,10,1,27,0,1,26,0,choice,1,2,0,1,0,1.57,2.21,4.05
243,6,False,1,10,1,18,1,1,20,1,force,1,0,1,1,0,1.1,2.17,3.18
244,6,False,1,10,1,41,1,1,41,1,force,1,0,0,0,0,1.2,2.93,3.94
245,6,False,0,10,0,32,1,0,32,1,choice,1,2,0,1,0,1.37,1.57,3.85
246,6,False,0,10,1,29,0,1,29,0,choice,2,2,1,0,0,1.39,1.23,2.97
247,6,False,0,10,0,30,1,0,30,1,choice,2,2,0,1,0,1.18,1.09,2.72
248,6,False,0,10,1,30,0,1,29,0,force,2,0,0,1,0,2.19,1.55,2.55
249,6,False,0,10,0,34,1,0,33,1,choice,2,2,0,1,0,1.15,0.97,2.66
250,6,False,1,10,1,24,1,1,26,1,choice,1,2,0,0,0,1.05,1.31,3.2
251,6,False,0,10,0,30,1,0,30,1,force,1,0,1,0,0,2.63,1.49,2.49
252,6,False,0,10,1,31,0,1,33,0,choice,1,2,0,1,0,1.83,1.25,3.01
253,6,False,1,10,1,32,1,1,33,1,choice,2,2,0,0,0,1.47,1.44,3.11
254,6,False,1,10,1,27,1,1,27,1,choice,1,2,1,1,0,1.46,1.17,2.93
255,6,False,0,10,0,32,1,0,32,1,choice,2,2,0,1,0,2.51,0.92,2.88
256,6,False,0,10,0,41,1,0,42,1,choice,1,2,0,1,0,1.64,0.97,2.5
257,6,False,0,10,0,33,1,0,32,1,choice,2,2,0,1,0,1.46,1.25,3.01
