trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,14,0,,,,catch,0,0,,0,0,8.5,,
2,1,True,1,15,1,13,1,,,,catch,0,0,,0,0,6.32,,
3,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,3.68,,
4,1,True,0,15,1,24,0,,,,catch,0,0,,0,0,4.92,,
5,1,True,1,15,0,25,0,,,,catch,0,0,,0,0,3.76,,
6,1,True,1,15,0,19,0,,,,catch,0,0,,0,0,2.63,,
7,1,True,1,15,0,16,0,,,,catch,0,0,,0,0,4.46,,
8,1,True,0,15,0,18,1,,,,catch,0,0,,0,0,3.19,,
9,1,True,0,15,1,14,0,,,,catch,0,0,,0,0,2.97,,
10,1,True,0,15,0,17,1,,,,catch,0,0,,0,0,2.52,,
11,1,True,0,15,0,34,1,,,,catch,0,0,,0,0,2.72,,
12,1,True,0,14,0,18,1,,,,catch,0,0,,0,0,2.6,,
13,1,True,1,14,1,15,1,,,,catch,0,0,,0,0,2.29,,
14,1,True,1,13,0,18,0,,,,catch,0,0,,0,0,2.58,,
15,1,True,0,14,0,36,1,,,,catch,0,0,,0,0,2.5,,
16,1,True,0,14,1,25,0,,,,catch,0,0,,0,0,3.12,,
17,1,True,1,15,0,19,0,,,,catch,0,0,,0,0,2.46,,
18,1,True,0,15,0,14,1,,,,catch,0,0,,0,0,2.37,,
19,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,2.65,,
20,1,True,1,14,0,37,0,,,,catch,0,0,,0,0,2.51,,
21,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,2.85,,
22,1,True,0,15,0,13,1,,,,catch,0,0,,0,0,3.98,,
23,1,True,0,14,1,23,0,,,,catch,0,0,,0,0,2.93,,
24,1,True,0,15,0,28,1,,,,catch,0,0,,0,0,2.15,,
25,1,True,0,15,1,18,0,,,,catch,0,0,,0,0,2.66,,
26,1,True,1,15,0,19,0,,,,catch,0,0,,0,0,2.07,,
27,1,True,0,15,1,33,0,,,,catch,0,0,,0,0,2.36,,
28,1,True,0,15,0,23,1,,,,catch,0,0,,0,0,2.18,,
29,1,True,1,15,0,23,0,,,,catch,0,0,,0,0,2.01,,
30,1,True,0,15,1,24,0,,,,catch,0,0,,0,0,2.5,,
31,2,True,0,15,0,19,1,,,,catch,0,0,,0,0,2.0,,
32,2,True,0,15,0,16,1,,,,catch,0,0,,0,0,2.5,,
33,2,True,1,14,1,15,1,,,,catch,0,0,,0,0,2.19,,
34,2,True,0,14,0,37,1,,,,catch,0,0,,0,0,2.26,,
35,2,True,1,13,1,12,1,,,,catch,0,0,,0,0,1.76,,
36,2,True,1,13,0,33,0,,,,catch,0,0,,0,0,2.19,,
37,2,True,1,14,1,12,1,,,,catch,0,0,,0,0,2.36,,
38,2,True,1,14,1,10,1,,,,catch,0,0,,0,0,1.95,,
39,2,True,0,13,0,13,1,,,,catch,0,0,,0,0,1.92,,
40,2,True,0,13,1,24,0,,,,catch,0,0,,0,0,1.88,,
41,2,True,0,14,0,32,1,,,,catch,0,0,,0,0,2.12,,
42,2,True,0,14,1,35,0,,,,catch,0,0,,0,0,2.99,,
43,2,True,0,15,0,36,1,,,,catch,0,0,,0,0,2.37,,
44,2,True,1,15,1,20,1,,,,catch,0,0,,0,0,1.57,,
45,2,True,0,14,0,34,1,,,,catch,0,0,,0,0,2.0,,
46,2,True,1,14,1,31,1,,,,catch,0,0,,0,0,1.67,,
47,2,True,0,13,0,20,1,,,,catch,0,0,,0,0,1.88,,
48,2,True,1,13,0,22,0,,,,catch,0,0,,0,0,2.28,,
49,2,True,0,14,1,37,0,,,,catch,0,0,,0,0,2.36,,
50,2,True,1,15,1,24,1,,,,catch,0,0,,0,0,2.12,,
51,2,True,1,15,1,28,1,,,,catch,0,0,,0,0,1.84,,
52,2,True,1,14,1,30,1,,,,catch,0,0,,0,0,1.97,,
53,2,True,0,14,1,17,0,,,,catch,0,0,,0,0,1.97,,
54,2,True,0,15,0,39,1,,,,catch,0,0,,0,0,1.96,,
55,2,True,0,15,1,18,0,,,,catch,0,0,,0,0,1.91,,
