trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,12,1,,,,catch,0,,,,0.44,,
2,1,True,0,15,1,29,0,,,,catch,0,,,,1.79,,
3,2,True,1,15,1,24,1,,,,catch,0,,,,0.89,,
4,2,True,0,15,0,19,1,,,,catch,0,,,,1.0,,
5,3,True,0,14,0,30,1,,,,catch,0,,,,0.87,,
6,3,True,1,14,0,22,0,,,,catch,0,,,,0.66,,
7,4,False,0,15,1,34,0,1,32,0,choice,2,0,0,25,1.18,1.8,3.71
8,4,False,0,15,0,12,1,0,23,1,force,1,0,1,28,0.49,0.64,1.64
9,4,False,1,15,0,24,0,0,31,0,choice,2,0,0,20,0.58,0.98,2.57
10,4,False,0,15,0,22,1,0,33,1,force,2,1,0,49,1.26,1.95,2.96
11,5,False,1,15,1,17,1,1,29,1,choice,2,1,1,40,1.32,1.58,3.33
12,5,False,1,15,0,22,0,0,22,0,force,2,1,0,36,0.74,1.4,2.4
13,5,False,0,15,0,28,1,1,23,0,force,1,1,0,28,0.42,1.28,2.28
14,5,False,0,15,1,23,0,0,14,1,choice,1,0,0,35,0.43,0.96,2.52
15,6,False,0,15,1,23,0,1,29,0,force,1,1,0,34,0.31,1.1,2.1
16,6,False,1,15,1,13,1,0,26,0,choice,1,0,0,13,0.71,1.15,2.78
17,6,False,1,15,0,20,0,0,28,0,force,2,1,0,39,1.68,0.95,1.95
18,6,False,1,15,0,19,0,0,29,0,choice,1,0,0,47,0.55,1.68,3.27
