trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,15,1,,,,catch,0,,0,,0.37,,
2,1,True,0,15,0,15,1,,,,catch,0,,0,,0.72,,
3,2,True,0,15,0,18,1,,,,catch,0,,0,,1.14,,
4,2,True,1,14,1,12,1,,,,catch,0,,0,,0.39,,
5,3,True,0,14,0,22,1,,,,catch,0,,0,,0.84,,
6,3,True,1,13,0,13,0,,,,catch,0,,0,,0.22,,
7,4,False,0,14,1,9,0,0,16,1,choice,1,0,1,,0.46,1.43,3.24
8,4,False,1,14,0,18,0,0,25,0,choice,1,0,0,,0.58,1.14,2.74
9,4,False,0,14,0,19,1,0,25,1,force,1,0,1,49,1.11,2.0,3.0
10,4,False,0,14,0,18,1,0,25,1,force,2,0,1,49,1.57,1.49,2.49
11,5,False,0,14,0,16,1,1,14,0,choice,1,0,1,,1.01,15.8,17.62
12,5,False,1,14,1,16,1,0,23,0,choice,2,0,0,,1.01,,
13,5,False,0,14,0,9,1,1,13,0,force,1,0,1,49,1.01,,
14,5,False,1,14,0,21,0,0,31,0,force,2,0,0,49,0.74,1.35,2.36
15,6,False,1,14,0,22,0,1,16,1,force,1,0,0,49,0.69,1.58,2.59
16,6,False,0,14,0,19,1,1,17,0,choice,2,0,1,,0.87,1.14,3.7
17,6,False,1,14,0,11,0,1,15,1,choice,1,0,0,,0.93,1.57,3.35
18,6,False,0,14,0,15,1,0,9,1,force,2,0,1,49,1.0,1.84,2.85
19,7,False,1,14,0,21,0,0,29,0,force,2,0,0,49,0.66,1.63,2.63
20,7,False,0,14,1,11,0,1,16,0,choice,1,0,1,,1.02,1.08,2.72
21,7,False,1,14,1,23,1,0,12,0,choice,1,0,0,,1.52,0.94,2.72
22,7,False,1,14,0,13,0,1,15,1,force,1,0,0,49,0.76,1.52,2.52
23,8,False,1,14,0,15,0,1,13,1,choice,1,0,0,,1.29,1.05,2.93
24,8,False,0,14,1,14,0,0,10,1,choice,2,0,1,,0.64,1.72,3.25
25,8,False,0,14,1,22,0,0,20,1,force,1,0,1,49,1.83,1.69,2.7
26,8,False,0,14,1,16,0,0,21,1,force,2,0,1,49,1.07,0.91,1.92
27,9,False,0,14,0,15,1,1,14,0,force,1,0,1,49,0.66,1.07,2.07
28,9,False,1,14,1,12,1,1,25,1,choice,1,0,0,,1.16,1.09,2.63
29,9,False,1,14,1,12,1,1,21,1,choice,1,0,0,,0.89,0.98,2.61
30,9,False,1,14,0,10,0,0,16,0,force,2,0,0,49,0.83,0.83,1.84
