trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,13,1,,,,catch,0,,,,1.51,,
2,1,True,1,15,1,24,1,,,,catch,0,,,,1.42,,
3,2,True,1,15,1,38,1,,,,catch,0,,,,1.21,,
4,2,True,0,14,0,27,1,,,,catch,0,,,,0.8,,
5,3,True,0,14,0,30,1,,,,catch,0,,,,0.91,,
6,3,True,1,13,1,33,1,,,,catch,0,,,,0.83,,
7,4,False,1,13,1,28,1,1,32,1,force,1,0,0,49,1.06,1.4,2.41
8,4,False,1,13,0,21,0,0,34,0,choice,2,0,0,25,0.52,1.27,2.82
9,4,False,1,13,0,12,0,0,6,0,choice,2,0,0,20,0.16,1.75,3.21
10,4,False,0,13,1,9,0,1,12,0,force,2,1,1,49,0.37,0.98,1.98
11,5,False,0,13,0,10,1,0,3,1,choice,2,1,1,40,0.5,1.74,3.29
12,5,False,0,13,0,15,1,0,19,1,force,1,1,1,36,0.39,1.01,2.02
13,5,False,0,13,0,12,1,0,23,1,force,2,1,1,28,0.63,1.0,2.01
14,5,False,0,13,0,20,1,0,30,1,choice,1,0,0,35,1.13,1.32,2.96
15,6,False,1,13,0,12,0,0,20,0,choice,1,1,1,39,1.35,1.5,3.33
16,6,False,0,13,0,12,1,0,35,1,force,1,1,1,24,0.95,1.41,2.42
17,6,False,0,13,0,16,1,0,20,1,force,2,1,1,39,0.99,1.25,2.26
18,6,False,1,13,0,19,0,0,13,0,choice,1,0,0,47,0.71,1.17,2.67
