trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,21,1,,,,catch,0,,0,0,1.43,,
2,1,True,1,15,0,18,0,,,,catch,0,,0,0,1.32,,
3,2,True,0,15,0,19,1,,,,catch,0,,0,0,1.02,,
4,2,True,0,15,0,23,1,,,,catch,0,,0,0,0.83,,
5,3,True,0,14,0,22,1,,,,catch,0,,0,0,0.77,,
6,3,True,0,14,0,20,1,,,,catch,0,,0,0,0.91,,
7,4,False,1,13,0,22,0,0,25,0,force,1,0,0,0,0.64,4.36,5.37
8,4,False,1,13,0,24,0,1,17,1,force,2,1,1,0,18.82,1.26,2.27
9,4,False,1,13,1,25,1,1,38,1,choice,1,1,1,0,7.59,1.26,2.91
10,4,False,1,13,1,19,1,1,24,1,choice,1,1,1,0,5.01,1.26,2.79
11,5,False,0,13,0,28,1,0,44,1,force,1,0,1,0,1.08,1.07,2.08
12,5,False,1,13,0,25,0,0,38,0,force,2,0,0,0,9.11,1.11,2.12
13,5,False,1,13,1,8,1,1,26,1,choice,1,1,1,0,7.08,1.6,3.07
14,5,False,1,13,1,22,1,1,33,1,choice,1,1,1,0,7.82,1.18,2.73
15,6,False,1,13,0,26,0,0,14,0,choice,1,0,0,0,0.76,1.15,2.54
16,6,False,0,13,1,17,0,1,29,0,force,2,1,0,0,9.58,1.95,2.95
17,6,False,1,13,1,16,1,1,27,1,force,1,1,1,0,6.49,1.67,2.67
18,6,False,1,13,1,17,1,1,15,1,choice,2,1,1,0,7.39,3.42,5.16
19,7,False,1,13,0,31,0,1,19,1,force,1,1,1,0,1.07,2.07,3.07
20,7,False,1,13,0,10,0,0,31,0,choice,1,0,0,0,5.22,1.13,2.58
21,7,False,0,13,1,22,0,1,36,0,choice,2,1,0,0,6.49,1.6,3.54
22,7,False,1,13,1,26,1,0,10,0,force,1,0,0,0,8.25,1.29,2.29
23,8,False,1,13,0,27,0,0,36,0,choice,2,0,0,0,0.7,0.99,2.49
24,8,False,0,13,1,24,0,0,21,1,force,2,0,1,0,7.15,1.33,2.33
25,8,False,0,13,1,22,0,1,30,0,force,1,1,0,0,14.19,0.97,1.97
26,8,False,0,13,1,21,0,1,32,0,choice,2,1,0,0,9.93,1.36,2.88
27,9,False,0,13,0,20,1,1,27,0,force,2,1,0,0,1.1,1.33,2.33
28,9,False,0,13,0,12,1,1,16,0,choice,2,1,0,0,1.08,0.72,2.25
29,9,False,0,13,0,12,1,0,19,1,choice,1,0,1,0,0.99,0.94,2.45
30,9,False,0,13,0,14,1,0,24,1,force,2,1,0,0,0.64,0.99,2.0
