trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,21,1,,,,catch,0,,0,0,1.27,,
2,1,True,0,15,0,30,1,,,,catch,0,,0,0,0.75,,
3,2,True,0,15,0,21,1,,,,catch,0,,0,0,1.11,,
4,2,True,0,14,0,24,1,,,,catch,0,,0,0,1.01,,
5,3,True,1,14,1,19,1,,,,catch,0,,0,0,1.14,,
6,3,True,0,13,0,18,1,,,,catch,0,,0,0,0.9,,
7,4,False,1,13,0,23,0,0,34,0,choice,2,0,0,0,1.71,32.54,35.43
8,4,False,0,13,1,28,0,0,30,1,force,2,0,1,0,8.09,1.6,2.61
9,4,False,0,13,0,22,1,1,27,0,force,1,0,1,0,10.69,1.53,2.53
10,4,False,1,13,1,24,1,1,30,1,choice,1,0,0,0,10.43,2.07,3.89
11,5,False,0,13,0,25,1,1,24,0,force,1,1,0,0,0.9,1.0,2.01
12,5,False,0,13,1,25,0,1,29,0,choice,2,0,1,0,8.52,1.07,2.63
13,5,False,0,13,1,24,0,0,25,1,force,2,1,0,0,11.65,1.09,2.09
14,5,False,1,13,0,22,0,1,28,1,choice,1,1,1,0,11.8,1.83,3.43
15,6,False,0,13,0,36,1,1,31,0,choice,1,0,1,0,1.04,2.0,3.55
16,6,False,0,13,1,28,0,0,22,1,force,1,0,1,0,12.11,1.93,2.94
17,6,False,1,13,1,27,1,0,16,0,choice,1,1,1,0,8.43,1.52,3.13
18,6,False,0,13,0,20,1,1,19,0,force,2,0,1,0,11.22,0.96,1.96
19,7,False,1,13,0,21,0,0,34,0,force,1,1,1,0,0.83,1.01,2.01
20,7,False,1,13,1,28,1,1,21,1,force,2,1,1,0,8.98,1.22,2.22
21,7,False,1,13,1,17,1,1,31,1,choice,1,1,1,0,8.62,1.52,3.11
22,7,False,1,13,1,24,1,1,24,1,choice,1,1,1,0,6.42,1.59,3.16
23,8,False,0,13,0,27,1,0,27,1,force,1,1,0,0,1.44,1.44,2.45
24,8,False,1,13,0,33,0,1,19,1,choice,1,0,0,0,9.9,0.9,2.44
25,8,False,0,13,1,25,0,1,26,0,force,2,1,0,0,7.57,4.6,5.61
26,8,False,0,13,1,37,0,0,20,1,choice,2,0,1,0,8.63,1.27,3.09
27,9,False,1,13,0,22,0,0,33,0,force,2,1,1,0,0.92,1.61,2.62
28,9,False,1,13,1,27,1,1,32,1,choice,2,1,1,0,0.91,0.93,2.47
29,9,False,0,13,1,29,0,0,15,1,force,2,1,0,0,1.27,1.56,2.57
30,9,False,0,13,0,20,1,0,15,1,choice,2,0,1,0,0.8,2.4,3.87
