trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,8.14,,
2,1,True,0,15,0,9,1,,,,catch,0,0,,0,0,4.45,,
3,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,3.59,,
4,1,True,0,14,1,6,0,,,,catch,0,0,,0,0,2.64,,
5,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,2.28,,
6,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,3.81,,
7,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,5.26,,
8,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,1.71,,
9,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,2.49,,
10,1,True,0,15,1,10,0,,,,catch,0,0,,0,0,1.77,,
11,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,2.12,,
12,1,True,0,15,0,23,1,,,,catch,0,0,,0,0,1.95,,
13,1,True,0,14,0,16,1,,,,catch,0,0,,0,0,1.64,,
14,1,True,0,14,0,14,1,,,,catch,0,0,,0,0,1.7,,
15,1,True,1,13,0,16,0,,,,catch,0,0,,0,0,1.68,,
16,1,True,0,14,1,12,0,,,,catch,0,0,,0,0,1.46,,
17,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,1.82,,
18,1,True,1,15,0,10,0,,,,catch,0,0,,0,0,1.95,,
19,1,True,0,15,0,17,1,,,,catch,0,0,,0,0,1.44,,
20,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,2.16,,
21,1,True,0,14,0,18,1,,,,catch,0,0,,0,0,1.53,,
22,1,True,1,14,0,17,0,,,,catch,0,0,,0,0,2.34,,
23,1,True,1,15,0,10,0,,,,catch,0,0,,0,0,1.44,,
24,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,1.74,,
25,1,True,0,15,0,13,1,,,,catch,0,0,,0,0,1.86,,
26,1,True,0,14,0,8,1,,,,catch,0,0,,0,0,2.31,,
27,1,True,1,14,0,7,0,,,,catch,0,0,,0,0,1.64,,
28,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,1.86,,
29,1,True,1,15,0,17,0,,,,catch,0,0,,0,0,1.95,,
30,1,True,0,15,0,7,1,,,,catch,0,0,,0,0,1.6,,
31,2,True,0,15,1,10,0,,,,catch,0,0,,0,0,3.88,,
32,2,True,0,15,0,7,1,,,,catch,0,0,,0,0,1.51,,
33,2,True,1,15,0,9,0,,,,catch,0,0,,0,0,1.68,,
34,2,True,1,15,0,10,0,,,,catch,0,0,,0,0,1.4,,
35,2,True,1,15,1,5,1,,,,catch,0,0,,0,0,1.56,,
36,2,True,0,15,0,9,1,,,,catch,0,0,,0,0,1.62,,
37,2,True,0,14,0,11,1,,,,catch,0,0,,0,0,2.25,,
38,2,True,0,14,0,16,1,,,,catch,0,0,,0,0,1.53,,
39,2,True,0,13,0,15,1,,,,catch,0,0,,0,0,1.56,,
40,2,True,1,13,0,12,0,,,,catch,0,0,,0,0,1.56,,
41,2,True,1,14,1,8,1,,,,catch,0,0,,0,0,1.33,,
42,2,True,1,14,0,9,0,,,,catch,0,0,,0,0,1.49,,
43,2,True,1,15,0,8,0,,,,catch,0,0,,0,0,1.36,,
44,2,True,1,15,1,11,1,,,,catch,0,0,,0,0,2.08,,
45,2,True,0,15,0,12,1,,,,catch,0,0,,0,0,1.27,,
46,2,True,0,14,0,10,1,,,,catch,0,0,,0,0,1.22,,
47,2,True,1,14,1,11,1,,,,catch,0,0,,0,0,1.59,,
48,2,True,1,13,0,8,0,,,,catch,0,0,,0,0,1.29,,
49,2,True,0,14,0,16,1,,,,catch,0,0,,0,0,1.28,,
50,2,True,0,14,0,16,1,,,,catch,0,0,,0,0,1.36,,
51,2,True,0,13,0,14,1,,,,catch,0,0,,0,0,1.33,,
52,2,True,1,13,0,8,0,,,,catch,0,0,,0,0,1.35,,
53,2,True,1,14,0,13,0,,,,catch,0,0,,0,0,1.52,,
54,2,True,0,15,0,16,1,,,,catch,0,0,,0,0,1.37,,
55,2,True,1,15,1,15,1,,,,catch,0,0,,0,0,1.62,,
56,2,True,0,14,0,18,1,,,,catch,0,0,,0,0,1.39,,
57,2,True,1,14,0,13,0,,,,catch,0,0,,0,0,1.4,,
58,2,True,1,15,1,10,1,,,,catch,0,0,,0,0,1.95,,
59,2,True,0,15,0,19,1,,,,catch,0,0,,0,0,1.38,,
60,2,True,0,14,0,19,1,,,,catch,0,0,,0,0,1.94,,
61,3,True,0,14,0,2,1,,,,catch,0,0,,0,0,2.73,,
62,3,True,1,13,1,10,1,,,,catch,0,0,,0,0,1.54,,
63,3,True,0,13,0,12,1,,,,catch,0,0,,0,0,1.35,,
64,3,True,1,12,0,10,0,,,,catch,0,0,,0,0,1.43,,
65,3,True,1,13,1,10,1,,,,catch,0,0,,0,0,1.32,,
66,3,True,1,13,1,5,1,,,,catch,0,0,,0,0,2.08,,
67,3,True,1,12,0,5,0,,,,catch,0,0,,0,0,1.16,,
68,3,True,1,13,0,7,0,,,,catch,0,0,,0,0,1.37,,
69,3,True,1,14,1,10,1,,,,catch,0,0,,0,0,1.33,,
70,3,True,0,14,0,7,1,,,,catch,0,0,,0,0,1.25,,
71,3,True,1,13,1,12,1,,,,catch,0,0,,0,0,1.63,,
72,3,True,1,13,0,15,0,,,,catch,0,0,,0,0,1.61,,
73,3,True,0,14,0,8,1,,,,catch,0,0,,0,0,1.29,,
74,3,True,0,14,0,9,1,,,,catch,0,0,,0,0,1.35,,
75,3,True,1,13,1,7,1,,,,catch,0,0,,0,0,1.34,,
76,3,True,0,13,0,4,1,,,,catch,0,0,,0,0,1.25,,
77,3,True,0,12,0,12,1,,,,catch,0,0,,0,0,1.25,,
78,3,True,0,12,0,9,1,,,,catch,0,0,,0,0,1.34,,
79,3,True,0,11,0,7,1,,,,catch,0,0,,0,0,1.16,,
80,3,True,1,11,0,5,0,,,,catch,0,0,,0,0,1.29,,
81,3,True,0,12,0,13,1,,,,catch,0,0,,0,0,1.17,,
82,3,True,1,12,1,7,1,,,,catch,0,0,,0,0,1.36,,
83,3,True,0,11,0,8,1,,,,catch,0,0,,0,0,1.35,,
84,3,True,1,11,0,8,0,,,,catch,0,0,,0,0,1.38,,
85,3,True,1,12,1,9,1,,,,catch,0,0,,0,0,1.27,,
86,3,True,1,12,1,7,1,,,,catch,0,0,,0,0,1.22,,
87,3,True,0,11,0,6,1,,,,catch,0,0,,0,0,1.18,,
88,3,True,0,11,0,13,1,,,,catch,0,0,,0,0,1.17,,
89,3,True,0,10,1,11,0,,,,catch,0,0,,0,0,1.29,,
90,3,True,1,11,1,3,1,,,,catch,0,0,,0,0,1.31,,
91,4,False,0,11,0,21,1,0,21,1,force,1,0,0,1,0,3.4,9.07,10.09
92,4,False,1,11,0,14,0,0,17,0,choice,2,2,0,0,0,9.94,6.44,10.31
93,4,False,1,11,0,15,0,0,15,0,force,1,0,0,0,0,4.77,3.12,4.13
94,4,False,0,11,0,10,1,0,9,1,choice,2,2,1,0,0,4.48,4.78,9.67
95,4,False,0,11,0,12,1,0,12,1,choice,1,2,0,1,0,4.34,4.02,7.29
96,4,False,1,11,0,15,0,0,15,0,force,2,0,0,0,0,3.62,3.67,4.69
97,4,False,0,11,0,18,1,0,17,1,choice,1,1,0,1,0,3.57,3.33,5.75
98,4,False,1,11,0,9,0,0,3,0,choice,1,1,1,1,0,3.17,4.36,6.76
99,4,False,1,11,0,11,0,0,11,0,choice,1,2,0,0,0,2.98,5.13,7.28
100,4,False,0,11,0,12,1,0,12,1,choice,2,2,0,1,0,1.83,2.33,5.1
101,4,False,0,11,0,10,1,1,9,0,choice,2,2,1,0,0,2.94,10.34,12.78
102,4,False,0,11,0,14,1,0,13,1,choice,1,1,0,1,0,3.75,3.52,5.53
103,4,False,1,11,0,10,0,1,7,1,choice,1,1,1,1,0,2.79,3.83,6.09
104,4,False,1,11,0,10,0,0,9,0,choice,1,1,0,0,0,2.82,3.16,5.28
105,4,False,0,11,0,15,1,0,15,1,choice,1,2,0,1,0,2.2,2.23,4.44
106,4,False,1,11,0,14,0,0,4,0,force,2,0,1,1,0,2.57,4.78,5.79
107,4,False,0,11,0,13,1,0,12,1,choice,1,2,0,1,0,2.54,2.59,4.51
108,4,False,0,11,0,13,1,0,12,1,choice,1,2,0,1,0,1.99,1.93,3.67
109,4,False,1,11,0,14,0,0,1,0,choice,1,1,1,1,0,2.65,4.75,7.04
110,4,False,1,11,0,9,0,0,9,0,choice,1,1,0,0,0,1.72,1.58,3.7
111,4,False,1,11,0,13,0,0,12,0,choice,1,1,0,0,0,1.85,2.39,4.63
112,4,False,1,11,0,12,0,0,11,0,force,1,0,0,0,0,2.15,2.91,3.92
113,4,False,1,11,0,17,0,1,4,1,choice,1,1,1,1,0,2.31,5.17,8.22
114,4,False,1,11,1,7,1,0,2,0,choice,1,2,0,0,0,4.53,4.94,7.66
115,4,False,0,11,0,12,1,0,9,1,choice,1,1,0,1,0,1.95,2.85,5.15
116,4,False,0,11,0,8,1,0,7,1,choice,1,1,0,1,0,2.65,1.99,4.4
117,4,False,0,11,0,12,1,0,11,1,force,2,0,0,1,0,2.25,2.4,3.41
118,4,False,0,11,0,13,1,0,12,1,choice,1,2,0,1,0,1.78,1.87,4.32
119,4,False,0,11,0,9,1,0,10,1,force,1,0,0,1,0,1.68,2.13,3.13
120,4,False,0,11,0,10,1,0,2,1,choice,2,1,1,0,0,1.52,4.41,6.36
121,4,False,0,11,0,11,1,0,9,1,force,2,0,0,1,0,4.25,1.92,2.93
122,4,False,0,11,0,9,1,1,2,0,choice,1,2,1,0,0,1.8,6.57,8.79
123,4,False,0,11,0,12,1,0,9,1,choice,1,2,0,1,0,1.65,3.38,5.52
124,4,False,1,11,0,9,0,0,6,0,force,1,0,1,1,0,2.3,6.38,7.39
125,4,False,0,11,0,10,1,0,10,1,choice,1,1,0,1,0,1.53,2.02,5.21
126,4,False,0,11,0,10,1,0,10,1,choice,1,2,0,1,0,1.85,2.5,4.53
127,4,False,0,11,1,8,0,1,7,0,force,2,0,1,0,0,3.17,1.72,2.74
128,4,False,0,11,0,13,1,0,12,1,choice,1,1,0,1,0,2.2,3.15,5.16
129,4,False,1,11,0,11,0,0,11,0,force,1,0,0,0,0,2.31,1.66,2.67
130,4,False,1,11,0,15,0,0,1,0,choice,1,1,1,1,0,1.71,3.74,5.94
131,4,False,0,11,0,13,1,0,11,1,force,2,0,0,1,0,1.67,3.13,4.13
132,4,False,0,11,0,13,1,0,10,1,choice,1,2,0,1,0,1.74,2.76,4.87
133,4,False,0,11,0,9,1,0,10,1,choice,1,2,0,1,0,1.83,2.17,4.02
134,4,False,1,11,0,14,0,0,2,0,force,1,0,1,1,0,2.11,3.33,4.34
135,4,False,1,11,1,5,1,1,5,1,force,1,0,1,1,0,3.38,2.75,3.76
136,4,False,0,11,0,17,1,0,16,1,choice,1,2,0,1,0,1.55,2.38,4.55
137,4,False,1,11,1,10,1,1,9,1,choice,1,1,1,1,0,2.23,2.12,4.68
138,4,False,1,11,0,8,0,0,8,0,force,2,0,0,0,0,1.74,1.85,2.86
139,4,False,1,11,1,9,1,1,8,1,force,1,0,1,1,0,2.24,2.0,3.0
140,4,False,0,11,0,12,1,0,11,1,choice,1,1,0,1,0,1.58,2.0,4.29
141,4,False,1,11,1,12,1,1,9,1,choice,1,1,1,1,0,1.97,2.47,5.32
142,4,False,1,11,0,11,0,0,2,0,choice,1,1,1,1,0,1.92,4.55,6.66
143,4,False,0,11,0,12,1,0,9,1,choice,2,2,0,1,0,2.11,2.81,4.9
144,4,False,0,11,0,11,1,0,9,1,force,2,0,0,1,0,1.35,1.88,2.89
145,4,False,0,11,0,12,1,0,10,1,choice,1,1,0,1,0,1.4,2.18,4.16
146,4,False,0,11,0,13,1,0,12,1,force,2,0,0,1,0,1.7,2.29,3.31
147,4,False,0,11,1,12,0,0,7,1,force,1,0,0,1,0,2.56,1.81,2.84
148,4,False,0,11,0,10,1,0,10,1,choice,1,2,0,1,0,4.0,1.92,4.11
149,4,False,1,11,1,6,1,1,6,1,choice,1,1,1,1,0,1.85,1.65,4.33
150,4,False,0,11,0,14,1,1,2,0,force,1,0,1,0,0,1.55,2.09,3.1
151,5,False,0,11,0,13,1,1,6,0,choice,1,1,1,0,0,3.41,3.4,5.91
152,5,False,1,11,0,12,0,0,11,0,choice,1,1,0,0,0,1.82,1.96,4.89
153,5,False,0,11,0,14,1,0,14,1,choice,1,1,0,1,0,1.59,2.52,5.39
154,5,False,0,11,0,16,1,0,2,1,force,2,0,1,0,0,1.72,3.54,4.56
155,5,False,0,11,0,16,1,0,15,1,force,1,0,0,1,0,1.66,3.11,4.12
156,5,False,1,11,1,7,1,1,7,1,force,2,0,1,1,0,2.09,1.57,2.59
157,5,False,1,11,0,13,0,0,11,0,force,1,0,0,0,0,1.69,1.49,2.51
158,5,False,1,11,0,12,0,1,7,1,choice,1,1,1,1,0,3.03,3.0,5.72
159,5,False,0,11,0,13,1,0,12,1,choice,1,1,0,1,0,2.07,2.0,4.59
160,5,False,0,11,0,17,1,0,22,1,choice,1,2,0,1,0,1.86,3.01,5.38
161,5,False,0,11,0,15,1,0,18,1,choice,1,1,0,1,0,1.53,3.77,6.3
162,5,False,0,11,0,17,1,1,8,0,choice,1,2,1,0,0,1.74,2.34,4.27
163,5,False,0,11,0,11,1,0,13,1,choice,1,2,0,1,0,1.95,2.56,4.93
164,5,False,0,11,0,19,1,0,18,1,choice,1,2,0,1,0,2.03,1.91,4.07
165,5,False,0,11,0,14,1,0,14,1,choice,1,2,0,1,0,1.75,2.54,4.72
166,5,False,1,11,0,14,0,1,4,1,force,2,0,1,1,0,2.21,2.33,3.34
167,5,False,0,11,0,14,1,0,12,1,choice,1,2,0,1,0,3.15,1.78,4.29
168,5,False,1,11,0,16,0,0,16,0,choice,1,1,0,0,0,2.7,2.22,4.45
169,5,False,1,11,1,15,1,1,14,1,choice,1,2,1,1,0,2.64,2.12,4.16
170,5,False,1,11,0,14,0,0,14,0,choice,1,2,0,0,0,1.56,1.91,4.14
171,5,False,1,11,0,20,0,1,4,1,force,1,0,1,1,0,1.6,2.3,3.32
172,5,False,0,11,0,16,1,0,16,1,choice,1,2,0,1,0,1.76,2.43,5.1
173,5,False,0,11,1,8,0,0,11,1,force,2,0,0,1,0,2.6,1.67,2.68
174,5,False,1,11,0,8,0,1,3,1,choice,1,2,1,1,0,3.42,2.0,4.16
175,5,False,0,11,0,11,1,0,12,1,force,1,0,0,1,0,1.51,1.87,2.89
176,5,False,0,11,0,19,1,1,4,0,force,1,0,1,0,0,1.69,2.08,3.09
177,5,False,0,11,0,13,1,0,13,1,force,2,0,0,1,0,1.67,2.11,3.13
178,5,False,1,11,1,12,1,1,5,1,choice,1,1,0,0,0,1.66,3.31,6.29
179,5,False,0,11,0,14,1,0,13,1,choice,1,2,0,1,0,1.99,2.79,4.92
180,5,False,1,11,1,15,1,1,15,1,choice,1,2,1,1,0,1.79,2.61,4.76
181,5,False,0,11,0,20,1,0,22,1,choice,2,2,0,1,0,1.77,2.35,4.69
182,5,False,0,11,0,19,1,0,18,1,choice,1,1,0,1,0,2.17,2.28,4.39
183,5,False,1,11,1,14,1,1,14,1,force,2,0,1,1,0,1.93,2.24,3.25
184,5,False,0,11,0,21,1,0,2,1,choice,1,1,1,0,0,1.9,3.8,6.01
185,5,False,0,11,1,6,0,1,4,0,choice,2,2,0,1,0,2.86,2.92,5.03
186,5,False,1,11,1,6,1,0,10,0,choice,1,1,0,0,0,1.85,1.65,3.76
187,5,False,1,11,0,15,0,1,3,1,force,1,0,1,1,0,2.74,2.04,3.05
188,5,False,1,11,0,14,0,0,14,0,choice,1,1,0,0,0,1.62,3.21,5.66
189,5,False,0,11,1,7,0,0,1,1,force,1,0,0,1,0,1.62,5.01,6.02
190,5,False,1,11,0,5,0,1,4,1,force,2,0,1,1,0,3.77,1.7,2.71
191,5,False,1,11,0,10,0,1,2,1,force,1,0,1,1,0,1.58,3.73,4.74
192,5,False,0,11,1,7,0,0,2,1,force,2,0,0,1,0,2.05,1.59,2.6
193,5,False,0,11,0,8,1,0,8,1,choice,1,1,0,1,0,1.34,2.35,4.98
194,5,False,1,11,1,13,1,1,7,1,choice,1,2,0,0,0,1.64,2.13,4.48
195,5,False,1,11,0,14,0,0,13,0,force,2,0,0,0,0,2.89,1.76,2.77
196,5,False,1,11,1,13,1,0,5,0,choice,1,1,0,0,0,1.98,1.58,3.67
197,5,False,1,11,0,15,0,0,1,0,choice,1,1,1,1,0,2.17,3.13,5.4
198,5,False,1,11,1,13,1,1,13,1,choice,1,2,1,1,0,1.64,1.69,3.93
