trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,12.04,,
2,1,True,1,15,0,20,0,,,,catch,0,0,,0,0,9.95,,
3,1,True,0,15,1,15,0,,,,catch,0,0,,0,0,5.25,,
4,1,True,0,15,0,14,1,,,,catch,0,0,,0,0,4.5,,
5,1,True,1,15,1,32,1,,,,catch,0,0,,0,0,4.5,,
6,1,True,0,14,1,16,0,,,,catch,0,0,,0,0,3.62,,
7,1,True,0,15,0,14,1,,,,catch,0,0,,0,0,2.86,,
8,1,True,0,15,0,22,1,,,,catch,0,0,,0,0,4.22,,
9,1,True,1,14,1,30,1,,,,catch,0,0,,0,0,3.37,,
10,1,True,1,14,0,19,0,,,,catch,0,0,,0,0,3.19,,
11,1,True,0,15,0,29,1,,,,catch,0,0,,0,0,3.1,,
12,1,True,1,15,1,25,1,,,,catch,0,0,,0,0,2.87,,
13,1,True,1,14,1,31,1,,,,catch,0,0,,0,0,2.79,,
14,1,True,0,14,0,3,1,,,,catch,0,0,,0,0,2.87,,
15,1,True,0,13,0,11,1,,,,catch,0,0,,0,0,4.13,,
16,1,True,0,13,0,10,1,,,,catch,0,0,,0,0,3.25,,
17,1,True,0,12,1,14,0,,,,catch,0,0,,0,0,4.35,,
18,1,True,1,13,0,14,0,,,,catch,0,0,,0,0,2.35,,
19,1,True,0,14,1,18,0,,,,catch,0,0,,0,0,3.26,,
20,1,True,0,15,1,19,0,,,,catch,0,0,,0,0,2.58,,
21,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.49,,
22,1,True,0,15,1,20,0,,,,catch,0,0,,0,0,3.42,,
23,1,True,1,15,1,5,1,,,,catch,0,0,,0,0,4.63,,
24,1,True,1,15,0,17,0,,,,catch,0,0,,0,0,2.21,,
25,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,2.97,,
26,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,3.72,,
27,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,2.16,,
28,1,True,1,15,0,12,0,,,,catch,0,0,,0,0,2.37,,
29,1,True,0,15,1,19,0,,,,catch,0,0,,0,0,2.6,,
30,1,True,1,15,0,17,0,,,,catch,0,0,,0,0,2.82,,
31,2,True,0,15,0,15,1,,,,catch,0,0,,0,0,2.46,,
32,2,True,1,15,0,18,0,,,,catch,0,0,,0,0,1.95,,
33,2,True,0,15,0,16,1,,,,catch,0,0,,0,0,1.84,,
34,2,True,0,15,0,9,1,,,,catch,0,0,,0,0,2.97,,
35,2,True,0,14,1,11,0,,,,catch,0,0,,0,0,3.07,,
36,2,True,0,15,1,21,0,,,,catch,0,0,,0,0,3.34,,
37,2,True,0,15,1,24,0,,,,catch,0,0,,0,0,2.17,,
38,2,True,1,15,1,12,1,,,,catch,0,0,,0,0,2.3,,
39,2,True,0,15,0,19,1,,,,catch,0,0,,0,0,2.17,,
40,2,True,1,14,1,16,1,,,,catch,0,0,,0,0,2.04,,
41,2,True,0,14,1,22,0,,,,catch,0,0,,0,0,2.19,,
42,2,True,0,15,0,4,1,,,,catch,0,0,,0,0,4.33,,
43,2,True,0,15,0,9,1,,,,catch,0,0,,0,0,2.0,,
44,2,True,1,14,0,7,0,,,,catch,0,0,,0,0,2.0,,
45,2,True,0,15,0,6,1,,,,catch,0,0,,0,0,3.06,,
46,2,True,1,15,1,5,1,,,,catch,0,0,,0,0,4.78,,
47,2,True,1,14,1,11,1,,,,catch,0,0,,0,0,1.88,,
48,2,True,0,14,1,8,0,,,,catch,0,0,,0,0,2.02,,
49,2,True,1,15,1,11,1,,,,catch,0,0,,0,0,2.09,,
50,2,True,1,15,1,10,1,,,,catch,0,0,,0,0,1.83,,
51,2,True,0,14,0,13,1,,,,catch,0,0,,0,0,2.43,,
52,2,True,1,14,1,16,1,,,,catch,0,0,,0,0,1.86,,
53,2,True,0,13,1,28,0,,,,catch,0,0,,0,0,3.88,,
54,2,True,0,14,1,22,0,,,,catch,0,0,,0,0,2.3,,
55,2,True,0,15,1,13,0,,,,catch,0,0,,0,0,2.16,,
56,2,True,0,15,0,16,1,,,,catch,0,0,,0,0,1.79,,
57,2,True,0,15,1,20,0,,,,catch,0,0,,0,0,2.5,,
58,2,True,1,15,0,13,0,,,,catch,0,0,,0,0,1.65,,
59,2,True,1,15,0,18,0,,,,catch,0,0,,0,0,1.93,,
60,2,True,0,15,0,24,1,,,,catch,0,0,,0,0,1.98,,
61,3,True,0,15,0,13,1,,,,catch,0,0,,0,0,1.97,,
62,3,True,1,14,1,17,1,,,,catch,0,0,,0,0,1.95,,
63,3,True,1,14,1,21,1,,,,catch,0,0,,0,0,2.0,,
64,3,True,1,13,1,23,1,,,,catch,0,0,,0,0,1.85,,
65,3,True,1,13,1,12,1,,,,catch,0,0,,0,0,1.51,,
66,3,True,1,12,1,6,1,,,,catch,0,0,,0,0,1.7,,
67,3,True,0,12,1,9,0,,,,catch,0,0,,0,0,1.77,,
68,3,True,0,13,1,15,0,,,,catch,0,0,,0,0,1.64,,
69,3,True,1,14,1,9,1,,,,catch,0,0,,0,0,1.66,,
70,3,True,1,14,0,13,0,,,,catch,0,0,,0,0,2.07,,
71,3,True,0,15,1,8,0,,,,catch,0,0,,0,0,1.6,,
72,3,True,0,15,0,3,1,,,,catch,0,0,,0,0,1.76,,
73,3,True,1,15,1,15,1,,,,catch,0,0,,0,0,2.03,,
74,3,True,0,14,0,4,1,,,,catch,0,0,,0,0,2.11,,
75,3,True,0,14,1,10,0,,,,catch,0,0,,0,0,1.54,,
76,3,True,1,15,1,17,1,,,,catch,0,0,,0,0,1.59,,
77,3,True,1,15,1,11,1,,,,catch,0,0,,0,0,2.21,,
78,3,True,1,14,1,8,1,,,,catch,0,0,,0,0,1.75,,
79,3,True,0,14,0,19,1,,,,catch,0,0,,0,0,2.16,,
80,3,True,0,13,1,14,0,,,,catch,0,0,,0,0,2.31,,
81,3,True,1,14,1,14,1,,,,catch,0,0,,0,0,1.99,,
82,3,True,1,14,1,15,1,,,,catch,0,0,,0,0,1.81,,
83,3,True,0,13,0,11,1,,,,catch,0,0,,0,0,2.72,,
84,3,True,0,13,1,13,0,,,,catch,0,0,,0,0,1.32,,
85,3,True,0,14,1,12,0,,,,catch,0,0,,0,0,1.56,,
86,3,True,1,15,0,11,0,,,,catch,0,0,,0,0,2.39,,
87,3,True,1,15,1,8,1,,,,catch,0,0,,0,0,1.47,,
88,3,True,0,15,1,12,0,,,,catch,0,0,,0,0,1.4,,
89,3,True,0,15,0,7,1,,,,catch,0,0,,0,0,3.76,,
90,3,True,0,15,1,20,0,,,,catch,0,0,,0,0,1.71,,
91,4,False,1,15,1,13,1,1,25,1,force,2,0,1,1,0,5.22,5.55,6.61
92,4,False,0,15,0,10,1,1,6,0,force,1,0,1,0,0,2.4,7.49,8.54
93,4,False,0,15,1,14,0,0,20,1,force,2,0,0,1,0,2.64,5.28,6.34
94,4,False,0,15,0,13,1,1,13,0,choice,2,1,1,0,0,4.21,2.57,5.63
95,4,False,0,15,1,11,0,0,19,1,choice,1,2,0,1,0,2.19,2.89,5.03
96,4,False,1,15,0,12,0,0,16,0,force,1,0,0,0,0,2.34,6.41,7.42
97,4,False,0,15,1,13,0,0,14,1,force,2,0,0,1,0,1.75,2.83,3.84
98,4,False,0,15,1,19,0,0,20,1,force,2,0,0,1,0,2.06,2.67,3.68
99,4,False,1,15,0,17,0,1,7,1,force,1,0,1,1,0,1.98,1.92,2.95
100,4,False,1,15,0,16,0,0,20,0,choice,2,1,0,0,0,3.01,3.04,5.89
101,4,False,1,15,1,18,1,1,16,1,force,2,0,1,1,0,2.07,1.86,2.87
102,4,False,1,15,0,10,0,1,15,1,choice,1,1,1,1,0,2.81,3.35,6.31
103,4,False,0,15,1,21,0,0,4,1,choice,2,1,0,1,0,3.21,2.77,5.63
104,4,False,1,15,1,21,1,0,12,0,choice,2,2,0,0,0,2.59,5.88,7.91
105,4,False,1,15,1,13,1,0,9,0,choice,2,1,0,0,0,2.72,2.62,5.83
106,4,False,1,15,1,13,1,0,8,0,choice,1,1,0,0,0,1.87,2.4,4.95
107,4,False,0,15,1,17,0,1,8,0,choice,2,2,0,1,0,1.78,3.95,6.82
108,4,False,0,15,1,11,0,0,3,1,choice,2,2,0,1,0,2.65,2.36,4.53
109,4,False,1,15,1,13,1,1,14,1,choice,2,2,1,1,0,2.47,2.19,4.29
110,4,False,0,15,1,13,0,0,1,1,choice,2,1,0,1,0,3.64,3.34,5.77
111,4,False,1,15,0,18,0,0,1,0,choice,1,2,1,1,0,2.65,5.3,8.56
112,4,False,1,15,1,15,1,1,17,1,force,1,0,1,1,0,1.85,2.52,3.53
113,4,False,1,15,0,10,0,1,9,1,choice,2,1,1,1,0,2.22,2.93,5.45
114,4,False,1,15,0,17,0,1,8,1,force,2,0,1,1,0,2.73,2.7,3.71
115,4,False,0,15,0,5,1,0,9,1,force,1,0,0,1,0,1.92,2.15,3.16
116,4,False,0,15,0,10,1,0,16,1,choice,2,1,0,1,0,1.74,3.24,5.9
117,4,False,1,15,1,14,1,1,21,1,choice,2,2,1,1,0,2.06,2.91,5.83
118,4,False,1,15,1,15,1,1,20,1,choice,2,1,1,1,0,2.41,2.22,4.6
119,4,False,0,15,0,18,1,0,24,1,force,1,0,0,1,0,1.85,2.25,3.28
120,4,False,0,15,0,15,1,1,5,0,force,2,0,1,0,0,2.64,2.83,3.85
121,4,False,0,15,0,12,1,0,6,1,force,2,0,1,0,0,1.93,3.87,4.88
122,4,False,1,15,1,10,1,1,16,1,choice,2,2,1,1,0,1.54,2.93,5.57
123,4,False,1,15,0,18,0,0,2,0,choice,2,2,1,1,0,2.28,3.48,6.38
124,4,False,0,15,1,12,0,0,5,1,force,1,0,0,1,0,3.12,2.46,3.51
125,4,False,1,15,0,12,0,1,9,1,choice,2,1,1,1,0,2.8,3.47,5.9
126,4,False,0,15,0,11,1,0,24,1,force,2,0,0,1,0,3.76,4.06,5.08
127,4,False,0,15,0,11,1,1,10,0,choice,2,1,1,0,0,1.53,2.45,5.03
128,4,False,1,15,0,3,0,0,19,0,force,1,0,0,0,0,2.7,2.92,3.93
129,4,False,0,15,1,13,0,0,5,1,choice,1,2,0,1,0,2.34,4.46,6.84
130,4,False,1,15,0,16,0,0,22,0,choice,2,2,0,0,0,1.87,3.42,6.14
131,4,False,1,15,1,18,1,0,8,0,choice,2,2,0,0,0,3.16,2.44,4.74
132,4,False,1,15,1,14,1,0,14,0,force,1,0,0,0,0,4.69,2.47,3.48
133,4,False,1,15,0,15,0,1,20,1,choice,1,2,1,1,0,2.69,2.53,4.74
134,4,False,1,15,0,14,0,1,18,1,choice,2,2,1,1,0,2.84,2.96,5.08
135,4,False,0,15,0,17,1,1,18,0,choice,2,1,1,0,0,1.66,2.69,5.21
136,4,False,1,15,0,16,0,1,23,1,choice,2,2,1,1,0,3.8,2.85,5.3
137,4,False,1,15,1,15,1,1,25,1,force,2,0,1,1,0,2.35,3.47,4.49
138,4,False,0,15,1,20,0,0,20,1,choice,2,1,0,1,0,4.41,2.54,5.33
139,4,False,0,15,0,15,1,0,18,1,choice,2,2,0,1,0,2.02,2.38,4.69
140,4,False,1,15,1,21,1,1,30,1,choice,2,1,1,1,0,1.91,2.66,4.99
141,4,False,0,15,0,17,1,0,27,1,choice,2,2,0,1,0,2.04,5.1,7.27
142,4,False,1,15,1,25,1,0,2,0,choice,2,2,0,0,0,2.27,4.15,6.22
143,4,False,1,15,1,19,1,1,30,1,choice,2,1,1,1,0,3.83,3.04,5.34
144,4,False,0,15,0,22,1,0,37,1,choice,1,2,0,1,0,1.98,2.9,4.93
145,4,False,1,15,1,24,1,1,30,1,choice,1,1,1,1,0,2.15,3.19,5.59
146,4,False,0,15,0,15,1,1,8,0,choice,2,1,1,0,0,2.69,5.22,8.24
147,4,False,1,15,0,18,0,1,24,1,force,1,0,1,1,0,2.21,2.54,3.56
148,4,False,1,15,1,21,1,1,6,1,choice,1,2,0,0,0,2.58,3.02,5.91
149,4,False,1,15,1,17,1,1,27,1,choice,1,2,1,1,0,4.53,6.22,9.17
150,4,False,1,15,0,8,0,1,16,1,choice,2,2,1,1,0,3.6,3.22,5.78
151,5,False,0,15,0,22,1,0,30,1,choice,2,2,0,1,0,1.87,2.81,5.19
