trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,4.23,,
2,1,True,0,15,1,10,0,,,,catch,0,0,,0,0,3.93,,
3,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,2.66,,
4,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,2.5,,
5,1,True,0,14,0,11,1,,,,catch,0,0,,0,0,2.56,,
6,1,True,0,14,1,13,0,,,,catch,0,0,,0,0,2.61,,
7,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,2.18,,
8,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,2.16,,
9,1,True,1,14,0,9,0,,,,catch,0,0,,0,0,2.35,,
10,1,True,0,15,0,9,1,,,,catch,0,0,,0,0,2.3,,
11,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,2.21,,
12,1,True,1,14,0,9,0,,,,catch,0,0,,0,0,2.31,,
13,1,True,0,15,0,16,1,,,,catch,0,0,,0,0,2.16,,
14,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,2.36,,
15,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,11.61,,
16,1,True,0,15,0,17,1,,,,catch,0,0,,0,0,2.2,,
17,1,True,1,14,1,10,1,,,,catch,0,0,,0,0,2.35,,
18,1,True,1,14,0,13,0,,,,catch,0,0,,0,0,1.99,,
19,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,2.68,,
20,1,True,1,15,0,12,0,,,,catch,0,0,,0,0,1.99,,
21,1,True,0,15,0,15,1,,,,catch,0,0,,0,0,2.06,,
22,1,True,1,15,1,13,1,,,,catch,0,0,,0,0,2.06,,
23,1,True,1,14,0,12,0,,,,catch,0,0,,0,0,2.34,,
24,1,True,0,15,1,11,0,,,,catch,0,0,,0,0,2.12,,
25,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,1.87,,
26,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,1.88,,
27,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,2.18,,
28,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,1.95,,
29,1,True,0,15,1,10,0,,,,catch,0,0,,0,0,2.28,,
30,1,True,0,15,1,12,0,,,,catch,0,0,,0,0,2.04,,
31,2,True,1,15,1,10,1,,,,catch,0,0,,0,0,2.78,,
32,2,True,0,15,0,14,1,,,,catch,0,0,,0,0,1.81,,
33,2,True,1,14,1,10,1,,,,catch,0,0,,0,0,1.61,,
34,2,True,1,14,1,9,1,,,,catch,0,0,,0,0,1.78,,
35,2,True,0,13,0,15,1,,,,catch,0,0,,0,0,2.02,,
36,2,True,0,13,1,9,0,,,,catch,0,0,,0,0,1.84,,
37,2,True,1,14,1,13,1,,,,catch,0,0,,0,0,1.59,,
38,2,True,1,14,1,15,1,,,,catch,0,0,,0,0,1.68,,
39,2,True,0,13,0,12,1,,,,catch,0,0,,0,0,1.69,,
40,2,True,1,13,1,11,1,,,,catch,0,0,,0,0,1.69,,
41,2,True,1,12,1,11,1,,,,catch,0,0,,0,0,1.71,,
42,2,True,0,12,0,11,1,,,,catch,0,0,,0,0,1.59,,
43,2,True,0,11,0,14,1,,,,catch,0,0,,0,0,1.68,,
44,2,True,0,11,0,14,1,,,,catch,0,0,,0,0,1.38,,
45,2,True,0,10,0,13,1,,,,catch,0,0,,0,0,1.42,,
46,2,True,0,10,0,9,1,,,,catch,0,0,,0,0,1.83,,
47,2,True,0,9,1,10,0,,,,catch,0,0,,0,0,1.54,,
48,2,True,1,10,1,11,1,,,,catch,0,0,,0,0,1.43,,
49,2,True,1,10,1,9,1,,,,catch,0,0,,0,0,1.71,,
50,2,True,0,9,0,14,1,,,,catch,0,0,,0,0,1.66,,
51,2,True,0,9,0,9,1,,,,catch,0,0,,0,0,1.37,,
52,2,True,0,8,0,16,1,,,,catch,0,0,,0,0,1.66,,
53,2,True,0,8,0,14,1,,,,catch,0,0,,0,0,1.44,,
54,2,True,1,7,0,13,0,,,,catch,0,0,,0,0,1.39,,
55,2,True,1,8,1,14,1,,,,catch,0,0,,0,0,1.8,,
56,2,True,1,8,1,11,1,,,,catch,0,0,,0,0,1.79,,
57,2,True,0,7,0,11,1,,,,catch,0,0,,0,0,1.75,,
58,2,True,0,7,0,11,1,,,,catch,0,0,,0,0,1.66,,
59,2,True,0,6,1,11,0,,,,catch,0,0,,0,0,1.58,,
60,2,True,0,7,0,14,1,,,,catch,0,0,,0,0,2.18,,
61,3,True,1,7,0,10,0,,,,catch,0,0,,0,0,1.87,,
62,3,True,1,8,0,8,0,,,,catch,0,0,,0,0,2.79,,
63,3,True,1,9,1,10,1,,,,catch,0,0,,0,0,1.83,,
64,3,True,1,9,0,9,0,,,,catch,0,0,,0,0,2.11,,
65,3,True,0,10,0,12,1,,,,catch,0,0,,0,0,1.67,,
66,3,True,0,10,1,14,0,,,,catch,0,0,,0,0,1.53,,
67,3,True,0,11,0,8,1,,,,catch,0,0,,0,0,1.47,,
68,3,True,1,11,1,10,1,,,,catch,0,0,,0,0,1.52,,
69,3,True,0,10,1,11,0,,,,catch,0,0,,0,0,1.51,,
70,3,True,1,11,0,11,0,,,,catch,0,0,,0,0,1.4,,
71,3,True,0,12,0,13,1,,,,catch,0,0,,0,0,1.38,,
72,3,True,0,12,1,4,0,,,,catch,0,0,,0,0,2.19,,
73,3,True,1,13,1,20,1,,,,catch,0,0,,0,0,1.91,,
74,3,True,1,13,0,12,0,,,,catch,0,0,,0,0,1.73,,
75,3,True,0,14,0,11,1,,,,catch,0,0,,0,0,1.87,,
76,3,True,0,14,0,11,1,,,,catch,0,0,,0,0,1.99,,
77,3,True,1,13,1,14,1,,,,catch,0,0,,0,0,1.55,,
78,3,True,1,13,1,14,1,,,,catch,0,0,,0,0,1.55,,
79,3,True,1,12,1,17,1,,,,catch,0,0,,0,0,1.63,,
80,3,True,1,12,0,13,0,,,,catch,0,0,,0,0,1.83,,
81,3,True,0,13,0,11,1,,,,catch,0,0,,0,0,1.61,,
82,3,True,0,13,0,9,1,,,,catch,0,0,,0,0,1.45,,
83,3,True,0,12,1,13,0,,,,catch,0,0,,0,0,1.47,,
84,3,True,0,13,1,10,0,,,,catch,0,0,,0,0,1.29,,
85,3,True,0,14,1,7,0,,,,catch,0,0,,0,0,1.52,,
86,3,True,0,15,0,8,1,,,,catch,0,0,,0,0,1.33,,
87,3,True,1,15,1,10,1,,,,catch,0,0,,0,0,1.58,,
88,3,True,1,14,1,12,1,,,,catch,0,0,,0,0,1.69,,
89,3,True,0,14,1,12,0,,,,catch,0,0,,0,0,1.43,,
90,3,True,0,15,0,13,1,,,,catch,0,0,,0,0,1.46,,
91,4,False,0,15,1,15,1,1,16,1,choice,2,1,1,1,0,1.7,3.06,6.24
92,4,False,1,15,0,14,1,0,12,1,choice,2,2,1,0,0,1.72,4.6,6.53
93,4,False,1,15,0,12,1,0,21,1,force,2,0,0,1,0,1.83,2.9,3.91
94,4,False,1,15,1,12,0,1,5,0,choice,2,2,0,1,0,1.51,2.58,4.48
95,4,False,1,15,0,17,1,0,22,1,force,2,0,0,1,0,1.76,1.91,2.92
96,4,False,0,15,0,13,1,0,19,1,choice,2,2,0,1,0,2.36,1.66,3.87
97,4,False,0,15,0,17,1,1,3,0,choice,2,2,1,0,0,1.94,2.03,4.6
98,4,False,0,15,0,14,1,0,2,1,choice,2,2,0,1,0,2.01,2.3,4.25
99,4,False,0,15,0,12,1,0,18,1,choice,2,2,0,1,0,1.58,2.38,4.37
100,4,False,0,15,1,15,1,1,21,1,choice,2,1,1,1,0,1.64,2.78,5.01
101,4,False,1,15,1,14,1,0,6,0,choice,2,2,0,0,0,1.58,4.37,6.34
102,4,False,1,15,1,16,1,0,8,0,choice,2,2,0,0,0,1.55,1.91,3.99
103,4,False,1,15,0,16,1,0,23,1,choice,2,2,0,1,0,2.32,1.76,4.71
104,4,False,1,15,1,13,1,1,18,1,force,1,0,1,1,0,1.67,2.21,3.22
105,4,False,0,15,0,14,1,0,21,1,choice,1,2,1,0,0,2.37,2.24,3.97
106,4,False,1,15,1,13,0,1,2,0,choice,1,1,0,1,0,1.64,2.36,4.44
107,4,False,1,15,1,21,1,1,14,1,choice,1,2,1,1,0,1.73,2.24,4.13
108,4,False,1,15,0,18,1,0,8,1,choice,1,2,1,0,0,1.65,2.83,4.73
109,4,False,1,15,0,14,1,0,14,1,force,1,0,0,1,0,1.77,1.9,2.91
110,4,False,0,15,0,16,0,0,13,0,choice,2,2,0,0,0,1.4,2.12,3.95
111,4,False,1,15,0,16,1,0,15,1,force,2,0,0,1,0,1.66,2.08,3.09
112,4,False,1,15,1,20,1,1,15,1,choice,2,2,1,1,0,1.68,2.05,4.28
113,4,False,0,15,1,10,1,1,5,1,choice,2,2,0,0,0,1.72,2.31,4.31
114,4,False,1,15,0,20,0,0,14,0,force,1,0,0,0,0,1.79,1.64,2.65
115,4,False,1,15,1,15,1,1,10,1,force,2,0,1,1,0,1.54,1.79,2.8
116,4,False,1,15,0,14,1,0,7,1,choice,2,2,0,1,0,2.05,1.81,3.85
117,4,False,0,15,1,13,0,1,10,0,force,2,0,1,0,0,1.75,2.2,3.21
118,4,False,0,15,0,18,1,0,10,1,choice,1,2,0,1,0,1.88,2.02,4.01
119,4,False,0,15,1,13,0,1,2,0,choice,1,2,0,1,0,1.39,2.74,4.65
120,4,False,0,15,0,15,1,0,11,1,force,1,0,0,1,0,1.53,2.47,3.48
121,4,False,0,15,1,15,1,1,11,1,choice,1,2,1,1,0,1.34,1.69,4.29
122,4,False,1,15,0,12,0,0,11,0,choice,1,2,0,0,0,1.67,1.64,3.56
123,4,False,0,15,0,12,1,0,11,1,choice,1,2,0,1,0,20.28,2.31,4.25
124,4,False,1,15,0,18,0,0,14,0,choice,1,2,1,1,0,4.13,1.92,4.14
125,4,False,1,15,1,14,1,1,11,1,choice,1,2,1,1,0,5.3,2.34,4.83
126,4,False,0,15,1,11,1,1,7,1,choice,1,2,0,0,0,6.49,2.67,4.8
127,4,False,0,15,1,9,1,1,10,1,choice,2,2,1,1,0,2.65,1.57,3.38
128,4,False,0,15,0,10,0,0,8,0,choice,1,2,0,0,0,1.75,9.0,11.38
129,4,False,0,15,1,19,1,1,11,1,force,2,0,0,0,0,1.83,2.48,3.49
130,4,False,0,15,1,14,0,1,9,0,choice,1,2,0,1,0,1.72,2.33,4.86
131,4,False,1,15,0,13,1,0,11,1,choice,1,2,1,0,0,1.42,1.66,3.54
132,4,False,1,15,1,14,1,1,11,1,choice,1,2,0,0,0,1.37,1.46,3.51
133,4,False,1,15,0,15,0,0,11,0,choice,2,2,0,0,0,1.81,5.0,7.06
134,4,False,0,15,1,14,1,1,13,1,force,1,0,1,1,0,1.31,2.3,3.31
135,4,False,0,15,0,16,0,0,13,0,force,1,0,0,0,0,1.57,1.55,2.56
136,4,False,0,15,0,16,1,0,14,1,choice,2,2,0,1,0,1.72,1.69,3.67
137,4,False,1,15,1,14,1,1,10,1,choice,1,2,1,1,0,1.45,1.84,5.5
138,4,False,0,15,0,14,1,0,13,1,force,2,0,0,1,0,1.78,2.79,3.8
139,4,False,1,15,0,12,1,0,10,1,choice,2,2,0,1,0,5.78,15.92,17.98
140,4,False,0,15,0,10,1,0,12,1,choice,1,2,1,0,0,6.59,1.88,3.74
141,4,False,1,15,1,13,0,1,11,0,force,1,0,0,1,0,1.48,1.23,2.23
142,4,False,0,15,0,15,1,0,10,1,force,2,0,1,0,0,1.62,1.81,2.82
143,4,False,1,15,1,18,0,1,12,0,choice,2,2,0,1,0,1.48,2.16,4.46
144,4,False,0,15,0,17,1,0,13,1,choice,1,2,1,0,0,1.61,1.66,3.65
145,4,False,0,15,0,11,0,0,7,0,choice,2,2,1,1,0,9.08,2.1,4.36
146,4,False,1,15,1,16,1,1,14,1,force,1,0,1,1,0,1.6,1.97,2.98
147,4,False,0,15,1,20,0,1,11,0,force,2,0,0,1,0,1.63,1.72,2.73
148,4,False,1,15,0,17,1,0,13,1,force,1,0,0,1,0,1.77,2.11,3.12
149,4,False,0,15,0,18,1,0,15,1,force,2,0,0,1,0,1.54,1.7,2.71
150,4,False,0,15,0,20,1,0,14,1,force,1,0,0,1,0,1.64,2.2,3.21
151,5,False,1,15,0,18,1,0,12,1,force,2,0,0,1,0,1.53,1.98,2.99
152,5,False,1,15,0,17,1,0,12,1,choice,2,2,0,1,0,1.48,1.42,3.34
153,5,False,0,15,0,14,1,0,10,1,force,2,0,0,1,0,1.55,1.36,2.37
154,5,False,0,15,0,14,1,0,13,1,choice,2,2,1,0,0,1.53,1.31,5.9
155,5,False,0,15,1,14,1,1,11,1,force,1,0,1,1,0,1.77,1.78,2.79
156,5,False,0,15,1,14,1,1,12,1,choice,1,2,1,1,0,1.47,1.44,3.41
157,5,False,1,15,1,13,1,1,11,1,choice,1,2,1,1,0,1.58,1.29,3.31
158,5,False,1,15,0,15,1,0,14,1,choice,2,2,0,1,0,1.49,1.64,3.77
159,5,False,0,15,0,17,1,0,15,1,choice,1,2,0,1,0,29.01,1.83,3.82
160,5,False,0,15,0,14,1,0,12,1,choice,1,2,0,1,0,2.15,1.84,3.69
161,5,False,1,15,0,20,1,0,13,1,choice,2,2,0,1,0,2.11,1.94,4.19
162,5,False,1,15,0,12,0,0,8,0,choice,2,2,1,1,0,13.31,4.74,6.77
163,5,False,0,15,0,17,1,0,14,1,choice,1,2,0,1,0,2.23,1.49,3.81
164,5,False,0,15,0,12,1,0,7,1,force,2,0,0,1,0,2.57,1.82,2.83
165,5,False,1,15,1,14,1,1,11,1,choice,1,2,1,1,0,2.17,1.33,3.67
166,5,False,0,15,1,19,1,1,14,1,force,1,0,1,1,0,1.62,2.42,3.43
167,5,False,0,15,1,10,1,1,9,1,force,1,0,1,1,0,1.63,1.71,2.72
168,5,False,1,15,0,15,0,0,11,0,choice,2,2,1,1,0,1.88,1.42,4.59
169,5,False,0,15,1,14,0,1,9,0,choice,1,2,1,0,0,1.71,1.4,3.34
170,5,False,1,15,1,11,1,1,10,1,choice,1,2,0,0,0,1.39,1.11,3.04
171,5,False,1,15,1,14,1,1,11,1,choice,1,2,1,1,0,1.56,2.06,4.18
172,5,False,1,15,0,17,1,0,11,1,choice,1,2,0,1,0,1.68,1.9,4.07
173,5,False,0,15,1,13,1,1,10,1,force,2,0,1,1,0,1.33,2.08,3.09
174,5,False,0,15,0,14,1,0,10,1,choice,2,2,0,1,0,11.33,1.84,3.87
175,5,False,0,15,0,19,1,0,25,1,force,2,0,0,1,0,2.03,1.93,2.94
176,5,False,0,15,1,16,0,1,9,0,choice,1,2,1,0,0,1.94,2.13,4.02
177,5,False,1,15,0,17,1,0,12,1,choice,2,2,0,1,0,1.94,1.98,4.15
178,5,False,0,15,0,20,1,0,15,1,choice,2,2,0,1,0,1.97,2.77,5.17
179,5,False,1,15,1,16,1,1,25,1,choice,1,2,1,1,0,1.88,2.66,4.65
180,5,False,0,15,1,12,1,1,4,1,choice,1,2,1,1,0,2.02,2.41,4.49
181,5,False,0,15,1,11,1,0,2,0,choice,1,2,0,0,0,2.83,3.29,5.49
