trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,2.62,,
2,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,1.87,,
3,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.9,,
4,1,True,0,14,1,2,0,,,,catch,0,0,,0,0,8.23,,
5,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,3.49,,
6,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,2.23,,
7,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,1.74,,
8,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,2.11,,
9,1,True,1,14,0,50,0,,,,catch,0,0,,0,0,2.32,,
10,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,3.62,,
11,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,2.79,,
12,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,1.99,,
13,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,6.01,,
14,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,2.06,,
15,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,2.05,,
16,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,1.71,,
17,1,True,0,14,1,50,0,,,,catch,0,0,,0,0,1.96,,
18,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,2.27,,
19,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,2.92,,
20,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,2.18,,
21,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,1.75,,
22,1,True,0,13,1,50,0,,,,catch,0,0,,0,0,2.77,,
23,1,True,1,14,1,50,1,,,,catch,0,0,,0,0,1.68,,
24,1,True,1,14,1,2,1,,,,catch,0,0,,0,0,3.41,,
25,1,True,0,13,0,50,1,,,,catch,0,0,,0,0,3.7,,
26,1,True,1,13,1,50,1,,,,catch,0,0,,0,0,2.88,,
27,1,True,0,12,1,50,0,,,,catch,0,0,,0,0,1.99,,
28,1,True,1,13,1,2,1,,,,catch,0,0,,0,0,3.23,,
29,1,True,0,13,0,50,1,,,,catch,0,0,,0,0,2.89,,
30,1,True,0,12,1,50,0,,,,catch,0,0,,0,0,2.94,,
31,2,True,0,13,0,50,1,,,,catch,0,0,,0,0,1.79,,
32,2,True,0,13,1,50,0,,,,catch,0,0,,0,0,1.77,,
33,2,True,1,14,1,50,1,,,,catch,0,0,,0,0,2.23,,
34,2,True,0,14,0,1,1,,,,catch,0,0,,0,0,2.82,,
35,2,True,1,13,1,50,1,,,,catch,0,0,,0,0,2.45,,
36,2,True,1,13,1,50,1,,,,catch,0,0,,0,0,2.43,,
37,2,True,1,12,1,50,1,,,,catch,0,0,,0,0,2.06,,
38,2,True,0,12,0,50,1,,,,catch,0,0,,0,0,1.76,,
39,2,True,1,11,1,50,1,,,,catch,0,0,,0,0,2.09,,
40,2,True,0,11,0,50,1,,,,catch,0,0,,0,0,1.73,,
41,2,True,1,10,1,50,1,,,,catch,0,0,,0,0,2.18,,
42,2,True,0,10,0,50,1,,,,catch,0,0,,0,0,2.42,,
43,2,True,0,9,0,50,1,,,,catch,0,0,,0,0,2.3,,
44,2,True,1,9,1,50,1,,,,catch,0,0,,0,0,2.1,,
45,2,True,0,8,0,50,1,,,,catch,0,0,,0,0,1.99,,
46,2,True,1,8,1,50,1,,,,catch,0,0,,0,0,2.18,,
47,2,True,1,7,1,50,1,,,,catch,0,0,,0,0,1.88,,
48,2,True,0,7,0,50,1,,,,catch,0,0,,0,0,2.08,,
49,2,True,1,6,0,50,0,,,,catch,0,0,,0,0,2.25,,
50,2,True,1,7,1,2,1,,,,catch,0,0,,0,0,5.3,,
51,2,True,0,7,0,50,1,,,,catch,0,0,,0,0,1.62,,
52,2,True,0,6,1,50,0,,,,catch,0,0,,0,0,2.58,,
53,2,True,0,7,0,1,1,,,,catch,0,0,,0,0,2.81,,
54,2,True,1,7,1,50,1,,,,catch,0,0,,0,0,2.06,,
55,2,True,0,6,0,50,1,,,,catch,0,0,,0,0,1.75,,
56,2,True,1,6,0,50,0,,,,catch,0,0,,0,0,2.42,,
57,2,True,1,7,1,50,1,,,,catch,0,0,,0,0,2.34,,
58,2,True,0,7,0,50,1,,,,catch,0,0,,0,0,2.52,,
59,2,True,1,6,1,2,1,,,,catch,0,0,,0,0,2.56,,
60,2,True,0,6,0,50,1,,,,catch,0,0,,0,0,1.77,,
61,3,True,1,5,1,50,1,,,,catch,0,0,,0,0,1.75,,
62,3,True,1,5,0,50,0,,,,catch,0,0,,0,0,1.62,,
63,3,True,0,6,1,2,0,,,,catch,0,0,,0,0,1.68,,
64,3,True,1,7,0,50,0,,,,catch,0,0,,0,0,2.61,,
65,3,True,1,8,1,2,1,,,,catch,0,0,,0,0,1.81,,
66,3,True,0,8,1,2,0,,,,catch,0,0,,0,0,2.62,,
67,3,True,1,9,1,50,1,,,,catch,0,0,,0,0,5.98,,
68,3,True,0,9,0,1,1,,,,catch,0,0,,0,0,6.21,,
69,3,True,0,8,0,50,1,,,,catch,0,0,,0,0,1.81,,
70,3,True,1,8,0,50,0,,,,catch,0,0,,0,0,3.98,,
71,3,True,1,9,1,50,1,,,,catch,0,0,,0,0,2.37,,
72,3,True,1,9,1,2,1,,,,catch,0,0,,0,0,1.67,,
73,3,True,1,8,1,50,1,,,,catch,0,0,,0,0,2.37,,
74,3,True,0,8,0,50,1,,,,catch,0,0,,0,0,2.17,,
75,3,True,1,7,1,50,1,,,,catch,0,0,,0,0,2.17,,
76,3,True,1,7,0,50,0,,,,catch,0,0,,0,0,2.15,,
77,3,True,1,8,1,2,1,,,,catch,0,0,,0,0,1.96,,
78,3,True,1,8,1,50,1,,,,catch,0,0,,0,0,2.38,,
79,3,True,1,7,1,2,1,,,,catch,0,0,,0,0,4.23,,
80,3,True,1,7,1,50,1,,,,catch,0,0,,0,0,1.74,,
81,3,True,0,6,1,2,0,,,,catch,0,0,,0,0,1.93,,
82,3,True,0,7,1,2,0,,,,catch,0,0,,0,0,1.8,,
83,3,True,0,8,0,50,1,,,,catch,0,0,,0,0,2.34,,
84,3,True,0,8,0,1,1,,,,catch,0,0,,0,0,2.88,,
85,3,True,0,7,1,25,0,,,,catch,0,0,,0,0,4.67,,
86,3,True,0,8,1,50,0,,,,catch,0,0,,0,0,2.85,,
87,3,True,0,9,0,50,1,,,,catch,0,0,,0,0,1.93,,
88,3,True,1,9,0,1,0,,,,catch,0,0,,0,0,5.16,,
89,3,True,1,10,0,50,0,,,,catch,0,0,,0,0,3.18,,
90,3,True,1,11,1,2,1,,,,catch,0,0,,0,0,2.61,,
91,4,False,0,11,1,2,0,1,2,0,choice,1,1,0,1,0,4.42,15.15,19.94
92,4,False,1,11,1,50,1,1,2,1,force,2,0,0,0,0,5.11,7.3,8.3
93,4,False,0,11,1,50,1,1,50,1,force,1,0,1,1,0,3.22,4.51,5.51
94,4,False,0,11,0,50,0,0,50,0,choice,2,1,0,0,0,3.5,3.17,6.39
95,4,False,0,11,1,50,0,1,2,0,force,2,0,0,1,0,2.61,2.88,3.89
96,4,False,0,11,1,50,1,1,50,1,choice,1,2,1,1,0,2.4,4.82,7.57
97,4,False,0,11,1,50,0,1,50,0,choice,2,1,1,0,0,3.57,2.36,5.66
98,4,False,1,11,0,50,0,1,2,1,choice,1,1,1,1,0,1.9,6.2,9.02
99,4,False,0,11,1,50,0,1,50,0,force,1,0,0,1,0,1.94,1.42,2.42
100,4,False,0,11,1,50,0,1,2,0,choice,2,2,0,1,0,2.48,1.61,3.72
101,4,False,0,11,1,50,1,1,50,1,choice,1,2,1,1,0,2.07,3.13,5.29
102,4,False,0,11,1,50,1,1,2,1,choice,2,1,0,0,0,1.49,4.33,6.23
