trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,8.47,,
2,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,4.5,,
3,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,3.33,,
4,1,True,0,14,1,15,0,,,,catch,0,0,,0,0,3.52,,
5,1,True,0,15,0,9,1,,,,catch,0,0,,0,0,3.28,,
6,1,True,0,15,0,41,1,,,,catch,0,0,,0,0,3.1,,
7,1,True,0,14,1,18,0,,,,catch,0,0,,0,0,4.58,,
8,1,True,0,15,0,34,1,,,,catch,0,0,,0,0,3.3,,
9,1,True,1,15,1,27,1,,,,catch,0,0,,0,0,3.23,,
10,1,True,1,14,1,50,1,,,,catch,0,0,,0,0,3.23,,
11,1,True,1,14,0,6,0,,,,catch,0,0,,0,0,2.51,,
12,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,5.01,,
13,1,True,1,15,1,35,1,,,,catch,0,0,,0,0,3.37,,
14,1,True,1,14,1,37,1,,,,catch,0,0,,0,0,2.76,,
15,1,True,0,14,1,38,0,,,,catch,0,0,,0,0,2.95,,
16,1,True,1,15,0,20,0,,,,catch,0,0,,0,0,2.18,,
17,1,True,0,15,0,15,1,,,,catch,0,0,,0,0,2.79,,
18,1,True,0,15,0,33,1,,,,catch,0,0,,0,0,1.73,,
19,1,True,0,14,0,11,1,,,,catch,0,0,,0,0,2.68,,
20,1,True,1,14,1,27,1,,,,catch,0,0,,0,0,2.54,,
21,1,True,1,13,1,4,1,,,,catch,0,0,,0,0,4.42,,
22,1,True,0,13,0,24,1,,,,catch,0,0,,0,0,2.16,,
23,1,True,1,12,0,44,0,,,,catch,0,0,,0,0,3.03,,
24,1,True,0,13,1,35,0,,,,catch,0,0,,0,0,2.05,,
25,1,True,1,14,0,11,0,,,,catch,0,0,,0,0,1.82,,
26,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,2.43,,
27,1,True,1,15,1,31,1,,,,catch,0,0,,0,0,1.61,,
