trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,35,0,,,,catch,0,0,,0,0,5.63,,
2,1,True,1,15,0,29,0,,,,catch,0,0,,0,0,16.62,,
3,1,True,1,15,1,26,1,,,,catch,0,0,,0,0,2.78,,
4,1,True,0,15,0,26,1,,,,catch,0,0,,0,0,6.49,,
5,1,True,1,14,1,17,1,,,,catch,0,0,,0,0,3.02,,
6,1,True,1,14,1,28,1,,,,catch,0,0,,0,0,1.83,,
7,1,True,1,13,1,18,1,,,,catch,0,0,,0,0,1.39,,
8,1,True,1,13,1,21,1,,,,catch,0,0,,0,0,1.19,,
9,1,True,1,12,1,21,1,,,,catch,0,0,,0,0,1.28,,
10,1,True,1,12,1,38,1,,,,catch,0,0,,0,0,1.33,,
11,1,True,0,11,0,32,1,,,,catch,0,0,,0,0,1.46,,
12,1,True,1,11,1,31,1,,,,catch,0,0,,0,0,1.3,,
13,1,True,0,10,0,30,1,,,,catch,0,0,,0,0,1.82,,
14,1,True,0,10,1,27,0,,,,catch,0,0,,0,0,1.18,,
15,1,True,1,11,0,13,0,,,,catch,0,0,,0,0,1.89,,
16,1,True,0,12,1,6,0,,,,catch,0,0,,0,0,1.39,,
17,1,True,1,13,0,4,0,,,,catch,0,0,,0,0,1.88,,
18,1,True,1,14,1,24,1,,,,catch,0,0,,0,0,1.39,,
19,1,True,1,14,1,24,1,,,,catch,0,0,,0,0,1.27,,
20,1,True,0,13,1,24,0,,,,catch,0,0,,0,0,1.09,,
21,1,True,0,14,1,20,0,,,,catch,0,0,,0,0,1.53,,
22,1,True,1,15,1,27,1,,,,catch,0,0,,0,0,1.07,,
23,1,True,0,15,1,18,0,,,,catch,0,0,,0,0,1.92,,
24,1,True,0,15,0,23,1,,,,catch,0,0,,0,0,1.72,,
25,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,2.34,,
26,1,True,0,14,1,29,0,,,,catch,0,0,,0,0,1.2,,
27,1,True,1,15,1,28,1,,,,catch,0,0,,0,0,1.16,,
28,1,True,1,15,1,25,1,,,,catch,0,0,,0,0,1.6,,
29,1,True,1,14,1,30,1,,,,catch,0,0,,0,0,1.36,,
30,1,True,0,14,0,24,1,,,,catch,0,0,,0,0,1.59,,
31,2,True,0,13,1,23,0,,,,catch,0,0,,0,0,1.43,,
32,2,True,0,14,1,26,0,,,,catch,0,0,,0,0,1.08,,
33,2,True,1,15,1,27,1,,,,catch,0,0,,0,0,1.12,,
34,2,True,0,15,0,24,1,,,,catch,0,0,,0,0,1.84,,
35,2,True,0,14,0,25,1,,,,catch,0,0,,0,0,1.86,,
36,2,True,1,14,1,27,1,,,,catch,0,0,,0,0,1.53,,
37,2,True,0,13,0,28,1,,,,catch,0,0,,0,0,2.21,,
38,2,True,1,13,1,24,1,,,,catch,0,0,,0,0,1.28,,
39,2,True,0,12,1,31,0,,,,catch,0,0,,0,0,1.68,,
40,2,True,0,13,1,28,0,,,,catch,0,0,,0,0,1.73,,
41,2,True,1,14,1,19,1,,,,catch,0,0,,0,0,2.08,,
42,2,True,1,14,1,24,1,,,,catch,0,0,,0,0,1.97,,
43,2,True,1,13,1,23,1,,,,catch,0,0,,0,0,1.33,,
44,2,True,0,13,0,25,1,,,,catch,0,0,,0,0,1.67,,
45,2,True,1,12,1,19,1,,,,catch,0,0,,0,0,1.33,,
46,2,True,1,12,1,19,1,,,,catch,0,0,,0,0,1.28,,
47,2,True,0,11,0,37,1,,,,catch,0,0,,0,0,2.11,,
48,2,True,1,11,1,31,1,,,,catch,0,0,,0,0,1.49,,
49,2,True,0,10,0,38,1,,,,catch,0,0,,0,0,1.79,,
50,2,True,1,10,1,31,1,,,,catch,0,0,,0,0,1.25,,
51,2,True,0,9,1,33,0,,,,catch,0,0,,0,0,0.9,,
52,2,True,0,10,0,30,1,,,,catch,0,0,,0,0,2.27,,
53,2,True,0,10,0,32,1,,,,catch,0,0,,0,0,1.43,,
54,2,True,0,9,1,23,0,,,,catch,0,0,,0,0,1.18,,
55,2,True,1,10,1,22,1,,,,catch,0,0,,0,0,1.23,,
56,2,True,1,10,1,19,1,,,,catch,0,0,,0,0,1.25,,
57,2,True,0,9,1,27,0,,,,catch,0,0,,0,0,1.5,,
58,2,True,0,10,0,28,1,,,,catch,0,0,,0,0,1.29,,
59,2,True,1,10,1,21,1,,,,catch,0,0,,0,0,1.4,,
60,2,True,1,9,1,23,1,,,,catch,0,0,,0,0,1.39,,
61,3,True,0,9,1,23,0,,,,catch,0,0,,0,0,1.36,,
62,3,True,0,10,0,23,1,,,,catch,0,0,,0,0,1.28,,
63,3,True,1,10,0,25,0,,,,catch,0,0,,0,0,1.53,,
64,3,True,1,11,1,21,1,,,,catch,0,0,,0,0,0.95,,
65,3,True,1,11,1,21,1,,,,catch,0,0,,0,0,1.23,,
66,3,True,0,10,1,19,0,,,,catch,0,0,,0,0,1.77,,
67,3,True,1,11,1,22,1,,,,catch,0,0,,0,0,1.0,,
68,3,True,1,11,1,35,1,,,,catch,0,0,,0,0,1.02,,
69,3,True,0,10,1,42,0,,,,catch,0,0,,0,0,1.6,,
70,3,True,0,11,0,38,1,,,,catch,0,0,,0,0,1.33,,
71,3,True,1,11,1,26,1,,,,catch,0,0,,0,0,1.04,,
72,3,True,0,10,1,24,0,,,,catch,0,0,,0,0,0.87,,
73,3,True,0,11,0,28,1,,,,catch,0,0,,0,0,0.86,,
