trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,15,1,,,,catch,0,0,,0,0,5.37,,
2,1,True,1,15,0,12,0,,,,catch,0,0,,0,0,2.26,,
3,1,True,0,15,0,37,1,,,,catch,0,0,,0,0,2.39,,
4,1,True,0,15,0,45,1,,,,catch,0,0,,0,0,1.78,,
5,1,True,1,14,1,11,1,,,,catch,0,0,,0,0,1.79,,
6,1,True,1,14,0,4,0,,,,catch,0,0,,0,0,2.71,,
7,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,2.31,,
8,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,1.74,,
9,1,True,0,15,0,23,1,,,,catch,0,0,,0,0,2.43,,
10,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,3.47,,
11,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,2.42,,
12,1,True,0,13,1,20,0,,,,catch,0,0,,0,0,1.3,,
13,1,True,1,14,1,17,1,,,,catch,0,0,,0,0,1.04,,
14,1,True,1,14,1,23,1,,,,catch,0,0,,0,0,2.12,,
15,1,True,0,13,1,33,0,,,,catch,0,0,,0,0,1.26,,
16,1,True,0,14,0,28,1,,,,catch,0,0,,0,0,1.38,,
17,1,True,0,14,0,33,1,,,,catch,0,0,,0,0,2.13,,
18,1,True,0,13,1,50,0,,,,catch,0,0,,0,0,1.74,,
19,1,True,1,14,1,50,1,,,,catch,0,0,,0,0,1.32,,
20,1,True,1,14,1,14,1,,,,catch,0,0,,0,0,2.05,,
21,1,True,1,13,1,23,1,,,,catch,0,0,,0,0,1.47,,
22,1,True,0,13,0,34,1,,,,catch,0,0,,0,0,1.74,,
23,1,True,1,12,1,30,1,,,,catch,0,0,,0,0,2.29,,
24,1,True,1,12,1,27,1,,,,catch,0,0,,0,0,1.6,,
25,1,True,1,11,1,10,1,,,,catch,0,0,,0,0,2.72,,
26,1,True,0,11,1,32,0,,,,catch,0,0,,0,0,1.58,,
27,1,True,1,12,1,34,1,,,,catch,0,0,,0,0,1.16,,
28,1,True,0,12,0,30,1,,,,catch,0,0,,0,0,0.9,,
29,1,True,1,11,0,33,0,,,,catch,0,0,,0,0,0.8,,
30,1,True,1,12,1,26,1,,,,catch,0,0,,0,0,0.93,,
31,2,True,0,12,0,16,1,,,,catch,0,0,,0,0,2.58,,
32,2,True,1,11,1,25,1,,,,catch,0,0,,0,0,1.07,,
33,2,True,1,11,1,24,1,,,,catch,0,0,,0,0,0.97,,
34,2,True,0,10,0,50,1,,,,catch,0,0,,0,0,2.25,,
35,2,True,0,10,0,14,1,,,,catch,0,0,,0,0,1.83,,
36,2,True,0,9,1,32,0,,,,catch,0,0,,0,0,1.21,,
37,2,True,0,10,1,20,0,,,,catch,0,0,,0,0,21.54,,
38,2,True,0,11,1,50,0,,,,catch,0,0,,0,0,1.74,,
39,2,True,1,12,1,50,1,,,,catch,0,0,,0,0,1.22,,
40,2,True,1,12,1,50,1,,,,catch,0,0,,0,0,1.47,,
41,2,True,0,11,1,20,0,,,,catch,0,0,,0,0,0.91,,
42,2,True,0,12,1,38,0,,,,catch,0,0,,0,0,1.18,,
43,2,True,0,13,1,33,0,,,,catch,0,0,,0,0,0.88,,
44,2,True,0,14,0,28,1,,,,catch,0,0,,0,0,1.17,,
45,2,True,0,14,0,50,1,,,,catch,0,0,,0,0,1.58,,
46,2,True,0,13,1,30,0,,,,catch,0,0,,0,0,1.3,,
47,2,True,1,14,1,25,1,,,,catch,0,0,,0,0,0.87,,
48,2,True,1,14,1,19,1,,,,catch,0,0,,0,0,0.6,,
49,2,True,0,13,1,24,0,,,,catch,0,0,,0,0,0.69,,
50,2,True,1,14,0,23,0,,,,catch,0,0,,0,0,1.02,,
51,2,True,1,15,0,18,0,,,,catch,0,0,,0,0,1.64,,
52,2,True,0,15,0,23,1,,,,catch,0,0,,0,0,1.22,,
53,2,True,0,15,1,20,0,,,,catch,0,0,,0,0,1.49,,
54,2,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.55,,
55,2,True,0,15,1,6,0,,,,catch,0,0,,0,0,8.66,,
56,2,True,1,15,1,50,1,,,,catch,0,0,,0,0,1.53,,
57,2,True,0,15,1,13,0,,,,catch,0,0,,0,0,27.16,,
58,2,True,0,15,1,2,0,,,,catch,0,0,,0,0,9.78,,
59,2,True,0,15,0,3,1,,,,catch,0,0,,0,0,2.38,,
60,2,True,0,15,1,46,0,,,,catch,0,0,,0,0,2.14,,
61,3,True,0,15,0,31,1,,,,catch,0,0,,0,0,1.7,,
62,3,True,1,15,1,28,1,,,,catch,0,0,,0,0,1.36,,
63,3,True,0,14,0,4,1,,,,catch,0,0,,0,0,2.71,,
64,3,True,0,14,0,50,1,,,,catch,0,0,,0,0,2.15,,
65,3,True,0,13,1,8,0,,,,catch,0,0,,0,0,1.8,,
66,3,True,0,14,1,5,0,,,,catch,0,0,,0,0,1.08,,
67,3,True,0,15,0,8,1,,,,catch,0,0,,0,0,0.96,,
68,3,True,1,15,1,6,1,,,,catch,0,0,,0,0,1.07,,
69,3,True,1,14,1,50,1,,,,catch,0,0,,0,0,1.51,,
70,3,True,1,14,1,8,1,,,,catch,0,0,,0,0,1.36,,
71,3,True,0,13,0,50,1,,,,catch,0,0,,0,0,1.2,,
72,3,True,0,13,0,50,1,,,,catch,0,0,,0,0,1.5,,
73,3,True,0,12,0,6,1,,,,catch,0,0,,0,0,1.18,,
74,3,True,0,12,0,50,1,,,,catch,0,0,,0,0,1.12,,
75,3,True,0,11,0,50,1,,,,catch,0,0,,0,0,1.13,,
76,3,True,1,11,0,50,0,,,,catch,0,0,,0,0,1.24,,
77,3,True,1,12,0,25,0,,,,catch,0,0,,0,0,0.92,,
78,3,True,0,13,0,14,1,,,,catch,0,0,,0,0,1.31,,
79,3,True,1,13,1,12,1,,,,catch,0,0,,0,0,0.84,,
80,3,True,1,12,1,15,1,,,,catch,0,0,,0,0,0.72,,
81,3,True,1,12,1,50,1,,,,catch,0,0,,0,0,1.2,,
82,3,True,1,11,1,50,1,,,,catch,0,0,,0,0,1.04,,
83,3,True,0,11,1,50,0,,,,catch,0,0,,0,0,0.91,,
84,3,True,1,12,1,22,1,,,,catch,0,0,,0,0,0.75,,
85,3,True,0,12,1,24,0,,,,catch,0,0,,0,0,0.78,,
86,3,True,1,13,0,16,0,,,,catch,0,0,,0,0,1.04,,
87,3,True,0,14,0,6,1,,,,catch,0,0,,0,0,0.98,,
88,3,True,0,14,1,20,0,,,,catch,0,0,,0,0,1.12,,
89,3,True,1,15,0,23,0,,,,catch,0,0,,0,0,1.58,,
90,3,True,1,15,1,25,1,,,,catch,0,0,,0,0,1.14,,
91,4,False,0,15,1,27,1,1,27,1,force,1,0,1,1,0,1.5,7.98,8.98
92,4,False,1,15,0,19,0,0,19,0,force,2,0,1,1,0,2.67,3.27,4.27
93,4,False,0,15,1,18,1,0,14,0,choice,1,2,0,0,0,1.66,3.25,7.01
94,4,False,0,15,0,13,1,1,18,0,choice,2,1,0,1,0,1.88,1.49,4.48
95,4,False,1,15,0,16,0,0,50,0,choice,1,1,0,0,0,1.26,3.36,5.43
96,4,False,1,15,0,50,0,0,50,0,choice,2,1,0,0,0,2.79,1.92,3.57
97,4,False,0,15,1,24,0,1,24,0,force,1,0,0,1,0,1.86,2.7,3.7
98,4,False,0,15,1,23,1,1,23,1,choice,1,2,0,0,0,1.22,0.89,2.57
99,4,False,0,15,1,24,0,1,24,0,force,2,0,0,1,0,1.05,1.19,2.19
100,4,False,0,15,1,20,0,1,20,0,choice,1,2,1,0,0,1.04,1.81,3.5
101,4,False,1,15,0,23,0,0,23,0,choice,2,1,0,0,0,1.68,1.62,3.41
102,4,False,0,15,0,27,1,1,24,0,force,2,0,0,1,0,2.62,1.47,2.47
103,4,False,0,15,0,22,1,1,21,0,force,1,0,0,1,0,1.66,2.2,3.21
104,4,False,0,15,1,19,1,1,19,1,choice,1,2,0,0,0,0.94,1.45,3.14
105,4,False,0,15,1,22,0,1,22,0,force,2,0,1,0,0,0.82,2.06,3.06
106,4,False,1,15,1,19,1,1,19,1,choice,1,1,1,1,0,1.06,1.81,3.63
107,4,False,0,15,1,50,1,1,50,1,force,2,0,0,0,0,1.46,1.81,2.81
108,4,False,0,15,1,41,0,1,41,0,choice,2,1,0,1,0,1.47,1.54,3.7
109,4,False,0,15,1,40,1,1,50,1,choice,2,2,1,1,0,0.97,1.73,3.68
110,4,False,0,15,1,21,1,1,21,1,choice,2,1,1,1,0,1.32,1.85,3.64
111,4,False,1,15,1,25,1,1,25,1,force,1,0,1,1,0,0.95,1.41,2.42
112,4,False,0,15,1,39,0,1,50,0,choice,1,1,1,0,0,1.48,1.25,2.78
113,4,False,1,15,1,31,0,0,18,1,choice,1,1,0,1,0,0.89,1.79,3.66
114,4,False,0,15,1,35,0,0,26,1,force,2,0,0,1,0,0.8,1.9,2.9
115,4,False,0,15,1,20,0,1,20,0,choice,2,2,1,0,0,0.93,1.09,2.93
116,4,False,0,15,1,16,1,0,50,0,choice,1,1,0,0,0,1.03,1.38,3.09
117,4,False,0,15,0,24,1,0,24,1,choice,1,1,0,1,0,1.1,1.53,3.38
118,4,False,1,15,1,50,1,1,50,1,force,1,0,1,1,0,1.81,1.9,2.9
119,4,False,1,15,1,6,1,1,12,1,choice,1,1,1,1,0,1.82,2.3,4.01
120,4,False,0,15,1,20,0,0,2,1,choice,1,2,0,1,0,1.54,2.81,4.87
121,4,False,0,15,1,13,0,1,11,0,choice,2,2,0,1,0,0.94,1.93,3.7
122,4,False,0,15,1,3,1,1,3,1,choice,1,2,0,0,0,1.33,1.73,3.82
123,4,False,1,15,1,4,1,1,4,1,choice,1,1,1,1,0,1.46,0.84,2.69
124,4,False,1,15,1,16,0,1,35,0,choice,1,1,1,0,0,0.96,1.42,3.22
125,4,False,1,15,1,17,0,0,4,1,choice,1,2,0,1,0,1.04,1.17,2.78
126,4,False,0,15,1,8,0,0,5,1,choice,1,2,0,1,0,0.75,1.12,2.7
127,4,False,1,15,1,9,0,1,17,0,choice,1,2,0,1,0,1.6,1.05,2.52
128,4,False,1,15,1,6,0,1,6,0,force,1,0,1,0,0,1.12,1.28,2.29
129,4,False,0,15,1,17,0,1,17,0,choice,1,2,0,1,0,1.11,1.14,2.68
130,4,False,0,15,0,22,1,0,11,1,choice,1,1,1,0,0,1.37,1.89,3.69
131,4,False,0,15,0,29,1,0,50,1,force,1,0,0,1,0,1.92,1.23,2.23
132,4,False,0,15,0,50,1,0,50,1,choice,1,1,0,1,0,1.13,1.09,2.71
133,4,False,1,15,1,26,0,0,24,1,choice,1,2,1,0,0,1.29,1.32,3.02
134,4,False,0,15,0,17,1,0,17,1,choice,1,2,1,0,0,1.2,1.82,3.35
