trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,16.66,,
2,1,True,1,15,0,23,0,,,,catch,0,0,,0,0,10.12,,
3,1,True,1,15,0,18,0,,,,catch,0,0,,0,0,4.73,,
4,1,True,0,15,0,16,1,,,,catch,0,0,,0,0,4.84,,
5,1,True,1,15,0,3,0,,,,catch,0,0,,0,0,5.98,,
6,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,11.52,,
7,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,4.24,,
8,1,True,0,15,0,2,1,,,,catch,0,0,,0,0,6.52,,
9,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,3.9,,
10,1,True,1,14,1,28,1,,,,catch,0,0,,0,0,4.65,,
11,1,True,0,14,0,32,1,,,,catch,0,0,,0,0,3.28,,
12,1,True,1,13,0,47,0,,,,catch,0,0,,0,0,4.56,,
13,1,True,1,14,0,26,0,,,,catch,0,0,,0,0,4.53,,
14,1,True,1,15,1,19,1,,,,catch,0,0,,0,0,3.34,,
15,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,2.84,,
16,1,True,0,15,0,23,1,,,,catch,0,0,,0,0,3.13,,
17,1,True,0,15,0,40,1,,,,catch,0,0,,0,0,2.88,,
18,1,True,0,14,0,46,1,,,,catch,0,0,,0,0,3.48,,
19,1,True,1,14,0,20,0,,,,catch,0,0,,0,0,3.19,,
20,1,True,1,15,0,14,0,,,,catch,0,0,,0,0,3.3,,
21,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,5.89,,
22,1,True,1,15,0,3,0,,,,catch,0,0,,0,0,4.3,,
23,1,True,0,15,0,19,1,,,,catch,0,0,,0,0,4.0,,
24,1,True,0,15,0,44,1,,,,catch,0,0,,0,0,3.11,,
25,1,True,0,14,0,47,1,,,,catch,0,0,,0,0,3.81,,
26,1,True,1,14,0,48,0,,,,catch,0,0,,0,0,3.13,,
27,1,True,1,15,0,50,0,,,,catch,0,0,,0,0,6.76,,
28,1,True,0,15,0,42,1,,,,catch,0,0,,0,0,4.12,,
29,1,True,1,15,0,43,0,,,,catch,0,0,,0,0,2.9,,
30,1,True,0,15,0,29,1,,,,catch,0,0,,0,0,3.46,,
31,2,True,1,15,1,25,1,,,,catch,0,0,,0,0,7.58,,
32,2,True,1,14,0,14,0,,,,catch,0,0,,0,0,2.8,,
33,2,True,0,15,0,29,1,,,,catch,0,0,,0,0,2.57,,
34,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,3.98,,
35,2,True,0,14,0,50,1,,,,catch,0,0,,0,0,3.97,,
36,2,True,0,14,0,50,1,,,,catch,0,0,,0,0,5.32,,
37,2,True,0,13,0,50,1,,,,catch,0,0,,0,0,2.97,,
38,2,True,0,13,0,50,1,,,,catch,0,0,,0,0,4.08,,
39,2,True,0,12,0,30,1,,,,catch,0,0,,0,0,3.76,,
40,2,True,1,12,0,33,0,,,,catch,0,0,,0,0,3.88,,
41,2,True,0,13,0,14,1,,,,catch,0,0,,0,0,6.38,,
42,2,True,1,13,1,11,1,,,,catch,0,0,,0,0,4.57,,
43,2,True,0,12,0,1,1,,,,catch,0,0,,0,0,3.99,,
44,2,True,0,12,0,1,1,,,,catch,0,0,,0,0,4.11,,
45,2,True,1,11,0,18,0,,,,catch,0,0,,0,0,3.49,,
46,2,True,1,12,1,1,1,,,,catch,0,0,,0,0,3.69,,
47,2,True,0,12,0,7,1,,,,catch,0,0,,0,0,2.87,,
48,2,True,1,11,1,6,1,,,,catch,0,0,,0,0,3.44,,
49,2,True,1,11,1,1,1,,,,catch,0,0,,0,0,4.88,,
50,2,True,0,10,0,31,1,,,,catch,0,0,,0,0,4.72,,
51,2,True,1,10,1,1,1,,,,catch,0,0,,0,0,5.36,,
52,2,True,0,9,0,36,1,,,,catch,0,0,,0,0,3.4,,
53,2,True,1,9,1,1,1,,,,catch,0,0,,0,0,3.99,,
54,2,True,1,8,1,1,1,,,,catch,0,0,,0,0,3.61,,
55,2,True,0,8,1,2,0,,,,catch,0,0,,0,0,3.67,,
56,2,True,0,9,0,1,1,,,,catch,0,0,,0,0,5.66,,
57,2,True,1,9,1,7,1,,,,catch,0,0,,0,0,3.73,,
58,2,True,0,8,0,26,1,,,,catch,0,0,,0,0,5.94,,
59,2,True,0,8,0,35,1,,,,catch,0,0,,0,0,3.02,,
60,2,True,1,7,1,33,1,,,,catch,0,0,,0,0,4.75,,
61,3,True,1,7,0,8,0,,,,catch,0,0,,0,0,3.94,,
62,3,True,0,8,1,5,0,,,,catch,0,0,,0,0,3.89,,
63,3,True,0,9,0,35,1,,,,catch,0,0,,0,0,3.79,,
64,3,True,1,9,1,2,1,,,,catch,0,0,,0,0,4.44,,
65,3,True,0,8,0,2,1,,,,catch,0,0,,0,0,8.71,,
66,3,True,1,8,1,13,1,,,,catch,0,0,,0,0,3.34,,
67,3,True,0,7,0,40,1,,,,catch,0,0,,0,0,4.18,,
68,3,True,0,7,0,49,1,,,,catch,0,0,,0,0,3.94,,
69,3,True,1,6,0,30,0,,,,catch,0,0,,0,0,3.48,,
70,3,True,1,7,0,29,0,,,,catch,0,0,,0,0,4.35,,
71,3,True,0,8,0,2,1,,,,catch,0,0,,0,0,3.84,,
72,3,True,1,8,1,23,1,,,,catch,0,0,,0,0,4.49,,
73,3,True,0,7,0,1,1,,,,catch,0,0,,0,0,5.67,,
74,3,True,0,7,1,5,0,,,,catch,0,0,,0,0,4.18,,
75,3,True,0,8,0,44,1,,,,catch,0,0,,0,0,5.8,,
76,3,True,1,8,1,17,1,,,,catch,0,0,,0,0,3.8,,
77,3,True,0,7,0,50,1,,,,catch,0,0,,0,0,3.32,,
78,3,True,0,7,0,50,1,,,,catch,0,0,,0,0,3.79,,
79,3,True,0,6,1,10,0,,,,catch,0,0,,0,0,4.2,,
80,3,True,1,7,1,5,1,,,,catch,0,0,,0,0,3.34,,
81,3,True,1,7,0,37,0,,,,catch,0,0,,0,0,4.37,,
82,3,True,0,8,0,13,1,,,,catch,0,0,,0,0,6.07,,
83,3,True,0,8,0,34,1,,,,catch,0,0,,0,0,3.77,,
84,3,True,1,7,0,50,0,,,,catch,0,0,,0,0,3.22,,
85,3,True,0,8,0,38,1,,,,catch,0,0,,0,0,6.58,,
86,3,True,1,8,0,50,0,,,,catch,0,0,,0,0,3.3,,
87,3,True,1,9,0,1,0,,,,catch,0,0,,0,0,5.13,,
88,3,True,0,10,0,7,1,,,,catch,0,0,,0,0,3.29,,
89,3,True,1,10,0,10,0,,,,catch,0,0,,0,0,3.61,,
90,3,True,0,11,0,30,1,,,,catch,0,0,,0,0,4.64,,
91,4,False,0,11,0,9,1,0,23,1,choice,1,2,0,1,0,4.09,6.72,9.7
92,4,False,1,11,0,32,0,0,44,0,force,1,0,0,0,0,3.17,4.88,5.88
93,4,False,1,11,0,13,1,0,26,1,choice,2,2,0,1,0,3.27,4.07,6.42
94,4,False,1,11,0,17,1,0,20,1,choice,1,2,0,1,0,3.59,3.79,6.97
95,4,False,0,11,0,3,0,0,11,0,force,2,0,0,0,0,3.57,3.65,4.65
96,4,False,0,11,0,2,1,0,22,1,choice,2,1,0,1,0,3.34,4.25,6.8
97,4,False,0,11,0,23,0,0,24,0,choice,2,2,0,0,0,2.87,3.76,7.52
98,4,False,0,11,0,33,0,0,30,0,choice,1,2,1,1,0,2.7,6.61,8.94
99,4,False,1,11,0,23,1,0,14,1,choice,2,2,1,0,0,2.72,5.12,7.25
100,4,False,0,11,1,9,0,1,18,0,choice,2,1,1,0,0,2.7,3.35,5.89
101,4,False,1,11,1,9,1,1,14,1,choice,1,1,1,1,0,3.91,4.06,6.73
102,4,False,0,11,0,42,0,0,50,0,choice,2,2,0,0,0,3.71,3.12,5.36
103,4,False,1,11,0,45,0,0,50,0,choice,2,1,0,0,0,3.57,3.36,5.61
104,4,False,0,11,0,28,1,0,34,1,force,1,0,0,1,0,3.66,3.34,4.34
105,4,False,0,11,0,27,0,0,38,0,choice,1,1,0,0,0,3.02,3.39,6.23
106,4,False,1,11,0,1,1,1,1,0,choice,1,1,1,0,0,3.18,3.95,6.79
107,4,False,0,11,0,17,1,0,26,1,force,2,0,0,1,0,3.14,3.81,4.82
108,4,False,0,11,0,38,0,0,26,0,choice,2,2,1,1,0,2.97,7.03,9.11
109,4,False,1,11,0,39,1,0,46,1,choice,1,2,0,1,0,2.45,4.3,6.53
110,4,False,0,11,0,35,0,0,32,0,choice,2,1,1,1,0,6.05,4.38,8.29
111,4,False,0,11,0,25,1,0,36,1,force,1,0,0,1,0,2.81,3.45,4.46
112,4,False,1,11,0,30,0,0,27,0,force,2,0,1,1,0,3.0,3.52,4.52
113,4,False,1,11,0,29,1,0,27,1,choice,1,2,1,0,0,5.55,4.02,7.65
114,4,False,0,11,1,2,1,1,8,1,choice,2,2,1,1,0,4.21,4.93,7.39
115,4,False,0,11,0,37,1,0,44,1,choice,2,1,0,1,0,3.39,2.89,6.2
116,4,False,1,11,0,43,0,0,37,0,choice,2,1,1,1,0,2.86,3.81,5.87
117,4,False,1,11,0,8,1,0,14,1,choice,1,2,0,1,0,4.66,4.52,6.74
118,4,False,0,11,1,3,0,1,5,0,force,1,0,1,0,0,3.23,3.79,4.79
119,4,False,0,11,0,6,0,0,3,0,choice,2,1,1,1,0,4.91,4.96,7.8
120,4,False,1,11,1,7,1,1,13,1,choice,2,2,1,1,0,2.72,3.12,5.24
121,4,False,1,11,1,20,1,1,32,1,force,2,0,1,1,0,3.45,3.46,4.46
122,4,False,1,11,1,6,0,1,4,0,force,1,0,0,1,0,3.15,3.73,4.74
123,4,False,1,11,0,2,1,0,9,1,choice,2,1,0,1,0,2.99,3.72,6.65
124,4,False,0,11,0,1,1,0,1,1,choice,1,1,1,0,0,4.4,3.3,5.57
125,4,False,1,11,1,11,0,1,7,0,force,2,0,0,1,0,3.68,4.07,5.07
126,4,False,0,11,1,3,0,1,3,0,choice,1,1,0,1,0,2.98,3.24,5.78
127,4,False,1,11,1,8,0,1,4,0,force,1,0,0,1,0,3.03,3.67,4.67
128,4,False,1,11,1,3,0,0,1,1,force,2,0,0,1,0,6.06,4.71,5.71
129,4,False,1,11,0,32,1,0,39,1,force,1,0,0,1,0,4.64,3.17,4.18
130,4,False,0,11,0,21,1,0,26,1,choice,2,1,0,1,0,4.01,6.18,9.91
131,4,False,0,11,0,40,0,0,38,0,choice,2,1,1,1,0,2.84,4.02,6.56
132,4,False,1,11,1,2,0,1,5,0,choice,1,1,1,0,0,3.64,2.72,5.34
133,4,False,0,11,1,2,0,1,2,0,choice,2,1,0,1,0,3.99,3.71,6.39
134,4,False,1,11,0,6,0,0,4,0,force,2,0,1,1,0,3.27,3.72,4.73
135,4,False,0,11,1,8,1,1,11,1,choice,1,2,1,1,0,2.6,2.61,5.15
136,4,False,0,11,0,1,1,0,7,1,choice,2,1,0,1,0,2.97,4.43,6.84
137,4,False,0,11,1,2,0,1,2,0,choice,1,1,0,1,0,3.6,3.18,5.56
138,4,False,1,11,1,6,1,1,11,1,choice,2,1,1,1,0,2.99,3.57,5.98
139,4,False,1,11,0,17,0,0,30,0,choice,1,1,0,0,0,3.36,2.67,4.92
140,4,False,0,11,1,10,1,1,12,1,choice,1,1,1,1,0,2.9,3.69,6.81
141,4,False,0,11,1,3,0,1,3,0,force,1,0,0,1,0,3.16,2.88,3.88
142,4,False,0,11,0,13,1,0,22,1,force,2,0,0,1,0,2.68,3.32,4.33
143,4,False,1,11,0,13,1,0,25,1,choice,2,2,0,1,0,2.31,3.51,6.22
144,4,False,0,11,0,4,1,0,8,1,choice,2,2,0,1,0,3.28,3.09,5.24
145,4,False,0,11,0,3,0,0,1,0,choice,1,1,1,1,0,3.69,5.82,9.08
146,4,False,0,11,1,2,0,1,2,0,force,2,0,1,0,0,2.8,3.36,4.37
