trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,6.07,,
2,1,True,0,15,1,13,0,,,,catch,0,0,,0,0,3.01,,
3,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,3.99,,
4,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,3.07,,
5,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,7.21,,
6,1,True,1,15,1,3,1,,,,catch,0,0,,0,0,2.9,,
7,1,True,0,14,1,2,0,,,,catch,0,0,,0,0,2.64,,
8,1,True,1,15,0,3,0,,,,catch,0,0,,0,0,3.78,,
9,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,3.38,,
10,1,True,0,15,0,18,1,,,,catch,0,0,,0,0,2.99,,
11,1,True,1,14,1,3,1,,,,catch,0,0,,0,0,3.04,,
12,1,True,0,14,0,17,1,,,,catch,0,0,,0,0,2.81,,
13,1,True,1,13,1,6,1,,,,catch,0,0,,0,0,2.52,,
14,1,True,1,13,0,9,0,,,,catch,0,0,,0,0,2.59,,
15,1,True,0,14,0,13,1,,,,catch,0,0,,0,0,2.65,,
16,1,True,0,14,0,15,1,,,,catch,0,0,,0,0,2.71,,
17,1,True,1,13,1,5,1,,,,catch,0,0,,0,0,2.32,,
18,1,True,1,13,0,14,0,,,,catch,0,0,,0,0,3.08,,
19,1,True,0,14,0,17,1,,,,catch,0,0,,0,0,2.68,,
20,1,True,0,14,0,22,1,,,,catch,0,0,,0,0,2.54,,
21,1,True,0,13,0,24,1,,,,catch,0,0,,0,0,3.08,,
22,1,True,1,13,1,4,1,,,,catch,0,0,,0,0,3.12,,
23,1,True,0,12,0,14,1,,,,catch,0,0,,0,0,2.67,,
24,1,True,1,12,1,3,1,,,,catch,0,0,,0,0,2.41,,
25,1,True,1,11,1,3,1,,,,catch,0,0,,0,0,2.89,,
26,1,True,1,11,1,3,1,,,,catch,0,0,,0,0,3.02,,
27,1,True,0,10,0,3,1,,,,catch,0,0,,0,0,2.89,,
28,1,True,0,10,1,2,0,,,,catch,0,0,,0,0,2.64,,
29,1,True,0,11,0,15,1,,,,catch,0,0,,0,0,3.07,,
30,1,True,0,11,1,2,0,,,,catch,0,0,,0,0,2.5,,
31,2,True,1,12,0,12,0,,,,catch,0,0,,0,0,2.17,,
32,2,True,0,13,0,19,1,,,,catch,0,0,,0,0,2.9,,
33,2,True,1,13,1,2,1,,,,catch,0,0,,0,0,2.59,,
34,2,True,0,12,0,24,1,,,,catch,0,0,,0,0,3.22,,
35,2,True,0,12,1,7,0,,,,catch,0,0,,0,0,2.34,,
36,2,True,1,13,1,4,1,,,,catch,0,0,,0,0,3.29,,
37,2,True,0,13,0,14,1,,,,catch,0,0,,0,0,2.74,,
38,2,True,1,12,1,7,1,,,,catch,0,0,,0,0,3.48,,
39,2,True,1,12,1,3,1,,,,catch,0,0,,0,0,2.97,,
40,2,True,1,11,1,7,1,,,,catch,0,0,,0,0,2.65,,
41,2,True,1,11,0,4,0,,,,catch,0,0,,0,0,2.43,,
42,2,True,1,12,1,7,1,,,,catch,0,0,,0,0,2.65,,
43,2,True,0,12,0,2,1,,,,catch,0,0,,0,0,3.64,,
44,2,True,1,11,1,3,1,,,,catch,0,0,,0,0,2.47,,
45,2,True,0,11,1,4,0,,,,catch,0,0,,0,0,3.08,,
46,2,True,0,12,1,4,0,,,,catch,0,0,,0,0,4.03,,
47,2,True,1,13,1,7,1,,,,catch,0,0,,0,0,2.19,,
48,2,True,1,13,0,4,0,,,,catch,0,0,,0,0,3.73,,
49,2,True,0,14,0,3,1,,,,catch,0,0,,0,0,3.32,,
50,2,True,1,14,0,3,0,,,,catch,0,0,,0,0,3.03,,
51,2,True,0,15,0,5,1,,,,catch,0,0,,0,0,2.92,,
52,2,True,1,15,1,5,1,,,,catch,0,0,,0,0,3.48,,
53,2,True,0,14,0,12,1,,,,catch,0,0,,0,0,2.4,,
54,2,True,1,14,1,3,1,,,,catch,0,0,,0,0,2.52,,
55,2,True,1,13,0,11,0,,,,catch,0,0,,0,0,3.23,,
56,2,True,1,14,0,9,0,,,,catch,0,0,,0,0,4.05,,
57,2,True,1,15,1,20,1,,,,catch,0,0,,0,0,2.29,,
58,2,True,0,15,0,9,1,,,,catch,0,0,,0,0,2.6,,
59,2,True,0,14,1,5,0,,,,catch,0,0,,0,0,3.52,,
60,2,True,0,15,0,15,1,,,,catch,0,0,,0,0,3.02,,
61,3,True,1,15,0,9,0,,,,catch,0,0,,0,0,2.81,,
62,3,True,0,15,0,39,1,,,,catch,0,0,,0,0,3.64,,
63,3,True,1,15,1,20,1,,,,catch,0,0,,0,0,2.57,,
64,3,True,0,14,0,35,1,,,,catch,0,0,,0,0,2.67,,
65,3,True,1,14,1,8,1,,,,catch,0,0,,0,0,2.56,,
66,3,True,0,13,0,3,1,,,,catch,0,0,,0,0,5.25,,
67,3,True,0,13,0,7,1,,,,catch,0,0,,0,0,2.74,,
68,3,True,0,12,1,2,0,,,,catch,0,0,,0,0,2.87,,
69,3,True,1,13,0,8,0,,,,catch,0,0,,0,0,2.92,,
70,3,True,0,14,0,4,1,,,,catch,0,0,,0,0,2.5,,
71,3,True,1,14,1,4,1,,,,catch,0,0,,0,0,3.28,,
72,3,True,0,13,0,5,1,,,,catch,0,0,,0,0,2.73,,
73,3,True,0,13,0,4,1,,,,catch,0,0,,0,0,2.89,,
74,3,True,1,12,1,14,1,,,,catch,0,0,,0,0,3.17,,
75,3,True,0,12,1,6,0,,,,catch,0,0,,0,0,3.26,,
76,3,True,1,13,0,1,0,,,,catch,0,0,,0,0,4.59,,
77,3,True,0,14,0,5,1,,,,catch,0,0,,0,0,4.03,,
78,3,True,1,14,1,3,1,,,,catch,0,0,,0,0,4.08,,
79,3,True,1,13,0,2,0,,,,catch,0,0,,0,0,3.61,,
80,3,True,0,14,1,3,0,,,,catch,0,0,,0,0,3.02,,
81,3,True,0,15,0,12,1,,,,catch,0,0,,0,0,2.87,,
82,3,True,1,15,0,13,0,,,,catch,0,0,,0,0,2.77,,
83,3,True,0,15,0,15,1,,,,catch,0,0,,0,0,2.51,,
84,3,True,0,15,0,4,1,,,,catch,0,0,,0,0,4.18,,
85,3,True,1,14,1,4,1,,,,catch,0,0,,0,0,2.18,,
86,3,True,1,14,1,5,1,,,,catch,0,0,,0,0,2.34,,
87,3,True,0,13,0,4,1,,,,catch,0,0,,0,0,2.65,,
88,3,True,1,13,0,6,0,,,,catch,0,0,,0,0,2.96,,
89,3,True,0,14,0,3,1,,,,catch,0,0,,0,0,2.45,,
90,3,True,0,14,0,7,1,,,,catch,0,0,,0,0,2.86,,
91,4,False,0,13,0,1,1,0,16,1,force,1,0,0,1,0,3.71,4.64,5.65
92,4,False,1,13,1,2,1,1,27,1,choice,2,2,1,1,0,3.11,2.74,5.15
93,4,False,0,13,0,4,1,0,5,1,choice,2,1,0,1,0,2.92,4.09,7.53
94,4,False,1,13,1,4,1,0,1,0,force,2,0,0,0,0,2.49,3.44,4.44
95,4,False,1,13,1,3,1,0,4,0,choice,1,1,0,0,0,2.82,3.12,6.34
96,4,False,1,13,0,12,1,0,10,1,force,1,0,1,0,0,3.22,3.84,4.84
97,4,False,0,13,0,12,0,1,10,1,choice,1,1,1,1,0,2.87,3.1,6.22
98,4,False,0,13,0,11,1,0,11,1,force,2,0,0,1,0,3.0,2.39,3.39
99,4,False,0,13,0,11,1,0,12,1,force,1,0,0,1,0,3.8,2.85,3.85
100,4,False,0,13,0,14,1,0,14,1,choice,1,2,0,1,0,2.89,2.34,4.68
101,4,False,1,13,0,3,1,0,5,1,force,1,0,0,1,0,3.82,2.5,3.51
102,4,False,0,13,1,6,1,1,5,1,choice,1,2,0,0,0,2.25,3.71,6.31
103,4,False,1,13,1,4,1,1,5,1,choice,1,2,1,1,0,2.72,2.85,4.84
104,4,False,0,13,0,6,1,0,6,1,choice,2,1,0,1,0,3.3,2.19,4.33
105,4,False,0,13,0,7,1,1,4,0,choice,1,1,1,0,0,3.66,3.55,6.25
106,4,False,0,13,1,5,0,1,5,0,choice,2,2,0,1,0,2.85,2.86,4.76
107,4,False,1,13,1,5,0,0,5,1,choice,1,2,0,1,0,2.11,2.26,4.57
108,4,False,0,13,1,7,0,0,7,1,choice,1,1,0,1,0,2.24,3.76,6.18
109,4,False,0,13,0,11,0,0,10,0,choice,1,1,1,1,0,2.65,3.4,5.48
110,4,False,0,13,0,9,0,0,9,0,choice,1,2,0,0,0,2.64,2.44,4.59
111,4,False,1,13,1,3,0,0,2,1,force,2,0,0,1,0,3.06,4.24,5.24
112,4,False,0,13,0,10,1,0,11,1,choice,1,1,0,1,0,2.83,2.4,4.58
113,4,False,0,13,1,5,1,1,8,1,force,1,0,1,1,0,2.56,2.1,3.11
114,4,False,0,13,1,5,0,1,5,0,force,2,0,1,0,0,2.29,2.89,3.9
115,4,False,1,13,1,8,0,1,7,0,choice,2,1,0,1,0,2.22,2.91,5.17
116,4,False,0,13,1,5,1,1,6,1,force,1,0,1,1,0,3.53,2.64,3.65
117,4,False,1,13,1,5,0,0,5,1,choice,1,1,0,1,0,2.08,5.2,7.76
118,4,False,1,13,1,2,1,1,5,1,force,1,0,1,1,0,2.86,2.41,3.42
119,4,False,0,13,0,7,0,0,11,0,choice,2,1,0,0,0,2.4,1.99,4.29
120,4,False,0,13,1,9,0,1,7,0,choice,1,2,0,1,0,2.4,3.07,5.17
121,4,False,0,13,1,4,0,0,4,1,choice,2,1,0,1,0,3.33,4.93,7.06
122,4,False,1,13,0,8,1,0,11,1,force,2,0,0,1,0,2.54,2.84,3.85
123,4,False,0,13,0,12,1,0,14,1,choice,1,1,0,1,0,2.28,3.44,5.79
124,4,False,1,13,1,6,1,1,14,1,choice,1,1,1,1,0,2.96,2.33,4.54
125,4,False,0,13,1,10,1,1,21,1,force,1,0,1,1,0,2.18,2.16,3.17
126,4,False,1,13,1,9,1,1,9,1,choice,1,2,0,0,0,1.93,3.4,5.61
127,4,False,1,13,0,9,0,0,8,0,choice,2,1,1,1,0,2.5,2.47,4.5
128,4,False,1,13,1,13,1,1,5,1,choice,1,2,0,0,0,2.17,3.28,5.46
129,4,False,1,13,0,2,0,1,2,1,choice,2,2,1,1,0,3.56,2.57,4.51
130,4,False,0,13,1,5,1,0,4,0,choice,1,1,0,0,0,2.32,2.63,5.04
131,4,False,0,13,0,2,1,0,4,1,choice,2,1,0,1,0,3.8,2.27,4.54
132,4,False,0,13,0,12,1,0,11,1,force,2,0,1,0,0,2.21,7.08,8.08
133,4,False,1,13,0,3,1,1,2,0,force,2,0,1,0,0,3.98,2.69,3.7
134,4,False,0,13,0,1,1,0,3,1,force,2,0,0,1,0,2.45,2.43,3.43
135,4,False,0,13,1,2,1,1,6,1,force,1,0,1,1,0,3.44,4.76,5.76
136,4,False,0,13,1,5,1,1,8,1,choice,1,2,1,1,0,2.28,1.78,3.84
137,4,False,0,13,1,9,0,0,2,1,choice,2,2,0,1,0,2.41,3.9,6.3
138,4,False,1,13,0,1,0,1,1,1,choice,2,1,1,1,0,3.4,2.12,4.22
139,4,False,0,13,1,3,1,1,9,1,force,1,0,1,1,0,2.41,1.8,2.81
140,4,False,0,13,1,5,1,1,7,1,choice,2,1,1,1,0,2.33,2.45,4.57
141,4,False,0,13,0,7,1,1,2,0,choice,1,2,1,0,0,2.71,2.56,4.55
142,4,False,0,13,0,4,1,0,5,1,choice,1,2,0,1,0,2.76,2.21,4.16
143,4,False,1,13,1,8,1,0,2,0,choice,1,2,0,0,0,2.03,5.86,8.11
144,4,False,1,13,0,3,1,0,6,1,choice,1,1,0,1,0,2.27,2.04,4.14
145,4,False,1,13,1,9,0,0,9,1,choice,1,2,0,1,0,1.75,2.85,4.94
146,4,False,1,13,1,4,1,1,4,1,force,2,0,0,0,0,2.96,3.47,4.48
147,4,False,1,13,0,7,0,0,7,0,choice,2,2,1,1,0,2.95,2.95,5.33
148,4,False,1,13,1,6,1,1,6,1,choice,2,1,1,1,0,2.2,2.07,4.16
149,4,False,0,13,1,11,1,1,15,1,force,1,0,1,1,0,1.78,1.88,2.89
150,4,False,0,13,0,13,1,0,10,1,choice,1,1,1,0,0,2.67,5.51,7.78
151,5,False,0,13,0,13,0,0,9,0,choice,1,1,1,1,0,3.75,4.88,7.32
152,5,False,1,13,0,6,1,1,4,0,choice,1,2,1,0,0,2.42,3.38,5.84
153,5,False,0,13,0,9,1,0,8,1,force,2,0,0,1,0,2.51,2.78,3.79
154,5,False,1,13,0,5,0,0,7,0,choice,1,2,0,0,0,3.08,2.74,5.7
155,5,False,1,13,0,12,1,0,15,1,choice,1,2,0,1,0,2.09,2.14,4.12
156,5,False,0,13,1,3,0,0,2,1,choice,1,1,0,1,0,2.38,3.4,5.55
157,5,False,1,13,0,2,0,1,1,1,force,2,0,1,1,0,3.78,3.52,4.53
158,5,False,1,13,1,3,0,1,3,0,choice,2,2,0,1,0,2.62,2.93,5.13
159,5,False,0,13,0,14,1,0,29,1,choice,1,2,0,1,0,2.09,2.61,4.86
160,5,False,1,13,0,12,1,0,14,1,choice,1,1,0,1,0,3.27,2.49,4.51
161,5,False,0,13,0,13,1,1,10,0,force,1,0,1,0,0,2.11,5.46,6.46
162,5,False,1,13,1,10,0,1,8,0,choice,1,2,0,1,0,2.61,3.12,5.4
163,5,False,1,13,0,16,0,0,5,0,choice,1,1,1,1,0,1.96,4.23,6.97
164,5,False,1,13,0,14,0,0,7,0,choice,1,2,1,1,0,1.93,3.49,5.7
165,5,False,0,13,1,3,1,1,10,1,force,1,0,1,1,0,2.06,1.7,2.71
166,5,False,1,13,1,3,1,0,6,0,choice,1,2,0,0,0,1.88,2.89,4.88
167,5,False,1,13,1,8,1,1,8,1,force,2,0,1,1,0,1.97,1.92,2.93
168,5,False,1,13,1,10,1,0,5,0,force,1,0,0,0,0,2.79,4.34,5.35
169,5,False,1,13,0,3,0,0,4,0,force,2,0,0,0,0,2.22,2.59,3.6
170,5,False,1,13,0,2,0,0,6,0,force,1,0,0,0,0,4.25,2.36,3.37
171,5,False,1,13,1,4,0,1,16,0,force,1,0,1,0,0,2.74,2.24,3.24
172,5,False,0,13,0,3,1,1,2,0,choice,1,2,1,0,0,2.31,2.71,5.03
173,5,False,1,13,0,3,1,0,5,1,choice,1,1,0,1,0,2.47,2.37,4.46
174,5,False,0,13,1,3,1,1,3,1,force,2,0,0,0,0,3.29,2.38,3.38
175,5,False,0,13,0,2,0,0,6,0,choice,1,2,0,0,0,2.58,2.4,4.47
176,5,False,0,13,1,5,0,1,8,0,force,2,0,1,0,0,2.23,1.76,2.76
177,5,False,0,13,1,5,1,1,9,1,force,1,0,1,1,0,2.51,2.25,3.26
178,5,False,1,13,0,13,1,0,37,1,choice,1,2,0,1,0,2.94,2.68,4.82
179,5,False,1,13,1,5,1,1,9,1,choice,1,1,1,1,0,2.46,2.33,4.94
180,5,False,0,13,1,2,0,0,4,1,choice,1,2,0,1,0,3.34,3.82,5.68
181,5,False,1,13,0,1,0,0,8,0,choice,1,2,0,0,0,2.66,1.86,3.8
182,5,False,1,13,1,3,1,1,8,1,choice,1,2,1,1,0,2.92,2.06,4.54
183,5,False,0,13,0,4,1,0,6,1,force,2,0,0,1,0,2.38,2.25,3.26
184,5,False,1,13,0,3,0,1,4,1,choice,1,2,1,1,0,2.36,4.27,6.51
185,5,False,1,13,0,1,0,1,6,1,choice,1,2,1,1,0,2.91,2.94,5.09
186,5,False,0,13,1,5,0,1,7,0,choice,1,1,1,0,0,2.77,2.14,4.47
187,5,False,1,13,0,6,1,0,2,1,force,1,0,1,0,0,2.78,2.9,3.9
188,5,False,1,13,1,1,0,0,3,1,choice,2,2,0,1,0,2.76,2.14,4.54
189,5,False,0,13,0,4,1,0,15,1,choice,1,1,0,1,0,2.95,2.34,5.1
190,5,False,1,13,0,7,1,0,5,1,force,2,0,1,0,0,2.57,4.34,5.35
191,5,False,1,13,0,3,1,0,9,1,force,1,0,0,1,0,2.59,1.64,2.65
192,5,False,0,13,0,3,1,0,4,1,choice,2,2,0,1,0,3.18,3.24,5.58
193,5,False,1,13,0,2,0,0,2,0,force,2,0,0,0,0,2.16,2.1,3.1
194,5,False,0,13,0,2,1,1,5,0,choice,1,2,1,0,0,2.64,2.61,5.35
195,5,False,0,13,0,2,0,0,2,0,choice,2,2,1,1,0,2.55,3.04,5.23
196,5,False,0,13,0,5,0,1,2,1,choice,1,1,1,1,0,2.97,4.36,6.92
197,5,False,0,13,1,1,0,1,4,0,force,1,0,1,0,0,3.61,1.83,2.84
198,5,False,0,13,1,10,0,1,5,0,choice,1,1,0,1,0,2.59,3.37,5.63
199,5,False,1,13,0,3,1,0,7,1,choice,1,2,0,1,0,2.8,3.35,5.56
200,5,False,1,13,0,8,1,0,7,1,choice,2,1,0,1,0,3.39,2.72,5.32
201,5,False,1,13,0,16,0,0,9,0,choice,1,2,1,1,0,2.13,3.51,5.66
202,5,False,1,13,1,8,1,1,1,1,force,1,0,0,0,0,3.28,2.58,3.59
203,5,False,0,13,1,5,1,1,8,1,choice,1,2,1,1,0,2.63,2.13,4.6
204,5,False,0,13,0,6,0,0,8,0,choice,2,2,0,0,0,2.59,1.88,4.02
205,5,False,0,13,0,12,0,0,11,0,force,2,0,1,1,0,2.54,3.16,4.17
206,5,False,0,13,0,3,1,1,3,0,choice,1,1,1,0,0,3.95,2.64,4.84
207,5,False,1,13,0,4,0,0,4,0,choice,2,2,0,0,0,2.63,2.17,4.1
208,5,False,1,13,0,4,1,0,4,1,choice,2,1,0,1,0,3.02,1.69,3.86
209,5,False,1,13,0,8,0,0,5,0,choice,1,2,1,1,0,2.08,2.06,4.04
210,5,False,0,13,0,11,0,0,14,0,choice,1,1,0,0,0,1.98,2.05,4.18
211,6,False,0,13,1,4,0,1,4,0,force,1,0,0,1,0,2.05,3.61,4.62
