trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,12.82,,
2,1,True,0,15,1,14,0,,,,catch,0,0,,0,0,9.63,,
3,1,True,0,15,0,29,1,,,,catch,0,0,,0,0,24.56,,
4,1,True,0,15,1,34,0,,,,catch,0,0,,0,0,3.44,,
5,1,True,1,15,1,27,1,,,,catch,0,0,,0,0,3.15,,
6,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.39,,
7,1,True,1,14,0,23,0,,,,catch,0,0,,0,0,2.53,,
8,1,True,1,15,1,16,1,,,,catch,0,0,,0,0,1.8,,
9,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,2.96,,
10,1,True,0,14,0,35,1,,,,catch,0,0,,0,0,2.44,,
11,1,True,0,14,0,33,1,,,,catch,0,0,,0,0,2.18,,
12,1,True,1,13,1,29,1,,,,catch,0,0,,0,0,2.44,,
13,1,True,1,13,0,41,0,,,,catch,0,0,,0,0,3.35,,
14,1,True,1,14,0,24,0,,,,catch,0,0,,0,0,2.42,,
15,1,True,1,15,1,17,1,,,,catch,0,0,,0,0,3.95,,
16,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,2.41,,
17,1,True,1,14,0,17,0,,,,catch,0,0,,0,0,2.27,,
18,1,True,0,15,0,19,1,,,,catch,0,0,,0,0,2.45,,
19,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,3.08,,
20,1,True,1,14,1,24,1,,,,catch,0,0,,0,0,2.03,,
21,1,True,0,14,0,38,1,,,,catch,0,0,,0,0,2.19,,
22,1,True,0,13,0,38,1,,,,catch,0,0,,0,0,2.11,,
23,1,True,1,13,0,17,0,,,,catch,0,0,,0,0,2.05,,
24,1,True,1,14,1,14,1,,,,catch,0,0,,0,0,4.76,,
25,1,True,1,14,0,28,0,,,,catch,0,0,,0,0,2.5,,
26,1,True,0,15,0,29,1,,,,catch,0,0,,0,0,2.01,,
27,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,2.0,,
28,1,True,1,14,0,32,0,,,,catch,0,0,,0,0,2.09,,
29,1,True,0,15,0,30,1,,,,catch,0,0,,0,0,2.27,,
30,1,True,1,15,0,32,0,,,,catch,0,0,,0,0,1.88,,
31,2,True,0,15,1,25,0,,,,catch,0,0,,0,0,2.16,,
32,2,True,1,15,0,16,0,,,,catch,0,0,,0,0,3.24,,
33,2,True,1,15,0,20,0,,,,catch,0,0,,0,0,2.03,,
34,2,True,0,15,0,26,1,,,,catch,0,0,,0,0,2.74,,
35,2,True,1,15,0,36,0,,,,catch,0,0,,0,0,1.9,,
36,2,True,1,15,1,23,1,,,,catch,0,0,,0,0,1.84,,
37,2,True,1,15,0,1,0,,,,catch,0,0,,0,0,2.94,,
38,2,True,1,15,0,15,0,,,,catch,0,0,,0,0,2.76,,
39,2,True,1,15,0,23,0,,,,catch,0,0,,0,0,2.2,,
40,2,True,0,15,1,16,0,,,,catch,0,0,,0,0,2.6,,
41,2,True,0,15,1,14,0,,,,catch,0,0,,0,0,1.52,,
42,2,True,1,15,0,26,0,,,,catch,0,0,,0,0,2.36,,
43,2,True,0,15,0,24,1,,,,catch,0,0,,0,0,2.49,,
44,2,True,1,15,0,29,0,,,,catch,0,0,,0,0,2.09,,
45,2,True,1,15,1,22,1,,,,catch,0,0,,0,0,2.09,,
46,2,True,1,15,0,36,0,,,,catch,0,0,,0,0,1.78,,
47,2,True,0,15,1,24,0,,,,catch,0,0,,0,0,2.16,,
48,2,True,0,15,1,33,0,,,,catch,0,0,,0,0,1.53,,
49,2,True,0,15,1,19,0,,,,catch,0,0,,0,0,1.83,,
50,2,True,1,15,1,12,1,,,,catch,0,0,,0,0,1.73,,
51,2,True,1,15,0,17,0,,,,catch,0,0,,0,0,1.66,,
52,2,True,1,15,1,15,1,,,,catch,0,0,,0,0,1.58,,
53,2,True,1,15,0,21,0,,,,catch,0,0,,0,0,1.75,,
54,2,True,0,15,1,14,0,,,,catch,0,0,,0,0,2.03,,
55,2,True,1,15,1,24,1,,,,catch,0,0,,0,0,1.88,,
56,2,True,0,15,0,30,1,,,,catch,0,0,,0,0,1.75,,
57,2,True,1,14,0,33,0,,,,catch,0,0,,0,0,2.01,,
58,2,True,0,15,0,26,1,,,,catch,0,0,,0,0,3.91,,
59,2,True,1,15,1,20,1,,,,catch,0,0,,0,0,2.23,,
60,2,True,0,14,1,11,0,,,,catch,0,0,,0,0,1.9,,
61,3,True,1,15,0,25,0,,,,catch,0,0,,0,0,2.07,,
62,3,True,0,15,0,15,1,,,,catch,0,0,,0,0,1.55,,
63,3,True,1,15,1,10,1,,,,catch,0,0,,0,0,2.17,,
64,3,True,1,14,1,5,1,,,,catch,0,0,,0,0,2.79,,
65,3,True,1,14,1,10,1,,,,catch,0,0,,0,0,1.8,,
66,3,True,1,13,0,28,0,,,,catch,0,0,,0,0,2.19,,
67,3,True,0,14,0,19,1,,,,catch,0,0,,0,0,2.09,,
68,3,True,1,14,1,9,1,,,,catch,0,0,,0,0,1.93,,
69,3,True,0,13,0,23,1,,,,catch,0,0,,0,0,1.86,,
70,3,True,1,13,1,5,1,,,,catch,0,0,,0,0,2.77,,
71,3,True,1,12,1,5,1,,,,catch,0,0,,0,0,2.22,,
72,3,True,0,12,0,18,1,,,,catch,0,0,,0,0,2.41,,
73,3,True,1,11,0,8,0,,,,catch,0,0,,0,0,2.34,,
74,3,True,1,12,0,10,0,,,,catch,0,0,,0,0,1.88,,
75,3,True,0,13,0,21,1,,,,catch,0,0,,0,0,1.86,,
76,3,True,1,13,0,21,0,,,,catch,0,0,,0,0,2.31,,
77,3,True,0,14,0,23,1,,,,catch,0,0,,0,0,1.46,,
78,3,True,1,14,1,3,1,,,,catch,0,0,,0,0,2.71,,
79,3,True,0,13,0,34,1,,,,catch,0,0,,0,0,2.0,,
