trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,3,0,,,,catch,0,0,,0,0,20.44,,
2,1,True,0,15,1,9,0,,,,catch,0,0,,0,0,5.76,,
3,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,14.16,,
4,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,11.18,,
5,1,True,1,14,1,8,1,,,,catch,0,0,,0,0,4.56,,
6,1,True,0,14,0,6,1,,,,catch,0,0,,0,0,6.69,,
7,1,True,0,13,0,10,1,,,,catch,0,0,,0,0,4.72,,
8,1,True,0,13,1,7,0,,,,catch,0,0,,0,0,4.1,,
9,1,True,0,14,0,7,1,,,,catch,0,0,,0,0,6.64,,
10,1,True,0,14,1,7,0,,,,catch,0,0,,0,0,5.6,,
11,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,4.38,,
12,1,True,1,15,1,5,1,,,,catch,0,0,,0,0,8.1,,
13,1,True,1,14,0,6,0,,,,catch,0,0,,0,0,4.37,,
14,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,4.62,,
15,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,7.07,,
16,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,3.69,,
17,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,5.18,,
18,1,True,0,14,1,4,0,,,,catch,0,0,,0,0,5.87,,
19,1,True,1,15,1,5,1,,,,catch,0,0,,0,0,4.49,,
20,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,5.02,,
21,1,True,1,15,0,5,0,,,,catch,0,0,,0,0,3.62,,
22,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,8.31,,
23,1,True,1,15,0,5,0,,,,catch,0,0,,0,0,5.5,,
24,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,4.05,,
25,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,3.22,,
26,1,True,0,14,0,8,1,,,,catch,0,0,,0,0,3.97,,
27,1,True,0,14,0,7,1,,,,catch,0,0,,0,0,4.18,,
28,1,True,0,13,1,6,0,,,,catch,0,0,,0,0,5.36,,
29,1,True,1,14,0,7,0,,,,catch,0,0,,0,0,3.55,,
30,1,True,1,15,0,7,0,,,,catch,0,0,,0,0,3.43,,
31,2,True,1,15,0,7,0,,,,catch,0,0,,0,0,3.04,,
32,2,True,1,15,1,5,1,,,,catch,0,0,,0,0,8.64,,
33,2,True,1,15,1,5,1,,,,catch,0,0,,0,0,5.82,,
34,2,True,1,14,1,5,1,,,,catch,0,0,,0,0,4.0,,
35,2,True,1,14,0,7,0,,,,catch,0,0,,0,0,3.21,,
36,2,True,1,15,0,4,0,,,,catch,0,0,,0,0,5.32,,
37,2,True,1,15,0,6,0,,,,catch,0,0,,0,0,4.39,,
38,2,True,0,15,0,5,1,,,,catch,0,0,,0,0,5.18,,
39,2,True,0,15,0,5,1,,,,catch,0,0,,0,0,2.87,,
40,2,True,1,14,1,4,1,,,,catch,0,0,,0,0,3.6,,
41,2,True,0,14,0,4,1,,,,catch,0,0,,0,0,3.94,,
42,2,True,1,13,1,5,1,,,,catch,0,0,,0,0,4.01,,
43,2,True,0,13,0,8,1,,,,catch,0,0,,0,0,3.37,,
44,2,True,1,12,1,4,1,,,,catch,0,0,,0,0,5.87,,
45,2,True,1,12,0,7,0,,,,catch,0,0,,0,0,3.11,,
46,2,True,1,13,0,5,0,,,,catch,0,0,,0,0,3.85,,
47,2,True,1,14,1,2,1,,,,catch,0,0,,0,0,6.58,,
48,2,True,1,14,0,4,0,,,,catch,0,0,,0,0,4.55,,
49,2,True,1,15,0,3,0,,,,catch,0,0,,0,0,3.34,,
50,2,True,1,15,1,4,1,,,,catch,0,0,,0,0,4.22,,
51,2,True,1,15,1,4,1,,,,catch,0,0,,0,0,4.11,,
52,2,True,1,14,0,6,0,,,,catch,0,0,,0,0,2.96,,
53,2,True,0,15,1,4,0,,,,catch,0,0,,0,0,3.05,,
54,2,True,1,15,0,3,0,,,,catch,0,0,,0,0,5.88,,
55,2,True,0,15,0,7,1,,,,catch,0,0,,0,0,2.51,,
56,2,True,0,15,0,5,1,,,,catch,0,0,,0,0,3.67,,
57,2,True,0,14,0,7,1,,,,catch,0,0,,0,0,3.21,,
58,2,True,1,14,1,3,1,,,,catch,0,0,,0,0,5.01,,
59,2,True,0,13,0,5,1,,,,catch,0,0,,0,0,3.84,,
60,2,True,1,13,0,2,0,,,,catch,0,0,,0,0,6.86,,
61,3,True,0,14,0,5,1,,,,catch,0,0,,0,0,3.57,,
62,3,True,1,14,0,5,0,,,,catch,0,0,,0,0,3.66,,
63,3,True,1,15,0,5,0,,,,catch,0,0,,0,0,3.46,,
64,3,True,0,15,0,4,1,,,,catch,0,0,,0,0,2.73,,
65,3,True,1,15,0,4,0,,,,catch,0,0,,0,0,3.16,,
66,3,True,1,15,0,4,0,,,,catch,0,0,,0,0,4.03,,
67,3,True,0,15,0,4,1,,,,catch,0,0,,0,0,7.53,,
68,3,True,1,15,1,4,1,,,,catch,0,0,,0,0,2.89,,
69,3,True,1,14,0,4,0,,,,catch,0,0,,0,0,3.19,,
70,3,True,0,15,1,5,0,,,,catch,0,0,,0,0,3.58,,
71,3,True,0,15,1,4,0,,,,catch,0,0,,0,0,2.99,,
72,3,True,1,15,1,5,1,,,,catch,0,0,,0,0,6.07,,
73,3,True,1,15,0,4,0,,,,catch,0,0,,0,0,9.86,,
74,3,True,1,15,0,4,0,,,,catch,0,0,,0,0,4.7,,
75,3,True,1,15,1,5,1,,,,catch,0,0,,0,0,4.26,,
76,3,True,0,15,0,5,1,,,,catch,0,0,,0,0,3.14,,
77,3,True,1,14,1,6,1,,,,catch,0,0,,0,0,3.3,,
78,3,True,0,14,0,7,1,,,,catch,0,0,,0,0,2.59,,
