trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,22,1,,,,catch,0,0,,0,0,57.65,,
2,1,True,1,15,0,30,0,,,,catch,0,0,,0,0,8.07,,
3,1,True,1,15,1,39,1,,,,catch,0,0,,0,0,10.51,,
4,1,True,0,15,0,38,1,,,,catch,0,0,,0,0,10.15,,
5,1,True,0,14,0,39,1,,,,catch,0,0,,0,0,9.92,,
6,1,True,1,14,1,30,1,,,,catch,0,0,,0,0,6.91,,
7,1,True,1,13,1,26,1,,,,catch,0,0,,0,0,6.76,,
8,1,True,0,13,0,31,1,,,,catch,0,0,,0,0,7.45,,
9,1,True,1,12,1,26,1,,,,catch,0,0,,0,0,6.95,,
10,1,True,0,12,1,32,0,,,,catch,0,0,,0,0,7.23,,
11,1,True,1,13,1,30,1,,,,catch,0,0,,0,0,5.83,,
12,1,True,0,13,1,34,0,,,,catch,0,0,,0,0,6.81,,
13,1,True,1,14,0,40,0,,,,catch,0,0,,0,0,7.18,,
14,1,True,0,15,1,40,0,,,,catch,0,0,,0,0,5.98,,
15,1,True,0,15,1,34,0,,,,catch,0,0,,0,0,7.32,,
16,1,True,1,15,1,35,1,,,,catch,0,0,,0,0,6.28,,
17,1,True,0,15,0,28,1,,,,catch,0,0,,0,0,6.13,,
18,1,True,0,14,0,37,1,,,,catch,0,0,,0,0,4.89,,
19,1,True,1,14,1,34,1,,,,catch,0,0,,0,0,6.01,,
20,1,True,1,13,1,36,1,,,,catch,0,0,,0,0,6.91,,
21,1,True,1,13,0,42,0,,,,catch,0,0,,0,0,6.71,,
22,1,True,1,14,1,41,1,,,,catch,0,0,,0,0,7.22,,
23,1,True,0,14,1,40,0,,,,catch,0,0,,0,0,6.05,,
24,1,True,1,15,0,41,0,,,,catch,0,0,,0,0,6.09,,
25,1,True,0,15,1,36,0,,,,catch,0,0,,0,0,6.15,,
26,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,5.2,,
27,1,True,0,15,1,32,0,,,,catch,0,0,,0,0,4.75,,
28,1,True,0,15,1,39,0,,,,catch,0,0,,0,0,8.03,,
29,1,True,1,15,0,36,0,,,,catch,0,0,,0,0,5.01,,
30,1,True,1,15,1,34,1,,,,catch,0,0,,0,0,5.53,,
31,2,True,0,15,0,32,1,,,,catch,0,0,,0,0,7.31,,
32,2,True,0,14,1,32,0,,,,catch,0,0,,0,0,6.71,,
33,2,True,0,15,1,34,0,,,,catch,0,0,,0,0,6.12,,
34,2,True,0,15,1,26,0,,,,catch,0,0,,0,0,4.53,,
35,2,True,0,15,1,36,0,,,,catch,0,0,,0,0,4.61,,
36,2,True,1,15,0,25,0,,,,catch,0,0,,0,0,4.54,,
37,2,True,1,15,1,28,1,,,,catch,0,0,,0,0,4.46,,
38,2,True,1,15,0,37,0,,,,catch,0,0,,0,0,6.34,,
39,2,True,0,15,0,38,1,,,,catch,0,0,,0,0,3.99,,
40,2,True,0,15,0,34,1,,,,catch,0,0,,0,0,4.2,,
41,2,True,1,14,1,29,1,,,,catch,0,0,,0,0,5.56,,
42,2,True,1,14,1,29,1,,,,catch,0,0,,0,0,6.4,,
43,2,True,1,13,0,30,0,,,,catch,0,0,,0,0,4.64,,
44,2,True,1,14,1,35,1,,,,catch,0,0,,0,0,5.18,,
45,2,True,0,14,1,28,0,,,,catch,0,0,,0,0,6.59,,
46,2,True,0,15,1,24,0,,,,catch,0,0,,0,0,4.29,,
47,2,True,1,15,0,30,0,,,,catch,0,0,,0,0,4.84,,
48,2,True,0,15,0,24,1,,,,catch,0,0,,0,0,5.52,,
49,2,True,1,15,0,28,0,,,,catch,0,0,,0,0,3.83,,
50,2,True,1,15,1,27,1,,,,catch,0,0,,0,0,4.42,,
51,2,True,1,15,1,24,1,,,,catch,0,0,,0,0,4.29,,
52,2,True,0,14,0,23,1,,,,catch,0,0,,0,0,4.3,,
53,2,True,1,14,1,25,1,,,,catch,0,0,,0,0,4.86,,
54,2,True,0,13,0,32,1,,,,catch,0,0,,0,0,6.82,,
55,2,True,0,13,1,30,0,,,,catch,0,0,,0,0,5.22,,
56,2,True,0,14,1,19,0,,,,catch,0,0,,0,0,4.31,,
57,2,True,0,15,0,16,1,,,,catch,0,0,,0,0,3.76,,
58,2,True,0,15,1,26,0,,,,catch,0,0,,0,0,4.4,,
59,2,True,0,15,0,21,1,,,,catch,0,0,,0,0,7.8,,
60,2,True,1,15,1,20,1,,,,catch,0,0,,0,0,4.69,,
61,3,True,1,14,0,32,0,,,,catch,0,0,,0,0,4.18,,
62,3,True,1,15,1,23,1,,,,catch,0,0,,0,0,3.02,,
63,3,True,0,15,0,25,1,,,,catch,0,0,,0,0,4.13,,
64,3,True,0,14,1,33,0,,,,catch,0,0,,0,0,5.81,,
65,3,True,1,15,1,22,1,,,,catch,0,0,,0,0,3.54,,
