trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,12.54,,
2,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,14.58,,
3,1,True,1,15,1,37,1,,,,catch,0,0,,0,0,6.79,,
4,1,True,1,14,1,30,1,,,,catch,0,0,,0,0,4.08,,
5,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,30.42,,
6,1,True,0,13,1,47,0,,,,catch,0,0,,0,0,9.38,,
7,1,True,1,14,0,34,0,,,,catch,0,0,,0,0,8.19,,
8,1,True,1,15,1,34,1,,,,catch,0,0,,0,0,4.6,,
9,1,True,1,15,1,39,1,,,,catch,0,0,,0,0,4.33,,
10,1,True,1,14,0,46,0,,,,catch,0,0,,0,0,3.77,,
11,1,True,0,15,1,33,0,,,,catch,0,0,,0,0,8.51,,
12,1,True,0,15,1,42,0,,,,catch,0,0,,0,0,8.16,,
13,1,True,0,15,0,43,1,,,,catch,0,0,,0,0,10.19,,
14,1,True,0,15,0,46,1,,,,catch,0,0,,0,0,4.48,,
15,1,True,1,14,1,50,1,,,,catch,0,0,,0,0,5.16,,
16,1,True,0,14,0,43,1,,,,catch,0,0,,0,0,75.87,,
17,1,True,0,13,0,47,1,,,,catch,0,0,,0,0,2.83,,
18,1,True,1,13,1,45,1,,,,catch,0,0,,0,0,3.61,,
19,1,True,1,12,0,25,0,,,,catch,0,0,,0,0,3.32,,
20,1,True,1,13,1,50,1,,,,catch,0,0,,0,0,3.3,,
21,1,True,1,13,1,50,1,,,,catch,0,0,,0,0,2.63,,
22,1,True,0,12,0,50,1,,,,catch,0,0,,0,0,2.94,,
23,1,True,0,12,0,26,1,,,,catch,0,0,,0,0,3.42,,
24,1,True,1,11,1,50,1,,,,catch,0,0,,0,0,2.83,,
25,1,True,0,11,1,50,0,,,,catch,0,0,,0,0,4.43,,
26,1,True,0,12,0,19,1,,,,catch,0,0,,0,0,3.89,,
27,1,True,0,12,1,50,0,,,,catch,0,0,,0,0,2.38,,
28,1,True,1,13,1,28,1,,,,catch,0,0,,0,0,2.65,,
29,1,True,1,13,1,43,1,,,,catch,0,0,,0,0,2.25,,
30,1,True,1,12,1,42,1,,,,catch,0,0,,0,0,1.98,,
31,2,True,1,12,1,15,1,,,,catch,0,0,,0,0,4.49,,
32,2,True,1,11,1,50,1,,,,catch,0,0,,0,0,2.67,,
33,2,True,0,11,0,50,1,,,,catch,0,0,,0,0,2.96,,
34,2,True,1,10,0,8,0,,,,catch,0,0,,0,0,3.53,,
35,2,True,1,11,1,25,1,,,,catch,0,0,,0,0,2.58,,
36,2,True,0,11,0,42,1,,,,catch,0,0,,0,0,2.7,,
37,2,True,1,10,0,4,0,,,,catch,0,0,,0,0,3.28,,
38,2,True,0,11,1,9,0,,,,catch,0,0,,0,0,2.83,,
39,2,True,0,12,0,38,1,,,,catch,0,0,,0,0,2.81,,
40,2,True,1,12,0,31,0,,,,catch,0,0,,0,0,1.63,,
41,2,True,1,13,0,40,0,,,,catch,0,0,,0,0,1.78,,
42,2,True,0,14,0,30,1,,,,catch,0,0,,0,0,1.73,,
43,2,True,0,14,0,26,1,,,,catch,0,0,,0,0,2.46,,
44,2,True,1,13,1,11,1,,,,catch,0,0,,0,0,3.27,,
45,2,True,1,13,1,10,1,,,,catch,0,0,,0,0,1.61,,
46,2,True,0,12,1,9,0,,,,catch,0,0,,0,0,1.98,,
47,2,True,0,13,0,26,1,,,,catch,0,0,,0,0,2.04,,
48,2,True,1,13,1,17,1,,,,catch,0,0,,0,0,2.09,,
49,2,True,0,12,0,29,1,,,,catch,0,0,,0,0,2.41,,
50,2,True,1,12,1,20,1,,,,catch,0,0,,0,0,1.9,,
51,2,True,1,11,0,22,0,,,,catch,0,0,,0,0,1.64,,
52,2,True,1,12,1,22,1,,,,catch,0,0,,0,0,1.93,,
53,2,True,1,12,0,8,0,,,,catch,0,0,,0,0,2.05,,
54,2,True,0,13,0,27,1,,,,catch,0,0,,0,0,2.17,,
55,2,True,1,13,0,13,0,,,,catch,0,0,,0,0,3.27,,
56,2,True,1,14,0,26,0,,,,catch,0,0,,0,0,2.16,,
57,2,True,1,15,0,4,0,,,,catch,0,0,,0,0,3.33,,
58,2,True,1,15,0,13,0,,,,catch,0,0,,0,0,2.16,,
59,2,True,0,15,0,15,1,,,,catch,0,0,,0,0,1.69,,
60,2,True,0,15,0,37,1,,,,catch,0,0,,0,0,2.19,,
61,3,True,1,14,0,1,0,,,,catch,0,0,,0,0,6.85,,
62,3,True,1,15,1,27,1,,,,catch,0,0,,0,0,2.85,,
63,3,True,0,15,0,28,1,,,,catch,0,0,,0,0,2.04,,
64,3,True,0,14,0,50,1,,,,catch,0,0,,0,0,2.34,,
65,3,True,1,14,1,50,1,,,,catch,0,0,,0,0,2.44,,
66,3,True,0,13,1,35,0,,,,catch,0,0,,0,0,2.19,,
67,3,True,0,14,0,9,1,,,,catch,0,0,,0,0,2.96,,
68,3,True,0,14,0,50,1,,,,catch,0,0,,0,0,3.13,,
69,3,True,0,13,1,32,0,,,,catch,0,0,,0,0,2.33,,
70,3,True,0,14,0,31,1,,,,catch,0,0,,0,0,1.63,,
71,3,True,1,14,0,34,0,,,,catch,0,0,,0,0,1.95,,
72,3,True,0,15,0,36,1,,,,catch,0,0,,0,0,2.25,,
73,3,True,0,15,0,35,1,,,,catch,0,0,,0,0,1.69,,
74,3,True,1,14,0,50,0,,,,catch,0,0,,0,0,2.56,,
75,3,True,1,15,1,35,1,,,,catch,0,0,,0,0,2.09,,
76,3,True,0,15,0,14,1,,,,catch,0,0,,0,0,2.7,,
77,3,True,1,14,0,32,0,,,,catch,0,0,,0,0,1.66,,
78,3,True,1,15,1,36,1,,,,catch,0,0,,0,0,1.92,,
79,3,True,1,15,1,33,1,,,,catch,0,0,,0,0,1.78,,
80,3,True,1,14,1,34,1,,,,catch,0,0,,0,0,2.13,,
81,3,True,1,14,1,34,1,,,,catch,0,0,,0,0,1.91,,
82,3,True,0,13,0,34,1,,,,catch,0,0,,0,0,2.17,,
83,3,True,1,13,0,7,0,,,,catch,0,0,,0,0,2.59,,
84,3,True,0,14,0,25,1,,,,catch,0,0,,0,0,1.72,,
85,3,True,1,14,1,8,1,,,,catch,0,0,,0,0,3.39,,
86,3,True,0,13,0,50,1,,,,catch,0,0,,0,0,2.28,,
87,3,True,0,13,1,7,0,,,,catch,0,0,,0,0,3.11,,
88,3,True,0,14,0,12,1,,,,catch,0,0,,0,0,1.89,,
89,3,True,1,14,0,9,0,,,,catch,0,0,,0,0,2.55,,
90,3,True,1,15,1,30,1,,,,catch,0,0,,0,0,2.2,,
91,4,False,1,15,1,3,1,1,3,1,force,2,0,1,1,0,7.82,8.76,9.77
92,4,False,0,15,1,21,1,1,21,1,choice,2,1,1,1,0,2.58,5.28,10.29
93,4,False,0,15,0,30,1,0,30,1,choice,1,2,0,1,0,3.16,2.42,4.65
94,4,False,1,15,1,10,1,0,10,0,choice,1,1,0,0,0,2.27,5.74,8.53
95,4,False,1,15,0,50,1,0,50,1,force,1,0,1,0,0,3.72,4.71,5.71
96,4,False,0,15,0,50,1,0,49,1,choice,1,2,0,1,0,2.28,4.51,6.96
97,4,False,0,15,0,20,0,0,22,0,choice,2,2,0,0,0,2.05,3.56,6.06
98,4,False,1,15,0,50,1,0,50,1,choice,1,1,1,0,0,2.6,3.29,5.34
99,4,False,0,15,0,11,0,1,12,1,choice,2,1,1,1,0,3.19,2.44,5.16
100,4,False,0,15,0,20,1,0,23,1,force,1,0,0,1,0,2.17,3.78,4.78
101,4,False,0,15,0,20,1,0,25,1,choice,2,2,0,1,0,3.37,2.58,4.85
102,4,False,0,15,0,41,0,0,34,0,choice,2,1,1,1,0,2.16,4.13,5.99
103,4,False,1,15,0,50,1,0,50,1,force,2,0,0,1,0,2.54,2.23,3.23
104,4,False,1,15,0,50,1,0,50,1,choice,2,2,0,1,0,1.73,3.21,5.44
105,4,False,1,15,1,24,1,1,29,1,choice,1,2,1,1,0,2.87,2.83,4.91
106,4,False,0,15,0,15,1,0,21,1,choice,1,1,0,1,0,2.02,3.07,4.89
107,4,False,1,15,1,13,1,1,22,1,force,2,0,1,1,0,2.25,2.87,3.87
