trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,18.97,,
2,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,5.59,,
3,1,True,0,15,1,11,0,,,,catch,0,0,,0,0,3.01,,
4,1,True,1,15,0,21,0,,,,catch,0,0,,0,0,2.86,,
5,1,True,0,15,0,17,1,,,,catch,0,0,,0,0,2.75,,
6,1,True,0,15,1,11,0,,,,catch,0,0,,0,0,2.47,,
7,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,2.01,,
8,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,2.01,,
9,1,True,0,14,0,11,1,,,,catch,0,0,,0,0,2.87,,
10,1,True,0,14,0,16,1,,,,catch,0,0,,0,0,3.13,,
11,1,True,1,13,1,17,1,,,,catch,0,0,,0,0,3.04,,
12,1,True,1,13,0,14,0,,,,catch,0,0,,0,0,2.97,,
13,1,True,0,14,0,26,1,,,,catch,0,0,,0,0,1.79,,
14,1,True,0,14,0,30,1,,,,catch,0,0,,0,0,1.85,,
15,1,True,0,13,0,10,1,,,,catch,0,0,,0,0,3.34,,
16,1,True,0,13,0,8,1,,,,catch,0,0,,0,0,1.83,,
17,1,True,0,12,1,9,0,,,,catch,0,0,,0,0,3.08,,
18,1,True,0,13,0,15,1,,,,catch,0,0,,0,0,3.1,,
19,1,True,1,13,1,11,1,,,,catch,0,0,,0,0,1.92,,
20,1,True,0,12,0,11,1,,,,catch,0,0,,0,0,1.69,,
21,1,True,0,12,1,11,0,,,,catch,0,0,,0,0,1.91,,
22,1,True,0,13,0,14,1,,,,catch,0,0,,0,0,1.56,,
23,1,True,1,13,0,11,0,,,,catch,0,0,,0,0,1.62,,
24,1,True,1,14,1,14,1,,,,catch,0,0,,0,0,1.44,,
25,1,True,1,14,0,18,0,,,,catch,0,0,,0,0,1.47,,
26,1,True,0,15,0,16,1,,,,catch,0,0,,0,0,1.53,,
27,1,True,1,15,1,11,1,,,,catch,0,0,,0,0,1.57,,
28,1,True,0,14,0,13,1,,,,catch,0,0,,0,0,1.51,,
29,1,True,1,14,1,7,1,,,,catch,0,0,,0,0,1.98,,
30,1,True,1,13,0,11,0,,,,catch,0,0,,0,0,2.53,,
31,2,True,0,14,0,12,1,,,,catch,0,0,,0,0,1.82,,
32,2,True,0,14,0,11,1,,,,catch,0,0,,0,0,1.73,,
33,2,True,1,13,1,7,1,,,,catch,0,0,,0,0,1.57,,
34,2,True,1,13,0,11,0,,,,catch,0,0,,0,0,1.82,,
35,2,True,0,14,1,5,0,,,,catch,0,0,,0,0,1.48,,
36,2,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.47,,
37,2,True,1,15,1,10,1,,,,catch,0,0,,0,0,1.7,,
38,2,True,0,14,0,14,1,,,,catch,0,0,,0,0,1.57,,
39,2,True,0,14,0,12,1,,,,catch,0,0,,0,0,1.51,,
40,2,True,0,13,0,14,1,,,,catch,0,0,,0,0,1.61,,
41,2,True,0,13,0,22,1,,,,catch,0,0,,0,0,1.77,,
42,2,True,0,12,0,30,1,,,,catch,0,0,,0,0,1.62,,
43,2,True,1,12,1,11,1,,,,catch,0,0,,0,0,1.51,,
44,2,True,0,11,0,20,1,,,,catch,0,0,,0,0,1.52,,
45,2,True,0,11,1,11,0,,,,catch,0,0,,0,0,1.75,,
46,2,True,0,12,1,12,0,,,,catch,0,0,,0,0,1.32,,
47,2,True,0,13,0,16,1,,,,catch,0,0,,0,0,1.42,,
48,2,True,1,13,1,11,1,,,,catch,0,0,,0,0,1.54,,
49,2,True,1,12,0,20,0,,,,catch,0,0,,0,0,1.49,,
50,2,True,0,13,0,31,1,,,,catch,0,0,,0,0,2.24,,
51,2,True,0,13,1,12,0,,,,catch,0,0,,0,0,1.35,,
52,2,True,1,14,1,15,1,,,,catch,0,0,,0,0,1.63,,
53,2,True,0,14,1,12,0,,,,catch,0,0,,0,0,1.85,,
54,2,True,0,15,1,15,0,,,,catch,0,0,,0,0,2.27,,
55,2,True,0,15,1,6,0,,,,catch,0,0,,0,0,1.49,,
56,2,True,0,15,0,11,1,,,,catch,0,0,,0,0,1.64,,
57,2,True,0,15,0,14,1,,,,catch,0,0,,0,0,1.75,,
