trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,7.39,,
2,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,3.67,,
3,1,True,1,15,1,24,1,,,,catch,0,0,,0,0,2.15,,
4,1,True,0,14,1,26,0,,,,catch,0,0,,0,0,1.8,,
5,1,True,0,15,0,25,1,,,,catch,0,0,,0,0,2.21,,
6,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.92,,
7,1,True,1,14,1,25,1,,,,catch,0,0,,0,0,2.08,,
8,1,True,0,14,0,10,1,,,,catch,0,0,,0,0,2.62,,
9,1,True,0,13,1,12,0,,,,catch,0,0,,0,0,4.07,,
10,1,True,1,14,0,17,0,,,,catch,0,0,,0,0,1.65,,
11,1,True,0,15,1,18,0,,,,catch,0,0,,0,0,1.23,,
12,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,0.98,,
13,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,1.33,,
14,1,True,1,14,1,26,1,,,,catch,0,0,,0,0,1.18,,
15,1,True,0,14,1,18,0,,,,catch,0,0,,0,0,1.04,,
16,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,0.92,,
17,1,True,1,15,1,16,1,,,,catch,0,0,,0,0,0.84,,
18,1,True,0,14,1,16,0,,,,catch,0,0,,0,0,0.84,,
19,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,0.88,,
20,1,True,1,15,0,10,0,,,,catch,0,0,,0,0,0.84,,
21,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,1.86,,
22,1,True,1,15,1,17,1,,,,catch,0,0,,0,0,1.35,,
23,1,True,0,14,0,35,1,,,,catch,0,0,,0,0,2.33,,
24,1,True,1,14,1,23,1,,,,catch,0,0,,0,0,1.64,,
25,1,True,1,13,1,23,1,,,,catch,0,0,,0,0,1.57,,
26,1,True,1,13,0,23,0,,,,catch,0,0,,0,0,1.41,,
27,1,True,1,14,0,14,0,,,,catch,0,0,,0,0,1.23,,
28,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,1.03,,
29,1,True,0,15,1,24,0,,,,catch,0,0,,0,0,1.5,,
30,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,0.8,,
31,2,True,1,15,1,20,1,,,,catch,0,0,,0,0,1.79,,
32,2,True,1,14,1,28,1,,,,catch,0,0,,0,0,1.46,,
33,2,True,0,14,0,14,1,,,,catch,0,0,,0,0,1.43,,
34,2,True,1,13,1,27,1,,,,catch,0,0,,0,0,2.1,,
35,2,True,1,13,1,50,1,,,,catch,0,0,,0,0,2.68,,
36,2,True,1,12,0,27,0,,,,catch,0,0,,0,0,1.87,,
37,2,True,0,13,0,13,1,,,,catch,0,0,,0,0,1.15,,
38,2,True,0,13,0,16,1,,,,catch,0,0,,0,0,1.59,,
39,2,True,0,12,0,39,1,,,,catch,0,0,,0,0,1.72,,
