trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,14,1,,,,catch,0,0,,0,0,8.85,,
2,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,7.09,,
3,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,11.08,,
4,1,True,0,15,0,30,1,,,,catch,0,0,,0,0,3.5,,
5,1,True,0,14,0,18,1,,,,catch,0,0,,0,0,2.94,,
6,1,True,0,14,0,8,1,,,,catch,0,0,,0,0,2.32,,
7,1,True,0,13,0,39,1,,,,catch,0,0,,0,0,2.37,,
8,1,True,1,13,0,32,0,,,,catch,0,0,,0,0,2.46,,
9,1,True,0,14,0,13,1,,,,catch,0,0,,0,0,3.05,,
10,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,3.15,,
11,1,True,1,13,0,1,0,,,,catch,0,0,,0,0,8.88,,
12,1,True,0,14,0,11,1,,,,catch,0,0,,0,0,2.57,,
13,1,True,1,14,1,10,1,,,,catch,0,0,,0,0,2.47,,
14,1,True,0,13,0,18,1,,,,catch,0,0,,0,0,2.48,,
15,1,True,0,13,0,12,1,,,,catch,0,0,,0,0,3.74,,
16,1,True,1,12,1,16,1,,,,catch,0,0,,0,0,2.51,,
17,1,True,0,12,0,21,1,,,,catch,0,0,,0,0,2.4,,
18,1,True,1,11,1,15,1,,,,catch,0,0,,0,0,3.75,,
19,1,True,0,11,0,31,1,,,,catch,0,0,,0,0,2.11,,
20,1,True,0,10,0,26,1,,,,catch,0,0,,0,0,3.11,,
21,1,True,0,10,1,3,0,,,,catch,0,0,,0,0,5.03,,
22,1,True,0,11,0,35,1,,,,catch,0,0,,0,0,2.81,,
23,1,True,0,11,0,26,1,,,,catch,0,0,,0,0,2.5,,
24,1,True,0,10,0,34,1,,,,catch,0,0,,0,0,2.4,,
25,1,True,1,10,0,39,0,,,,catch,0,0,,0,0,2.2,,
26,1,True,1,11,0,13,0,,,,catch,0,0,,0,0,2.48,,
27,1,True,0,12,0,2,1,,,,catch,0,0,,0,0,2.86,,
28,1,True,1,12,0,5,0,,,,catch,0,0,,0,0,2.37,,
29,1,True,1,13,1,3,1,,,,catch,0,0,,0,0,2.77,,
30,1,True,1,13,1,2,1,,,,catch,0,0,,0,0,3.47,,
31,2,True,1,12,0,5,0,,,,catch,0,0,,0,0,4.45,,
32,2,True,0,13,0,39,1,,,,catch,0,0,,0,0,2.17,,
33,2,True,0,13,0,34,1,,,,catch,0,0,,0,0,2.15,,
34,2,True,1,12,0,8,0,,,,catch,0,0,,0,0,2.3,,
35,2,True,0,13,0,29,1,,,,catch,0,0,,0,0,2.52,,
36,2,True,1,13,1,4,1,,,,catch,0,0,,0,0,2.23,,
37,2,True,0,12,0,20,1,,,,catch,0,0,,0,0,1.98,,
38,2,True,1,12,1,3,1,,,,catch,0,0,,0,0,2.48,,
39,2,True,0,11,0,7,1,,,,catch,0,0,,0,0,1.99,,
40,2,True,0,11,0,18,1,,,,catch,0,0,,0,0,1.91,,
41,2,True,1,10,1,16,1,,,,catch,0,0,,0,0,2.74,,
42,2,True,1,10,0,1,0,,,,catch,0,0,,0,0,2.7,,
43,2,True,1,11,0,39,0,,,,catch,0,0,,0,0,1.98,,
44,2,True,0,12,1,4,0,,,,catch,0,0,,0,0,2.2,,
45,2,True,0,13,0,23,1,,,,catch,0,0,,0,0,2.18,,
46,2,True,0,13,0,9,1,,,,catch,0,0,,0,0,2.83,,
47,2,True,0,12,0,33,1,,,,catch,0,0,,0,0,1.75,,
48,2,True,0,12,0,7,1,,,,catch,0,0,,0,0,2.31,,
49,2,True,1,11,1,2,1,,,,catch,0,0,,0,0,3.34,,
50,2,True,1,11,0,3,0,,,,catch,0,0,,0,0,3.02,,
51,2,True,1,12,1,18,1,,,,catch,0,0,,0,0,2.31,,
52,2,True,0,12,0,31,1,,,,catch,0,0,,0,0,1.92,,
53,2,True,1,11,1,2,1,,,,catch,0,0,,0,0,3.31,,
54,2,True,1,11,0,14,0,,,,catch,0,0,,0,0,1.84,,
55,2,True,0,12,0,3,1,,,,catch,0,0,,0,0,1.99,,
56,2,True,0,12,0,15,1,,,,catch,0,0,,0,0,2.85,,
57,2,True,0,11,0,28,1,,,,catch,0,0,,0,0,1.76,,
58,2,True,1,11,1,7,1,,,,catch,0,0,,0,0,2.88,,
59,2,True,0,10,0,40,1,,,,catch,0,0,,0,0,1.99,,
60,2,True,1,10,1,5,1,,,,catch,0,0,,0,0,3.02,,
61,3,True,1,9,0,3,0,,,,catch,0,0,,0,0,2.74,,
62,3,True,1,10,1,16,1,,,,catch,0,0,,0,0,2.38,,
63,3,True,1,10,1,6,1,,,,catch,0,0,,0,0,2.01,,
64,3,True,0,9,0,24,1,,,,catch,0,0,,0,0,2.61,,
65,3,True,1,9,1,26,1,,,,catch,0,0,,0,0,2.43,,
66,3,True,0,8,0,3,1,,,,catch,0,0,,0,0,2.65,,
67,3,True,0,8,1,24,0,,,,catch,0,0,,0,0,1.96,,
68,3,True,1,9,1,11,1,,,,catch,0,0,,0,0,2.09,,
69,3,True,0,9,0,35,1,,,,catch,0,0,,0,0,1.9,,
70,3,True,1,8,1,2,1,,,,catch,0,0,,0,0,2.47,,
71,3,True,1,8,1,14,1,,,,catch,0,0,,0,0,3.13,,
72,3,True,0,7,0,30,1,,,,catch,0,0,,0,0,1.86,,
73,3,True,1,7,0,1,0,,,,catch,0,0,,0,0,2.06,,
74,3,True,0,8,0,30,1,,,,catch,0,0,,0,0,2.57,,
75,3,True,0,8,1,9,0,,,,catch,0,0,,0,0,2.63,,
76,3,True,1,9,0,5,0,,,,catch,0,0,,0,0,2.19,,
77,3,True,1,10,0,2,0,,,,catch,0,0,,0,0,2.25,,
78,3,True,0,11,1,3,0,,,,catch,0,0,,0,0,2.25,,
79,3,True,0,12,0,26,1,,,,catch,0,0,,0,0,2.2,,
80,3,True,0,12,0,30,1,,,,catch,0,0,,0,0,1.81,,
81,3,True,1,11,1,5,1,,,,catch,0,0,,0,0,3.21,,
82,3,True,0,11,0,17,1,,,,catch,0,0,,0,0,2.9,,
83,3,True,0,10,0,30,1,,,,catch,0,0,,0,0,1.77,,
84,3,True,1,10,1,7,1,,,,catch,0,0,,0,0,2.29,,
85,3,True,0,9,0,35,1,,,,catch,0,0,,0,0,3.09,,
86,3,True,0,9,1,2,0,,,,catch,0,0,,0,0,3.8,,
87,3,True,1,10,0,2,0,,,,catch,0,0,,0,0,2.24,,
88,3,True,1,11,0,2,0,,,,catch,0,0,,0,0,1.66,,
89,3,True,1,12,1,5,1,,,,catch,0,0,,0,0,2.42,,
90,3,True,1,12,1,20,1,,,,catch,0,0,,0,0,2.05,,
91,4,False,0,11,0,15,0,1,38,1,choice,2,2,1,1,0,3.33,4.17,6.53
92,4,False,0,11,0,27,1,0,4,1,force,1,0,1,0,0,2.99,6.09,7.1
