trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,12,0,,,,catch,0,0,,0,0,5.87,,
2,1,True,0,15,1,11,0,,,,catch,0,0,,0,0,8.83,,
3,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,6.87,,
4,1,True,1,15,1,3,1,,,,catch,0,0,,0,0,5.1,,
5,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,8.5,,
6,1,True,1,14,1,8,1,,,,catch,0,0,,0,0,4.86,,
7,1,True,1,14,1,9,1,,,,catch,0,0,,0,0,3.77,,
8,1,True,1,13,1,11,1,,,,catch,0,0,,0,0,2.86,,
9,1,True,1,13,1,10,1,,,,catch,0,0,,0,0,3.68,,
10,1,True,0,12,0,4,1,,,,catch,0,0,,0,0,3.85,,
11,1,True,1,12,1,6,1,,,,catch,0,0,,0,0,3.67,,
12,1,True,1,11,1,8,1,,,,catch,0,0,,0,0,3.65,,
13,1,True,0,11,0,7,1,,,,catch,0,0,,0,0,4.57,,
14,1,True,0,10,1,11,0,,,,catch,0,0,,0,0,2.81,,
15,1,True,1,11,1,7,1,,,,catch,0,0,,0,0,3.35,,
16,1,True,1,11,1,7,1,,,,catch,0,0,,0,0,4.87,,
17,1,True,1,10,1,9,1,,,,catch,0,0,,0,0,4.32,,
18,1,True,1,10,1,10,1,,,,catch,0,0,,0,0,2.45,,
19,1,True,0,9,1,8,0,,,,catch,0,0,,0,0,2.8,,
20,1,True,1,10,1,7,1,,,,catch,0,0,,0,0,3.45,,
21,1,True,1,10,1,11,1,,,,catch,0,0,,0,0,3.42,,
22,1,True,0,9,1,12,0,,,,catch,0,0,,0,0,2.42,,
23,1,True,1,10,1,7,1,,,,catch,0,0,,0,0,3.23,,
24,1,True,0,10,0,4,1,,,,catch,0,0,,0,0,3.33,,
25,1,True,1,9,1,8,1,,,,catch,0,0,,0,0,3.54,,
26,1,True,0,9,1,4,0,,,,catch,0,0,,0,0,4.31,,
27,1,True,1,10,1,11,1,,,,catch,0,0,,0,0,4.11,,
28,1,True,1,10,1,12,1,,,,catch,0,0,,0,0,2.93,,
29,1,True,0,9,0,4,1,,,,catch,0,0,,0,0,3.04,,
30,1,True,1,9,1,7,1,,,,catch,0,0,,0,0,4.05,,
31,2,True,1,8,1,7,1,,,,catch,0,0,,0,0,3.78,,
32,2,True,1,8,1,8,1,,,,catch,0,0,,0,0,3.06,,
33,2,True,1,7,1,5,1,,,,catch,0,0,,0,0,2.26,,
34,2,True,1,7,1,4,1,,,,catch,0,0,,0,0,3.48,,
35,2,True,0,6,0,3,1,,,,catch,0,0,,0,0,2.92,,
36,2,True,0,6,1,8,0,,,,catch,0,0,,0,0,2.99,,
37,2,True,1,7,0,8,0,,,,catch,0,0,,0,0,3.49,,
38,2,True,1,8,1,6,1,,,,catch,0,0,,0,0,2.84,,
39,2,True,0,8,1,8,0,,,,catch,0,0,,0,0,3.11,,
40,2,True,1,9,1,5,1,,,,catch,0,0,,0,0,3.65,,
41,2,True,0,9,1,6,0,,,,catch,0,0,,0,0,5.68,,
42,2,True,0,10,1,8,0,,,,catch,0,0,,0,0,2.34,,
43,2,True,0,11,0,6,1,,,,catch,0,0,,0,0,3.33,,
44,2,True,0,11,0,9,1,,,,catch,0,0,,0,0,5.46,,
45,2,True,0,10,1,9,0,,,,catch,0,0,,0,0,2.82,,
46,2,True,1,11,1,11,1,,,,catch,0,0,,0,0,3.11,,
47,2,True,1,11,1,6,1,,,,catch,0,0,,0,0,4.07,,
48,2,True,1,10,0,8,0,,,,catch,0,0,,0,0,3.54,,
49,2,True,1,11,1,8,1,,,,catch,0,0,,0,0,3.47,,
50,2,True,0,11,1,9,0,,,,catch,0,0,,0,0,5.39,,
51,2,True,0,12,0,10,1,,,,catch,0,0,,0,0,3.43,,
52,2,True,0,12,1,8,0,,,,catch,0,0,,0,0,4.68,,
53,2,True,0,13,1,7,0,,,,catch,0,0,,0,0,4.66,,
54,2,True,1,14,1,4,1,,,,catch,0,0,,0,0,4.14,,
55,2,True,1,14,1,4,1,,,,catch,0,0,,0,0,2.76,,
56,2,True,0,13,0,7,1,,,,catch,0,0,,0,0,3.93,,
57,2,True,1,13,1,9,1,,,,catch,0,0,,0,0,2.54,,
58,2,True,1,12,1,11,1,,,,catch,0,0,,0,0,2.99,,
59,2,True,0,12,0,6,1,,,,catch,0,0,,0,0,4.53,,
60,2,True,0,11,1,9,0,,,,catch,0,0,,0,0,3.88,,
61,3,True,1,12,1,7,1,,,,catch,0,0,,0,0,2.24,,
62,3,True,0,12,0,6,1,,,,catch,0,0,,0,0,2.54,,
63,3,True,0,11,1,7,0,,,,catch,0,0,,0,0,2.31,,
64,3,True,0,12,0,7,1,,,,catch,0,0,,0,0,2.64,,
65,3,True,1,12,1,8,1,,,,catch,0,0,,0,0,2.49,,
66,3,True,0,11,1,7,0,,,,catch,0,0,,0,0,3.19,,
67,3,True,1,12,1,5,1,,,,catch,0,0,,0,0,3.18,,
68,3,True,1,12,0,6,0,,,,catch,0,0,,0,0,2.9,,
69,3,True,0,13,1,8,0,,,,catch,0,0,,0,0,3.24,,
70,3,True,1,14,1,6,1,,,,catch,0,0,,0,0,3.34,,
71,3,True,0,14,0,3,1,,,,catch,0,0,,0,0,3.09,,
72,3,True,0,13,1,7,0,,,,catch,0,0,,0,0,3.0,,
73,3,True,1,14,1,5,1,,,,catch,0,0,,0,0,2.47,,
74,3,True,1,14,1,5,1,,,,catch,0,0,,0,0,3.72,,
75,3,True,0,13,0,4,1,,,,catch,0,0,,0,0,2.46,,
76,3,True,1,13,1,4,1,,,,catch,0,0,,0,0,2.7,,
77,3,True,1,12,1,6,1,,,,catch,0,0,,0,0,2.39,,
78,3,True,1,12,1,6,1,,,,catch,0,0,,0,0,2.14,,
79,3,True,1,11,1,5,1,,,,catch,0,0,,0,0,2.29,,
80,3,True,1,11,1,8,1,,,,catch,0,0,,0,0,1.59,,
81,3,True,0,10,1,5,0,,,,catch,0,0,,0,0,3.21,,
82,3,True,1,11,1,6,1,,,,catch,0,0,,0,0,2.33,,
83,3,True,0,11,0,10,1,,,,catch,0,0,,0,0,2.16,,
84,3,True,1,10,1,8,1,,,,catch,0,0,,0,0,2.46,,
85,3,True,0,10,1,3,0,,,,catch,0,0,,0,0,2.46,,
86,3,True,1,11,1,8,1,,,,catch,0,0,,0,0,2.93,,
87,3,True,1,11,1,6,1,,,,catch,0,0,,0,0,4.48,,
88,3,True,1,10,0,2,0,,,,catch,0,0,,0,0,4.03,,
89,3,True,0,11,0,5,1,,,,catch,0,0,,0,0,2.5,,
90,3,True,0,11,1,4,0,,,,catch,0,0,,0,0,3.89,,
91,4,False,0,12,1,5,0,0,2,1,choice,2,2,0,1,0,4.43,10.77,13.28
92,4,False,1,12,1,4,1,1,8,1,choice,2,2,1,1,0,4.93,5.61,7.7
93,4,False,1,12,1,7,0,0,3,1,choice,2,2,0,1,0,3.44,10.39,12.57
94,4,False,1,12,1,9,0,0,1,1,force,1,0,0,1,0,3.61,9.67,10.67
95,4,False,1,12,1,6,0,1,6,0,force,1,0,1,0,0,3.33,4.24,5.24
96,4,False,0,12,0,3,1,0,6,1,choice,2,2,0,1,0,7.43,3.43,5.41
97,4,False,0,12,1,7,0,1,10,0,choice,2,2,1,0,0,3.56,4.05,6.8
98,4,False,1,12,1,4,1,1,2,1,choice,2,1,0,0,0,4.67,6.59,9.9
99,4,False,1,12,0,5,0,0,5,0,force,2,0,1,1,0,2.94,6.58,7.58
100,4,False,1,12,1,5,1,0,4,0,choice,2,2,0,0,0,4.2,4.31,6.98
101,4,False,0,12,1,6,0,1,6,0,force,1,0,0,1,0,3.54,4.26,5.26
102,4,False,0,12,0,7,1,1,8,0,force,2,0,1,0,0,2.85,6.84,7.84
103,4,False,0,12,0,7,1,0,10,1,force,1,0,0,1,0,2.08,1.93,2.94
104,4,False,0,12,1,5,1,1,5,1,choice,2,2,0,0,0,2.7,2.65,4.63
105,4,False,0,12,0,18,0,0,17,0,force,2,0,1,1,0,2.4,2.96,3.97
106,4,False,1,12,1,6,0,0,1,1,choice,1,2,0,1,0,3.82,3.27,6.55
107,4,False,1,12,0,5,1,0,5,1,force,2,0,0,1,0,2.63,3.0,4.01
