trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,16,1,,,,catch,0,,,,0.17,,
2,1,True,1,15,0,11,0,,,,catch,0,,,,0.25,,
3,2,True,1,15,1,22,1,,,,catch,0,,,,1.11,,
4,2,True,0,15,0,29,1,,,,catch,0,,,,1.4,,
5,3,True,0,14,0,16,1,,,,catch,0,,,,1.67,,
6,3,True,0,14,0,20,1,,,,catch,0,,,,0.99,,
7,4,False,1,13,0,18,0,0,40,0,force,1,0,1,49,3.65,2.13,3.13
8,4,False,0,13,0,3,1,1,9,0,choice,1,0,1,25,0.82,1.52,3.1
9,4,False,0,13,1,15,0,1,31,0,choice,2,0,1,20,1.33,1.01,2.99
10,4,False,0,13,0,12,1,0,24,1,force,2,1,0,49,1.32,1.41,2.41
11,5,False,0,13,0,12,1,0,22,1,force,1,1,0,23,0.63,1.2,2.21
12,5,False,0,13,0,15,1,0,13,1,force,2,1,0,36,0.58,1.9,2.91
13,5,False,0,13,0,10,1,0,18,1,choice,2,0,1,35,0.5,1.06,3.35
14,5,False,0,13,0,12,1,1,10,0,choice,1,0,1,35,0.82,1.58,3.48
15,6,False,0,13,0,18,1,1,11,0,choice,1,1,0,39,2.09,1.1,2.69
16,6,False,1,13,0,9,0,0,19,0,force,1,1,0,24,0.9,1.42,2.42
17,6,False,1,13,0,13,0,1,8,1,choice,2,1,0,18,0.29,0.98,2.51
18,6,False,0,13,1,8,0,1,14,0,force,2,0,1,32,0.71,1.31,2.31
