trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,2,0,,,,catch,0,,0,0,18.75,,
2,1,True,1,15,0,12,0,,,,catch,0,,0,0,4.23,,
3,1,True,0,15,0,41,1,,,,catch,0,,0,0,2.37,,
4,1,True,0,15,0,14,1,,,,catch,0,,0,0,2.7,,
5,1,True,1,14,1,32,1,,,,catch,0,,0,0,2.46,,
6,1,True,1,14,0,46,0,,,,catch,0,,0,0,2.13,,
7,1,True,1,15,0,13,0,,,,catch,0,,0,0,0.97,,
8,1,True,0,15,1,3,0,,,,catch,0,,0,0,1.66,,
9,1,True,0,15,0,50,1,,,,catch,0,,0,0,2.77,,
10,1,True,0,15,0,41,1,,,,catch,0,,0,0,1.9,,
11,1,True,1,14,0,4,0,,,,catch,0,,0,0,3.88,,
12,1,True,0,15,1,44,0,,,,catch,0,,0,0,2.46,,
13,1,True,1,15,0,16,0,,,,catch,0,,0,0,3.2,,
14,1,True,0,15,0,13,1,,,,catch,0,,0,0,1.43,,
15,1,True,0,15,1,9,0,,,,catch,0,,0,0,1.46,,
16,1,True,0,15,1,13,0,,,,catch,0,,0,0,1.23,,
17,1,True,0,15,1,15,0,,,,catch,0,,0,0,2.23,,
18,1,True,1,15,1,3,1,,,,catch,0,,0,0,1.18,,
19,1,True,0,15,0,7,1,,,,catch,0,,0,0,12.49,,
20,1,True,1,14,0,17,0,,,,catch,0,,0,0,1.06,,
21,1,True,0,15,0,27,1,,,,catch,0,,0,0,1.69,,
22,1,True,1,15,0,9,0,,,,catch,0,,0,0,1.27,,
23,1,True,1,15,0,36,0,,,,catch,0,,0,0,2.98,,
24,1,True,0,15,1,13,0,,,,catch,0,,0,0,1.47,,
25,1,True,0,15,1,6,0,,,,catch,0,,0,0,3.0,,
26,1,True,0,15,0,7,1,,,,catch,0,,0,0,1.69,,
27,1,True,0,15,1,2,0,,,,catch,0,,0,0,1.62,,
28,1,True,1,15,1,12,1,,,,catch,0,,0,0,1.57,,
29,1,True,1,15,1,10,1,,,,catch,0,,0,0,1.2,,
30,1,True,1,14,0,9,0,,,,catch,0,,0,0,29.15,,
31,2,True,0,15,1,11,0,,,,catch,0,,0,0,1.6,,
32,2,True,0,15,1,15,0,,,,catch,0,,0,0,1.82,,
33,2,True,0,15,0,37,1,,,,catch,0,,0,0,1.78,,
34,2,True,1,15,0,31,0,,,,catch,0,,0,0,1.47,,
35,2,True,1,15,1,12,1,,,,catch,0,,0,0,72.99,,
36,2,True,1,15,0,13,0,,,,catch,0,,0,0,1.18,,
37,2,True,1,15,1,27,1,,,,catch,0,,0,0,2.31,,
38,2,True,1,15,1,13,1,,,,catch,0,,0,0,1.51,,
39,2,True,0,14,1,10,0,,,,catch,0,,0,0,2.37,,
