trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,10,1,,,,catch,0,,0,0,1.43,,
2,1,True,1,15,0,28,0,,,,catch,0,,0,0,0.87,,
3,1,True,1,15,1,4,1,,,,catch,0,,0,0,3.19,,
4,1,True,0,15,0,23,1,,,,catch,0,,0,0,0.78,,
5,1,True,0,14,0,25,1,,,,catch,0,,0,0,0.83,,
6,1,True,1,14,1,27,1,,,,catch,0,,0,0,0.64,,
7,1,True,1,13,1,27,1,,,,catch,0,,0,0,0.85,,
8,1,True,1,13,1,28,1,,,,catch,0,,0,0,0.94,,
9,1,True,1,12,1,23,1,,,,catch,0,,0,0,0.98,,
10,1,True,1,12,1,21,1,,,,catch,0,,0,0,0.98,,
11,1,True,1,11,1,21,1,,,,catch,0,,0,0,0.91,,
12,1,True,1,11,1,21,1,,,,catch,0,,0,0,0.93,,
13,1,True,1,10,1,20,1,,,,catch,0,,0,0,1.13,,
14,1,True,0,10,1,18,0,,,,catch,0,,0,0,1.3,,
15,1,True,0,11,1,16,0,,,,catch,0,,0,0,0.67,,
16,1,True,0,12,0,18,1,,,,catch,0,,0,0,0.7,,
17,1,True,0,12,0,18,1,,,,catch,0,,0,0,0.86,,
18,1,True,0,11,0,18,1,,,,catch,0,,0,0,1.1,,
19,1,True,0,11,0,20,1,,,,catch,0,,0,0,0.77,,
20,1,True,0,10,0,24,1,,,,catch,0,,0,0,1.05,,
21,1,True,1,10,1,14,1,,,,catch,0,,0,0,1.33,,
22,1,True,0,9,0,23,1,,,,catch,0,,0,0,1.01,,
23,1,True,1,9,0,24,0,,,,catch,0,,0,0,1.68,,
24,1,True,0,10,0,27,1,,,,catch,0,,0,0,0.99,,
25,1,True,0,10,0,31,1,,,,catch,0,,0,0,0.61,,
26,1,True,0,9,0,30,1,,,,catch,0,,0,0,1.08,,
27,1,True,0,9,0,35,1,,,,catch,0,,0,0,0.71,,
28,1,True,1,8,0,32,0,,,,catch,0,,0,0,0.96,,
29,1,True,1,9,0,32,0,,,,catch,0,,0,0,0.75,,
30,1,True,1,10,0,28,0,,,,catch,0,,0,0,0.7,,
31,2,True,1,11,0,15,0,,,,catch,0,,0,0,1.18,,
32,2,True,0,12,0,25,1,,,,catch,0,,0,0,0.65,,
33,2,True,0,12,0,26,1,,,,catch,0,,0,0,0.76,,
34,2,True,0,11,0,26,1,,,,catch,0,,0,0,0.81,,
35,2,True,0,11,0,27,1,,,,catch,0,,0,0,1.03,,
36,2,True,1,10,1,16,1,,,,catch,0,,0,0,1.04,,
37,2,True,1,10,1,13,1,,,,catch,0,,0,0,0.93,,
38,2,True,0,9,0,17,1,,,,catch,0,,0,0,0.7,,
39,2,True,1,9,1,11,1,,,,catch,0,,0,0,1.81,,
40,2,True,0,8,0,21,1,,,,catch,0,,0,0,0.7,,
41,2,True,0,8,0,17,1,,,,catch,0,,0,0,0.91,,
42,2,True,1,7,0,18,0,,,,catch,0,,0,0,0.73,,
43,2,True,0,8,0,21,1,,,,catch,0,,0,0,0.63,,
44,2,True,0,8,0,18,1,,,,catch,0,,0,0,0.73,,
45,2,True,0,7,0,19,1,,,,catch,0,,0,0,0.57,,
46,2,True,1,7,1,12,1,,,,catch,0,,0,0,1.31,,
47,2,True,0,6,0,19,1,,,,catch,0,,0,0,0.95,,
48,2,True,0,6,0,18,1,,,,catch,0,,0,0,1.37,,
49,2,True,1,5,0,15,0,,,,catch,0,,0,0,0.95,,
50,2,True,1,6,0,15,0,,,,catch,0,,0,0,0.62,,
51,2,True,1,7,0,18,0,,,,catch,0,,0,0,0.65,,
52,2,True,0,8,0,17,1,,,,catch,0,,0,0,0.67,,
53,2,True,0,8,0,20,1,,,,catch,0,,0,0,1.02,,
54,2,True,1,7,0,24,0,,,,catch,0,,0,0,0.76,,
55,2,True,0,8,0,23,1,,,,catch,0,,0,0,0.88,,
56,2,True,0,8,0,26,1,,,,catch,0,,0,0,0.63,,
57,2,True,1,7,0,22,0,,,,catch,0,,0,0,1.4,,
58,2,True,1,8,1,11,1,,,,catch,0,,0,0,1.59,,
59,2,True,0,8,0,15,1,,,,catch,0,,0,0,1.2,,
60,2,True,0,7,0,17,1,,,,catch,0,,0,0,1.11,,
61,3,True,0,7,0,20,1,,,,catch,0,,0,0,1.44,,
62,3,True,1,6,0,19,0,,,,catch,0,,0,0,0.93,,
63,3,True,0,7,0,27,1,,,,catch,0,,0,0,1.04,,
64,3,True,0,7,0,30,1,,,,catch,0,,0,0,0.78,,
65,3,True,1,6,0,35,0,,,,catch,0,,0,0,0.78,,
66,3,True,1,7,0,22,0,,,,catch,0,,0,0,1.06,,
67,3,True,1,8,0,27,0,,,,catch,0,,0,0,1.12,,
68,3,True,0,9,0,24,1,,,,catch,0,,0,0,1.45,,
69,3,True,1,9,1,14,1,,,,catch,0,,0,0,1.08,,
70,3,True,1,8,0,21,0,,,,catch,0,,0,0,1.6,,
71,3,True,0,9,0,21,1,,,,catch,0,,0,0,0.79,,
72,3,True,0,9,0,21,1,,,,catch,0,,0,0,1.2,,
73,3,True,1,8,0,24,0,,,,catch,0,,0,0,0.89,,
74,3,True,0,9,0,26,1,,,,catch,0,,0,0,0.74,,
75,3,True,0,9,0,26,1,,,,catch,0,,0,0,0.87,,
76,3,True,0,8,0,27,1,,,,catch,0,,0,0,1.16,,
77,3,True,0,8,0,23,1,,,,catch,0,,0,0,0.86,,
78,3,True,1,7,1,17,1,,,,catch,0,,0,0,1.49,,
79,3,True,0,7,0,22,1,,,,catch,0,,0,0,1.28,,
80,3,True,0,6,0,26,1,,,,catch,0,,0,0,1.25,,
81,3,True,1,6,0,29,0,,,,catch,0,,0,0,1.7,,
82,3,True,1,7,0,26,0,,,,catch,0,,0,0,0.93,,
83,3,True,0,8,0,24,1,,,,catch,0,,0,0,1.24,,
84,3,True,0,8,0,25,1,,,,catch,0,,0,0,0.76,,
85,3,True,0,7,0,30,1,,,,catch,0,,0,0,1.17,,
86,3,True,1,7,0,30,0,,,,catch,0,,0,0,0.73,,
87,3,True,0,8,0,28,1,,,,catch,0,,0,0,1.1,,
88,3,True,1,8,0,29,0,,,,catch,0,,0,0,0.87,,
