trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,4.7,,
2,1,True,1,15,1,25,1,,,,catch,0,0,,0,0,2.68,,
3,1,True,0,15,1,25,0,,,,catch,0,0,,0,0,2.53,,
4,1,True,0,15,0,28,1,,,,catch,0,0,,0,0,2.21,,
5,1,True,1,15,0,28,0,,,,catch,0,0,,0,0,1.68,,
6,1,True,0,15,0,20,1,,,,catch,0,0,,0,0,2.69,,
7,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,2.86,,
8,1,True,1,14,0,19,0,,,,catch,0,0,,0,0,2.69,,
9,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,1.78,,
10,1,True,1,15,0,20,0,,,,catch,0,0,,0,0,2.55,,
11,1,True,1,15,0,31,0,,,,catch,0,0,,0,0,2.29,,
12,1,True,1,15,0,17,0,,,,catch,0,0,,0,0,2.2,,
13,1,True,1,15,0,36,0,,,,catch,0,0,,0,0,1.96,,
14,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,25.57,,
15,1,True,0,15,1,6,0,,,,catch,0,0,,0,0,2.92,,
16,1,True,1,15,1,31,1,,,,catch,0,0,,0,0,2.54,,
17,1,True,0,15,1,30,0,,,,catch,0,0,,0,0,2.03,,
18,1,True,1,15,1,47,1,,,,catch,0,0,,0,0,2.09,,
19,1,True,0,15,0,38,1,,,,catch,0,0,,0,0,2.99,,
20,1,True,0,14,0,15,1,,,,catch,0,0,,0,0,2.39,,
21,1,True,0,14,0,16,1,,,,catch,0,0,,0,0,2.62,,
22,1,True,0,13,0,8,1,,,,catch,0,0,,0,0,3.1,,
23,1,True,1,13,1,26,1,,,,catch,0,0,,0,0,2.09,,
24,1,True,0,12,1,8,0,,,,catch,0,0,,0,0,2.39,,
25,1,True,1,13,1,50,1,,,,catch,0,0,,0,0,1.81,,
26,1,True,1,13,1,50,1,,,,catch,0,0,,0,0,2.23,,
27,1,True,0,12,1,50,0,,,,catch,0,0,,0,0,2.25,,
28,1,True,0,13,1,50,0,,,,catch,0,0,,0,0,1.43,,
29,1,True,1,14,1,21,1,,,,catch,0,0,,0,0,1.49,,
30,1,True,0,14,1,25,0,,,,catch,0,0,,0,0,1.43,,
31,2,True,0,15,1,17,0,,,,catch,0,0,,0,0,1.33,,
32,2,True,1,15,1,13,1,,,,catch,0,0,,0,0,1.55,,
33,2,True,1,15,1,8,1,,,,catch,0,0,,0,0,1.65,,
34,2,True,1,14,1,12,1,,,,catch,0,0,,0,0,1.68,,
35,2,True,1,14,1,12,1,,,,catch,0,0,,0,0,1.71,,
36,2,True,0,13,1,2,0,,,,catch,0,0,,0,0,2.69,,
37,2,True,1,14,1,27,1,,,,catch,0,0,,0,0,2.73,,
38,2,True,1,14,1,31,1,,,,catch,0,0,,0,0,1.75,,
39,2,True,0,13,1,27,0,,,,catch,0,0,,0,0,1.17,,
40,2,True,0,14,1,26,0,,,,catch,0,0,,0,0,1.22,,
41,2,True,0,15,1,21,0,,,,catch,0,0,,0,0,1.14,,
42,2,True,1,15,1,4,1,,,,catch,0,0,,0,0,2.16,,
43,2,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.48,,
44,2,True,1,14,1,9,1,,,,catch,0,0,,0,0,1.7,,
45,2,True,1,14,1,12,1,,,,catch,0,0,,0,0,1.77,,
46,2,True,1,13,1,7,1,,,,catch,0,0,,0,0,2.2,,
47,2,True,1,13,1,30,1,,,,catch,0,0,,0,0,2.28,,
48,2,True,1,12,1,39,1,,,,catch,0,0,,0,0,2.08,,
49,2,True,0,12,1,50,0,,,,catch,0,0,,0,0,2.02,,
50,2,True,0,13,1,2,0,,,,catch,0,0,,0,0,2.52,,
51,2,True,0,14,0,5,1,,,,catch,0,0,,0,0,1.88,,
52,2,True,1,14,0,2,0,,,,catch,0,0,,0,0,1.71,,
53,2,True,1,15,1,5,1,,,,catch,0,0,,0,0,1.52,,
54,2,True,1,15,1,6,1,,,,catch,0,0,,0,0,1.07,,
55,2,True,0,14,1,13,0,,,,catch,0,0,,0,0,1.76,,
