trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,17,1,,,,catch,0,0,,0,0,8.19,,
2,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,2.09,,
3,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,1.96,,
4,1,True,1,14,1,16,1,,,,catch,0,0,,0,0,1.91,,
5,1,True,0,14,1,19,0,,,,catch,0,0,,0,0,2.25,,
6,1,True,1,15,1,13,1,,,,catch,0,0,,0,0,1.72,,
7,1,True,0,15,1,12,0,,,,catch,0,0,,0,0,2.04,,
8,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,1.77,,
9,1,True,0,15,1,12,0,,,,catch,0,0,,0,0,2.81,,
10,1,True,1,15,1,13,1,,,,catch,0,0,,0,0,1.79,,
11,1,True,1,15,1,11,1,,,,catch,0,0,,0,0,2.03,,
12,1,True,1,14,1,15,1,,,,catch,0,0,,0,0,2.17,,
13,1,True,1,14,0,17,0,,,,catch,0,0,,0,0,2.07,,
14,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,1.48,,
15,1,True,1,15,1,11,1,,,,catch,0,0,,0,0,1.54,,
16,1,True,1,14,1,12,1,,,,catch,0,0,,0,0,1.56,,
17,1,True,0,14,1,10,0,,,,catch,0,0,,0,0,2.06,,
18,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,2.21,,
19,1,True,1,15,1,11,1,,,,catch,0,0,,0,0,2.05,,
20,1,True,1,14,1,11,1,,,,catch,0,0,,0,0,1.7,,
21,1,True,0,14,0,11,1,,,,catch,0,0,,0,0,2.12,,
22,1,True,1,13,1,11,1,,,,catch,0,0,,0,0,1.94,,
23,1,True,1,13,1,10,1,,,,catch,0,0,,0,0,1.76,,
24,1,True,1,12,0,10,0,,,,catch,0,0,,0,0,3.75,,
25,1,True,1,13,1,10,1,,,,catch,0,0,,0,0,1.62,,
26,1,True,1,13,1,11,1,,,,catch,0,0,,0,0,1.72,,
27,1,True,1,12,1,11,1,,,,catch,0,0,,0,0,1.57,,
28,1,True,1,12,1,12,1,,,,catch,0,0,,0,0,1.72,,
29,1,True,1,11,0,12,0,,,,catch,0,0,,0,0,2.39,,
30,1,True,1,12,0,15,0,,,,catch,0,0,,0,0,2.21,,
31,2,True,0,13,0,8,1,,,,catch,0,0,,0,0,1.88,,
32,2,True,0,13,0,10,1,,,,catch,0,0,,0,0,2.03,,
33,2,True,0,12,0,14,1,,,,catch,0,0,,0,0,2.03,,
34,2,True,0,12,0,16,1,,,,catch,0,0,,0,0,1.81,,
35,2,True,1,11,1,9,1,,,,catch,0,0,,0,0,1.63,,
36,2,True,1,11,1,9,1,,,,catch,0,0,,0,0,2.03,,
37,2,True,0,10,0,13,1,,,,catch,0,0,,0,0,1.93,,
38,2,True,1,10,1,9,1,,,,catch,0,0,,0,0,18.64,,
39,2,True,0,9,0,11,1,,,,catch,0,0,,0,0,2.11,,
40,2,True,1,9,0,14,0,,,,catch,0,0,,0,0,2.36,,
41,2,True,0,10,0,10,1,,,,catch,0,0,,0,0,1.72,,
42,2,True,0,10,0,9,1,,,,catch,0,0,,0,0,2.54,,
43,2,True,0,9,1,10,0,,,,catch,0,0,,0,0,1.8,,
44,2,True,0,10,0,3,1,,,,catch,0,0,,0,0,26.47,,
45,2,True,1,10,1,9,1,,,,catch,0,0,,0,0,2.18,,
46,2,True,1,9,0,7,0,,,,catch,0,0,,0,0,1.74,,
47,2,True,0,10,0,26,1,,,,catch,0,0,,0,0,4.11,,
48,2,True,1,10,1,20,1,,,,catch,0,0,,0,0,1.89,,
49,2,True,1,9,0,20,0,,,,catch,0,0,,0,0,1.91,,
50,2,True,1,10,0,10,0,,,,catch,0,0,,0,0,2.07,,
51,2,True,1,11,0,15,0,,,,catch,0,0,,0,0,2.06,,
52,2,True,0,12,0,11,1,,,,catch,0,0,,0,0,2.04,,
53,2,True,0,12,0,12,1,,,,catch,0,0,,0,0,1.76,,
54,2,True,1,11,1,11,1,,,,catch,0,0,,0,0,2.34,,
55,2,True,0,11,1,12,0,,,,catch,0,0,,0,0,1.83,,
56,2,True,1,12,1,10,1,,,,catch,0,0,,0,0,2.31,,
57,2,True,1,12,0,10,0,,,,catch,0,0,,0,0,2.72,,
58,2,True,0,13,1,11,0,,,,catch,0,0,,0,0,1.86,,
59,2,True,1,14,1,12,1,,,,catch,0,0,,0,0,1.82,,
60,2,True,0,14,1,15,0,,,,catch,0,0,,0,0,1.46,,
61,3,False,1,15,1,13,1,1,13,1,forceblk4,2,0,1,1,0,36.25,20.21,21.22
62,3,False,0,15,1,13,0,1,15,0,forceblk4,1,0,0,1,0,6.83,14.28,15.29
63,3,False,1,15,1,12,1,1,12,1,forceblk4,2,0,1,1,0,2.66,2.23,3.23
64,3,False,1,15,1,14,1,1,17,1,forceblk4,1,0,1,1,0,2.45,1.79,2.79
65,3,False,0,15,0,12,1,0,16,1,forceblk4,2,0,0,1,0,2.77,3.23,4.23
66,3,False,0,15,0,14,1,0,17,1,forceblk4,1,0,0,1,0,1.74,2.51,3.51
67,3,False,0,15,0,11,1,0,13,1,forceblk4,1,0,0,1,0,1.78,1.71,2.71
68,3,False,0,15,0,15,1,0,16,1,forceblk4,1,0,1,0,0,2.34,1.74,2.75
69,3,False,1,15,1,11,1,1,12,1,forceblk4,2,0,0,0,0,2.98,1.83,2.84
70,3,False,1,15,0,13,0,0,13,0,forceblk4,2,0,1,1,0,3.45,1.71,2.71
71,3,False,1,15,1,13,1,1,13,1,forceblk4,1,0,1,1,0,2.03,1.99,2.99
72,3,False,0,15,0,15,1,0,14,1,forceblk4,2,0,0,1,0,1.92,6.32,7.32
73,3,False,0,15,0,14,1,0,15,1,forceblk4,2,0,0,1,0,2.14,1.73,2.73
74,3,False,0,15,0,14,1,0,14,1,forceblk4,1,0,1,0,0,2.06,2.13,3.14
75,3,False,1,15,1,10,1,1,10,1,forceblk4,1,0,1,1,0,3.43,1.54,2.54
76,3,False,1,15,0,12,0,0,13,0,forceblk4,2,0,1,1,0,3.02,1.7,2.7
77,3,False,0,15,0,12,1,0,13,1,forceblk4,1,0,1,0,0,1.95,1.84,2.85
78,3,False,0,15,0,13,1,0,13,1,forceblk4,2,0,0,1,0,1.62,1.58,2.59
79,3,False,0,15,0,12,1,0,11,1,forceblk4,1,0,0,1,0,1.57,1.17,2.17
80,3,False,0,15,0,12,1,0,12,1,forceblk4,2,0,0,1,0,1.71,9.7,10.7
