trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,15,0,,,,catch,0,0,,0,0,4.01,,
2,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,4.42,,
3,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,4.44,,
4,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,5.05,,
5,1,True,0,15,1,6,0,,,,catch,0,0,,0,0,2.74,,
6,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,2.85,,
7,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,3.73,,
8,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,3.17,,
9,1,True,0,15,0,5,1,,,,catch,0,0,,0,0,2.4,,
10,1,True,1,14,1,4,1,,,,catch,0,0,,0,0,2.1,,
11,1,True,1,14,1,11,1,,,,catch,0,0,,0,0,2.25,,
12,1,True,1,13,1,8,1,,,,catch,0,0,,0,0,2.46,,
13,1,True,0,13,0,14,1,,,,catch,0,0,,0,0,2.14,,
14,1,True,1,12,1,12,1,,,,catch,0,0,,0,0,2.14,,
15,1,True,0,12,0,7,1,,,,catch,0,0,,0,0,1.98,,
16,1,True,1,11,1,11,1,,,,catch,0,0,,0,0,2.91,,
17,1,True,1,11,1,15,1,,,,catch,0,0,,0,0,1.85,,
18,1,True,1,10,1,10,1,,,,catch,0,0,,0,0,2.08,,
19,1,True,0,10,1,16,0,,,,catch,0,0,,0,0,1.98,,
20,1,True,0,11,1,7,0,,,,catch,0,0,,0,0,1.67,,
21,1,True,1,12,1,19,1,,,,catch,0,0,,0,0,2.16,,
22,1,True,1,12,1,13,1,,,,catch,0,0,,0,0,1.82,,
23,1,True,1,11,1,16,1,,,,catch,0,0,,0,0,1.58,,
24,1,True,0,11,0,9,1,,,,catch,0,0,,0,0,2.11,,
25,1,True,0,10,1,11,0,,,,catch,0,0,,0,0,1.72,,
26,1,True,1,11,1,14,1,,,,catch,0,0,,0,0,1.93,,
27,1,True,0,11,1,10,0,,,,catch,0,0,,0,0,1.79,,
28,1,True,1,12,0,6,0,,,,catch,0,0,,0,0,2.06,,
29,1,True,0,13,0,6,1,,,,catch,0,0,,0,0,2.14,,
30,1,True,0,13,1,10,0,,,,catch,0,0,,0,0,1.78,,
