trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,11,1,,,,catch,0,0,,0,0,5.43,,
2,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,2.0,,
3,1,True,1,15,1,28,1,,,,catch,0,0,,0,0,2.48,,
4,1,True,1,14,0,7,0,,,,catch,0,0,,0,0,3.44,,
5,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,2.83,,
6,1,True,0,15,1,9,0,,,,catch,0,0,,0,0,2.89,,
7,1,True,1,15,1,29,1,,,,catch,0,0,,0,0,1.7,,
8,1,True,1,15,1,38,1,,,,catch,0,0,,0,0,2.02,,
9,1,True,1,14,1,8,1,,,,catch,0,0,,0,0,1.8,,
10,1,True,1,14,1,20,1,,,,catch,0,0,,0,0,1.65,,
11,1,True,0,13,1,7,0,,,,catch,0,0,,0,0,1.96,,
12,1,True,1,14,1,25,1,,,,catch,0,0,,0,0,1.42,,
13,1,True,0,14,0,2,1,,,,catch,0,0,,0,0,4.02,,
14,1,True,0,13,1,21,0,,,,catch,0,0,,0,0,1.74,,
15,1,True,0,14,0,29,1,,,,catch,0,0,,0,0,2.28,,
16,1,True,0,14,1,18,0,,,,catch,0,0,,0,0,2.48,,
17,1,True,1,15,1,36,1,,,,catch,0,0,,0,0,2.07,,
18,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,2.48,,
19,1,True,0,15,1,18,0,,,,catch,0,0,,0,0,1.41,,
20,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,2.38,,
21,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,1.79,,
22,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,2.51,,
23,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,1.26,,
24,1,True,0,15,1,25,0,,,,catch,0,0,,0,0,2.78,,
25,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,1.84,,
26,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,1.63,,
27,1,True,0,14,1,8,0,,,,catch,0,0,,0,0,2.44,,
28,1,True,1,15,1,24,1,,,,catch,0,0,,0,0,3.9,,
29,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.57,,
30,1,True,1,14,1,5,1,,,,catch,0,0,,0,0,1.79,,
31,2,True,1,14,1,5,1,,,,catch,0,0,,0,0,1.6,,
32,2,True,1,13,1,36,1,,,,catch,0,0,,0,0,1.24,,
33,2,True,0,13,0,17,1,,,,catch,0,0,,0,0,1.69,,
34,2,True,1,12,0,12,0,,,,catch,0,0,,0,0,2.61,,
35,2,True,1,13,1,26,1,,,,catch,0,0,,0,0,1.32,,
36,2,True,1,13,1,36,1,,,,catch,0,0,,0,0,8.15,,
37,2,True,0,12,1,19,0,,,,catch,0,0,,0,0,1.96,,
38,2,True,1,13,1,37,1,,,,catch,0,0,,0,0,1.45,,
39,2,True,0,13,0,18,1,,,,catch,0,0,,0,0,1.76,,
40,2,True,0,12,1,42,0,,,,catch,0,0,,0,0,1.81,,
41,2,True,0,13,0,20,1,,,,catch,0,0,,0,0,1.49,,
42,2,True,0,13,0,22,1,,,,catch,0,0,,0,0,1.42,,
43,2,True,1,12,1,34,1,,,,catch,0,0,,0,0,1.33,,
44,2,True,1,12,1,8,1,,,,catch,0,0,,0,0,2.41,,
45,2,True,1,11,1,26,1,,,,catch,0,0,,0,0,1.47,,
46,2,True,0,11,0,21,1,,,,catch,0,0,,0,0,1.45,,
47,2,True,0,10,0,15,1,,,,catch,0,0,,0,0,1.64,,
48,2,True,1,10,1,27,1,,,,catch,0,0,,0,0,1.33,,
49,2,True,0,9,1,17,0,,,,catch,0,0,,0,0,2.08,,
50,2,True,0,10,0,14,1,,,,catch,0,0,,0,0,1.27,,
51,2,True,1,10,1,14,1,,,,catch,0,0,,0,0,1.28,,
52,2,True,1,9,0,1,0,,,,catch,0,0,,0,0,3.25,,
53,2,True,0,10,0,26,1,,,,catch,0,0,,0,0,1.41,,
54,2,True,1,10,1,22,1,,,,catch,0,0,,0,0,1.25,,
55,2,True,1,9,1,34,1,,,,catch,0,0,,0,0,1.26,,
56,2,True,0,9,0,27,1,,,,catch,0,0,,0,0,1.28,,
57,2,True,0,8,0,11,1,,,,catch,0,0,,0,0,1.48,,
58,2,True,1,8,1,11,1,,,,catch,0,0,,0,0,1.55,,
59,2,True,1,7,0,26,0,,,,catch,0,0,,0,0,1.94,,
60,2,True,1,8,1,31,1,,,,catch,0,0,,0,0,1.4,,
61,3,False,0,8,1,19,0,1,22,0,forceblk4,1,0,1,0,0,1.86,5.12,6.13
62,3,False,0,8,1,9,0,1,7,0,forceblk4,2,0,0,1,0,2.25,4.2,5.21
63,3,False,0,8,0,8,1,0,11,1,forceblk4,1,0,0,1,0,2.38,1.89,2.89
64,3,False,0,8,1,7,0,1,14,0,forceblk4,2,0,1,0,0,3.01,2.77,3.8
65,3,False,1,8,1,16,1,1,14,1,forceblk4,1,0,1,1,0,2.78,4.62,5.64
66,3,False,0,8,0,18,1,0,24,1,forceblk4,2,0,1,0,0,1.77,2.57,3.58
67,3,False,1,8,1,21,1,1,28,1,forceblk4,2,0,0,0,0,1.66,2.19,3.19
68,3,False,1,8,1,20,1,1,18,1,forceblk4,1,0,1,1,0,1.97,1.83,2.85
69,3,False,0,8,0,1,1,0,3,1,forceblk4,2,0,0,1,0,4.01,1.96,2.99
70,3,False,0,8,1,10,0,0,8,1,forceblk4,1,0,0,1,0,4.38,3.6,4.61
71,3,False,0,8,0,11,1,0,9,1,forceblk4,2,0,0,1,0,5.41,2.58,3.59
72,3,False,1,8,1,34,1,1,37,1,forceblk4,1,0,1,1,0,2.08,2.51,3.54
73,3,False,1,8,0,24,0,0,18,0,forceblk4,1,0,0,0,0,1.68,1.99,3.02
74,3,False,1,8,1,12,1,1,10,1,forceblk4,2,0,1,1,0,4.34,1.39,2.39
75,3,False,0,8,0,28,1,0,43,1,forceblk4,1,0,0,1,0,1.84,3.41,4.43
76,3,False,1,8,1,27,1,1,19,1,forceblk4,2,0,1,1,0,1.78,1.22,2.25
77,3,False,0,8,0,46,1,0,50,1,forceblk4,2,0,1,0,0,2.06,1.67,2.69
78,3,False,0,8,1,19,0,1,17,0,forceblk4,1,0,1,0,0,1.65,1.84,2.86
79,3,False,0,8,0,50,1,0,50,1,forceblk4,1,0,0,1,0,2.33,2.48,3.5
80,3,False,1,8,0,9,0,0,7,0,forceblk4,2,0,0,0,0,3.45,1.93,2.94
81,3,False,0,8,0,25,1,0,28,1,forceblk4,1,0,0,1,0,1.77,1.79,2.8
82,3,False,1,8,1,37,1,1,41,1,forceblk4,2,0,1,1,0,1.57,1.3,2.31
83,3,False,1,8,0,18,0,0,4,0,forceblk4,1,0,1,1,0,2.62,4.75,5.75
84,3,False,1,8,1,26,1,1,28,1,forceblk4,2,0,1,1,0,1.24,1.22,2.23
85,3,False,0,8,0,30,1,0,26,1,forceblk4,1,0,1,0,0,2.54,1.98,3.0
86,3,False,0,8,0,49,1,0,50,1,forceblk4,1,0,1,0,0,1.76,1.34,2.35
87,3,False,0,8,1,41,0,1,13,0,forceblk4,2,0,0,1,0,1.58,5.17,6.19
88,3,False,1,8,1,28,1,1,29,1,forceblk4,2,0,0,0,0,1.5,8.28,9.3
89,3,False,1,8,1,28,1,1,32,1,forceblk4,1,0,1,1,0,1.45,1.06,2.08
90,3,False,0,8,1,22,0,1,24,0,forceblk4,2,0,0,1,0,1.81,1.47,2.49
91,3,False,0,8,1,37,0,1,29,0,forceblk4,1,0,1,0,0,2.79,2.44,3.46
92,3,False,0,8,1,34,0,1,27,0,forceblk4,2,0,0,1,0,1.67,3.14,4.16
93,3,False,0,8,0,29,1,0,31,1,forceblk4,1,0,0,1,0,1.26,2.73,3.75
94,3,False,1,8,1,32,1,1,33,1,forceblk4,2,0,0,0,0,1.4,1.96,2.97
95,3,False,0,8,1,20,0,1,16,0,forceblk4,2,0,0,1,0,2.89,1.28,2.29
96,3,False,0,8,1,35,0,1,38,0,forceblk4,1,0,0,1,0,1.04,3.26,4.27
97,3,False,1,8,1,25,1,1,25,1,forceblk4,1,0,1,1,0,1.29,2.85,3.86
98,3,False,1,8,1,10,1,1,13,1,forceblk4,1,0,1,1,0,1.7,2.92,3.94
99,3,False,1,8,0,31,0,0,22,0,forceblk4,2,0,1,1,0,1.62,1.71,2.73
100,3,False,1,8,1,38,1,1,39,1,forceblk4,2,0,1,1,0,1.15,1.19,2.2
101,3,False,0,8,1,7,0,1,9,0,forceblk4,2,0,1,0,0,2.5,1.84,2.85
102,3,False,0,8,0,15,1,0,18,1,forceblk4,1,0,0,1,0,1.31,4.16,5.17
103,3,False,1,8,1,26,1,1,18,1,forceblk4,1,0,0,0,0,1.81,1.7,2.72
104,3,False,1,8,0,31,0,0,31,0,forceblk4,2,0,1,1,0,1.71,3.28,4.29
105,3,False,1,8,1,26,1,1,29,1,forceblk4,1,0,1,1,0,1.13,2.08,3.1
106,3,False,1,8,0,4,0,1,7,1,forceblk4,2,0,1,1,0,1.79,1.5,2.52
107,3,False,1,8,0,6,0,0,4,0,forceblk4,1,0,0,0,0,5.68,2.38,3.4
108,3,False,1,8,0,21,0,0,25,0,forceblk4,2,0,1,1,0,1.87,2.05,3.06
109,3,False,0,8,0,18,1,0,19,1,forceblk4,2,0,0,1,0,1.33,3.51,4.54
110,3,False,1,8,1,35,1,1,45,1,forceblk4,1,0,0,0,0,1.31,1.54,2.56
111,3,False,1,8,1,20,1,1,13,1,forceblk4,1,0,0,0,0,1.96,2.5,3.51
112,3,False,1,8,1,42,1,1,25,1,forceblk4,2,0,1,1,0,1.35,3.18,4.2
113,3,False,0,8,1,29,0,1,12,0,forceblk4,1,0,0,1,0,1.76,1.29,2.29
114,3,False,1,8,1,26,1,1,31,1,forceblk4,2,0,1,1,0,1.4,1.74,2.75
115,3,False,1,8,1,29,1,1,15,1,forceblk4,1,0,1,1,0,1.56,1.72,2.73
116,3,False,1,8,0,6,0,0,8,0,forceblk4,2,0,0,0,0,1.57,2.48,3.49
117,3,False,1,8,1,23,1,1,17,1,forceblk4,2,0,1,1,0,1.3,1.7,2.73
118,3,False,0,8,1,5,0,0,11,1,forceblk4,1,0,0,1,0,2.52,1.81,2.84
119,3,False,0,8,0,23,1,0,21,1,forceblk4,1,0,0,1,0,1.63,1.35,2.37
120,3,False,1,8,1,39,1,1,42,1,forceblk4,1,0,1,1,0,1.49,1.07,2.09
121,4,False,1,8,1,22,1,1,27,1,choice,2,2,1,1,0,1.42,1.44,4.11
122,4,False,1,8,1,26,1,1,29,1,choice,1,2,1,1,0,1.73,1.53,3.5
123,4,False,1,8,1,32,1,1,34,1,choice,2,1,1,1,0,1.4,1.75,3.8
124,4,False,1,8,0,12,0,0,14,0,choice,1,2,1,1,0,1.65,1.44,3.41
125,4,False,0,8,1,17,0,1,19,0,force,2,0,1,0,0,1.82,2.13,3.14
126,4,False,0,8,1,7,0,0,12,1,choice,2,1,0,1,0,3.51,1.35,3.59
