trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,19.77,,
2,1,True,0,15,0,5,1,,,,catch,0,0,,0,0,10.24,,
3,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,3.02,,
4,1,True,0,14,1,3,0,,,,catch,0,0,,0,0,1.69,,
5,1,True,0,15,0,7,1,,,,catch,0,0,,0,0,1.64,,
6,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,1.49,,
7,1,True,1,14,1,8,1,,,,catch,0,0,,0,0,1.56,,
8,1,True,0,14,0,15,1,,,,catch,0,0,,0,0,2.41,,
9,1,True,0,13,1,10,0,,,,catch,0,0,,0,0,1.6,,
10,1,True,0,14,0,26,1,,,,catch,0,0,,0,0,2.0,,
11,1,True,0,14,1,12,0,,,,catch,0,0,,0,0,3.65,,
12,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,2.01,,
13,1,True,1,15,0,25,0,,,,catch,0,0,,0,0,26.92,,
14,1,True,1,15,1,19,1,,,,catch,0,0,,0,0,1.59,,
15,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,1.47,,
16,1,True,1,14,1,16,1,,,,catch,0,0,,0,0,1.31,,
17,1,True,1,14,1,16,1,,,,catch,0,0,,0,0,1.46,,
18,1,True,1,13,1,7,1,,,,catch,0,0,,0,0,1.11,,
19,1,True,1,13,0,13,0,,,,catch,0,0,,0,0,1.14,,
20,1,True,0,14,0,3,1,,,,catch,0,0,,0,0,1.38,,
21,1,True,1,14,0,3,0,,,,catch,0,0,,0,0,1.64,,
22,1,True,1,15,1,3,1,,,,catch,0,0,,0,0,1.41,,
23,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,1.4,,
24,1,True,0,15,0,2,1,,,,catch,0,0,,0,0,1.54,,
25,1,True,0,15,0,2,1,,,,catch,0,0,,0,0,1.76,,
26,1,True,0,14,0,1,1,,,,catch,0,0,,0,0,1.47,,
27,1,True,1,14,0,16,0,,,,catch,0,0,,0,0,1.98,,
28,1,True,1,15,1,17,1,,,,catch,0,0,,0,0,1.58,,
29,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,1.45,,
30,1,True,1,14,1,30,1,,,,catch,0,0,,0,0,1.8,,
31,2,True,0,14,0,14,1,,,,catch,0,0,,0,0,1.36,,
32,2,True,0,13,0,22,1,,,,catch,0,0,,0,0,1.26,,
33,2,True,1,13,1,29,1,,,,catch,0,0,,0,0,1.49,,
34,2,True,1,12,1,36,1,,,,catch,0,0,,0,0,1.31,,
35,2,True,1,12,0,32,0,,,,catch,0,0,,0,0,1.57,,
36,2,True,0,13,1,24,0,,,,catch,0,0,,0,0,1.38,,
37,2,True,0,14,0,6,1,,,,catch,0,0,,0,0,1.81,,
38,2,True,0,14,0,20,1,,,,catch,0,0,,0,0,1.51,,
39,2,True,0,13,0,26,1,,,,catch,0,0,,0,0,1.75,,
40,2,True,1,13,1,22,1,,,,catch,0,0,,0,0,1.6,,
41,2,True,1,12,1,41,1,,,,catch,0,0,,0,0,1.48,,
42,2,True,1,12,1,50,1,,,,catch,0,0,,0,0,1.78,,
43,2,True,1,11,1,50,1,,,,catch,0,0,,0,0,1.26,,
44,2,True,1,11,1,50,1,,,,catch,0,0,,0,0,1.88,,
45,2,True,1,10,1,1,1,,,,catch,0,0,,0,0,2.57,,
46,2,True,1,10,1,15,1,,,,catch,0,0,,0,0,1.22,,
47,2,True,1,9,1,21,1,,,,catch,0,0,,0,0,1.1,,
48,2,True,1,9,1,39,1,,,,catch,0,0,,0,0,1.23,,
49,2,True,0,8,0,50,1,,,,catch,0,0,,0,0,1.77,,
50,2,True,0,8,0,29,1,,,,catch,0,0,,0,0,1.59,,
51,2,True,0,7,1,38,0,,,,catch,0,0,,0,0,1.42,,
52,2,True,1,8,0,16,0,,,,catch,0,0,,0,0,1.52,,
53,2,True,0,9,0,24,1,,,,catch,0,0,,0,0,1.42,,
54,2,True,0,9,0,30,1,,,,catch,0,0,,0,0,1.36,,
55,2,True,1,8,1,10,1,,,,catch,0,0,,0,0,2.27,,
56,2,True,0,8,0,37,1,,,,catch,0,0,,0,0,1.54,,
57,2,True,1,7,1,4,1,,,,catch,0,0,,0,0,2.0,,
58,2,True,1,7,0,1,0,,,,catch,0,0,,0,0,2.96,,
59,2,True,0,8,0,50,1,,,,catch,0,0,,0,0,1.75,,
60,2,True,0,8,0,50,1,,,,catch,0,0,,0,0,1.41,,
61,3,False,1,7,0,10,0,0,9,0,forceblk4,1,0,1,1,0,2.33,18.0,19.0
62,3,False,1,7,1,19,1,1,21,1,forceblk4,2,0,1,1,0,2.14,2.49,3.49
63,3,False,1,7,0,23,0,0,20,0,forceblk4,2,0,1,1,0,2.04,2.16,3.16
64,3,False,0,7,0,16,1,0,19,1,forceblk4,1,0,0,1,0,1.72,2.32,3.33
65,3,False,0,7,0,20,1,1,2,0,forceblk4,2,0,1,0,0,1.47,3.67,4.68
66,3,False,0,7,1,11,0,1,11,0,forceblk4,1,0,0,1,0,1.69,2.12,3.13
67,3,False,0,7,0,16,1,0,17,1,forceblk4,2,0,0,1,0,1.44,4.14,5.15
68,3,False,0,7,1,7,0,0,9,1,forceblk4,1,0,0,1,0,2.38,1.8,2.81
69,3,False,1,7,0,19,0,0,18,0,forceblk4,2,0,1,1,0,1.81,2.78,3.79
70,3,False,1,7,0,11,0,1,11,1,forceblk4,1,0,1,1,0,1.51,1.44,2.44
71,3,False,1,7,1,11,1,1,13,1,forceblk4,2,0,1,1,0,1.23,1.71,2.72
72,3,False,0,7,0,16,1,0,16,1,forceblk4,1,0,0,1,0,1.42,1.75,2.76
73,3,False,1,7,0,14,0,0,10,0,forceblk4,2,0,0,0,0,1.62,1.39,2.4
74,3,False,1,7,1,7,1,1,7,1,forceblk4,1,0,1,1,0,1.17,2.24,3.25
75,3,False,0,7,0,11,1,1,10,0,forceblk4,1,0,1,0,0,1.52,1.91,2.91
76,3,False,1,7,1,10,1,1,10,1,forceblk4,2,0,1,1,0,1.99,1.56,2.57
77,3,False,1,7,1,9,1,1,9,1,forceblk4,1,0,0,0,0,1.66,1.5,2.5
78,3,False,0,7,1,19,0,1,18,0,forceblk4,2,0,0,1,0,1.55,2.5,3.5
79,3,False,0,7,0,35,1,0,35,1,forceblk4,2,0,0,1,0,1.89,2.58,3.59
80,3,False,1,7,1,15,1,1,16,1,forceblk4,1,0,1,1,0,1.61,1.36,2.36
81,3,False,1,7,1,5,1,1,5,1,forceblk4,1,0,1,1,0,1.6,1.64,2.65
82,3,False,1,7,0,13,0,1,12,1,forceblk4,2,0,1,1,0,2.12,2.77,3.77
83,3,False,1,7,1,17,1,1,16,1,forceblk4,1,0,1,1,0,1.27,1.58,2.59
