trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,8.01,,
2,1,True,0,15,0,44,1,,,,catch,0,0,,0,0,4.15,,
3,1,True,1,15,1,36,1,,,,catch,0,0,,0,0,3.68,,
4,1,True,1,14,1,50,1,,,,catch,0,0,,0,0,4.21,,
5,1,True,1,14,0,29,0,,,,catch,0,0,,0,0,3.71,,
6,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,3.09,,
7,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,4.06,,
8,1,True,0,14,1,50,0,,,,catch,0,0,,0,0,6.68,,
9,1,True,1,15,1,49,1,,,,catch,0,0,,0,0,4.18,,
10,1,True,1,15,1,45,1,,,,catch,0,0,,0,0,2.31,,
11,1,True,0,14,1,50,0,,,,catch,0,0,,0,0,2.98,,
12,1,True,0,15,1,37,0,,,,catch,0,0,,0,0,2.91,,
13,1,True,0,15,0,45,1,,,,catch,0,0,,0,0,2.73,,
14,1,True,0,15,1,27,0,,,,catch,0,0,,0,0,9.48,,
15,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,3.05,,
16,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,1.93,,
17,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,2.23,,
18,1,True,0,15,0,49,1,,,,catch,0,0,,0,0,1.9,,
19,1,True,0,14,0,47,1,,,,catch,0,0,,0,0,1.73,,
20,1,True,0,14,1,50,0,,,,catch,0,0,,0,0,1.72,,
21,1,True,1,15,1,37,1,,,,catch,0,0,,0,0,2.03,,
22,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,2.12,,
23,1,True,0,14,1,22,0,,,,catch,0,0,,0,0,3.33,,
24,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,1.78,,
25,1,True,1,15,1,36,1,,,,catch,0,0,,0,0,1.66,,
26,1,True,1,15,1,27,1,,,,catch,0,0,,0,0,2.86,,
27,1,True,1,14,0,50,0,,,,catch,0,0,,0,0,2.01,,
28,1,True,0,15,0,45,1,,,,catch,0,0,,0,0,3.28,,
29,1,True,1,15,1,43,1,,,,catch,0,0,,0,0,1.89,,
30,1,True,1,14,1,40,1,,,,catch,0,0,,0,0,1.79,,
31,2,True,0,14,1,36,0,,,,catch,0,0,,0,0,2.18,,
32,2,True,0,15,1,40,0,,,,catch,0,0,,0,0,2.06,,
33,2,True,0,15,1,37,0,,,,catch,0,0,,0,0,2.23,,
34,2,True,0,15,1,41,0,,,,catch,0,0,,0,0,1.52,,
35,2,True,0,15,1,23,0,,,,catch,0,0,,0,0,2.08,,
36,2,True,1,15,0,36,0,,,,catch,0,0,,0,0,1.41,,
37,2,True,0,15,0,45,1,,,,catch,0,0,,0,0,3.12,,
38,2,True,1,15,1,49,1,,,,catch,0,0,,0,0,1.64,,
39,2,True,1,14,1,50,1,,,,catch,0,0,,0,0,2.46,,
40,2,True,0,14,0,50,1,,,,catch,0,0,,0,0,1.76,,
41,2,True,1,13,1,50,1,,,,catch,0,0,,0,0,2.01,,
42,2,True,1,13,0,33,0,,,,catch,0,0,,0,0,3.03,,
43,2,True,1,14,1,50,1,,,,catch,0,0,,0,0,2.01,,
44,2,True,0,14,0,35,1,,,,catch,0,0,,0,0,2.22,,
45,2,True,1,13,1,50,1,,,,catch,0,0,,0,0,1.65,,
46,2,True,1,13,0,29,0,,,,catch,0,0,,0,0,3.68,,
47,2,True,1,14,1,30,1,,,,catch,0,0,,0,0,2.16,,
48,2,True,0,14,0,28,1,,,,catch,0,0,,0,0,2.79,,
49,2,True,1,13,1,34,1,,,,catch,0,0,,0,0,4.35,,
50,2,True,1,13,1,36,1,,,,catch,0,0,,0,0,1.83,,
51,2,True,0,12,1,45,0,,,,catch,0,0,,0,0,2.8,,
52,2,True,1,13,1,37,1,,,,catch,0,0,,0,0,1.93,,
53,2,True,1,13,1,50,1,,,,catch,0,0,,0,0,2.31,,
54,2,True,1,12,1,30,1,,,,catch,0,0,,0,0,2.91,,
55,2,True,0,12,0,34,1,,,,catch,0,0,,0,0,2.48,,
56,2,True,1,11,0,26,0,,,,catch,0,0,,0,0,3.77,,
57,2,True,1,12,1,18,1,,,,catch,0,0,,0,0,1.84,,
58,2,True,0,12,1,15,0,,,,catch,0,0,,0,0,2.35,,
59,2,True,0,13,0,12,1,,,,catch,0,0,,0,0,2.16,,
60,2,True,0,13,1,11,0,,,,catch,0,0,,0,0,2.2,,
61,3,False,0,14,1,8,0,0,29,1,forceblk4,2,0,0,1,0,3.65,9.51,10.51
62,3,False,0,14,1,46,0,1,46,0,forceblk4,1,0,0,1,0,2.57,3.18,4.18
63,3,False,0,14,0,9,1,0,9,1,forceblk4,1,0,0,1,0,5.04,2.44,3.44
64,3,False,0,14,1,50,0,0,28,1,forceblk4,2,0,0,1,0,2.52,10.81,11.82
65,3,False,1,14,1,50,1,1,50,1,forceblk4,1,0,1,1,0,2.39,3.43,4.43
66,3,False,1,14,1,50,1,1,50,1,forceblk4,2,0,1,1,0,1.78,2.28,3.28
67,3,False,0,14,1,34,0,0,44,1,forceblk4,2,0,0,1,0,2.77,3.45,4.46
68,3,False,1,14,1,50,1,1,50,1,forceblk4,1,0,1,1,0,2.86,2.08,3.08
69,3,False,0,14,1,50,0,0,45,1,forceblk4,2,0,0,1,0,2.14,2.21,3.21
70,3,False,0,14,0,45,1,0,50,1,forceblk4,2,0,0,1,0,3.3,2.7,3.71
71,3,False,0,14,0,31,1,0,31,1,forceblk4,1,0,1,0,0,2.92,4.32,5.32
72,3,False,1,14,1,50,1,1,50,1,forceblk4,1,0,1,1,0,1.8,1.99,2.99
73,3,False,1,14,1,50,1,0,47,0,forceblk4,2,0,0,0,0,2.07,4.14,5.14
74,3,False,0,14,1,50,0,1,50,0,forceblk4,1,0,0,1,0,1.98,1.93,2.93
75,3,False,1,14,0,33,0,0,49,0,forceblk4,2,0,0,0,0,2.15,4.3,5.3
76,3,False,0,14,1,33,0,1,33,0,forceblk4,1,0,0,1,0,2.97,3.05,4.06
77,3,False,1,14,1,50,1,1,50,1,forceblk4,2,0,1,1,0,2.92,1.82,2.82
78,3,False,0,14,1,19,0,1,19,0,forceblk4,2,0,0,1,0,3.55,2.6,3.6
79,3,False,1,14,0,38,0,0,50,0,forceblk4,1,0,0,0,0,2.4,2.14,3.14
80,3,False,0,14,1,39,0,1,50,0,forceblk4,2,0,1,0,0,2.56,1.87,2.87
81,3,False,1,14,1,43,1,1,43,1,forceblk4,1,0,0,0,0,1.38,2.53,3.54
82,3,False,0,14,1,27,0,1,50,0,forceblk4,1,0,1,0,0,1.97,2.07,3.07
83,3,False,0,14,1,10,0,0,47,1,forceblk4,2,0,0,1,0,2.06,1.57,2.57
84,3,False,1,14,0,26,0,0,26,0,forceblk4,1,0,1,1,0,3.1,2.27,3.27
85,3,False,1,14,1,48,1,1,50,1,forceblk4,2,0,1,1,0,2.73,1.84,2.84
86,3,False,0,14,1,35,0,1,50,0,forceblk4,2,0,1,0,0,1.64,1.72,2.72
87,3,False,0,14,0,32,1,0,50,1,forceblk4,1,0,0,1,0,2.48,1.69,2.7
88,3,False,0,14,0,39,1,0,38,1,forceblk4,1,0,1,0,0,1.37,2.23,3.23
89,3,False,1,14,1,42,1,1,49,1,forceblk4,2,0,1,1,0,1.9,1.56,2.56
90,3,False,0,14,0,38,1,0,49,1,forceblk4,1,0,0,1,0,2.81,1.64,2.65
91,3,False,1,14,1,50,1,1,50,1,forceblk4,1,0,1,1,0,1.47,2.16,3.16
92,3,False,0,14,1,50,0,1,30,0,forceblk4,2,0,0,1,0,1.87,6.75,7.75
93,3,False,1,14,1,50,1,1,50,1,forceblk4,1,0,1,1,0,2.41,1.97,2.97
94,3,False,0,14,1,19,0,0,26,1,forceblk4,2,0,0,1,0,3.1,2.56,3.57
95,3,False,0,14,1,25,0,1,25,0,forceblk4,1,0,0,1,0,4.13,1.91,2.91
96,3,False,1,14,1,50,1,1,50,1,forceblk4,2,0,1,1,0,1.56,1.24,2.24
97,3,False,1,14,1,50,1,1,50,1,forceblk4,1,0,1,1,0,2.36,1.4,2.4
98,3,False,0,14,0,44,1,0,44,1,forceblk4,2,0,1,0,0,3.06,2.31,3.31
99,3,False,1,14,1,46,1,1,50,1,forceblk4,1,0,1,1,0,2.42,2.08,3.08
100,3,False,1,14,1,50,1,1,50,1,forceblk4,2,0,1,1,0,1.95,1.38,2.38
101,3,False,0,14,1,50,0,1,50,0,forceblk4,1,0,0,1,0,2.02,2.22,3.22
102,3,False,1,14,1,50,1,0,40,0,forceblk4,2,0,0,0,0,2.16,6.07,7.07
103,3,False,0,14,1,50,0,1,50,0,forceblk4,1,0,0,1,0,2.92,2.17,3.17
104,3,False,0,14,1,50,0,1,50,0,forceblk4,2,0,1,0,0,2.06,1.3,2.3
105,3,False,0,14,0,40,1,0,50,1,forceblk4,2,0,0,1,0,3.18,1.6,2.61
106,3,False,1,14,1,42,1,1,50,1,forceblk4,2,0,1,1,0,2.17,1.73,2.73
107,3,False,0,14,0,30,1,0,48,1,forceblk4,1,0,0,1,0,2.23,1.65,2.66
