trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,7,0,,,,catch,0,0,,0,0,10.71,,
2,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,8.27,,
3,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,14.47,,
4,1,True,0,14,0,13,1,,,,catch,0,0,,0,0,3.89,,
5,1,True,0,14,0,14,1,,,,catch,0,0,,0,0,3.2,,
6,1,True,1,13,1,22,1,,,,catch,0,0,,0,0,3.12,,
7,1,True,1,13,1,25,1,,,,catch,0,0,,0,0,2.86,,
8,1,True,0,12,0,7,1,,,,catch,0,0,,0,0,3.78,,
9,1,True,1,12,0,11,0,,,,catch,0,0,,0,0,4.04,,
10,1,True,0,13,1,4,0,,,,catch,0,0,,0,0,5.14,,
11,1,True,0,14,0,2,1,,,,catch,0,0,,0,0,4.59,,
12,1,True,0,14,0,17,1,,,,catch,0,0,,0,0,2.84,,
13,1,True,1,13,1,19,1,,,,catch,0,0,,0,0,2.92,,
14,1,True,1,13,1,29,1,,,,catch,0,0,,0,0,2.26,,
15,1,True,0,12,0,6,1,,,,catch,0,0,,0,0,3.37,,
16,1,True,1,12,0,22,0,,,,catch,0,0,,0,0,3.08,,
17,1,True,0,13,0,2,1,,,,catch,0,0,,0,0,5.22,,
18,1,True,1,13,1,20,1,,,,catch,0,0,,0,0,2.59,,
19,1,True,0,12,1,27,0,,,,catch,0,0,,0,0,2.94,,
20,1,True,1,13,1,26,1,,,,catch,0,0,,0,0,2.51,,
21,1,True,0,13,0,24,1,,,,catch,0,0,,0,0,4.26,,
22,1,True,1,12,1,26,1,,,,catch,0,0,,0,0,3.4,,
23,1,True,1,12,1,39,1,,,,catch,0,0,,0,0,2.97,,
24,1,True,1,11,1,12,1,,,,catch,0,0,,0,0,4.57,,
25,1,True,1,11,0,13,0,,,,catch,0,0,,0,0,4.02,,
26,1,True,0,12,0,25,1,,,,catch,0,0,,0,0,2.33,,
27,1,True,1,12,1,9,1,,,,catch,0,0,,0,0,2.84,,
28,1,True,0,11,0,31,1,,,,catch,0,0,,0,0,2.82,,
29,1,True,1,11,1,38,1,,,,catch,0,0,,0,0,2.7,,
30,1,True,0,10,1,16,0,,,,catch,0,0,,0,0,3.94,,
31,2,True,0,11,0,28,1,,,,catch,0,0,,0,0,2.2,,
32,2,True,1,11,0,27,0,,,,catch,0,0,,0,0,2.87,,
33,2,True,1,12,0,8,0,,,,catch,0,0,,0,0,3.65,,
34,2,True,0,13,0,29,1,,,,catch,0,0,,0,0,2.48,,
