trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,24,0,,,,catch,0,0,,0,0,25.1,,
2,1,True,0,15,1,18,0,,,,catch,0,0,,0,0,2.95,,
3,1,True,1,15,1,35,1,,,,catch,0,0,,0,0,2.42,,
4,1,True,1,15,1,36,1,,,,catch,0,0,,0,0,3.06,,
5,1,True,1,14,1,45,1,,,,catch,0,0,,0,0,3.09,,
6,1,True,1,14,1,49,1,,,,catch,0,0,,0,0,2.59,,
7,1,True,1,13,1,27,1,,,,catch,0,0,,0,0,5.15,,
8,1,True,1,13,0,38,0,,,,catch,0,0,,0,0,2.49,,
9,1,True,1,14,1,26,1,,,,catch,0,0,,0,0,2.22,,
10,1,True,1,14,1,18,1,,,,catch,0,0,,0,0,2.26,,
11,1,True,0,13,0,31,1,,,,catch,0,0,,0,0,2.15,,
12,1,True,0,13,1,30,0,,,,catch,0,0,,0,0,1.97,,
13,1,True,0,14,1,15,0,,,,catch,0,0,,0,0,2.45,,
14,1,True,1,15,0,10,0,,,,catch,0,0,,0,0,3.03,,
15,1,True,1,15,1,41,1,,,,catch,0,0,,0,0,2.22,,
16,1,True,0,15,0,37,1,,,,catch,0,0,,0,0,2.33,,
17,1,True,0,14,1,15,0,,,,catch,0,0,,0,0,3.34,,
18,1,True,0,15,1,48,0,,,,catch,0,0,,0,0,2.17,,
19,1,True,1,15,1,26,1,,,,catch,0,0,,0,0,1.97,,
20,1,True,0,15,0,23,1,,,,catch,0,0,,0,0,2.43,,
21,1,True,1,14,1,16,1,,,,catch,0,0,,0,0,2.04,,
22,1,True,1,14,0,8,0,,,,catch,0,0,,0,0,1.87,,
23,1,True,0,15,1,20,0,,,,catch,0,0,,0,0,1.8,,
24,1,True,0,15,0,35,1,,,,catch,0,0,,0,0,2.26,,
25,1,True,1,15,0,18,0,,,,catch,0,0,,0,0,2.97,,
26,1,True,0,15,1,24,0,,,,catch,0,0,,0,0,1.59,,
27,1,True,0,15,1,42,0,,,,catch,0,0,,0,0,1.64,,
28,1,True,0,15,0,41,1,,,,catch,0,0,,0,0,3.21,,
29,1,True,0,15,1,16,0,,,,catch,0,0,,0,0,2.19,,
30,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,2.22,,
31,2,True,0,15,0,48,1,,,,catch,0,0,,0,0,2.46,,
32,2,True,1,14,0,41,0,,,,catch,0,0,,0,0,2.08,,
33,2,True,0,15,0,44,1,,,,catch,0,0,,0,0,2.04,,
34,2,True,1,15,0,34,0,,,,catch,0,0,,0,0,2.4,,
35,2,True,1,15,1,33,1,,,,catch,0,0,,0,0,1.92,,
36,2,True,1,15,1,36,1,,,,catch,0,0,,0,0,2.13,,
