trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,38,0,,,,catch,0,0,,0,0,24.29,,
2,1,True,0,15,1,37,0,,,,catch,0,0,,0,0,7.4,,
3,1,True,0,15,0,18,1,,,,catch,0,0,,0,0,5.68,,
4,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,3.62,,
5,1,True,0,14,1,16,0,,,,catch,0,0,,0,0,2.94,,
6,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,2.54,,
7,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,4.68,,
8,1,True,1,15,0,34,0,,,,catch,0,0,,0,0,4.64,,
9,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,6.24,,
10,1,True,0,15,1,13,0,,,,catch,0,0,,0,0,4.29,,
11,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,3.09,,
12,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,6.41,,
13,1,True,1,14,1,7,1,,,,catch,0,0,,0,0,2.9,,
14,1,True,0,14,0,8,1,,,,catch,0,0,,0,0,2.8,,
15,1,True,0,13,1,8,0,,,,catch,0,0,,0,0,3.08,,
16,1,True,0,14,0,6,1,,,,catch,0,0,,0,0,3.86,,
17,1,True,1,14,0,3,0,,,,catch,0,0,,0,0,3.08,,
18,1,True,0,15,1,4,0,,,,catch,0,0,,0,0,3.43,,
19,1,True,0,15,0,3,1,,,,catch,0,0,,0,0,3.61,,
20,1,True,1,15,1,3,1,,,,catch,0,0,,0,0,3.04,,
21,1,True,0,14,0,4,1,,,,catch,0,0,,0,0,2.65,,
22,1,True,0,14,0,3,1,,,,catch,0,0,,0,0,2.24,,
23,1,True,0,13,1,3,0,,,,catch,0,0,,0,0,2.84,,
24,1,True,0,14,0,3,1,,,,catch,0,0,,0,0,2.05,,
25,1,True,0,14,0,2,1,,,,catch,0,0,,0,0,3.7,,
26,1,True,0,13,0,2,1,,,,catch,0,0,,0,0,3.4,,
27,1,True,0,13,1,3,0,,,,catch,0,0,,0,0,2.65,,
28,1,True,0,14,0,2,1,,,,catch,0,0,,0,0,2.58,,
29,1,True,0,14,0,1,1,,,,catch,0,0,,0,0,2.54,,
30,1,True,0,13,0,2,1,,,,catch,0,0,,0,0,2.48,,
31,2,True,1,13,0,3,0,,,,catch,0,0,,0,0,2.41,,
32,2,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.21,,
33,2,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.34,,
34,2,True,1,13,0,2,0,,,,catch,0,0,,0,0,2.76,,
35,2,True,0,14,1,2,0,,,,catch,0,0,,0,0,1.97,,
36,2,True,0,15,0,2,1,,,,catch,0,0,,0,0,2.48,,
37,2,True,1,15,1,3,1,,,,catch,0,0,,0,0,3.32,,
38,2,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.49,,
39,2,True,1,14,0,1,0,,,,catch,0,0,,0,0,3.2,,
40,2,True,1,15,1,2,1,,,,catch,0,0,,0,0,2.12,,
41,2,True,0,15,1,2,0,,,,catch,0,0,,0,0,2.82,,
42,2,True,1,15,0,1,0,,,,catch,0,0,,0,0,2.13,,
43,2,True,0,15,0,3,1,,,,catch,0,0,,0,0,2.1,,
44,2,True,0,15,0,2,1,,,,catch,0,0,,0,0,3.8,,
45,2,True,1,14,0,1,0,,,,catch,0,0,,0,0,2.48,,
46,2,True,0,15,0,3,1,,,,catch,0,0,,0,0,1.79,,
47,2,True,0,15,0,3,1,,,,catch,0,0,,0,0,2.74,,
48,2,True,1,14,1,3,1,,,,catch,0,0,,0,0,4.18,,
49,2,True,0,14,0,2,1,,,,catch,0,0,,0,0,2.58,,
50,2,True,0,13,0,1,1,,,,catch,0,0,,0,0,2.81,,
51,2,True,1,13,1,2,1,,,,catch,0,0,,0,0,4.2,,
52,2,True,0,12,0,1,1,,,,catch,0,0,,0,0,3.01,,
53,2,True,1,12,1,2,1,,,,catch,0,0,,0,0,2.33,,
54,2,True,0,11,1,2,0,,,,catch,0,0,,0,0,2.6,,
55,2,True,1,12,0,1,0,,,,catch,0,0,,0,0,2.44,,
56,2,True,1,13,1,3,1,,,,catch,0,0,,0,0,2.81,,
57,2,True,1,13,1,3,1,,,,catch,0,0,,0,0,2.87,,
58,2,True,0,12,1,2,0,,,,catch,0,0,,0,0,3.85,,
59,2,True,1,13,0,2,0,,,,catch,0,0,,0,0,2.38,,
60,2,True,1,14,0,1,0,,,,catch,0,0,,0,0,1.96,,
61,3,False,1,15,1,2,1,1,2,1,forceblk4,2,0,1,1,0,3.15,19.69,20.7
62,3,False,1,15,1,2,1,1,2,1,forceblk4,1,0,1,1,0,5.14,3.67,4.67
63,3,False,0,15,0,2,1,0,2,1,forceblk4,2,0,0,1,0,4.61,15.89,16.9
64,3,False,1,15,1,2,1,1,2,1,forceblk4,1,0,1,1,0,2.9,7.44,8.44
65,3,False,0,15,0,1,1,0,2,1,forceblk4,2,0,0,1,0,3.57,5.94,6.94
66,3,False,0,15,0,1,1,0,1,1,forceblk4,1,0,1,0,0,4.45,5.46,6.46
67,3,False,1,15,1,3,1,0,1,0,forceblk4,2,0,0,0,0,3.27,17.2,18.2
68,3,False,0,15,0,1,1,0,1,1,forceblk4,2,0,0,1,0,4.4,4.09,5.09
69,3,False,0,15,0,1,1,0,1,1,forceblk4,1,0,0,1,0,6.67,4.3,5.3
70,3,False,1,15,1,2,1,1,2,1,forceblk4,2,0,1,1,0,3.08,2.63,3.63
71,3,False,1,15,1,3,1,1,2,1,forceblk4,1,0,1,1,0,2.83,3.52,4.53
72,3,False,0,15,0,1,1,0,1,1,forceblk4,1,0,0,1,0,2.85,3.21,4.22
73,3,False,1,15,1,2,1,1,2,1,forceblk4,2,0,1,1,0,2.92,2.97,3.97
74,3,False,1,15,1,2,1,1,2,1,forceblk4,1,0,1,1,0,3.54,4.4,5.4
75,3,False,1,15,1,2,1,1,2,1,forceblk4,2,0,0,0,0,2.95,2.33,3.34
76,3,False,1,15,1,2,1,1,2,1,forceblk4,1,0,1,1,0,6.98,2.98,3.99
77,3,False,0,15,0,1,1,0,1,1,forceblk4,2,0,1,0,0,2.89,3.5,4.5
78,3,False,0,15,0,1,1,0,1,1,forceblk4,1,0,1,0,0,3.44,2.64,3.65
79,3,False,0,15,0,1,1,0,1,1,forceblk4,2,0,0,1,0,9.15,5.15,6.16
80,3,False,1,15,1,3,1,1,2,1,forceblk4,2,0,1,1,0,3.15,3.48,4.48
81,3,False,1,15,1,3,1,1,2,1,forceblk4,1,0,1,1,0,3.01,4.78,5.78
82,3,False,1,15,1,2,1,1,2,1,forceblk4,1,0,1,1,0,2.72,3.03,4.03
83,3,False,1,15,0,1,0,0,1,0,forceblk4,2,0,0,0,0,4.54,2.96,3.96
84,3,False,0,15,0,2,1,0,2,1,forceblk4,1,0,0,1,0,2.52,4.88,5.88
85,3,False,1,15,1,3,1,1,3,1,forceblk4,2,0,1,1,0,3.22,2.81,3.81
86,3,False,0,15,0,2,1,0,2,1,forceblk4,2,0,0,1,0,2.77,3.2,4.21
87,3,False,1,15,0,2,0,0,2,0,forceblk4,1,0,1,1,0,2.96,4.58,5.58
88,3,False,0,15,0,1,1,0,1,1,forceblk4,2,0,0,1,0,3.63,2.74,3.75
89,3,False,0,15,1,2,0,0,1,1,forceblk4,1,0,0,1,0,3.13,2.77,3.78
90,3,False,1,15,1,2,1,1,2,1,forceblk4,2,0,1,1,0,3.25,3.0,4.0
91,3,False,0,15,0,2,1,0,2,1,forceblk4,1,0,1,0,0,2.81,4.78,5.79
92,3,False,1,15,1,2,1,1,2,1,forceblk4,2,0,1,1,0,2.81,3.59,4.6
93,3,False,1,15,1,2,1,0,1,0,forceblk4,1,0,0,0,0,105.84,5.27,6.28
94,3,False,1,15,1,2,1,1,2,1,forceblk4,2,0,0,0,0,2.29,2.58,3.59
95,3,False,0,15,0,1,1,0,1,1,forceblk4,1,0,0,1,0,2.58,2.19,3.2
96,3,False,1,15,1,2,1,1,2,1,forceblk4,2,0,1,1,0,3.07,2.6,3.61
97,3,False,1,15,1,2,1,1,2,1,forceblk4,1,0,0,0,0,2.71,2.42,3.42
98,3,False,1,15,0,1,0,0,1,0,forceblk4,2,0,1,1,0,2.71,4.06,5.07
99,3,False,0,15,1,2,0,1,2,0,forceblk4,1,0,0,1,0,9.28,2.77,3.77
100,3,False,0,15,1,2,0,1,2,0,forceblk4,2,0,0,1,0,7.04,4.15,5.15
