trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,3,0,,,,catch,0,0,,0,0,15.0,,
2,1,True,0,15,1,31,0,,,,catch,0,0,,0,0,7.15,,
3,1,True,0,15,0,33,1,,,,catch,0,0,,0,0,3.59,,
4,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,5.59,,
5,1,True,0,15,1,32,0,,,,catch,0,0,,0,0,6.26,,
6,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,5.5,,
7,1,True,0,15,1,28,0,,,,catch,0,0,,0,0,4.45,,
8,1,True,0,15,0,36,1,,,,catch,0,0,,0,0,2.8,,
9,1,True,1,15,0,26,0,,,,catch,0,0,,0,0,5.27,,
10,1,True,1,15,0,32,0,,,,catch,0,0,,0,0,2.61,,
11,1,True,0,15,1,34,0,,,,catch,0,0,,0,0,2.24,,
12,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,3.33,,
13,1,True,1,15,1,30,1,,,,catch,0,0,,0,0,3.43,,
14,1,True,1,14,0,31,0,,,,catch,0,0,,0,0,3.47,,
15,1,True,0,15,1,41,0,,,,catch,0,0,,0,0,2.95,,
16,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,10.19,,
17,1,True,0,15,1,4,0,,,,catch,0,0,,0,0,3.18,,
18,1,True,1,15,0,42,0,,,,catch,0,0,,0,0,2.19,,
19,1,True,0,15,1,33,0,,,,catch,0,0,,0,0,2.36,,
20,1,True,1,15,1,26,1,,,,catch,0,0,,0,0,1.5,,
21,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,3.24,,
22,1,True,0,14,0,8,1,,,,catch,0,0,,0,0,7.81,,
23,1,True,1,14,1,20,1,,,,catch,0,0,,0,0,3.53,,
24,1,True,0,13,1,20,0,,,,catch,0,0,,0,0,6.86,,
25,1,True,0,14,0,2,1,,,,catch,0,0,,0,0,4.27,,
26,1,True,1,14,1,5,1,,,,catch,0,0,,0,0,4.73,,
27,1,True,1,13,1,6,1,,,,catch,0,0,,0,0,3.4,,
28,1,True,1,13,0,2,0,,,,catch,0,0,,0,0,7.12,,
29,1,True,0,14,0,3,1,,,,catch,0,0,,0,0,8.62,,
30,1,True,1,14,1,5,1,,,,catch,0,0,,0,0,2.15,,
31,2,True,0,13,1,3,0,,,,catch,0,0,,0,0,2.41,,
32,2,True,1,14,1,4,1,,,,catch,0,0,,0,0,2.77,,
33,2,True,0,14,1,3,0,,,,catch,0,0,,0,0,2.46,,
