trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,28,1,,,,catch,0,0,,0,0,3.23,,
2,1,True,0,15,1,9,0,,,,catch,0,0,,0,0,3.98,,
3,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,2.24,,
4,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,1.62,,
5,1,True,1,14,1,14,1,,,,catch,0,0,,0,0,2.03,,
6,1,True,0,14,0,8,1,,,,catch,0,0,,0,0,1.96,,
7,1,True,1,13,1,20,1,,,,catch,0,0,,0,0,1.79,,
8,1,True,1,13,1,21,1,,,,catch,0,0,,0,0,1.68,,
9,1,True,0,12,1,17,0,,,,catch,0,0,,0,0,1.56,,
10,1,True,1,13,1,16,1,,,,catch,0,0,,0,0,1.62,,
11,1,True,1,13,1,5,1,,,,catch,0,0,,0,0,2.06,,
12,1,True,0,12,1,5,0,,,,catch,0,0,,0,0,2.82,,
13,1,True,0,13,1,12,0,,,,catch,0,0,,0,0,1.59,,
14,1,True,0,14,0,30,1,,,,catch,0,0,,0,0,1.98,,
15,1,True,0,14,1,7,0,,,,catch,0,0,,0,0,2.55,,
16,1,True,0,15,0,13,1,,,,catch,0,0,,0,0,2.58,,
17,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,1.88,,
18,1,True,1,15,1,24,1,,,,catch,0,0,,0,0,1.65,,
19,1,True,1,15,0,32,0,,,,catch,0,0,,0,0,1.63,,
20,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,2.33,,
21,1,True,1,15,1,16,1,,,,catch,0,0,,0,0,1.57,,
22,1,True,1,14,0,7,0,,,,catch,0,0,,0,0,1.74,,
23,1,True,0,15,0,33,1,,,,catch,0,0,,0,0,1.53,,
24,1,True,0,15,0,9,1,,,,catch,0,0,,0,0,1.8,,
25,1,True,1,14,1,18,1,,,,catch,0,0,,0,0,1.62,,
26,1,True,1,14,1,30,1,,,,catch,0,0,,0,0,1.46,,
27,1,True,1,13,1,37,1,,,,catch,0,0,,0,0,1.39,,
28,1,True,1,13,1,18,1,,,,catch,0,0,,0,0,1.51,,
29,1,True,1,12,1,34,1,,,,catch,0,0,,0,0,1.47,,
30,1,True,1,12,1,5,1,,,,catch,0,0,,0,0,2.01,,
31,2,True,0,11,1,8,0,,,,catch,0,0,,0,0,1.58,,
32,2,True,1,12,1,4,1,,,,catch,0,0,,0,0,1.69,,
33,2,True,0,12,0,4,1,,,,catch,0,0,,0,0,1.65,,
